date,material,supplier,cost
2023-07-20,Steel,TheHardwareStore,8980.97
2023-11-15,Gypsum,SupplySolutions,10972.41
2023-06-10,Gypsum,BuildSmart,10925.33
2023-02-20,Steel,BuildSmart,9817.8
2023-11-14,Glass,TimberlandSupply,10788.2
2023-02-10,Gypsum,SupplySolutions,11444.15
2023-12-12,Gypsum,BuildSmart,9215.62
2023-08-25,Glass,BuildSmart,10120.5
2023-02-04,Steel,TheHardwareStore,9542.51
2023-03-11,Glass,MaterialMasters,9391.29
2023-08-02,Concrete,SupplySolutions,9391.11
2023-09-11,Ceramic,TheHardwareStore,10961.03
2023-03-20,Steel,TimberMart,11355.09
2023-01-16,Concrete,TimberlandSupply,8678.03
2023-11-06,Concrete,SupplySolutions,11906.87
2023-08-02,Glass,TimberlandSupply,10099.01
2023-10-10,Concrete,TheHardwareStore,9215.27
2023-10-13,Ceramic,TimberlandSupply,8187.05
2023-10-23,Gypsum,TimberMart,11789.53
2023-05-05,Glass,TimberlandSupply,11722.23
2023-11-07,Glass,TimberlandSupply,8850.63
2023-03-08,Steel,TimberlandSupply,11821.54
2023-01-02,Steel,BuildSmart,11469.89
2023-01-16,Steel,TimberlandSupply,11238.84
2023-11-15,Steel,MaterialMasters,11589.33
2023-11-13,Glass,SupplySolutions,10957.55
2023-02-25,Concrete,SupplySolutions,9299.74
2023-03-05,Gypsum,MaterialSource,10025.2
2023-05-19,Steel,TimberlandSupply,10906.76
2023-07-21,Concrete,TimberMart,11797.01
2023-07-22,Gypsum,MaterialMasters,11939.26
2023-12-10,Steel,TimberMart,11503.67
2023-11-21,Ceramic,BuildSmart,10650.73
2023-01-12,Concrete,BuildSmart,8016.25
2023-03-21,Gypsum,BuildSmart,8760.7
2023-04-08,Gypsum,SupplySolutions,8773.87
2023-12-03,Steel,BuildSmart,9101.76
2023-05-21,Gypsum,TheHardwareStore,10132.41
2023-07-08,Glass,MaterialSource,11195.18
2023-09-06,Gypsum,BuildSmart,10887.24
2023-04-04,Concrete,TimberlandSupply,8377.68
2023-02-08,Concrete,BuildSmart,11030.23
2023-06-15,Concrete,MaterialMasters,11998.03
2023-03-09,Steel,MaterialMasters,10559.88
2023-04-13,Glass,BuildSmart,8925.63
2023-10-17,Steel,TimberMart,10995.13
2023-12-07,Gypsum,TheHardwareStore,8890.25
2023-12-13,Steel,SupplySolutions,9073.75
2023-10-17,Gypsum,TimberlandSupply,9833.4
2023-08-18,Ceramic,TheHardwareStore,10997.63
2023-02-08,Ceramic,SupplySolutions,10876.29
2023-01-25,Ceramic,MaterialSource,9565.28
2023-07-24,Concrete,MaterialSource,11464.24
2023-11-21,Glass,SupplySolutions,8850.26
2023-02-18,Concrete,BuildSmart,8144.85
2023-11-13,Ceramic,MaterialSource,11331.54
2023-10-23,Gypsum,SupplySolutions,11543.89
2023-10-13,Ceramic,SupplySolutions,10086.02
2023-11-15,Concrete,BuildSmart,8181.77
2023-06-08,Steel,TimberlandSupply,9054.73
2023-11-11,Ceramic,TimberlandSupply,10570.51
2023-02-13,Gypsum,SupplySolutions,10989.53
2023-09-20,Concrete,MaterialMasters,11378.75
2023-12-14,Gypsum,TheHardwareStore,10594.45
2023-11-07,Concrete,TheHardwareStore,8993.4
2023-03-09,Gypsum,TimberMart,10126.54
2023-12-12,Ceramic,BuildSmart,8374.62
2023-02-01,Concrete,TheHardwareStore,10071.45
2023-05-13,Gypsum,SupplySolutions,8548.63
2023-11-06,Ceramic,MaterialSource,10766.02
2023-11-06,Gypsum,MaterialSource,8318.85
2023-01-08,Glass,SupplySolutions,9190.67
2023-06-12,Glass,TimberMart,8617.32
2023-06-20,Steel,TheHardwareStore,11612.69
2023-02-04,Steel,TimberlandSupply,9428.2
2023-05-17,Concrete,TimberMart,9275.4
2023-11-06,Concrete,TimberlandSupply,10359.77
2023-01-05,Ceramic,TheHardwareStore,11641.8
2023-10-12,Concrete,MaterialMasters,11066.52
2023-09-21,Gypsum,TheHardwareStore,9535.49
2023-01-04,Glass,SupplySolutions,11922.29
2023-09-11,Concrete,TimberMart,9556.01
2023-10-25,Ceramic,BuildSmart,9883.33
2023-10-15,Steel,MaterialSource,9546.26
