date,material,supplier,cost
2023-01-14,Plastic,MaterialMasters,10079.04
2023-11-08,Concrete,LumberYardInc,8166.43
2023-11-08,Plastic,MaterialMasters,10381.91
2023-09-06,Glass,MaterialMasters,8286.94
2023-04-15,Insulation,MaterialMasters,8308.95
2023-07-01,Ceramic,LumberYardInc,9357.1
2023-01-18,Concrete,MaterialMasters,11835.26
2023-04-19,Glass,MaterialMasters,11257.71
2023-04-01,Glass,ConstructionDepot,10218.48
2023-10-21,Plastic,SupplyCenter,11252.24
2023-09-10,Plastic,SupplyCenter,11162.0
2023-04-16,Plastic,ConstructionDepot,11862.62
2023-05-01,Concrete,LumberYardInc,8119.76
2023-04-21,Glass,SupplyCenter,11974.25
2023-10-20,Ceramic,LumberYardInc,11207.26
2023-07-03,Plastic,LumberYardInc,10525.62
2023-05-11,Concrete,LumberYardInc,9310.29
2023-01-07,Concrete,BuildCo,11696.87
2023-03-25,Glass,MaterialMasters,11939.23
2023-03-03,Insulation,HomeImprovementHQ,8994.44
2023-09-01,Plastic,LumberYardInc,8882.01
2023-12-04,Plastic,BuildSmart,8056.93
2023-11-15,Concrete,HomeImprovementHQ,10783.29
2023-05-21,Ceramic,BuildSmart,11080.47
2023-12-21,Concrete,BuildCo,8012.13
2023-07-14,Glass,MaterialMasters,8793.19
2023-04-15,Insulation,HomeImprovementHQ,8685.82
2023-01-15,Insulation,BuildSmart,9019.15
2023-09-25,Plastic,LumberYardInc,11111.15
2023-09-15,Ceramic,LumberYardInc,10369.84
2023-10-21,Glass,BuildSmart,10679.72
2023-06-21,Ceramic,ConstructionDepot,11902.55
2023-04-03,Glass,MaterialMasters,10920.85
2023-11-10,Plastic,BuildSmart,9184.97
2023-02-14,Concrete,HomeImprovementHQ,9074.75
2023-06-14,Ceramic,BuildSmart,10493.64
2023-06-23,Concrete,ConstructionDepot,8728.36
2023-04-12,Ceramic,MaterialMasters,11349.72
2023-05-18,Glass,MaterialMasters,9473.22
2023-05-06,Plastic,BuildSmart,9240.77
2023-11-11,Plastic,BuildSmart,8962.17
2023-03-10,Ceramic,MaterialMasters,10914.04
2023-12-08,Concrete,SupplyCenter,11750.19
2023-01-08,Concrete,SupplyCenter,8148.66
2023-09-16,Ceramic,HomeImprovementHQ,9146.47
2023-01-01,Glass,SupplyCenter,8783.37
2023-05-08,Insulation,ConstructionDepot,11653.33
2023-09-02,Concrete,HomeImprovementHQ,9294.9
2023-11-13,Plastic,ConstructionDepot,9703.64
2023-07-17,Concrete,LumberYardInc,11920.49
2023-02-10,Insulation,LumberYardInc,10132.51
2023-05-06,Ceramic,MaterialMasters,9418.79
2023-08-19,Ceramic,SupplyCenter,11673.76
2023-03-15,Ceramic,MaterialMasters,10645.4
2023-06-05,Plastic,MaterialMasters,10385.34
2023-04-15,Ceramic,HomeImprovementHQ,8877.61
2023-05-17,Insulation,MaterialMasters,8418.87
2023-12-02,Concrete,SupplyCenter,9982.83
2023-06-06,Concrete,HomeImprovementHQ,10023.12
2023-05-20,Plastic,HomeImprovementHQ,11582.21
2023-11-06,Ceramic,BuildSmart,11152.29
2023-01-13,Ceramic,LumberYardInc,8882.43
2023-04-08,Insulation,BuildSmart,11648.11
2023-04-07,Ceramic,MaterialMasters,11312.65
2023-05-16,Glass,BuildCo,11550.01
2023-04-07,Ceramic,LumberYardInc,11162.11
2023-06-19,Concrete,MaterialMasters,10071.71
2023-03-09,Ceramic,HomeImprovementHQ,8682.17
2023-04-14,Ceramic,MaterialMasters,8258.19
2023-01-17,Concrete,BuildSmart,8476.22
2023-03-06,Plastic,BuildCo,11289.36
2023-03-16,Concrete,BuildSmart,8632.23
2023-08-12,Ceramic,SupplyCenter,8406.8
2023-09-12,Concrete,MaterialMasters,8525.34
2023-08-12,Glass,SupplyCenter,9046.42
2023-01-08,Glass,LumberYardInc,9334.63
2023-08-03,Plastic,MaterialMasters,9306.99
2023-05-10,Insulation,MaterialMasters,10569.96
2023-02-23,Plastic,LumberYardInc,9559.12
2023-12-20,Ceramic,BuildCo,8872.02
2023-02-05,Concrete,LumberYardInc,9168.46
2023-09-19,Insulation,SupplyCenter,8794.29
2023-07-22,Ceramic,SupplyCenter,8568.17
2023-07-06,Concrete,BuildSmart,8746.72
2023-01-09,Glass,HomeImprovementHQ,9611.92
2023-05-05,Ceramic,MaterialMasters,10691.84
2023-10-07,Ceramic,HomeImprovementHQ,10408.03
2023-11-19,Concrete,SupplyCenter,9458.87
2023-09-15,Ceramic,LumberYardInc,8399.33
2023-01-16,Concrete,LumberYardInc,11751.96
2023-06-15,Glass,BuildSmart,11107.86
2023-08-03,Glass,MaterialMasters,11268.62
2023-06-16,Insulation,BuildCo,9032.94
2023-08-01,Ceramic,ConstructionDepot,11310.9
2023-10-15,Glass,BuildSmart,11525.51
