date,material,supplier,cost
2023-06-08,Ceramic,TimberlandSupply,10978.83
2023-12-01,Gypsum,BuildCo,9611.5
2023-07-20,Ceramic,BuildCo,8779.8
2023-09-03,Ceramic,TimberlandSupply,9069.25
2023-09-23,Ceramic,TimberlandSupply,11287.61
2023-06-16,Gypsum,BuildCo,11586.36
2023-01-04,Concrete,TheHardwareStore,8761.75
2023-02-22,Insulation,BuildCo,10010.69
2023-11-03,Ceramic,HomeDepotPro,11272.54
2023-07-18,Steel,LumberYardInc,8750.21
2023-07-06,Steel,TheHardwareStore,11056.01
2023-08-01,Insulation,TimberlandSupply,9775.61
2023-08-24,Steel,LumberYardInc,8479.68
2023-03-20,Concrete,LumberYardInc,9678.94
2023-10-15,Steel,MaterialMasters,8790.39
2023-06-16,Insulation,TheHardwareStore,8353.38
2023-11-18,Gypsum,HomeDepotPro,8974.12
2023-06-02,Ceramic,BuildCo,9826.9
2023-08-10,Steel,MaterialMasters,10841.52
2023-03-05,Concrete,TheHardwareStore,11877.29
2023-04-02,Steel,HomeDepotPro,10116.39
2023-11-12,Gypsum,ConstructionDepot,9645.26
2023-06-19,Steel,TheHardwareStore,9758.86
2023-01-22,Ceramic,BuildCo,10647.33
2023-11-02,Gypsum,HomeDepotPro,9775.42
2023-06-09,Ceramic,TheHardwareStore,8144.76
2023-06-17,Insulation,LumberYardInc,9557.11
2023-10-03,Ceramic,HomeDepotPro,8409.61
2023-07-17,Gypsum,HomeDepotPro,8007.08
2023-07-23,Insulation,HomeDepotPro,9235.79
2023-09-09,Ceramic,TheHardwareStore,10412.1
2023-06-01,Ceramic,ConstructionDepot,9745.8
2023-03-04,Steel,ConstructionDepot,8604.78
2023-02-10,Steel,ConstructionDepot,10277.06
2023-06-07,Ceramic,ConstructionDepot,11180.5
2023-05-21,Gypsum,ConstructionDepot,10909.11
2023-02-17,Gypsum,TheHardwareStore,8972.9
2023-06-25,Insulation,MaterialMasters,9695.62
2023-06-01,Steel,LumberYardInc,11478.96
2023-02-11,Concrete,LumberYardInc,8460.38
2023-01-14,Insulation,ConstructionDepot,10862.19
2023-02-04,Steel,BuildCo,8672.33
2023-09-01,Concrete,TheHardwareStore,10751.72
2023-06-23,Concrete,HomeDepotPro,11354.33
2023-02-25,Ceramic,ConstructionDepot,9837.77
2023-06-23,Ceramic,TheHardwareStore,10580.67
2023-03-24,Concrete,TheHardwareStore,10453.89
