date,material,supplier,cost
2023-10-03,Glass,TheBuildingBlock,10720.87
2023-03-02,Insulation,MaterialMasters,11545.62
2023-02-12,Brick,TheHardwareStore,9410.13
2023-05-06,Brick,ConstructionSupply,8754.35
2023-08-09,Glass,MaterialMasters,11159.99
2023-10-25,Brick,TheHardwareStore,10364.69
2023-03-15,Wood,BuildSmart,11786.36
2023-10-15,Insulation,ConstructionSupply,10444.21
2023-09-23,Wood,TheHardwareStore,10401.71
2023-08-05,Insulation,ConstructionSupply,10316.95
2023-07-20,Wood,TimberlandSupply,10587.63
2023-07-11,Glass,TheHardwareStore,11168.39
2023-08-09,Glass,TheHardwareStore,8457.06
2023-06-04,Glass,MaterialMasters,10513.64
2023-08-12,Brick,TimberlandSupply,8362.79
2023-05-21,Ceramic,TimberlandSupply,8970.81
2023-03-21,Glass,MaterialMasters,10474.11
2023-12-07,Wood,MaterialSource,11475.03
2023-10-08,Glass,TimberlandSupply,9622.15
2023-02-14,Glass,ConstructionSupply,8899.04
2023-09-12,Insulation,TimberlandSupply,8511.78
2023-05-22,Brick,MaterialMasters,10978.74
2023-01-07,Wood,MaterialSource,10823.48
2023-08-19,Brick,ConstructionSupply,10288.24
2023-08-03,Brick,TheHardwareStore,10586.72
2023-06-18,Wood,TheBuildingBlock,10135.27
2023-09-01,Brick,BuildSmart,9812.81
2023-08-19,Brick,TheBuildingBlock,10556.51
2023-07-03,Brick,MaterialMasters,11249.54
2023-11-08,Brick,BuildSmart,11605.1
2023-01-19,Ceramic,TimberlandSupply,8260.68
2023-04-18,Glass,ConstructionSupply,9133.05
2023-08-25,Wood,MaterialMasters,11933.98
2023-10-20,Wood,TheHardwareStore,10246.1
2023-07-15,Insulation,TimberlandSupply,11389.58
2023-09-17,Glass,MaterialMasters,8194.55
2023-10-15,Glass,TheHardwareStore,9490.7
2023-05-25,Brick,TimberlandSupply,9120.93
2023-02-06,Ceramic,TimberlandSupply,11169.59
2023-07-11,Brick,MaterialMasters,11736.44
2023-12-16,Brick,ConstructionSupply,9165.55
2023-09-04,Glass,MaterialMasters,9044.16
2023-04-04,Brick,MaterialSource,10257.37
2023-11-12,Wood,MaterialMasters,11648.08
2023-12-06,Insulation,ConstructionSupply,8558.79
2023-11-24,Brick,TheHardwareStore,9454.54
2023-03-25,Glass,TheHardwareStore,10730.4
2023-11-05,Ceramic,MaterialMasters,10500.44
2023-11-03,Brick,MaterialSource,8406.22
2023-10-10,Brick,MaterialMasters,8681.2
2023-06-22,Glass,TheHardwareStore,10286.33
2023-07-02,Ceramic,TheHardwareStore,10081.82
2023-11-24,Wood,ConstructionSupply,9122.23
2023-07-23,Insulation,TimberlandSupply,11167.39
2023-11-21,Glass,TimberlandSupply,10119.58
2023-11-10,Insulation,MaterialMasters,10488.16
2023-03-21,Ceramic,MaterialMasters,9463.7
2023-09-13,Glass,ConstructionSupply,9682.03
2023-11-07,Insulation,TheBuildingBlock,11634.1
2023-11-09,Wood,TimberlandSupply,8207.11
2023-01-10,Glass,MaterialSource,11251.7
2023-04-09,Glass,MaterialSource,10863.16
2023-11-17,Ceramic,TheHardwareStore,11973.01
2023-11-17,Insulation,TheBuildingBlock,10158.89
2023-05-07,Glass,TimberlandSupply,8909.66
2023-06-15,Brick,TheBuildingBlock,11423.84
2023-03-10,Ceramic,MaterialMasters,11477.26
2023-11-21,Wood,ConstructionSupply,11702.8
2023-08-24,Glass,BuildSmart,10357.82
2023-02-08,Insulation,TimberlandSupply,8901.67
2023-10-13,Brick,TheHardwareStore,9713.1
2023-09-10,Brick,ConstructionSupply,11950.49
2023-05-21,Insulation,TimberlandSupply,8156.03
2023-03-12,Wood,TheBuildingBlock,8704.49
2023-09-02,Ceramic,TimberlandSupply,11884.84
2023-01-17,Insulation,TimberlandSupply,10628.65
2023-05-19,Wood,TheBuildingBlock,8359.71
2023-07-10,Brick,MaterialSource,8773.66
2023-03-11,Insulation,ConstructionSupply,10911.81
2023-11-01,Glass,TimberlandSupply,9747.41
