date,material,supplier,cost
2023-06-06,Ceramic,HomeImprovementHQ,10747.36
2023-01-24,Steel,SupplyCenter,10338.67
2023-05-11,Ceramic,BuildSmart,11998.55
2023-04-23,Concrete,ConstructionSupply,9837.53
2023-11-23,Ceramic,SupplySolutions,11010.04
2023-05-04,Steel,MaterialSource,9237.29
2023-04-16,Steel,SupplySolutions,11487.53
2023-10-03,Ceramic,TimberlandSupply,8711.12
2023-05-21,Steel,TimberlandSupply,10413.21
2023-04-04,Steel,MaterialSource,11356.09
2023-11-13,Asbestos,BuildSmart,10136.35
2023-02-05,Asbestos,SupplySolutions,8026.18
2023-11-25,Steel,ConstructionSupply,9775.73
2023-11-06,Asbestos,SupplyCenter,10408.07
2023-05-09,Steel,MaterialSource,10124.16
2023-11-17,Gypsum,HomeImprovementHQ,11008.32
2023-12-09,Gypsum,ConstructionSupply,9408.28
2023-06-23,Ceramic,HomeImprovementHQ,9420.68
2023-03-19,Concrete,ConstructionSupply,10746.58
2023-11-23,Concrete,HomeImprovementHQ,11853.07
2023-03-24,Asbestos,MaterialSource,9222.66
2023-06-15,Concrete,ConstructionSupply,10825.25
2023-11-21,Steel,ConstructionSupply,9085.68
2023-05-19,Gypsum,ConstructionSupply,11498.37
2023-05-18,Ceramic,SupplySolutions,11646.64
2023-05-13,Steel,BuildSmart,10642.82
2023-06-06,Concrete,BuildSmart,11461.18
2023-07-18,Ceramic,BuildSmart,10228.54
2023-11-10,Steel,HomeImprovementHQ,9554.9
2023-06-17,Gypsum,HomeImprovementHQ,8952.99
2023-10-19,Steel,HomeImprovementHQ,9205.69
2023-05-09,Steel,SupplySolutions,8380.32
2023-05-05,Concrete,ConstructionSupply,8178.64
2023-10-02,Gypsum,SupplySolutions,8175.89
2023-10-04,Concrete,MaterialSource,9126.03
2023-04-19,Asbestos,ConstructionSupply,8688.88
2023-09-11,Asbestos,BuildSmart,8520.48
2023-08-15,Steel,SupplyCenter,8158.08
2023-07-20,Gypsum,TimberlandSupply,9380.36
2023-09-12,Gypsum,MaterialSource,11520.79
2023-03-16,Ceramic,TimberlandSupply,8632.59
2023-05-04,Asbestos,BuildSmart,8841.38
2023-06-06,Asbestos,TimberlandSupply,10882.35
2023-12-18,Gypsum,BuildSmart,11303.05
2023-11-04,Steel,SupplyCenter,11891.3
2023-06-10,Asbestos,MaterialSource,9532.13
2023-01-23,Concrete,SupplySolutions,8534.8
2023-04-14,Ceramic,HomeImprovementHQ,11750.19
2023-04-02,Gypsum,HomeImprovementHQ,11452.84
2023-03-03,Steel,SupplyCenter,8860.49
2023-05-21,Concrete,MaterialSource,9213.01
2023-07-08,Gypsum,SupplyCenter,10505.77
2023-09-07,Concrete,SupplySolutions,11848.99
2023-06-17,Asbestos,MaterialSource,9576.47
2023-12-07,Ceramic,BuildSmart,10892.67
2023-07-06,Steel,SupplyCenter,10712.58
2023-09-08,Ceramic,TimberlandSupply,10794.88
2023-03-14,Ceramic,BuildSmart,8766.14
2023-11-10,Gypsum,TimberlandSupply,10431.46
2023-12-20,Concrete,BuildSmart,11998.21
2023-10-11,Concrete,ConstructionSupply,9642.05
2023-09-08,Gypsum,TimberlandSupply,9258.78
2023-07-24,Asbestos,ConstructionSupply,11045.98
2023-08-05,Gypsum,TimberlandSupply,11194.09
2023-09-05,Concrete,TimberlandSupply,10285.97
2023-12-18,Concrete,ConstructionSupply,8978.6
2023-04-08,Concrete,TimberlandSupply,11415.99
2023-12-09,Concrete,ConstructionSupply,11190.15
2023-11-08,Steel,SupplySolutions,9797.34
2023-09-09,Ceramic,BuildSmart,11445.79
2023-12-02,Concrete,ConstructionSupply,8328.24
2023-05-09,Asbestos,BuildSmart,9416.76
2023-11-16,Concrete,TimberlandSupply,8851.53
2023-05-05,Steel,TimberlandSupply,11335.41
2023-12-01,Ceramic,TimberlandSupply,10559.83
2023-06-10,Steel,MaterialSource,11842.4
2023-07-25,Concrete,MaterialSource,9951.92
2023-02-15,Ceramic,ConstructionSupply,11527.34
2023-09-03,Concrete,MaterialSource,11828.02
2023-12-10,Gypsum,MaterialSource,11215.36
2023-12-16,Steel,BuildSmart,11330.97
2023-11-14,Ceramic,ConstructionSupply,9842.81
2023-09-05,Steel,SupplySolutions,9003.01
2023-07-03,Gypsum,ConstructionSupply,8280.36
2023-09-07,Gypsum,TimberlandSupply,11172.15
2023-09-01,Ceramic,TimberlandSupply,9165.99
2023-09-06,Gypsum,SupplySolutions,10175.01
2023-08-24,Ceramic,ConstructionSupply,9295.46
2023-12-12,Steel,SupplySolutions,9832.03
2023-09-04,Asbestos,MaterialSource,11525.8
2023-11-25,Gypsum,ConstructionSupply,9456.64
2023-07-10,Gypsum,HomeImprovementHQ,11712.47
2023-09-06,Gypsum,MaterialSource,8683.25
2023-10-08,Gypsum,SupplySolutions,9007.39
2023-03-15,Concrete,HomeImprovementHQ,11551.5
2023-08-11,Ceramic,SupplyCenter,10751.85
2023-02-22,Concrete,TimberlandSupply,9193.64
2023-03-24,Steel,BuildSmart,11948.2
2023-11-20,Steel,SupplySolutions,9155.55
2023-05-11,Asbestos,TimberlandSupply,8669.53
2023-07-25,Steel,BuildSmart,11534.64
2023-07-19,Asbestos,BuildSmart,8860.69
2023-11-02,Asbestos,SupplyCenter,8921.02
2023-03-03,Ceramic,TimberlandSupply,11893.47
2023-02-14,Ceramic,TimberlandSupply,11039.36
2023-08-12,Gypsum,SupplyCenter,8911.45
2023-01-14,Steel,SupplyCenter,9859.8
2023-06-24,Ceramic,SupplySolutions,8691.82
2023-06-18,Concrete,BuildSmart,11187.83
2023-09-14,Ceramic,BuildSmart,11057.45
2023-01-10,Ceramic,SupplyCenter,10556.0
2023-11-16,Gypsum,ConstructionSupply,11721.26
2023-09-12,Concrete,MaterialSource,10255.9
2023-09-03,Gypsum,ConstructionSupply,9590.93
2023-01-25,Concrete,HomeImprovementHQ,9444.11
2023-01-06,Asbestos,TimberlandSupply,11777.05
2023-10-12,Steel,SupplySolutions,9927.08
2023-09-15,Ceramic,ConstructionSupply,11407.96
2023-08-24,Asbestos,ConstructionSupply,9215.2
2023-05-14,Steel,ConstructionSupply,10531.61
2023-12-01,Concrete,SupplyCenter,11603.1
2023-06-22,Ceramic,ConstructionSupply,10617.61
2023-04-06,Concrete,SupplySolutions,9583.18
2023-01-10,Concrete,ConstructionSupply,9780.85
2023-06-04,Asbestos,ConstructionSupply,10606.3
2023-05-25,Steel,SupplySolutions,10139.1
2023-01-07,Concrete,SupplySolutions,11463.46
2023-04-03,Steel,SupplyCenter,11942.52
2023-01-16,Concrete,SupplyCenter,8241.42
2023-11-10,Steel,BuildSmart,9746.79
2023-06-04,Asbestos,TimberlandSupply,9015.65
2023-09-07,Steel,TimberlandSupply,9116.39
2023-08-04,Asbestos,MaterialSource,8214.24
2023-12-21,Asbestos,ConstructionSupply,10269.59
2023-08-17,Ceramic,TimberlandSupply,8317.09
2023-09-25,Ceramic,HomeImprovementHQ,11910.55
2023-01-10,Concrete,ConstructionSupply,11399.11
2023-07-03,Steel,BuildSmart,10901.86
2023-03-17,Gypsum,TimberlandSupply,9820.79
2023-12-24,Gypsum,SupplySolutions,8396.4
2023-06-13,Gypsum,TimberlandSupply,8430.92
2023-06-20,Asbestos,HomeImprovementHQ,8149.47
2023-03-04,Asbestos,TimberlandSupply,10515.13
2023-11-01,Ceramic,SupplySolutions,8787.54
2023-06-11,Steel,TimberlandSupply,10717.32
2023-06-21,Asbestos,BuildSmart,10607.06
2023-05-11,Asbestos,BuildSmart,11770.89
2023-05-24,Asbestos,ConstructionSupply,9869.99
2023-06-03,Steel,SupplyCenter,8725.07
2023-12-18,Concrete,ConstructionSupply,10880.33
2023-08-02,Asbestos,MaterialSource,8641.43
2023-03-12,Asbestos,SupplyCenter,9523.58
2023-10-20,Gypsum,HomeImprovementHQ,10858.62
2023-09-19,Steel,SupplySolutions,9577.81
2023-04-04,Asbestos,MaterialSource,11268.04
2023-12-04,Gypsum,BuildSmart,10605.08
2023-09-07,Steel,TimberlandSupply,9209.46
2023-09-21,Steel,BuildSmart,9194.15
2023-05-06,Ceramic,MaterialSource,11500.93
2023-11-09,Steel,HomeImprovementHQ,9072.91
2023-03-18,Asbestos,ConstructionSupply,11384.6
2023-03-12,Gypsum,SupplySolutions,8669.03
2023-11-08,Steel,SupplySolutions,10637.03
2023-05-16,Gypsum,SupplyCenter,9074.02
2023-04-06,Gypsum,SupplySolutions,10231.53
2023-09-01,Steel,SupplyCenter,11919.81
2023-09-24,Ceramic,BuildSmart,10431.96
2023-08-16,Concrete,BuildSmart,10664.15
2023-09-13,Asbestos,BuildSmart,10772.95
2023-02-16,Gypsum,ConstructionSupply,8755.57
2023-05-22,Concrete,BuildSmart,9295.55
2023-05-25,Concrete,HomeImprovementHQ,11172.27
2023-09-11,Steel,ConstructionSupply,8889.9
2023-05-24,Concrete,SupplySolutions,9530.76
2023-06-21,Asbestos,MaterialSource,8280.83
2023-02-24,Concrete,ConstructionSupply,10048.49
2023-02-18,Steel,MaterialSource,11334.94
2023-04-18,Ceramic,BuildSmart,8234.66
2023-11-20,Concrete,BuildSmart,8406.47
2023-08-12,Concrete,ConstructionSupply,8872.86
2023-04-23,Gypsum,BuildSmart,8593.75
2023-04-12,Ceramic,SupplySolutions,8112.16
2023-10-17,Gypsum,SupplySolutions,8744.99
2023-12-18,Steel,BuildSmart,8877.68
2023-09-25,Concrete,BuildSmart,11745.14
2023-12-06,Gypsum,MaterialSource,9227.72
