date,material,supplier,cost
2023-09-19,Brick,HomeImprovementHQ,10869.35
2023-12-12,Glass,LumberYardInc,10555.23
2023-12-11,Glass,HomeImprovementHQ,8269.24
2023-04-25,Glass,BuildCo,8075.57
2023-05-03,Plastic,BuildSmart,10632.13
2023-04-22,Glass,LumberYardInc,9840.43
2023-07-07,Gypsum,TimberMart,9961.46
2023-12-17,Brick,BuildCo,8414.34
2023-10-22,Plastic,LumberYardInc,11524.51
2023-03-17,Brick,ConstructionSupply,11740.43
2023-05-16,Brick,HomeImprovementHQ,11239.39
2023-01-15,Brick,LumberYardInc,9097.0
2023-08-19,Plastic,BuildSmart,10495.02
2023-05-19,Glass,TimberMart,9669.09
2023-10-24,Gypsum,BuildSmart,10653.11
2023-12-07,Gypsum,TimberMart,11048.98
2023-06-09,Glass,BuildCo,11944.21
2023-06-11,Glass,HomeImprovementHQ,10449.65
2023-05-23,Brick,TimberMart,8999.85
2023-05-02,Ceramic,TimberMart,10067.94
2023-02-06,Glass,MaterialSource,8311.06
2023-12-02,Gypsum,ConstructionSupply,8342.3
2023-10-23,Brick,TimberMart,10387.43
2023-09-12,Ceramic,BuildCo,11081.78
2023-04-03,Brick,HomeImprovementHQ,11448.5
2023-06-07,Gypsum,BuildSmart,8443.93
2023-07-22,Plastic,TimberMart,9365.78
2023-11-17,Plastic,LumberYardInc,11480.4
2023-05-03,Brick,MaterialSource,8221.1
2023-02-03,Plastic,TimberMart,10677.41
2023-10-01,Plastic,BuildCo,11775.16
2023-02-15,Plastic,TimberMart,10949.33
2023-04-10,Brick,BuildCo,11877.88
2023-08-16,Plastic,HomeImprovementHQ,10593.34
2023-12-23,Gypsum,BuildSmart,9188.67
2023-05-14,Plastic,BuildSmart,10447.32
2023-10-19,Ceramic,MaterialSource,11683.32
2023-06-16,Plastic,ConstructionSupply,8500.51
2023-11-12,Ceramic,TimberMart,11798.41
2023-04-06,Ceramic,HomeImprovementHQ,10259.34
2023-03-22,Glass,ConstructionSupply,11745.79
2023-07-19,Ceramic,LumberYardInc,9483.4
2023-11-02,Plastic,BuildSmart,8591.22
2023-11-08,Brick,BuildSmart,8944.29
2023-07-03,Plastic,BuildSmart,8385.2
2023-01-21,Gypsum,HomeImprovementHQ,8890.32
2023-09-25,Gypsum,TimberMart,11068.81
2023-04-08,Glass,BuildSmart,9078.02
2023-05-16,Ceramic,BuildSmart,11706.0
2023-03-12,Glass,HomeImprovementHQ,10032.69
2023-02-04,Plastic,HomeImprovementHQ,11376.09
2023-10-23,Ceramic,HomeImprovementHQ,10273.91
2023-02-07,Glass,BuildCo,11924.67
2023-11-04,Gypsum,MaterialSource,10320.26
2023-03-14,Plastic,HomeImprovementHQ,9513.4
2023-09-13,Gypsum,TimberMart,11925.56
2023-06-05,Glass,ConstructionSupply,9423.53
2023-08-03,Plastic,ConstructionSupply,9556.94
2023-05-25,Plastic,HomeImprovementHQ,9967.07
2023-09-02,Plastic,HomeImprovementHQ,11227.63
2023-03-21,Brick,BuildSmart,9389.87
2023-10-15,Ceramic,ConstructionSupply,10073.09
2023-12-09,Glass,ConstructionSupply,10757.09
2023-12-10,Brick,LumberYardInc,8796.36
2023-08-14,Glass,HomeImprovementHQ,9668.04
2023-01-17,Glass,BuildCo,10938.49
2023-11-20,Brick,BuildCo,9473.62
2023-12-08,Brick,BuildCo,11404.74
2023-06-04,Glass,BuildCo,9855.2
2023-02-25,Ceramic,LumberYardInc,8828.14
2023-09-04,Glass,BuildCo,9739.04
2023-02-17,Plastic,ConstructionSupply,8967.26
2023-05-20,Glass,BuildSmart,9535.73
2023-12-06,Plastic,HomeImprovementHQ,9814.45
2023-06-04,Glass,ConstructionSupply,8537.97
2023-07-06,Brick,BuildCo,9974.51
2023-11-01,Plastic,ConstructionSupply,9740.68
2023-12-08,Glass,BuildSmart,8116.1
2023-12-14,Gypsum,BuildSmart,9878.78
2023-08-18,Ceramic,TimberMart,10061.62
2023-10-10,Brick,HomeImprovementHQ,11217.4
2023-05-08,Brick,LumberYardInc,8673.4
2023-12-11,Glass,MaterialSource,11685.11
2023-12-03,Glass,LumberYardInc,11774.59
2023-12-21,Gypsum,BuildSmart,8038.44
2023-01-24,Ceramic,ConstructionSupply,11886.85
2023-12-25,Ceramic,LumberYardInc,11756.15
2023-09-10,Plastic,LumberYardInc,10719.03
2023-02-04,Plastic,BuildCo,9836.74
2023-12-09,Plastic,TimberMart,9703.6
2023-04-15,Brick,BuildSmart,10443.99
2023-04-17,Gypsum,BuildSmart,8453.61
2023-10-20,Brick,MaterialSource,10221.12
2023-02-07,Ceramic,ConstructionSupply,8489.77
2023-12-05,Plastic,BuildCo,8445.56
2023-11-03,Glass,TimberMart,10823.07
2023-01-09,Glass,BuildSmart,9469.35
2023-06-18,Plastic,BuildSmart,10221.98
2023-11-18,Gypsum,BuildCo,8634.62
2023-10-17,Gypsum,ConstructionSupply,8096.32
2023-11-11,Gypsum,BuildCo,10656.29
2023-09-21,Gypsum,ConstructionSupply,8068.1
2023-04-03,Glass,BuildCo,10017.33
2023-07-21,Brick,HomeImprovementHQ,11625.78
2023-12-20,Plastic,MaterialSource,11148.86
2023-12-06,Plastic,BuildCo,11583.99
2023-06-15,Gypsum,ConstructionSupply,8144.0
2023-12-16,Glass,HomeImprovementHQ,9031.1
2023-02-06,Plastic,TimberMart,9967.37
2023-12-20,Gypsum,MaterialSource,9345.31
2023-12-23,Gypsum,TimberMart,11399.31
2023-01-14,Ceramic,LumberYardInc,11565.7
2023-06-07,Ceramic,HomeImprovementHQ,8209.07
2023-03-25,Glass,MaterialSource,10356.64
2023-08-05,Glass,LumberYardInc,9200.87
2023-06-25,Ceramic,HomeImprovementHQ,8104.85
2023-05-24,Glass,TimberMart,9202.21
