date,material,supplier,cost
2023-10-17,Concrete,MaterialMasters,9334.42
2023-05-14,Glass,LumberYardInc,10587.91
2023-08-19,Glass,BuildSmart,8890.52
2023-08-02,Glass,TimberMart,11161.68
2023-06-18,Glass,LumberYardInc,8342.87
2023-10-14,Asbestos,SupplyCenter,8925.68
2023-03-16,Gypsum,LumberYardInc,8363.25
2023-01-07,Brick,BuildCo,10631.61
2023-01-03,Concrete,SupplyCenter,11718.48
2023-07-18,Asbestos,BuildCo,11553.62
2023-10-19,Asbestos,SupplyCenter,9718.35
2023-10-03,Glass,LumberYardInc,9610.02
2023-02-06,Asbestos,TimberMart,8256.28
2023-04-18,Glass,BuildSmart,10167.3
2023-07-19,Concrete,BuildCo,8066.08
2023-02-11,Gypsum,TimberMart,8025.02
2023-09-03,Asbestos,BuildSmart,8328.46
2023-05-02,Glass,BuildCo,11487.63
2023-05-04,Glass,LumberYardInc,8884.28
2023-08-23,Brick,BuildSmart,11804.93
2023-06-23,Brick,LumberYardInc,10294.48
2023-07-05,Glass,LumberYardInc,11012.88
2023-05-13,Brick,BuildSmart,11068.99
2023-10-17,Glass,LumberYardInc,11094.56
2023-10-13,Brick,BuildCo,8580.04
2023-05-02,Glass,BuildSmart,11026.71
2023-10-07,Concrete,SupplyCenter,9992.87
2023-01-14,Gypsum,BuildCo,10802.66
2023-11-07,Glass,SupplyCenter,11131.85
2023-01-08,Concrete,LumberYardInc,8652.28
2023-07-05,Asbestos,TheHardwareStore,10388.13
2023-03-15,Brick,TheHardwareStore,11955.71
2023-10-15,Brick,MaterialMasters,8761.61
2023-05-07,Brick,TheHardwareStore,10165.38
2023-09-18,Concrete,TheHardwareStore,9314.17
2023-11-05,Brick,TimberMart,9633.97
2023-11-02,Gypsum,LumberYardInc,8877.52
2023-10-06,Brick,MaterialMasters,9509.65
2023-05-12,Glass,TheHardwareStore,10063.27
2023-08-12,Brick,TheHardwareStore,8848.61
2023-01-03,Glass,SupplyCenter,10343.43
2023-12-12,Asbestos,TimberMart,11247.29
