date,material,supplier,cost
2023-10-22,Brick,MaterialSource,9008.2
2023-09-22,Glass,BuildCo,9290.26
2023-06-06,Brick,SupplyCenter,8816.55
2023-04-02,Ceramic,TheHardwareStore,11204.06
2023-04-04,Brick,MaterialMasters,8326.62
2023-07-17,Asbestos,MaterialSource,9492.41
2023-03-01,Ceramic,MaterialSource,11073.71
2023-12-24,Plastic,HomeDepotPro,11563.55
2023-10-16,Brick,HomeDepotPro,10295.03
2023-12-17,Ceramic,SupplyCenter,10170.43
2023-04-18,Ceramic,SupplyCenter,11446.25
2023-02-17,Asbestos,SupplyCenter,10498.08
2023-04-03,Plastic,SupplyCenter,8537.23
2023-09-22,Ceramic,LumberYardInc,11953.87
2023-07-02,Asbestos,SupplyCenter,8430.66
2023-01-20,Brick,MaterialMasters,10945.16
2023-03-16,Asbestos,MaterialSource,10938.75
2023-08-07,Brick,LumberYardInc,8581.31
2023-06-10,Brick,MaterialSource,9985.82
2023-04-20,Ceramic,TheHardwareStore,9664.41
2023-03-16,Brick,BuildCo,10424.19
2023-08-03,Asbestos,BuildCo,11909.47
2023-05-23,Asbestos,MaterialSource,8581.19
2023-10-06,Glass,TheHardwareStore,10105.44
2023-12-07,Asbestos,HomeDepotPro,11312.79
2023-11-14,Brick,HomeDepotPro,11490.89
2023-12-07,Ceramic,SupplyCenter,10911.99
2023-07-15,Brick,HomeDepotPro,11487.87
2023-10-03,Asbestos,BuildCo,9509.03
2023-11-13,Asbestos,MaterialMasters,10449.78
2023-04-21,Brick,BuildCo,10088.97
2023-03-17,Asbestos,BuildCo,11490.24
2023-08-05,Ceramic,SupplyCenter,8889.6
2023-01-01,Plastic,LumberYardInc,10693.89
2023-07-10,Glass,BuildCo,11617.91
2023-04-15,Brick,LumberYardInc,9646.79
2023-05-23,Ceramic,TheHardwareStore,10005.31
2023-02-11,Glass,BuildCo,8630.57
2023-05-23,Glass,TheHardwareStore,10505.04
2023-07-02,Plastic,MaterialMasters,9079.49
2023-04-06,Plastic,LumberYardInc,8728.96
2023-02-15,Asbestos,HomeDepotPro,10706.68
2023-10-01,Glass,LumberYardInc,10833.75
2023-11-03,Brick,MaterialSource,8722.65
2023-05-13,Brick,SupplyCenter,11239.42
2023-10-07,Plastic,HomeDepotPro,10095.31
2023-03-05,Brick,MaterialSource,10683.19
2023-01-19,Plastic,LumberYardInc,8819.71
2023-04-12,Brick,SupplyCenter,9500.79
2023-04-17,Ceramic,BuildCo,10172.07
2023-11-17,Brick,LumberYardInc,9250.18
2023-10-17,Glass,MaterialMasters,8090.63
2023-10-06,Glass,MaterialMasters,11244.47
2023-03-08,Glass,MaterialSource,9573.86
2023-10-22,Asbestos,LumberYardInc,11195.56
2023-02-10,Plastic,BuildCo,10673.61
2023-12-22,Plastic,HomeDepotPro,11611.01
2023-05-09,Ceramic,MaterialSource,10741.06
2023-08-02,Glass,HomeDepotPro,8295.43
2023-12-21,Glass,MaterialSource,8212.85
2023-10-23,Brick,SupplyCenter,10774.93
2023-06-25,Asbestos,LumberYardInc,10880.61
2023-04-05,Ceramic,TheHardwareStore,10170.67
2023-04-13,Glass,TheHardwareStore,11356.49
2023-08-01,Ceramic,MaterialMasters,10002.76
2023-06-02,Asbestos,HomeDepotPro,11776.32
2023-03-08,Ceramic,MaterialSource,8443.37
2023-10-06,Brick,HomeDepotPro,8919.09
2023-04-25,Brick,TheHardwareStore,11317.0
2023-01-12,Plastic,MaterialSource,10208.0
2023-02-15,Asbestos,MaterialSource,8833.14
2023-06-10,Asbestos,LumberYardInc,11657.15
2023-05-09,Plastic,TheHardwareStore,8127.21
2023-05-02,Asbestos,MaterialMasters,9394.63
2023-11-20,Brick,HomeDepotPro,9520.33
2023-03-22,Asbestos,SupplyCenter,10896.25
2023-09-03,Glass,MaterialMasters,10698.86
2023-09-17,Asbestos,HomeDepotPro,8722.12
2023-06-15,Asbestos,MaterialMasters,10000.61
2023-07-06,Ceramic,MaterialMasters,8749.35
2023-06-06,Ceramic,HomeDepotPro,10873.39
2023-10-09,Ceramic,LumberYardInc,9444.41
2023-08-15,Ceramic,MaterialSource,10751.25
2023-03-01,Brick,MaterialSource,10537.14
2023-01-02,Brick,LumberYardInc,11785.29
2023-04-03,Glass,HomeDepotPro,10492.54
2023-12-03,Glass,BuildCo,9826.28
2023-07-07,Plastic,BuildCo,9826.35
2023-10-18,Brick,LumberYardInc,11947.05
2023-03-15,Glass,HomeDepotPro,11723.28
2023-11-08,Asbestos,SupplyCenter,8422.41
2023-10-21,Glass,TheHardwareStore,11008.49
2023-01-15,Asbestos,MaterialSource,10815.61
2023-01-24,Glass,BuildCo,10098.56
2023-07-08,Ceramic,MaterialMasters,10362.0
2023-03-17,Ceramic,HomeDepotPro,10924.5
2023-10-19,Glass,SupplyCenter,8953.37
2023-09-02,Brick,MaterialSource,10729.51
2023-06-21,Brick,SupplyCenter,9058.75
2023-10-15,Asbestos,SupplyCenter,8629.7
2023-04-11,Brick,TheHardwareStore,10336.17
2023-12-20,Glass,HomeDepotPro,10264.49
2023-06-02,Plastic,MaterialMasters,10571.28
2023-05-16,Ceramic,HomeDepotPro,10673.79
2023-10-10,Brick,HomeDepotPro,11418.38
2023-07-17,Asbestos,LumberYardInc,8875.37
2023-08-01,Ceramic,MaterialMasters,10137.9
2023-11-24,Asbestos,MaterialSource,11642.21
2023-08-07,Glass,MaterialMasters,11938.86
2023-11-03,Glass,BuildCo,10869.93
2023-04-11,Asbestos,BuildCo,10022.02
2023-01-21,Ceramic,SupplyCenter,11248.61
2023-01-11,Glass,MaterialMasters,10534.53
2023-07-05,Glass,BuildCo,10744.56
2023-05-06,Brick,MaterialMasters,9704.87
2023-02-04,Asbestos,SupplyCenter,10891.34
2023-10-13,Glass,BuildCo,10341.7
2023-06-19,Brick,LumberYardInc,9971.25
2023-06-15,Ceramic,LumberYardInc,10993.98
2023-01-23,Glass,BuildCo,11499.56
2023-04-03,Ceramic,SupplyCenter,11107.42
2023-04-11,Plastic,LumberYardInc,9600.51
2023-05-04,Glass,HomeDepotPro,8173.32
2023-04-15,Brick,TheHardwareStore,9918.66
2023-10-19,Brick,LumberYardInc,11620.67
2023-11-02,Brick,HomeDepotPro,8975.78
2023-03-15,Asbestos,LumberYardInc,11042.83
2023-10-08,Brick,TheHardwareStore,11400.42
2023-10-23,Brick,HomeDepotPro,10658.89
2023-11-11,Brick,BuildCo,11375.76
2023-07-12,Glass,BuildCo,11273.73
2023-09-13,Glass,TheHardwareStore,10888.27
2023-04-16,Brick,TheHardwareStore,11534.53
2023-11-11,Plastic,MaterialMasters,10611.04
2023-02-01,Ceramic,MaterialSource,10340.57
2023-02-04,Brick,HomeDepotPro,9009.06
2023-05-14,Ceramic,TheHardwareStore,8915.06
2023-05-02,Brick,BuildCo,11752.11
2023-05-05,Brick,BuildCo,8220.61
2023-07-19,Asbestos,HomeDepotPro,8163.76
2023-10-09,Plastic,TheHardwareStore,11457.3
2023-03-20,Plastic,BuildCo,11703.03
2023-03-20,Ceramic,MaterialMasters,9958.63
2023-11-12,Glass,BuildCo,8534.43
2023-05-19,Asbestos,HomeDepotPro,10746.56
2023-05-19,Brick,HomeDepotPro,10124.17
2023-10-20,Plastic,LumberYardInc,10028.14
2023-11-19,Glass,HomeDepotPro,10820.05
2023-12-06,Asbestos,BuildCo,11909.36
2023-12-08,Brick,HomeDepotPro,8614.18
2023-01-24,Asbestos,HomeDepotPro,10450.28
2023-07-08,Ceramic,MaterialSource,11926.75
2023-05-02,Asbestos,MaterialSource,10711.3
2023-02-23,Brick,BuildCo,9521.61
2023-04-06,Brick,MaterialMasters,10173.62
2023-07-01,Ceramic,SupplyCenter,10940.32
2023-01-23,Asbestos,MaterialMasters,11742.35
2023-10-11,Brick,BuildCo,9194.73
2023-08-04,Asbestos,LumberYardInc,9106.99
2023-09-04,Asbestos,SupplyCenter,8612.77
2023-03-05,Brick,MaterialSource,10803.16
2023-09-01,Asbestos,MaterialSource,9130.69
2023-07-03,Asbestos,LumberYardInc,8151.56
2023-05-08,Plastic,BuildCo,9290.95
2023-10-04,Brick,MaterialSource,11806.52
2023-04-01,Glass,TheHardwareStore,9596.58
2023-04-05,Brick,MaterialMasters,9174.84
2023-08-13,Asbestos,MaterialSource,9401.47
2023-04-14,Plastic,MaterialSource,8931.97
2023-02-03,Brick,BuildCo,10099.49
2023-10-23,Brick,MaterialSource,10043.77
2023-03-04,Plastic,HomeDepotPro,8915.33
2023-03-25,Ceramic,MaterialMasters,11819.06
2023-03-12,Plastic,BuildCo,11059.14
2023-08-24,Brick,LumberYardInc,10693.23
2023-10-17,Glass,MaterialMasters,9337.77
2023-02-15,Plastic,TheHardwareStore,11963.97
2023-09-05,Ceramic,HomeDepotPro,10309.75
2023-12-11,Asbestos,TheHardwareStore,9195.93
2023-07-25,Brick,MaterialSource,8118.04
2023-12-12,Asbestos,TheHardwareStore,10603.42
2023-10-11,Asbestos,MaterialMasters,10555.12
2023-10-21,Brick,MaterialSource,8215.42
2023-10-15,Plastic,MaterialMasters,8716.88
2023-03-14,Plastic,SupplyCenter,8122.02
2023-10-03,Ceramic,TheHardwareStore,11155.43
2023-02-03,Plastic,HomeDepotPro,9036.49
2023-04-04,Brick,HomeDepotPro,8689.35
2023-11-18,Glass,MaterialSource,11420.11
2023-12-01,Glass,SupplyCenter,10439.07
2023-04-01,Plastic,MaterialSource,9793.72
2023-07-09,Brick,SupplyCenter,11904.7
2023-02-17,Brick,MaterialSource,8478.32
2023-12-15,Glass,LumberYardInc,8074.09
2023-05-22,Brick,HomeDepotPro,11428.55
2023-05-16,Asbestos,MaterialSource,10133.48
2023-11-24,Glass,MaterialSource,11257.89
2023-04-11,Plastic,TheHardwareStore,11190.15
2023-01-14,Asbestos,SupplyCenter,8461.26
2023-10-20,Plastic,LumberYardInc,11953.85
2023-10-07,Brick,HomeDepotPro,9906.55
2023-01-17,Ceramic,HomeDepotPro,11701.81
2023-05-18,Ceramic,TheHardwareStore,8560.69
2023-11-20,Ceramic,BuildCo,10913.04
2023-04-23,Ceramic,BuildCo,8867.35
2023-01-22,Asbestos,MaterialSource,11937.09
2023-12-19,Asbestos,TheHardwareStore,10290.91
2023-02-14,Ceramic,MaterialSource,9831.16
2023-10-11,Brick,MaterialSource,8921.55
2023-12-12,Plastic,MaterialSource,10423.6
2023-12-01,Asbestos,TheHardwareStore,10898.72
2023-03-07,Brick,TheHardwareStore,9352.44
2023-12-16,Ceramic,LumberYardInc,11363.0
2023-02-03,Asbestos,BuildCo,8669.14
2023-06-09,Plastic,BuildCo,8757.96
2023-08-21,Asbestos,TheHardwareStore,8738.47
2023-02-11,Plastic,LumberYardInc,9847.81
2023-03-09,Brick,TheHardwareStore,9139.92
2023-03-17,Asbestos,HomeDepotPro,11991.27
2023-03-08,Asbestos,TheHardwareStore,10948.49
2023-12-06,Brick,MaterialSource,8810.81
2023-01-11,Asbestos,SupplyCenter,11170.39
2023-10-11,Brick,TheHardwareStore,9096.1
2023-05-01,Glass,MaterialMasters,8479.44
2023-02-18,Plastic,MaterialSource,9027.54
2023-04-04,Brick,MaterialMasters,8986.72
2023-03-06,Brick,BuildCo,10117.87
2023-03-14,Ceramic,LumberYardInc,8598.03
2023-04-06,Plastic,SupplyCenter,8967.16
2023-10-23,Plastic,LumberYardInc,8673.48
2023-08-05,Plastic,SupplyCenter,10760.58
2023-07-22,Ceramic,LumberYardInc,11113.4
2023-06-07,Brick,HomeDepotPro,8978.61
2023-06-19,Asbestos,SupplyCenter,11113.49
2023-12-11,Glass,TheHardwareStore,9147.35
2023-03-15,Plastic,BuildCo,11173.19
2023-01-14,Brick,LumberYardInc,9157.16
2023-11-15,Plastic,MaterialSource,10715.77
2023-09-21,Glass,MaterialMasters,10026.83
2023-02-18,Asbestos,SupplyCenter,11774.67
2023-04-05,Plastic,MaterialSource,11319.84
2023-02-03,Asbestos,MaterialMasters,10177.33
2023-12-08,Ceramic,TheHardwareStore,9587.21
2023-10-19,Glass,HomeDepotPro,10219.42
2023-11-25,Asbestos,SupplyCenter,9204.03
2023-05-17,Glass,TheHardwareStore,10167.62
2023-07-21,Brick,BuildCo,8741.61
2023-12-06,Asbestos,LumberYardInc,9755.58
2023-07-20,Brick,BuildCo,9993.45
2023-04-07,Plastic,HomeDepotPro,11506.5
2023-06-12,Glass,HomeDepotPro,11272.0
2023-03-09,Brick,MaterialSource,8452.34
2023-11-18,Brick,BuildCo,11140.75
2023-10-05,Glass,HomeDepotPro,11674.51
2023-06-22,Brick,TheHardwareStore,9306.07
2023-12-02,Glass,LumberYardInc,9497.58
2023-08-13,Asbestos,TheHardwareStore,9561.63
2023-10-25,Glass,TheHardwareStore,9219.53
2023-11-08,Ceramic,TheHardwareStore,8709.01
2023-10-07,Brick,LumberYardInc,9085.16
2023-09-20,Glass,MaterialMasters,9744.62
2023-02-11,Glass,SupplyCenter,10741.43
2023-08-04,Brick,SupplyCenter,11912.66
2023-06-25,Ceramic,TheHardwareStore,11544.44
2023-10-20,Brick,MaterialMasters,8588.1
2023-07-13,Plastic,MaterialMasters,8086.85
2023-09-12,Brick,LumberYardInc,8022.62
2023-09-18,Asbestos,BuildCo,8895.41
2023-01-11,Asbestos,BuildCo,8269.39
