date,material,supplier,cost
2023-04-01,Plastic,TheHardwareStore,10430.55
2023-06-11,Ceramic,HomeDepotPro,11084.38
2023-12-23,Asbestos,HomeImprovementHQ,11963.28
2023-04-06,Ceramic,MaterialSource,9506.91
2023-04-18,Plastic,BuildSmart,9382.58
2023-08-18,Concrete,TheHardwareStore,10305.81
2023-09-11,Ceramic,HomeDepotPro,10659.45
2023-08-24,Plastic,HomeDepotPro,10450.0
2023-07-07,Plastic,TheBuildingBlock,9230.58
2023-11-05,Plastic,TheHardwareStore,11379.26
2023-04-15,Wood,HomeImprovementHQ,8802.62
2023-02-09,Asbestos,TheHardwareStore,8182.7
2023-01-16,Asbestos,BuildSmart,11591.01
2023-09-25,Ceramic,HomeDepotPro,11080.74
2023-03-11,Asbestos,BuildSmart,11034.95
2023-05-15,Ceramic,TheHardwareStore,10135.58
2023-07-22,Wood,MaterialSource,9611.71
2023-04-10,Ceramic,HomeDepotPro,10721.13
2023-05-24,Plastic,TheHardwareStore,10842.37
2023-10-15,Plastic,TheHardwareStore,10893.79
2023-07-10,Plastic,TheHardwareStore,10991.78
2023-04-17,Plastic,HomeImprovementHQ,8722.85
2023-04-13,Concrete,HomeImprovementHQ,10635.79
2023-11-24,Asbestos,BuildSmart,10928.76
2023-04-24,Plastic,MaterialSource,8910.62
2023-01-19,Wood,HomeImprovementHQ,8326.59
2023-06-08,Plastic,BuildSmart,8575.22
2023-05-11,Ceramic,HomeImprovementHQ,11808.56
2023-10-18,Plastic,TheHardwareStore,10084.17
2023-04-08,Asbestos,TheBuildingBlock,10570.03
2023-09-04,Plastic,HomeDepotPro,11709.75
2023-03-10,Asbestos,MaterialSource,9234.98
2023-12-01,Plastic,HomeImprovementHQ,10281.39
2023-08-12,Wood,TheBuildingBlock,10932.15
2023-01-14,Plastic,HomeImprovementHQ,10280.87
2023-02-15,Plastic,BuildSmart,9897.32
2023-09-06,Plastic,HomeDepotPro,9496.14
2023-02-16,Plastic,MaterialSource,9314.16
2023-06-08,Concrete,TimberlandSupply,8324.34
