date,material,supplier,cost
2023-12-06,Asbestos,TheHardwareStore,10721.25
2023-08-09,Steel,HomeDepotPro,9051.19
2023-10-24,Asbestos,TheHardwareStore,9897.66
2023-08-11,Insulation,TimberMart,11961.16
2023-01-18,Gypsum,HomeDepotPro,11145.42
2023-04-24,Wood,BuildCo,11798.32
2023-03-03,Asbestos,TimberMart,11724.76
2023-05-04,Gypsum,BuildSmart,11443.21
2023-03-20,Wood,TimberMart,9922.26
2023-06-24,Asbestos,HomeDepotPro,8653.05
2023-05-22,Insulation,ConstructionDepot,11382.55
2023-05-06,Gypsum,HomeDepotPro,10095.29
2023-09-13,Asbestos,HomeDepotPro,8814.03
2023-11-17,Asbestos,TimberlandSupply,10045.75
2023-08-06,Gypsum,TimberMart,10428.65
2023-07-17,Gypsum,HomeDepotPro,8320.31
2023-12-14,Gypsum,BuildCo,9040.23
2023-12-03,Wood,BuildSmart,11730.54
2023-04-11,Wood,ConstructionDepot,10174.32
2023-07-15,Gypsum,HomeDepotPro,11742.01
2023-08-17,Steel,ConstructionDepot,8182.57
2023-01-02,Asbestos,TheHardwareStore,11172.04
2023-03-10,Gypsum,TheHardwareStore,11822.17
2023-07-08,Wood,TheHardwareStore,8182.74
2023-11-21,Gypsum,BuildSmart,11141.35
2023-08-07,Wood,TimberMart,11659.81
2023-06-23,Gypsum,BuildCo,9052.64
2023-06-12,Insulation,TimberlandSupply,9161.74
2023-08-18,Wood,HomeDepotPro,8431.03
2023-01-06,Insulation,TheHardwareStore,10510.72
2023-05-15,Wood,TimberMart,10398.4
2023-04-10,Gypsum,HomeDepotPro,10271.6
2023-10-09,Wood,HomeDepotPro,8049.08
2023-05-02,Wood,TheHardwareStore,11325.07
2023-05-06,Steel,BuildCo,11354.77
2023-05-17,Steel,BuildSmart,8863.98
2023-05-07,Asbestos,TimberMart,10128.32
2023-10-01,Steel,BuildSmart,9385.55
2023-05-16,Insulation,BuildSmart,8032.82
2023-10-02,Insulation,HomeDepotPro,11090.28
2023-12-01,Wood,BuildSmart,8625.92
2023-10-03,Gypsum,TheHardwareStore,9627.46
2023-05-16,Wood,TimberlandSupply,9113.08
2023-01-07,Steel,ConstructionDepot,10197.77
2023-05-17,Insulation,HomeDepotPro,10630.23
2023-03-19,Asbestos,TheHardwareStore,11488.51
2023-01-08,Steel,TimberMart,10962.85
2023-10-05,Gypsum,TheHardwareStore,10930.14
2023-09-06,Wood,ConstructionDepot,10344.17
2023-06-16,Gypsum,TimberMart,8734.65
2023-08-14,Asbestos,TimberMart,9021.98
2023-11-20,Asbestos,TheHardwareStore,8392.93
2023-10-12,Gypsum,ConstructionDepot,9727.1
2023-05-24,Wood,BuildCo,10067.08
2023-12-23,Steel,TimberMart,10329.06
2023-11-10,Insulation,TimberlandSupply,9905.42
2023-01-06,Gypsum,ConstructionDepot,10766.3
2023-07-12,Asbestos,BuildCo,10385.29
2023-05-08,Asbestos,ConstructionDepot,11679.33
2023-02-06,Insulation,BuildSmart,9458.34
2023-11-01,Steel,BuildSmart,8591.6
2023-11-15,Gypsum,HomeDepotPro,9761.97
2023-04-09,Asbestos,HomeDepotPro,10618.62
2023-05-24,Gypsum,TimberMart,9643.03
2023-04-10,Asbestos,BuildCo,8791.25
2023-05-13,Gypsum,ConstructionDepot,11888.07
2023-03-06,Insulation,HomeDepotPro,9390.98
2023-06-22,Gypsum,TimberMart,9280.86
2023-05-05,Gypsum,BuildSmart,11819.7
2023-04-14,Asbestos,TheHardwareStore,9644.27
2023-01-15,Asbestos,HomeDepotPro,9807.14
2023-05-13,Steel,TheHardwareStore,9481.09
2023-08-20,Wood,HomeDepotPro,8390.42
2023-07-09,Steel,BuildSmart,8889.69
2023-12-12,Steel,BuildCo,8528.52
2023-12-10,Wood,BuildSmart,8393.01
2023-12-01,Asbestos,TheHardwareStore,10006.46
2023-08-11,Wood,HomeDepotPro,9204.9
2023-12-11,Insulation,TimberlandSupply,8926.45
2023-12-22,Steel,TimberMart,8735.08
2023-10-16,Gypsum,ConstructionDepot,10257.89
2023-07-23,Asbestos,TimberMart,10194.98
2023-01-21,Asbestos,TimberlandSupply,11732.83
2023-04-06,Asbestos,TimberMart,8789.8
2023-08-19,Gypsum,TimberlandSupply,11704.95
2023-10-01,Asbestos,BuildSmart,10109.15
2023-05-24,Asbestos,BuildCo,10333.58
2023-09-23,Steel,ConstructionDepot,11023.97
2023-12-22,Asbestos,TheHardwareStore,9867.33
2023-06-10,Gypsum,TheHardwareStore,10793.34
2023-12-01,Wood,BuildCo,8531.57
2023-12-10,Steel,TimberlandSupply,11172.79
2023-01-04,Insulation,TimberlandSupply,10489.63
2023-07-02,Gypsum,TheHardwareStore,9233.14
2023-09-11,Asbestos,TimberlandSupply,10501.4
2023-09-04,Asbestos,BuildCo,9447.94
2023-08-15,Steel,HomeDepotPro,8039.65
2023-08-20,Asbestos,TimberlandSupply,11005.03
2023-09-07,Asbestos,BuildCo,9231.83
2023-10-02,Gypsum,ConstructionDepot,8760.84
2023-02-23,Asbestos,TimberMart,10388.64
2023-02-24,Gypsum,TheHardwareStore,10108.98
2023-05-08,Asbestos,BuildCo,10174.63
2023-05-07,Gypsum,BuildSmart,9448.77
2023-02-11,Wood,BuildCo,9643.97
2023-06-15,Gypsum,TimberlandSupply,10655.4
2023-06-23,Gypsum,TimberlandSupply,9998.36
2023-02-10,Gypsum,BuildSmart,11439.12
2023-03-22,Insulation,BuildCo,9638.84
2023-12-21,Asbestos,BuildSmart,9998.72
2023-01-24,Wood,TimberMart,10491.61
2023-03-18,Steel,BuildCo,10044.57
2023-01-14,Steel,BuildCo,11693.88
2023-03-04,Asbestos,TimberMart,10836.78
2023-05-23,Wood,HomeDepotPro,10048.95
2023-02-01,Asbestos,TimberMart,11920.42
2023-05-09,Gypsum,TheHardwareStore,10157.6
2023-07-14,Insulation,TheHardwareStore,8351.73
2023-07-19,Insulation,TheHardwareStore,8120.73
2023-11-23,Wood,TimberlandSupply,8016.02
2023-05-12,Insulation,TimberlandSupply,10302.98
2023-03-05,Gypsum,TheHardwareStore,8272.98
2023-09-16,Steel,TimberMart,8488.43
2023-11-13,Asbestos,BuildCo,9133.58
2023-01-12,Asbestos,TheHardwareStore,8795.19
2023-04-18,Gypsum,TheHardwareStore,11884.08
2023-06-07,Asbestos,HomeDepotPro,8758.48
2023-02-22,Steel,ConstructionDepot,9467.13
2023-08-10,Asbestos,ConstructionDepot,10011.39
2023-09-10,Steel,TheHardwareStore,10327.23
2023-01-12,Gypsum,TimberlandSupply,9760.0
2023-12-08,Insulation,BuildSmart,9206.31
2023-02-13,Gypsum,TimberlandSupply,8640.53
2023-01-11,Gypsum,TimberMart,9275.05
2023-11-25,Steel,TheHardwareStore,8411.12
2023-08-02,Insulation,TheHardwareStore,8278.99
2023-06-10,Gypsum,BuildCo,11839.6
2023-05-06,Insulation,TimberMart,9242.73
2023-09-13,Gypsum,HomeDepotPro,11958.69
2023-03-16,Steel,ConstructionDepot,8658.54
2023-05-08,Asbestos,TimberlandSupply,9551.58
2023-12-10,Asbestos,TimberMart,9249.74
2023-12-20,Insulation,TimberMart,8130.48
2023-05-25,Insulation,BuildCo,9193.9
2023-11-01,Asbestos,BuildSmart,8123.0
2023-08-24,Asbestos,TimberlandSupply,11458.31
2023-02-13,Insulation,BuildCo,10390.56
2023-08-02,Insulation,BuildCo,10953.71
2023-07-14,Wood,TimberMart,9664.69
2023-02-25,Asbestos,TimberlandSupply,8456.5
2023-08-03,Gypsum,TimberlandSupply,10428.36
2023-05-15,Steel,HomeDepotPro,10092.48
2023-07-09,Gypsum,BuildCo,10238.37
2023-04-13,Gypsum,BuildSmart,10921.05
2023-09-04,Insulation,TheHardwareStore,11299.92
2023-11-08,Wood,BuildSmart,8054.54
2023-10-14,Gypsum,BuildCo,11661.85
2023-02-24,Insulation,BuildCo,10917.08
2023-06-18,Asbestos,ConstructionDepot,8300.42
2023-09-12,Wood,HomeDepotPro,11275.9
2023-01-16,Asbestos,TimberMart,8691.03
2023-11-12,Wood,HomeDepotPro,9103.29
2023-09-21,Gypsum,TimberlandSupply,11797.51
2023-10-13,Gypsum,HomeDepotPro,8658.89
2023-09-24,Gypsum,BuildCo,9663.9
2023-01-04,Gypsum,TimberMart,8364.91
2023-08-07,Wood,HomeDepotPro,9479.44
2023-05-24,Asbestos,ConstructionDepot,10088.11
2023-03-18,Gypsum,TimberMart,10812.77
2023-09-06,Steel,TimberMart,11648.48
2023-03-25,Gypsum,BuildCo,8504.62
2023-06-11,Asbestos,HomeDepotPro,9403.02
2023-04-25,Insulation,TheHardwareStore,8636.52
2023-05-24,Gypsum,TimberMart,10833.07
2023-02-02,Gypsum,BuildCo,10279.84
2023-11-08,Gypsum,TimberlandSupply,8823.51
2023-12-13,Gypsum,HomeDepotPro,8631.42
2023-07-18,Gypsum,BuildSmart,10952.1
2023-05-24,Gypsum,BuildSmart,11468.05
2023-05-07,Gypsum,HomeDepotPro,9031.45
2023-11-16,Insulation,TimberlandSupply,10659.33
2023-11-16,Gypsum,BuildSmart,9547.45
2023-08-24,Insulation,TimberlandSupply,8239.92
2023-11-19,Asbestos,ConstructionDepot,11241.11
2023-09-21,Gypsum,ConstructionDepot,11593.6
2023-02-13,Wood,HomeDepotPro,8846.41
2023-01-21,Gypsum,TimberlandSupply,8793.61
2023-02-14,Wood,TimberlandSupply,10198.21
2023-07-05,Gypsum,BuildSmart,9043.22
2023-03-23,Gypsum,TheHardwareStore,10300.39
2023-08-18,Gypsum,ConstructionDepot,11454.96
2023-05-04,Gypsum,BuildCo,10478.16
2023-03-19,Insulation,ConstructionDepot,11925.8
2023-06-06,Gypsum,TimberMart,9805.82
2023-03-24,Gypsum,HomeDepotPro,11408.29
2023-06-05,Gypsum,HomeDepotPro,9458.33
2023-06-03,Asbestos,TimberlandSupply,11057.44
2023-07-21,Gypsum,TimberMart,10378.29
2023-05-10,Steel,BuildSmart,10159.45
2023-03-17,Wood,BuildCo,10427.15
2023-05-21,Wood,HomeDepotPro,10087.24
2023-02-11,Steel,TheHardwareStore,10619.7
2023-05-14,Asbestos,TimberMart,10629.36
2023-11-23,Asbestos,TheHardwareStore,10273.5
2023-01-05,Gypsum,TheHardwareStore,10862.46
2023-08-13,Gypsum,BuildCo,9678.74
2023-05-04,Gypsum,ConstructionDepot,9678.33
2023-12-10,Insulation,HomeDepotPro,10011.26
2023-04-02,Insulation,ConstructionDepot,8324.82
2023-12-21,Gypsum,TimberlandSupply,8584.03
2023-12-12,Asbestos,HomeDepotPro,10112.53
2023-01-23,Steel,BuildSmart,11419.46
2023-05-21,Asbestos,TimberMart,9486.55
2023-01-24,Wood,BuildCo,11810.09
2023-05-15,Gypsum,ConstructionDepot,9282.29
