date,material,supplier,cost
2023-04-14,Wood,BuildSmart,9841.47
2023-07-15,Plastic,MaterialMasters,10089.06
2023-02-02,Wood,HomeImprovementHQ,9496.15
2023-08-25,Asbestos,SupplyCenter,11059.73
2023-12-14,Wood,SupplyCenter,11549.0
2023-01-23,Asbestos,ConstructionDepot,9227.52
2023-12-03,Steel,BuildSmart,8297.84
2023-08-02,Plastic,TimberMart,11512.95
2023-08-23,Wood,HomeImprovementHQ,9474.21
2023-06-16,Wood,HomeImprovementHQ,11189.22
2023-05-18,Plastic,SupplyCenter,11418.62
2023-08-18,Asbestos,MaterialMasters,9448.54
2023-07-20,Wood,BuildSmart,9323.64
2023-04-17,Steel,TimberlandSupply,9305.55
2023-02-16,Plastic,SupplyCenter,11599.77
2023-12-06,Insulation,ConstructionDepot,9092.72
2023-08-21,Insulation,TimberMart,9033.53
2023-06-16,Insulation,BuildSmart,11428.78
2023-10-13,Asbestos,MaterialMasters,11342.17
2023-12-21,Wood,BuildSmart,9815.18
2023-12-04,Insulation,TimberMart,8638.77
2023-12-14,Steel,SupplyCenter,10639.61
2023-08-19,Wood,BuildSmart,11057.1
2023-02-09,Wood,SupplyCenter,10374.15
2023-05-19,Wood,MaterialMasters,8758.39
2023-06-24,Asbestos,SupplyCenter,10811.27
2023-08-08,Plastic,TimberMart,11528.04
2023-08-02,Asbestos,ConstructionDepot,11304.62
2023-06-22,Steel,MaterialMasters,11672.9
2023-01-25,Asbestos,TimberlandSupply,8221.69
2023-01-22,Steel,SupplyCenter,8411.76
2023-07-11,Plastic,SupplyCenter,8212.17
2023-09-08,Insulation,ConstructionDepot,10095.87
2023-01-14,Steel,ConstructionDepot,10759.57
2023-12-19,Insulation,HomeImprovementHQ,11184.86
2023-06-02,Insulation,SupplyCenter,10308.4
2023-12-18,Wood,HomeImprovementHQ,9041.34
2023-06-19,Wood,ConstructionDepot,9513.1
2023-06-05,Steel,TimberMart,9470.75
2023-12-25,Asbestos,ConstructionDepot,8657.49
2023-04-24,Insulation,TimberMart,8344.21
2023-03-23,Plastic,BuildSmart,10643.0
2023-04-20,Insulation,TimberMart,8602.51
2023-06-07,Wood,BuildSmart,10352.93
2023-06-21,Asbestos,BuildSmart,11527.41
2023-03-20,Asbestos,MaterialMasters,8887.14
2023-03-21,Insulation,TimberMart,9623.07
2023-02-20,Wood,SupplyCenter,10104.75
2023-08-11,Steel,MaterialMasters,11843.4
2023-10-20,Asbestos,HomeImprovementHQ,8584.69
2023-12-06,Steel,SupplyCenter,9934.39
2023-11-17,Asbestos,SupplyCenter,11274.49
2023-04-25,Insulation,TimberMart,8293.6
2023-07-13,Wood,TimberMart,11902.25
2023-02-21,Plastic,SupplyCenter,8999.59
2023-12-02,Wood,TimberMart,8336.49
2023-05-10,Insulation,SupplyCenter,10540.18
2023-03-04,Wood,TimberMart,10386.64
2023-01-04,Plastic,TimberMart,11918.66
2023-12-25,Steel,MaterialMasters,11451.51
2023-06-05,Wood,MaterialMasters,10546.44
2023-08-08,Steel,SupplyCenter,11857.53
2023-02-11,Plastic,HomeImprovementHQ,9976.76
2023-05-18,Insulation,HomeImprovementHQ,8246.92
2023-07-22,Steel,SupplyCenter,11547.13
2023-04-20,Insulation,HomeImprovementHQ,8902.64
2023-05-12,Insulation,ConstructionDepot,10078.75
2023-10-16,Insulation,TimberMart,11602.43
2023-07-20,Asbestos,HomeImprovementHQ,8170.19
2023-04-25,Wood,MaterialMasters,11737.71
2023-04-09,Insulation,ConstructionDepot,10886.37
2023-04-03,Asbestos,ConstructionDepot,10723.41
2023-04-04,Insulation,BuildSmart,11491.52
2023-05-23,Wood,HomeImprovementHQ,9805.21
2023-12-12,Insulation,SupplyCenter,10257.33
2023-12-15,Insulation,MaterialMasters,8836.25
2023-12-10,Wood,ConstructionDepot,10123.4
2023-02-17,Plastic,HomeImprovementHQ,11501.98
2023-05-02,Plastic,TimberMart,8049.4
2023-01-13,Steel,TimberlandSupply,9609.39
2023-09-15,Wood,TimberMart,9096.23
2023-02-05,Insulation,MaterialMasters,11130.9
2023-04-20,Plastic,TimberlandSupply,9951.08
2023-12-12,Plastic,TimberMart,10453.72
2023-07-01,Wood,TimberMart,10520.52
2023-06-03,Wood,SupplyCenter,9837.07
2023-12-25,Wood,HomeImprovementHQ,8523.26
2023-03-02,Plastic,ConstructionDepot,11368.71
2023-03-14,Plastic,BuildSmart,10737.93
2023-07-19,Steel,ConstructionDepot,10764.86
2023-03-03,Asbestos,BuildSmart,8810.53
2023-10-18,Asbestos,ConstructionDepot,10828.64
2023-10-13,Asbestos,MaterialMasters,11996.74
2023-12-10,Asbestos,TimberlandSupply,11714.51
2023-06-10,Insulation,SupplyCenter,11851.55
2023-02-14,Insulation,SupplyCenter,11631.86
2023-04-25,Steel,MaterialMasters,11204.93
2023-02-14,Wood,TimberlandSupply,11227.29
2023-05-21,Steel,MaterialMasters,11974.57
2023-01-17,Insulation,ConstructionDepot,9636.1
2023-05-21,Wood,ConstructionDepot,11925.03
2023-06-17,Steel,MaterialMasters,9232.23
2023-09-01,Asbestos,TimberlandSupply,10119.1
2023-03-24,Steel,ConstructionDepot,10852.32
2023-05-16,Wood,MaterialMasters,10416.97
2023-09-02,Insulation,SupplyCenter,8475.2
2023-09-05,Plastic,MaterialMasters,11638.56
2023-11-11,Wood,TimberMart,10566.81
2023-08-06,Insulation,TimberMart,8171.64
2023-12-12,Wood,HomeImprovementHQ,8921.15
2023-05-07,Plastic,HomeImprovementHQ,10652.97
2023-06-10,Insulation,ConstructionDepot,11260.33
2023-03-20,Plastic,MaterialMasters,10479.16
2023-04-22,Insulation,SupplyCenter,10874.23
2023-05-22,Plastic,BuildSmart,9542.89
2023-03-03,Asbestos,MaterialMasters,9242.93
2023-12-04,Wood,ConstructionDepot,9899.01
2023-04-14,Steel,MaterialMasters,9639.78
2023-04-11,Steel,TimberMart,11182.96
2023-09-22,Plastic,TimberMart,10798.03
2023-09-15,Wood,TimberlandSupply,8921.39
2023-12-04,Steel,HomeImprovementHQ,8878.76
2023-09-07,Asbestos,ConstructionDepot,8609.1
2023-04-20,Asbestos,ConstructionDepot,8259.53
2023-09-16,Asbestos,BuildSmart,10172.09
2023-05-20,Wood,HomeImprovementHQ,11749.27
2023-05-05,Asbestos,TimberlandSupply,9917.68
2023-11-14,Asbestos,HomeImprovementHQ,11420.43
2023-12-16,Steel,SupplyCenter,11202.82
2023-03-21,Asbestos,ConstructionDepot,9516.61
2023-07-17,Insulation,TimberMart,11029.83
2023-12-17,Wood,SupplyCenter,8301.25
2023-07-10,Plastic,TimberMart,10140.47
2023-08-06,Plastic,HomeImprovementHQ,9123.43
2023-09-16,Steel,TimberlandSupply,9476.38
2023-12-23,Asbestos,HomeImprovementHQ,11678.09
2023-02-05,Insulation,TimberMart,9498.44
2023-11-06,Steel,SupplyCenter,8189.55
2023-06-03,Wood,ConstructionDepot,9123.05
2023-02-01,Insulation,MaterialMasters,9137.44
2023-11-10,Steel,SupplyCenter,11917.81
2023-10-20,Wood,TimberMart,11968.43
2023-07-22,Plastic,MaterialMasters,10706.84
2023-04-09,Asbestos,TimberlandSupply,8183.56
2023-04-19,Insulation,MaterialMasters,8726.77
2023-03-06,Insulation,TimberMart,9223.38
