date,material,supplier,cost
2023-08-20,Asbestos,TimberlandSupply,9832.31
2023-04-11,Gypsum,TheBuildingBlock,9569.5
2023-06-20,Ceramic,ConstructionDepot,8343.07
2023-05-11,Asbestos,ConstructionDepot,8271.72
2023-01-04,Gypsum,LumberYardInc,8783.36
2023-03-18,Gypsum,TimberlandSupply,9212.81
2023-08-18,Wood,ConstructionDepot,9612.44
2023-04-16,Ceramic,TimberlandSupply,10609.01
2023-02-17,Gypsum,SupplyCenter,8792.37
2023-02-23,Glass,TimberlandSupply,10412.92
2023-06-08,Glass,ConstructionDepot,10954.9
2023-01-01,Wood,TheBuildingBlock,11640.11
2023-05-07,Gypsum,TimberlandSupply,8953.84
2023-03-25,Ceramic,MaterialSource,10335.81
2023-02-04,Gypsum,ConstructionDepot,9110.56
2023-04-05,Wood,ConstructionDepot,10646.2
2023-05-04,Ceramic,LumberYardInc,9295.8
2023-08-09,Ceramic,HomeImprovementHQ,10867.41
2023-03-20,Glass,LumberYardInc,11522.36
2023-04-23,Ceramic,HomeImprovementHQ,8269.17
2023-05-13,Wood,TimberlandSupply,9532.23
2023-02-21,Gypsum,TimberlandSupply,9977.9
2023-11-09,Ceramic,LumberYardInc,11589.72
2023-06-19,Gypsum,TheBuildingBlock,8843.69
2023-08-21,Asbestos,TheBuildingBlock,11192.1
2023-05-18,Wood,TheBuildingBlock,8942.28
2023-01-23,Ceramic,LumberYardInc,11681.07
2023-02-15,Wood,ConstructionDepot,11616.73
2023-06-09,Ceramic,HomeImprovementHQ,11921.68
2023-08-05,Ceramic,TimberlandSupply,8859.89
2023-10-22,Gypsum,TheBuildingBlock,11577.13
2023-04-22,Gypsum,MaterialSource,9561.11
2023-04-18,Asbestos,LumberYardInc,9136.8
2023-01-21,Wood,HomeImprovementHQ,9523.23
2023-10-18,Wood,TimberlandSupply,9647.6
2023-05-18,Gypsum,TimberlandSupply,8613.33
2023-07-02,Gypsum,ConstructionDepot,10164.12
2023-08-06,Gypsum,MaterialSource,9716.82
2023-04-19,Gypsum,LumberYardInc,11280.43
2023-07-04,Wood,LumberYardInc,9523.24
2023-04-17,Ceramic,TheBuildingBlock,11966.29
2023-11-12,Asbestos,HomeImprovementHQ,8381.72
2023-05-18,Glass,TimberlandSupply,9908.93
2023-08-13,Ceramic,LumberYardInc,11348.11
2023-10-12,Gypsum,MaterialSource,11675.13
2023-12-04,Ceramic,TheBuildingBlock,9582.7
2023-08-09,Gypsum,TheBuildingBlock,10425.29
2023-03-16,Glass,TimberlandSupply,11971.98
2023-12-15,Ceramic,HomeImprovementHQ,8238.05
2023-11-09,Wood,HomeImprovementHQ,11702.04
2023-03-16,Asbestos,ConstructionDepot,10378.88
2023-04-05,Gypsum,MaterialSource,10650.54
2023-04-17,Gypsum,TheBuildingBlock,8317.12
2023-01-07,Glass,HomeImprovementHQ,8538.76
2023-11-03,Ceramic,ConstructionDepot,11315.87
2023-01-02,Wood,LumberYardInc,11271.84
2023-04-16,Gypsum,TimberlandSupply,11549.75
2023-10-22,Ceramic,MaterialSource,11951.57
2023-02-18,Glass,LumberYardInc,9782.3
2023-07-12,Wood,HomeImprovementHQ,8394.59
2023-04-18,Wood,SupplyCenter,8565.98
2023-05-02,Glass,MaterialSource,8293.08
2023-03-06,Asbestos,TheBuildingBlock,8603.15
2023-04-07,Glass,MaterialSource,9076.16
2023-01-13,Ceramic,LumberYardInc,11273.68
2023-12-23,Gypsum,LumberYardInc,9094.7
2023-09-19,Ceramic,LumberYardInc,10141.45
2023-06-08,Wood,TimberlandSupply,11576.34
2023-04-25,Asbestos,TheBuildingBlock,10466.69
2023-12-17,Ceramic,LumberYardInc,9861.68
2023-10-06,Wood,MaterialSource,11979.38
2023-11-21,Wood,HomeImprovementHQ,9539.38
2023-05-19,Gypsum,HomeImprovementHQ,9409.77
2023-01-07,Gypsum,SupplyCenter,10812.75
2023-07-08,Gypsum,TimberlandSupply,8112.83
2023-05-25,Asbestos,SupplyCenter,8534.32
2023-04-04,Glass,LumberYardInc,11206.02
2023-04-10,Gypsum,MaterialSource,11746.39
2023-06-20,Asbestos,TimberlandSupply,9205.13
2023-11-16,Ceramic,HomeImprovementHQ,11152.77
2023-12-08,Gypsum,TimberlandSupply,8278.98
2023-02-15,Wood,LumberYardInc,9864.44
2023-07-25,Asbestos,TimberlandSupply,8670.63
2023-05-08,Asbestos,TheBuildingBlock,9261.79
2023-01-15,Ceramic,SupplyCenter,11479.33
2023-06-13,Asbestos,SupplyCenter,8331.12
2023-04-03,Asbestos,TimberlandSupply,9468.09
2023-05-01,Glass,TheBuildingBlock,11378.88
2023-10-22,Gypsum,TheBuildingBlock,11877.48
2023-07-25,Ceramic,LumberYardInc,10022.11
2023-05-22,Gypsum,LumberYardInc,10019.04
2023-09-05,Asbestos,LumberYardInc,10238.34
2023-08-03,Asbestos,TimberlandSupply,8680.61
2023-04-18,Gypsum,HomeImprovementHQ,11622.6
2023-08-21,Glass,SupplyCenter,8806.56
2023-08-17,Asbestos,HomeImprovementHQ,10998.94
2023-03-12,Glass,ConstructionDepot,8891.94
2023-01-12,Wood,SupplyCenter,9810.68
2023-09-05,Wood,HomeImprovementHQ,11592.75
2023-11-01,Asbestos,HomeImprovementHQ,10012.49
2023-04-17,Gypsum,LumberYardInc,8264.54
2023-03-02,Wood,TimberlandSupply,10902.08
2023-04-19,Gypsum,SupplyCenter,8786.58
2023-11-05,Gypsum,TimberlandSupply,9631.22
2023-12-19,Wood,HomeImprovementHQ,10177.19
2023-12-06,Wood,MaterialSource,9324.36
2023-02-25,Wood,LumberYardInc,8701.72
2023-08-08,Wood,TimberlandSupply,10574.26
2023-08-19,Glass,MaterialSource,9809.84
2023-07-20,Ceramic,TheBuildingBlock,10310.72
2023-08-06,Gypsum,TimberlandSupply,10264.32
2023-12-24,Wood,ConstructionDepot,9905.54
2023-05-02,Glass,LumberYardInc,9072.18
2023-04-06,Gypsum,TimberlandSupply,10118.52
2023-04-20,Asbestos,TheBuildingBlock,9394.54
2023-04-11,Ceramic,TheBuildingBlock,10340.25
2023-09-15,Glass,LumberYardInc,8634.58
2023-07-22,Ceramic,TheBuildingBlock,8250.6
2023-08-21,Wood,TheBuildingBlock,11429.28
2023-07-17,Asbestos,MaterialSource,11639.96
2023-01-20,Wood,SupplyCenter,10925.45
2023-07-23,Gypsum,HomeImprovementHQ,9177.29
2023-03-25,Asbestos,HomeImprovementHQ,10218.29
2023-06-02,Gypsum,HomeImprovementHQ,8699.34
2023-01-22,Glass,TimberlandSupply,10995.52
2023-03-23,Wood,HomeImprovementHQ,8214.28
2023-06-23,Ceramic,MaterialSource,8642.26
2023-01-24,Gypsum,LumberYardInc,10558.71
2023-11-11,Wood,SupplyCenter,11850.77
2023-04-21,Wood,ConstructionDepot,9671.25
2023-04-23,Wood,ConstructionDepot,10608.98
2023-04-05,Asbestos,SupplyCenter,11525.41
2023-01-25,Gypsum,HomeImprovementHQ,9760.75
2023-08-23,Asbestos,HomeImprovementHQ,10880.05
2023-01-25,Asbestos,LumberYardInc,9477.92
2023-02-10,Ceramic,LumberYardInc,11607.83
2023-04-01,Ceramic,MaterialSource,11544.59
2023-09-24,Wood,HomeImprovementHQ,10986.37
2023-10-16,Ceramic,TimberlandSupply,10501.79
2023-06-25,Gypsum,MaterialSource,11882.66
2023-03-03,Gypsum,MaterialSource,11231.49
2023-06-19,Gypsum,TimberlandSupply,10786.3
2023-07-22,Wood,LumberYardInc,10503.0
2023-04-04,Ceramic,LumberYardInc,10935.44
2023-10-23,Wood,SupplyCenter,10594.6
2023-06-25,Gypsum,MaterialSource,10375.69
2023-06-21,Ceramic,ConstructionDepot,9571.59
2023-04-09,Asbestos,HomeImprovementHQ,9188.57
2023-12-04,Ceramic,LumberYardInc,8145.52
2023-08-08,Glass,SupplyCenter,10839.28
2023-04-23,Ceramic,SupplyCenter,9268.65
2023-12-20,Gypsum,HomeImprovementHQ,8008.01
2023-07-24,Glass,TimberlandSupply,8128.55
2023-07-03,Ceramic,MaterialSource,9584.48
2023-03-13,Wood,TimberlandSupply,8370.57
2023-01-04,Gypsum,TimberlandSupply,8956.97
2023-02-01,Ceramic,TheBuildingBlock,11285.3
2023-02-16,Gypsum,HomeImprovementHQ,8824.48
2023-09-02,Gypsum,HomeImprovementHQ,9210.27
2023-12-09,Ceramic,TheBuildingBlock,10106.83
