date,material,supplier,cost
2023-09-01,Brick,TheHardwareStore,11535.13
2023-06-23,Insulation,SupplySolutions,8553.05
2023-07-21,Insulation,TimberlandSupply,8038.64
2023-04-07,Asbestos,TheHardwareStore,10566.94
2023-10-24,Insulation,TimberlandSupply,8535.94
2023-10-10,Insulation,BuildSmart,10873.46
2023-06-20,Brick,SupplySolutions,8744.05
2023-03-13,Brick,TheHardwareStore,11547.3
2023-02-13,Brick,MaterialMasters,8413.93
2023-07-17,Asbestos,BuildCo,11112.23
2023-08-22,Gypsum,SupplySolutions,9453.85
2023-09-02,Gypsum,BuildCo,9915.53
2023-01-18,Gypsum,TheHardwareStore,10637.27
2023-02-11,Concrete,MaterialMasters,11410.33
2023-08-09,Asbestos,TimberlandSupply,8351.67
2023-07-01,Asbestos,MaterialMasters,10383.66
2023-09-09,Concrete,MaterialMasters,10136.66
2023-06-06,Insulation,MaterialMasters,8799.65
2023-08-03,Asbestos,SupplyCenter,8111.68
2023-11-12,Gypsum,TheHardwareStore,10563.8
2023-05-18,Brick,BuildCo,9374.0
2023-11-23,Insulation,SupplyCenter,11914.01
2023-01-24,Insulation,SupplyCenter,11136.64
2023-07-01,Asbestos,TimberlandSupply,8096.75
2023-08-19,Brick,BuildCo,9882.81
2023-04-04,Concrete,TimberlandSupply,11159.8
2023-09-22,Insulation,SupplyCenter,8924.79
2023-06-21,Brick,TimberlandSupply,11045.15
2023-10-21,Gypsum,TheHardwareStore,11247.63
2023-06-20,Brick,SupplyCenter,11622.37
2023-05-14,Brick,TheHardwareStore,10980.82
2023-04-07,Concrete,BuildCo,10379.68
2023-09-07,Insulation,SupplySolutions,9439.02
2023-05-14,Insulation,TheHardwareStore,8725.48
2023-03-12,Concrete,BuildSmart,11798.56
2023-06-22,Gypsum,SupplyCenter,9739.27
2023-12-12,Concrete,MaterialMasters,8430.81
2023-05-16,Brick,TheHardwareStore,10028.99
2023-06-09,Insulation,SupplyCenter,8108.83
2023-02-08,Concrete,TheHardwareStore,8739.01
2023-12-06,Brick,TheHardwareStore,8045.74
2023-08-16,Brick,MaterialMasters,10960.72
2023-06-18,Asbestos,TimberlandSupply,10103.73
2023-01-09,Concrete,SupplyCenter,8959.87
2023-09-01,Insulation,SupplyCenter,11884.1
2023-09-17,Brick,TimberlandSupply,11389.85
2023-09-06,Brick,MaterialMasters,11361.83
2023-08-09,Concrete,BuildCo,9513.75
2023-11-08,Brick,BuildSmart,10021.52
