date,material,supplier,cost
2023-04-19,Gypsum,TheHardwareStore,8770.59
2023-10-14,Concrete,MaterialMasters,8616.23
2023-11-22,Plastic,SupplyCenter,8078.26
2023-12-08,Gypsum,TheHardwareStore,8228.2
2023-02-20,Gypsum,BuildSmart,11010.72
2023-05-09,Wood,TheBuildingBlock,10932.44
2023-03-23,Wood,BuildCo,11845.37
2023-06-12,Gypsum,MaterialMasters,9747.68
2023-06-21,Concrete,BuildSmart,8138.2
2023-10-01,Gypsum,MaterialMasters,8618.64
2023-12-08,Wood,SupplyCenter,10719.07
2023-05-10,Glass,BuildSmart,11020.64
2023-08-19,Plastic,TheHardwareStore,9138.92
2023-09-01,Wood,TheHardwareStore,8623.85
2023-12-18,Gypsum,SupplyCenter,9657.35
2023-01-25,Gypsum,MaterialMasters,10326.63
2023-01-09,Wood,MaterialMasters,10290.66
2023-05-25,Gypsum,ConstructionDepot,10713.1
2023-08-06,Wood,MaterialMasters,8417.38
2023-02-12,Wood,BuildSmart,10620.09
2023-08-18,Gypsum,BuildCo,11089.74
2023-01-22,Plastic,TheBuildingBlock,8754.91
2023-08-03,Concrete,MaterialMasters,10134.0
2023-06-10,Glass,BuildCo,8064.39
2023-11-17,Plastic,ConstructionDepot,8730.71
2023-11-13,Wood,TheBuildingBlock,10185.8
2023-09-24,Concrete,TheHardwareStore,9228.86
2023-02-05,Wood,BuildCo,8367.28
2023-03-06,Wood,TheHardwareStore,8258.6
2023-08-20,Concrete,SupplyCenter,8660.28
2023-06-10,Gypsum,TheHardwareStore,10651.83
2023-08-23,Wood,BuildCo,11379.46
2023-09-12,Wood,SupplyCenter,11242.06
2023-09-01,Glass,ConstructionDepot,8013.05
2023-08-23,Plastic,BuildSmart,10628.78
2023-08-25,Concrete,BuildSmart,10052.17
2023-09-03,Concrete,SupplyCenter,10184.99
2023-06-08,Glass,BuildSmart,8438.5
2023-06-18,Wood,TheHardwareStore,11007.23
2023-12-13,Glass,BuildSmart,11172.19
2023-09-23,Wood,BuildSmart,11351.79
