date,material,supplier,cost
2023-08-10,Ceramic,HomeDepotPro,9431.39
2023-04-11,Asbestos,HomeImprovementHQ,9947.64
2023-01-20,Concrete,MaterialMasters,11753.72
2023-12-12,Insulation,ConstructionSupply,10824.37
2023-04-05,Insulation,TimberlandSupply,10479.17
2023-11-21,Asbestos,HomeDepotPro,11456.1
2023-04-09,Gypsum,HomeImprovementHQ,9817.34
2023-05-09,Asbestos,ConstructionSupply,9483.97
2023-11-23,Asbestos,ConstructionSupply,11444.54
2023-08-17,Insulation,TimberlandSupply,9315.75
2023-03-11,Insulation,ConstructionDepot,11525.39
2023-05-25,Concrete,MaterialMasters,10838.34
2023-09-16,Gypsum,ConstructionDepot,8918.0
2023-04-25,Gypsum,ConstructionSupply,10406.87
2023-06-02,Concrete,ConstructionSupply,8415.09
2023-12-03,Insulation,TimberlandSupply,9254.79
2023-12-13,Ceramic,ConstructionDepot,9642.42
2023-09-17,Asbestos,HomeDepotPro,8943.19
2023-09-24,Ceramic,SupplySolutions,10373.64
2023-07-14,Ceramic,TimberlandSupply,8085.79
2023-03-11,Ceramic,ConstructionDepot,8607.29
2023-01-04,Gypsum,MaterialMasters,11590.41
2023-04-07,Asbestos,SupplySolutions,8463.25
2023-05-17,Ceramic,SupplySolutions,9555.79
2023-06-11,Concrete,MaterialMasters,8811.18
2023-10-12,Asbestos,HomeImprovementHQ,8194.59
2023-09-23,Gypsum,HomeDepotPro,10451.23
2023-10-07,Asbestos,HomeDepotPro,8816.4
2023-07-08,Gypsum,ConstructionSupply,11393.53
2023-11-03,Gypsum,TimberlandSupply,8200.29
2023-05-25,Asbestos,SupplySolutions,11491.77
2023-10-22,Insulation,SupplySolutions,8328.48
2023-09-25,Ceramic,SupplySolutions,10759.87
2023-11-12,Gypsum,HomeDepotPro,8862.02
2023-10-16,Ceramic,SupplySolutions,8338.99
2023-02-01,Ceramic,SupplySolutions,11224.22
2023-07-18,Asbestos,HomeImprovementHQ,8134.13
2023-01-13,Insulation,HomeDepotPro,10233.42
2023-06-07,Asbestos,TimberlandSupply,8269.53
2023-04-04,Asbestos,HomeImprovementHQ,8818.78
2023-11-18,Ceramic,HomeDepotPro,11596.16
2023-04-02,Insulation,HomeDepotPro,11271.16
2023-04-23,Ceramic,ConstructionSupply,10862.78
2023-05-09,Ceramic,HomeDepotPro,10666.69
2023-08-21,Asbestos,TimberlandSupply,10987.93
2023-03-06,Insulation,ConstructionSupply,10303.67
2023-01-02,Ceramic,SupplySolutions,11699.77
2023-02-14,Insulation,SupplySolutions,10118.59
2023-12-07,Asbestos,TimberlandSupply,8156.25
2023-11-20,Ceramic,HomeDepotPro,11792.04
2023-01-05,Gypsum,ConstructionSupply,9326.5
2023-03-20,Insulation,MaterialMasters,11605.02
2023-03-22,Insulation,ConstructionSupply,10108.26
2023-04-07,Asbestos,MaterialMasters,10933.77
2023-04-15,Gypsum,SupplySolutions,9588.16
2023-03-14,Gypsum,ConstructionSupply,9828.09
2023-02-04,Ceramic,SupplySolutions,10073.91
2023-08-22,Gypsum,HomeImprovementHQ,11743.47
2023-10-07,Ceramic,HomeDepotPro,8324.22
2023-09-06,Asbestos,SupplySolutions,8953.06
2023-09-10,Ceramic,HomeImprovementHQ,8266.48
2023-08-05,Gypsum,ConstructionSupply,11537.86
2023-10-24,Gypsum,HomeDepotPro,10673.66
2023-02-20,Gypsum,HomeImprovementHQ,8937.57
2023-11-25,Ceramic,ConstructionSupply,11263.0
2023-01-03,Insulation,ConstructionSupply,8611.34
2023-04-24,Gypsum,TimberlandSupply,11922.48
2023-04-11,Ceramic,SupplySolutions,9107.27
2023-03-21,Ceramic,MaterialMasters,11736.41
2023-05-25,Ceramic,ConstructionDepot,10277.58
2023-08-14,Insulation,SupplySolutions,9241.16
2023-03-02,Ceramic,TimberlandSupply,9373.85
2023-12-09,Ceramic,HomeDepotPro,9767.59
2023-08-01,Ceramic,HomeImprovementHQ,9660.72
2023-04-11,Asbestos,HomeDepotPro,9074.44
2023-11-02,Asbestos,TimberlandSupply,8517.64
2023-12-03,Ceramic,SupplySolutions,10143.44
2023-06-10,Ceramic,SupplySolutions,10781.91
2023-04-11,Ceramic,ConstructionSupply,11046.11
2023-10-07,Concrete,SupplySolutions,10620.7
2023-05-03,Concrete,MaterialMasters,10090.0
2023-02-13,Concrete,SupplySolutions,9818.48
2023-10-25,Gypsum,ConstructionDepot,9422.2
2023-02-22,Concrete,ConstructionSupply,10071.72
2023-05-17,Insulation,ConstructionSupply,10813.8
2023-04-10,Asbestos,HomeDepotPro,8463.63
2023-07-23,Asbestos,HomeDepotPro,9291.94
2023-01-16,Ceramic,ConstructionDepot,10830.29
2023-02-14,Insulation,MaterialMasters,8075.66
2023-08-12,Asbestos,SupplySolutions,9354.48
2023-08-03,Asbestos,MaterialMasters,9745.45
2023-02-23,Gypsum,ConstructionDepot,8795.83
2023-11-24,Ceramic,TimberlandSupply,11407.9
2023-04-10,Asbestos,SupplySolutions,11993.98
2023-05-24,Concrete,HomeDepotPro,8982.36
2023-01-18,Concrete,ConstructionDepot,8145.6
2023-12-01,Asbestos,MaterialMasters,11111.45
2023-07-21,Asbestos,HomeDepotPro,10229.81
2023-04-10,Gypsum,TimberlandSupply,10914.39
2023-05-07,Asbestos,ConstructionDepot,9690.01
2023-04-07,Concrete,HomeDepotPro,10065.27
2023-06-16,Insulation,SupplySolutions,11095.58
2023-04-25,Concrete,HomeDepotPro,9048.42
2023-04-23,Ceramic,TimberlandSupply,9545.92
2023-10-18,Asbestos,TimberlandSupply,8912.25
2023-09-04,Insulation,HomeImprovementHQ,10621.08
2023-08-24,Ceramic,MaterialMasters,9800.71
2023-08-25,Ceramic,SupplySolutions,10702.48
2023-04-19,Asbestos,MaterialMasters,8601.49
2023-07-16,Asbestos,HomeDepotPro,11330.25
2023-08-15,Gypsum,TimberlandSupply,8413.55
2023-03-09,Asbestos,SupplySolutions,10874.11
2023-04-08,Ceramic,MaterialMasters,10205.19
2023-05-18,Asbestos,HomeImprovementHQ,9734.86
2023-03-06,Gypsum,HomeDepotPro,8379.81
2023-03-12,Concrete,MaterialMasters,10160.51
2023-05-15,Ceramic,MaterialMasters,11926.29
2023-10-23,Gypsum,TimberlandSupply,11106.83
2023-12-02,Ceramic,TimberlandSupply,9380.36
2023-05-02,Insulation,HomeDepotPro,10442.3
2023-03-19,Asbestos,SupplySolutions,8762.43
2023-06-23,Insulation,ConstructionSupply,11847.15
2023-01-14,Concrete,HomeImprovementHQ,8602.44
2023-09-04,Concrete,TimberlandSupply,11259.42
