date,material,supplier,cost
2023-06-25,Wood,HomeDepotPro,11148.25
2023-05-15,Wood,BuildCo,10145.33
2023-02-15,Steel,ConstructionSupply,11273.63
2023-09-17,Glass,TheBuildingBlock,11642.78
2023-12-06,Concrete,BuildCo,10374.55
2023-10-06,Concrete,ConstructionSupply,9727.79
2023-10-12,Insulation,BuildCo,8226.3
2023-11-04,Concrete,ConstructionSupply,10620.02
2023-07-03,Wood,ConstructionSupply,9219.8
2023-01-12,Concrete,SupplyCenter,10228.89
2023-12-06,Insulation,TimberlandSupply,9326.55
2023-01-02,Steel,HomeDepotPro,11091.26
2023-10-15,Insulation,SupplyCenter,10950.42
2023-02-16,Concrete,MaterialMasters,11935.86
2023-04-01,Concrete,BuildCo,10530.82
2023-10-10,Concrete,SupplyCenter,10933.18
2023-10-13,Concrete,TimberlandSupply,11822.03
2023-10-24,Glass,BuildCo,10655.2
2023-09-19,Steel,ConstructionSupply,8027.45
2023-10-16,Concrete,ConstructionSupply,10797.6
2023-10-24,Insulation,TimberlandSupply,8543.97
2023-03-25,Glass,SupplyCenter,9866.8
2023-04-14,Concrete,BuildCo,11155.75
2023-04-08,Concrete,MaterialMasters,8046.25
2023-01-14,Concrete,MaterialMasters,9368.22
2023-11-13,Wood,ConstructionSupply,8784.97
2023-09-14,Concrete,HomeDepotPro,8567.67
2023-04-10,Steel,ConstructionSupply,10723.15
2023-10-14,Insulation,SupplyCenter,10054.53
2023-10-01,Wood,SupplyCenter,10234.55
2023-03-12,Wood,TimberlandSupply,11227.56
2023-12-01,Wood,BuildCo,9977.93
2023-10-17,Glass,ConstructionSupply,8414.18
2023-01-02,Concrete,MaterialMasters,9929.43
2023-03-23,Insulation,TimberlandSupply,8999.49
2023-10-24,Insulation,HomeDepotPro,11640.05
2023-02-04,Insulation,TimberlandSupply,9178.12
2023-10-08,Steel,MaterialMasters,9454.1
2023-04-23,Steel,SupplyCenter,10999.18
2023-05-06,Glass,SupplyCenter,11994.5
2023-12-07,Steel,TheBuildingBlock,9730.11
2023-07-19,Glass,BuildCo,8020.38
2023-05-15,Concrete,TheBuildingBlock,9238.88
2023-05-07,Wood,ConstructionSupply,11571.66
2023-10-17,Wood,ConstructionSupply,10312.94
2023-06-10,Steel,BuildCo,10625.74
2023-11-05,Concrete,MaterialMasters,9863.72
2023-04-08,Wood,ConstructionSupply,11296.1
2023-06-06,Glass,TimberlandSupply,10082.38
2023-04-22,Wood,MaterialMasters,11346.2
2023-03-13,Wood,MaterialMasters,10630.5
2023-12-25,Concrete,MaterialMasters,9664.16
2023-10-13,Insulation,TimberlandSupply,9943.32
2023-03-04,Insulation,TheBuildingBlock,8262.04
2023-09-10,Concrete,MaterialMasters,9244.77
2023-05-25,Concrete,TimberlandSupply,8171.06
2023-11-19,Concrete,TimberlandSupply,9427.75
2023-01-19,Steel,ConstructionSupply,11413.5
2023-01-14,Steel,TimberlandSupply,11492.68
2023-06-08,Insulation,TimberlandSupply,11784.17
2023-04-13,Glass,TimberlandSupply,8332.22
2023-12-20,Steel,ConstructionSupply,10831.23
2023-06-11,Concrete,TimberlandSupply,11289.72
2023-04-08,Insulation,HomeDepotPro,11654.39
2023-02-13,Steel,MaterialMasters,8830.6
2023-02-07,Wood,MaterialMasters,8785.77
2023-04-06,Wood,ConstructionSupply,10496.44
2023-08-10,Steel,TheBuildingBlock,9081.32
2023-12-02,Wood,BuildCo,9755.93
2023-03-04,Steel,BuildCo,8075.93
2023-05-04,Wood,MaterialMasters,8909.82
2023-06-04,Concrete,SupplyCenter,8547.22
2023-12-16,Wood,TimberlandSupply,11809.42
2023-10-11,Insulation,MaterialMasters,9908.14
2023-05-19,Steel,MaterialMasters,10507.33
2023-12-06,Insulation,ConstructionSupply,10552.56
2023-06-14,Concrete,SupplyCenter,11732.7
2023-06-08,Concrete,MaterialMasters,10958.85
2023-10-04,Steel,BuildCo,11941.28
2023-09-25,Steel,ConstructionSupply,10613.66
2023-03-02,Wood,TimberlandSupply,8365.1
2023-11-10,Steel,HomeDepotPro,8747.25
2023-11-14,Glass,HomeDepotPro,10033.02
2023-05-20,Insulation,MaterialMasters,8449.45
2023-01-07,Concrete,ConstructionSupply,11328.44
2023-07-14,Wood,BuildCo,9279.04
2023-11-04,Wood,BuildCo,9596.28
2023-01-19,Steel,BuildCo,10793.52
2023-04-08,Insulation,SupplyCenter,8774.28
2023-05-02,Steel,BuildCo,10175.68
2023-09-02,Glass,MaterialMasters,10859.34
2023-01-03,Concrete,HomeDepotPro,11438.19
2023-02-24,Wood,SupplyCenter,9415.34
2023-05-24,Steel,HomeDepotPro,8768.91
2023-10-14,Concrete,BuildCo,9514.14
2023-10-05,Wood,BuildCo,11287.4
2023-11-01,Insulation,ConstructionSupply,8197.28
2023-03-23,Insulation,TheBuildingBlock,8334.61
2023-04-21,Concrete,BuildCo,10849.55
2023-03-06,Concrete,BuildCo,8953.48
2023-05-06,Wood,TimberlandSupply,11499.49
2023-04-08,Steel,TimberlandSupply,10351.76
2023-05-25,Concrete,TheBuildingBlock,8905.74
2023-04-07,Insulation,ConstructionSupply,9701.86
2023-09-03,Insulation,HomeDepotPro,8728.88
2023-08-02,Glass,BuildCo,10710.1
2023-01-16,Glass,MaterialMasters,9793.55
