date,material,supplier,cost
2023-01-21,Insulation,MaterialSource,8604.96
2023-11-03,Gypsum,BuildSmart,8242.24
2023-08-13,Insulation,ConstructionSupply,10613.8
2023-04-18,Glass,MaterialSource,8215.52
2023-07-04,Glass,BuildSmart,8814.88
2023-02-12,Ceramic,BuildSmart,11942.51
2023-02-19,Ceramic,MaterialSource,11459.3
2023-10-25,Insulation,ConstructionDepot,10528.62
2023-06-09,Gypsum,TimberlandSupply,10950.08
2023-08-07,Gypsum,MaterialSource,9420.27
2023-07-03,Insulation,SupplyCenter,11543.64
2023-01-16,Glass,MaterialSource,11146.17
2023-05-09,Ceramic,TimberlandSupply,8041.45
2023-04-02,Gypsum,TimberlandSupply,8892.13
2023-01-12,Brick,BuildSmart,11382.78
2023-11-04,Insulation,MaterialSource,10564.16
2023-03-12,Ceramic,ConstructionSupply,11104.06
2023-12-24,Ceramic,ConstructionSupply,10291.54
2023-03-21,Brick,TimberlandSupply,11781.57
2023-01-11,Brick,ConstructionDepot,9888.99
2023-03-04,Insulation,MaterialMasters,9505.69
2023-11-07,Insulation,MaterialMasters,9394.56
2023-09-20,Ceramic,MaterialSource,10411.75
2023-01-15,Ceramic,TimberlandSupply,11122.05
2023-04-14,Glass,ConstructionDepot,9102.47
2023-11-14,Ceramic,TimberlandSupply,11433.79
2023-12-08,Gypsum,SupplyCenter,8501.35
2023-08-02,Insulation,ConstructionSupply,10227.92
2023-04-06,Ceramic,SupplyCenter,9737.13
2023-07-21,Glass,BuildSmart,11419.29
2023-01-16,Ceramic,SupplyCenter,8703.13
2023-03-11,Insulation,BuildSmart,8841.12
2023-02-07,Glass,ConstructionDepot,10927.79
2023-12-09,Ceramic,TimberlandSupply,10417.83
2023-12-01,Insulation,ConstructionDepot,11022.87
2023-01-04,Ceramic,TimberlandSupply,11538.26
2023-12-06,Brick,ConstructionSupply,8448.14
2023-02-03,Gypsum,SupplyCenter,9242.63
2023-11-25,Insulation,MaterialMasters,8141.84
2023-08-02,Ceramic,TimberlandSupply,10485.44
2023-10-24,Insulation,MaterialSource,9473.62
2023-10-08,Insulation,MaterialMasters,11068.74
2023-03-08,Insulation,ConstructionDepot,10590.64
2023-01-19,Glass,ConstructionDepot,9466.25
2023-11-11,Glass,SupplyCenter,8728.13
2023-10-10,Ceramic,ConstructionDepot,8534.61
