date,material,supplier,cost
2023-10-02,Brick,BuildSmart,11756.5
2023-11-25,Glass,BuildCo,8162.32
2023-06-23,Brick,TimberlandSupply,11550.98
2023-07-02,Brick,BuildSmart,11500.66
2023-07-22,Glass,TimberlandSupply,8052.6
2023-05-02,Concrete,BuildSmart,10091.37
2023-10-19,Asbestos,MaterialMasters,9415.35
2023-11-07,Concrete,BuildCo,8301.59
2023-07-21,Brick,BuildCo,8066.0
2023-10-07,Asbestos,BuildCo,8975.26
2023-04-02,Asbestos,BuildSmart,9632.4
2023-04-15,Concrete,TimberlandSupply,10133.93
2023-06-12,Asbestos,MaterialMasters,8476.96
2023-02-21,Wood,TimberMart,11844.36
2023-10-20,Concrete,BuildCo,9926.81
2023-07-05,Asbestos,MaterialMasters,10294.65
2023-12-12,Glass,TimberlandSupply,11573.72
2023-04-20,Concrete,BuildCo,10911.59
2023-10-08,Wood,BuildSmart,8963.64
2023-03-19,Brick,BuildCo,9316.57
2023-12-08,Asbestos,TimberlandSupply,9998.28
2023-04-01,Asbestos,HomeImprovementHQ,9274.95
2023-01-20,Brick,MaterialMasters,10200.28
2023-02-04,Brick,TimberMart,10188.91
2023-08-12,Concrete,BuildSmart,11561.42
2023-01-17,Brick,HomeDepotPro,9373.94
2023-04-22,Concrete,BuildCo,9457.92
2023-03-24,Concrete,MaterialMasters,11133.71
2023-05-06,Glass,BuildCo,9991.39
2023-11-18,Wood,BuildSmart,10632.25
2023-07-07,Wood,TimberlandSupply,10703.79
2023-09-01,Glass,HomeDepotPro,8338.58
2023-08-04,Concrete,BuildSmart,11401.28
2023-04-25,Concrete,BuildSmart,8833.25
2023-07-17,Asbestos,BuildSmart,9705.1
2023-11-13,Glass,MaterialMasters,10872.88
2023-04-14,Asbestos,TimberMart,11683.1
2023-09-11,Asbestos,TimberlandSupply,10837.09
2023-12-09,Concrete,MaterialMasters,8266.08
2023-01-13,Concrete,TimberlandSupply,10892.78
2023-05-16,Wood,HomeImprovementHQ,9167.7
2023-10-09,Glass,MaterialMasters,10177.66
2023-08-18,Asbestos,BuildSmart,9306.99
2023-07-04,Wood,BuildCo,9185.39
2023-02-18,Asbestos,BuildCo,8585.2
2023-08-09,Wood,MaterialMasters,8267.18
2023-04-01,Brick,BuildSmart,9202.58
2023-05-05,Wood,BuildSmart,10561.49
2023-03-13,Concrete,MaterialMasters,9243.83
2023-10-21,Concrete,HomeDepotPro,10396.23
2023-04-03,Glass,MaterialMasters,8456.25
2023-01-04,Concrete,BuildCo,9036.01
2023-12-20,Concrete,TimberMart,9489.83
2023-09-15,Brick,BuildSmart,11812.6
2023-09-13,Glass,TimberlandSupply,8783.54
2023-06-17,Glass,BuildSmart,10834.72
2023-06-25,Glass,HomeImprovementHQ,9441.09
2023-04-06,Asbestos,HomeImprovementHQ,10007.31
2023-06-25,Wood,MaterialMasters,8597.92
2023-01-21,Brick,BuildSmart,10160.0
2023-07-15,Glass,BuildSmart,10711.26
2023-01-02,Concrete,BuildCo,10148.87
2023-12-19,Brick,HomeImprovementHQ,8426.44
2023-01-05,Wood,HomeDepotPro,8435.97
2023-05-04,Glass,TimberlandSupply,8083.03
2023-08-13,Concrete,MaterialMasters,9289.62
2023-11-20,Glass,BuildSmart,8723.66
2023-01-05,Asbestos,HomeImprovementHQ,8278.06
2023-11-22,Asbestos,MaterialMasters,8076.45
2023-02-17,Brick,TimberlandSupply,8539.33
2023-01-09,Concrete,TimberMart,10560.22
2023-08-07,Asbestos,MaterialMasters,10538.25
2023-03-01,Wood,MaterialMasters,8964.15
2023-04-24,Glass,MaterialMasters,11875.83
2023-07-20,Wood,TimberlandSupply,11436.08
2023-09-06,Wood,TimberMart,9807.65
2023-04-16,Glass,MaterialMasters,10289.22
2023-01-19,Glass,HomeDepotPro,8751.29
2023-07-04,Wood,BuildSmart,10802.87
2023-02-07,Brick,TimberlandSupply,11486.67
2023-01-11,Wood,TimberlandSupply,10959.38
2023-06-23,Asbestos,BuildSmart,9120.14
2023-04-18,Asbestos,TimberMart,11860.75
2023-08-10,Wood,BuildSmart,10580.76
2023-11-08,Brick,HomeDepotPro,9025.81
2023-12-22,Concrete,TimberlandSupply,11657.88
2023-09-18,Wood,BuildSmart,9808.77
2023-02-06,Wood,MaterialMasters,10629.76
2023-08-02,Glass,MaterialMasters,11850.53
2023-04-11,Concrete,BuildCo,11696.95
2023-02-04,Asbestos,MaterialMasters,8295.69
2023-02-12,Concrete,TimberMart,9807.08
2023-07-21,Glass,MaterialMasters,9953.3
2023-12-09,Concrete,HomeDepotPro,11282.39
2023-09-14,Concrete,BuildSmart,10726.83
2023-06-01,Wood,MaterialMasters,11948.01
2023-04-05,Asbestos,TimberlandSupply,8441.32
2023-02-16,Concrete,HomeImprovementHQ,10087.33
2023-11-10,Wood,MaterialMasters,10519.78
2023-01-04,Asbestos,TimberlandSupply,11363.27
2023-06-02,Wood,HomeImprovementHQ,9617.26
2023-01-17,Wood,BuildSmart,9155.27
2023-11-02,Brick,BuildCo,9424.28
2023-08-14,Asbestos,BuildCo,8143.55
2023-11-05,Glass,BuildCo,10799.0
2023-10-19,Brick,HomeDepotPro,11681.06
2023-06-06,Brick,TimberlandSupply,9250.77
2023-12-09,Wood,TimberlandSupply,9096.4
2023-08-22,Brick,HomeImprovementHQ,10929.09
2023-02-03,Concrete,TimberMart,11635.78
2023-02-16,Asbestos,BuildSmart,10213.05
2023-08-09,Concrete,BuildCo,8890.0
2023-10-02,Brick,TimberMart,8804.86
2023-08-19,Glass,MaterialMasters,10648.52
2023-09-02,Asbestos,MaterialMasters,8885.14
2023-09-01,Asbestos,TimberlandSupply,8695.61
2023-03-15,Wood,MaterialMasters,8630.39
2023-02-17,Concrete,TimberlandSupply,11196.37
2023-12-18,Brick,TimberlandSupply,8612.42
2023-05-01,Brick,BuildSmart,9223.0
2023-04-02,Wood,MaterialMasters,9871.8
2023-02-04,Asbestos,BuildSmart,11595.28
2023-04-22,Brick,TimberlandSupply,10215.69
2023-04-16,Concrete,HomeImprovementHQ,8377.83
2023-10-21,Asbestos,TimberlandSupply,9842.1
2023-07-18,Asbestos,TimberMart,10752.7
2023-11-18,Glass,BuildCo,8985.9
2023-04-03,Asbestos,MaterialMasters,10664.19
2023-04-02,Concrete,MaterialMasters,10386.63
2023-11-21,Glass,BuildSmart,8831.56
2023-08-13,Glass,HomeDepotPro,8289.86
2023-12-02,Concrete,TimberlandSupply,8265.22
2023-05-23,Concrete,TimberlandSupply,9637.54
2023-07-23,Concrete,HomeImprovementHQ,8008.05
2023-07-21,Glass,MaterialMasters,11776.88
2023-08-12,Glass,BuildCo,8415.54
2023-05-20,Asbestos,MaterialMasters,10132.26
2023-10-22,Wood,TimberMart,10430.24
2023-02-11,Wood,TimberlandSupply,8435.1
2023-08-16,Brick,TimberMart,8789.67
2023-09-13,Wood,TimberlandSupply,10756.3
2023-03-23,Asbestos,BuildSmart,9329.01
2023-10-01,Glass,BuildSmart,9355.25
2023-08-01,Glass,TimberlandSupply,11856.86
2023-02-18,Concrete,MaterialMasters,10198.16
2023-09-03,Glass,BuildSmart,10460.79
2023-01-10,Glass,HomeDepotPro,8309.81
2023-10-03,Wood,BuildCo,10224.26
2023-03-14,Glass,BuildSmart,11401.29
2023-09-02,Glass,BuildCo,9116.77
2023-09-25,Concrete,HomeDepotPro,11688.9
2023-06-15,Concrete,MaterialMasters,11626.58
2023-07-16,Glass,BuildSmart,11051.7
2023-09-10,Glass,MaterialMasters,11561.93
2023-07-24,Asbestos,TimberlandSupply,11568.8
2023-04-21,Wood,MaterialMasters,9851.05
2023-04-13,Glass,TimberlandSupply,10602.8
2023-06-24,Concrete,BuildSmart,11446.66
2023-11-05,Concrete,MaterialMasters,9534.28
2023-02-12,Glass,TimberlandSupply,8413.62
2023-12-23,Wood,HomeImprovementHQ,8862.55
2023-07-04,Concrete,HomeDepotPro,10741.52
2023-10-09,Concrete,MaterialMasters,9425.36
2023-05-19,Asbestos,TimberlandSupply,11335.51
2023-11-03,Asbestos,HomeDepotPro,10284.99
2023-10-21,Concrete,BuildSmart,11671.07
2023-09-23,Concrete,TimberlandSupply,8961.13
2023-09-06,Concrete,TimberMart,10058.52
2023-12-05,Wood,HomeDepotPro,8804.83
2023-10-09,Asbestos,TimberMart,8338.82
2023-08-10,Brick,BuildSmart,8158.34
2023-04-21,Wood,BuildCo,11309.39
2023-04-25,Concrete,MaterialMasters,9112.7
2023-09-09,Glass,BuildSmart,8998.29
2023-10-19,Glass,BuildCo,11701.49
2023-07-18,Glass,HomeImprovementHQ,11779.39
2023-10-12,Glass,HomeImprovementHQ,8146.56
2023-11-04,Wood,HomeImprovementHQ,9720.69
2023-07-08,Concrete,HomeImprovementHQ,9227.19
2023-04-09,Brick,BuildSmart,11788.25
2023-04-12,Glass,MaterialMasters,8172.89
2023-11-06,Asbestos,TimberMart,9419.81
2023-04-12,Glass,BuildSmart,10154.92
2023-06-17,Brick,BuildCo,10953.01
2023-09-15,Brick,BuildCo,11958.97
2023-04-25,Concrete,BuildCo,10067.03
2023-06-15,Wood,HomeImprovementHQ,8999.63
2023-05-03,Glass,HomeDepotPro,10939.48
2023-06-10,Concrete,TimberlandSupply,8082.95
2023-07-12,Glass,TimberMart,8062.6
2023-04-17,Concrete,HomeDepotPro,8077.97
2023-12-10,Asbestos,MaterialMasters,11970.08
2023-04-20,Glass,HomeImprovementHQ,9608.58
2023-06-19,Brick,TimberMart,8380.06
2023-09-03,Wood,MaterialMasters,9002.91
2023-04-08,Brick,MaterialMasters,9437.34
2023-10-19,Wood,BuildSmart,8914.05
2023-12-24,Asbestos,HomeDepotPro,10910.42
2023-05-24,Concrete,TimberlandSupply,11909.17
2023-06-24,Glass,HomeImprovementHQ,10255.24
2023-04-03,Brick,BuildCo,10577.82
2023-07-25,Asbestos,HomeImprovementHQ,9278.07
2023-12-24,Glass,MaterialMasters,8925.53
2023-05-01,Asbestos,BuildSmart,10741.47
2023-04-16,Asbestos,BuildCo,8577.54
2023-04-16,Asbestos,MaterialMasters,11067.37
2023-04-03,Asbestos,HomeImprovementHQ,9837.52
2023-10-15,Concrete,BuildSmart,10971.13
2023-02-07,Brick,HomeImprovementHQ,11945.36
2023-10-06,Wood,MaterialMasters,10801.26
2023-02-09,Glass,BuildCo,9963.5
2023-05-07,Brick,BuildCo,9809.74
2023-08-20,Brick,TimberMart,10827.33
2023-06-03,Asbestos,BuildCo,8618.95
2023-05-06,Brick,TimberlandSupply,9179.64
2023-01-25,Brick,TimberMart,10966.18
2023-09-13,Wood,BuildSmart,10053.5
2023-04-07,Wood,BuildCo,11955.05
2023-08-10,Wood,BuildSmart,9877.19
2023-04-05,Glass,TimberMart,9454.93
2023-11-19,Asbestos,BuildCo,10768.84
2023-07-24,Brick,TimberMart,10804.05
2023-04-06,Asbestos,HomeDepotPro,9610.44
2023-10-06,Wood,TimberlandSupply,11365.96
2023-02-02,Wood,TimberMart,9656.79
2023-07-08,Wood,MaterialMasters,10054.87
2023-12-23,Wood,HomeImprovementHQ,9127.81
2023-03-03,Concrete,HomeDepotPro,8524.83
2023-01-06,Asbestos,TimberlandSupply,8179.74
2023-04-24,Wood,BuildSmart,9738.55
2023-09-10,Glass,BuildCo,10534.02
2023-04-05,Brick,MaterialMasters,9816.42
2023-09-24,Concrete,TimberlandSupply,9054.74
2023-05-19,Brick,MaterialMasters,11565.19
2023-04-16,Concrete,HomeImprovementHQ,11941.77
2023-11-16,Asbestos,MaterialMasters,8274.64
2023-05-20,Glass,MaterialMasters,10562.65
2023-11-13,Glass,MaterialMasters,11175.03
2023-10-14,Glass,BuildSmart,10812.1
2023-05-22,Wood,MaterialMasters,8600.99
2023-04-16,Concrete,HomeImprovementHQ,8569.7
2023-12-08,Brick,HomeImprovementHQ,8098.58
2023-02-18,Brick,BuildCo,9977.12
2023-02-24,Glass,BuildSmart,8518.58
2023-07-02,Wood,BuildSmart,9121.94
2023-07-11,Asbestos,BuildCo,8046.88
2023-04-09,Asbestos,BuildSmart,10871.28
2023-10-16,Brick,MaterialMasters,10549.99
2023-11-12,Glass,BuildCo,8416.3
2023-05-05,Brick,MaterialMasters,8170.66
2023-07-19,Brick,BuildCo,9927.44
2023-10-16,Wood,MaterialMasters,11544.73
2023-06-05,Concrete,BuildCo,9207.19
2023-08-21,Wood,HomeDepotPro,8121.99
2023-02-18,Wood,BuildCo,9278.16
2023-04-06,Glass,MaterialMasters,10615.69
2023-07-06,Brick,BuildCo,9136.78
2023-01-08,Glass,HomeDepotPro,8550.35
2023-08-16,Wood,BuildSmart,9725.05
2023-04-07,Brick,TimberMart,9317.78
2023-04-04,Concrete,BuildSmart,9412.69
2023-12-18,Asbestos,TimberlandSupply,11999.48
2023-11-21,Brick,TimberMart,10529.44
2023-04-08,Asbestos,TimberlandSupply,9062.69
2023-02-13,Asbestos,BuildSmart,11934.89
