date,material,supplier,cost
2023-03-12,Wood,ConstructionDepot,8197.1
2023-06-24,Brick,BuildCo,9256.47
2023-01-01,Wood,TimberlandSupply,9856.53
2023-11-11,Asbestos,ConstructionSupply,11317.39
2023-05-14,Wood,MaterialSource,11550.92
2023-07-08,Asbestos,ConstructionDepot,11985.75
2023-08-03,Wood,TimberlandSupply,9836.01
2023-08-11,Brick,TimberlandSupply,11191.91
2023-08-12,Asbestos,TimberMart,10790.61
2023-08-03,Gypsum,TimberMart,9258.69
2023-08-11,Gypsum,TimberMart,9614.52
2023-02-15,Brick,ConstructionDepot,8136.34
2023-07-07,Wood,ConstructionDepot,9968.98
2023-12-11,Glass,MaterialSource,10010.27
2023-02-21,Glass,MaterialSource,9101.06
2023-12-14,Brick,HomeImprovementHQ,10497.94
2023-07-04,Asbestos,ConstructionSupply,8151.05
2023-03-25,Brick,ConstructionSupply,10725.19
2023-11-19,Gypsum,TimberlandSupply,9235.59
2023-11-08,Gypsum,BuildCo,10683.77
2023-09-20,Brick,ConstructionSupply,8142.79
2023-01-12,Brick,ConstructionDepot,10801.12
2023-02-05,Gypsum,ConstructionSupply,10424.92
2023-02-14,Wood,ConstructionSupply,9807.43
2023-10-18,Wood,ConstructionDepot,11884.69
2023-08-02,Glass,MaterialSource,11297.64
2023-10-14,Glass,TimberlandSupply,10493.06
2023-04-16,Glass,BuildCo,9367.81
2023-09-22,Brick,MaterialSource,9802.74
2023-11-18,Wood,ConstructionDepot,8483.59
2023-10-10,Glass,ConstructionSupply,8617.31
2023-11-21,Wood,ConstructionSupply,10834.33
2023-05-11,Glass,TimberMart,10827.89
2023-05-08,Gypsum,TimberlandSupply,10491.19
2023-01-21,Asbestos,TimberMart,8243.16
2023-11-02,Gypsum,TimberMart,10587.99
2023-02-11,Wood,HomeImprovementHQ,10862.32
2023-12-22,Wood,BuildCo,8054.51
2023-12-13,Glass,ConstructionDepot,9334.78
2023-08-11,Wood,HomeImprovementHQ,10209.38
2023-01-25,Wood,TimberMart,9079.38
2023-10-14,Brick,BuildCo,9816.2
2023-02-03,Gypsum,ConstructionDepot,8317.43
2023-09-21,Asbestos,HomeImprovementHQ,8405.98
2023-06-22,Brick,BuildCo,8129.84
2023-05-19,Glass,BuildCo,9667.48
2023-04-25,Gypsum,TimberMart,9209.31
2023-04-22,Glass,TimberMart,11839.97
2023-04-03,Wood,TimberlandSupply,11015.54
2023-09-19,Wood,MaterialSource,11362.05
2023-06-20,Wood,TimberMart,9229.32
2023-08-05,Brick,ConstructionDepot,11168.58
2023-05-06,Asbestos,TimberMart,11068.26
2023-07-21,Asbestos,TimberlandSupply,10800.95
2023-02-17,Asbestos,TimberlandSupply,10021.27
2023-08-02,Gypsum,BuildCo,8794.47
2023-02-19,Brick,TimberMart,10761.78
2023-07-21,Gypsum,ConstructionDepot,11493.82
2023-10-24,Gypsum,TimberlandSupply,8665.01
2023-05-24,Glass,TimberMart,8020.65
2023-08-10,Asbestos,TimberlandSupply,8932.46
2023-03-07,Gypsum,MaterialSource,11907.14
2023-10-01,Asbestos,HomeImprovementHQ,8150.74
2023-06-02,Gypsum,BuildCo,11769.72
2023-05-03,Wood,ConstructionDepot,8181.77
2023-05-06,Glass,TimberlandSupply,9040.21
2023-06-25,Gypsum,ConstructionSupply,11262.34
2023-02-05,Asbestos,MaterialSource,8277.71
2023-05-25,Glass,BuildCo,11248.51
2023-02-15,Asbestos,TimberMart,9561.98
2023-08-03,Wood,ConstructionSupply,10304.92
2023-06-21,Glass,HomeImprovementHQ,11046.88
2023-05-07,Glass,BuildCo,11486.85
2023-06-23,Brick,ConstructionSupply,10197.41
2023-01-13,Asbestos,MaterialSource,8269.94
2023-10-07,Gypsum,ConstructionSupply,9348.63
2023-01-15,Wood,TimberlandSupply,10372.71
2023-10-19,Gypsum,BuildCo,10263.01
2023-01-16,Wood,TimberMart,10096.2
2023-10-25,Glass,BuildCo,10284.54
