date,material,supplier,cost
2023-04-18,Brick,SupplySolutions,10846.28
2023-03-06,Asbestos,SupplySolutions,9306.84
2023-04-19,Asbestos,ConstructionSupply,8747.97
2023-04-06,Ceramic,TheHardwareStore,10494.72
2023-10-11,Ceramic,TheBuildingBlock,10434.93
2023-02-08,Concrete,TheBuildingBlock,11559.22
2023-11-02,Brick,ConstructionSupply,8978.33
2023-04-24,Steel,SupplySolutions,9179.91
2023-10-20,Concrete,ConstructionSupply,11237.7
2023-02-21,Concrete,TheBuildingBlock,11454.76
2023-04-10,Ceramic,SupplyCenter,10637.15
2023-09-18,Concrete,TimberMart,10782.13
2023-05-23,Steel,SupplyCenter,11358.14
2023-04-02,Concrete,TimberMart,9318.49
2023-08-05,Asbestos,TimberMart,11602.61
2023-04-12,Brick,TimberlandSupply,9948.03
2023-04-10,Asbestos,ConstructionSupply,9980.92
2023-01-22,Asbestos,TimberMart,8221.9
2023-04-25,Concrete,TimberMart,11814.36
2023-03-07,Asbestos,TheHardwareStore,11375.23
2023-10-19,Brick,TheBuildingBlock,8789.27
2023-01-15,Ceramic,TheBuildingBlock,8082.1
2023-08-02,Concrete,SupplyCenter,8741.04
2023-03-08,Asbestos,TimberMart,9113.41
2023-06-19,Ceramic,TheHardwareStore,11568.15
2023-11-13,Steel,TimberlandSupply,9934.56
2023-10-17,Brick,SupplySolutions,10492.87
2023-05-25,Brick,TimberMart,9495.17
2023-06-01,Concrete,TheBuildingBlock,11906.78
2023-01-14,Ceramic,TheHardwareStore,10664.62
2023-11-11,Concrete,ConstructionSupply,10920.91
2023-10-06,Ceramic,SupplyCenter,9642.41
2023-02-15,Concrete,TimberlandSupply,8716.58
2023-12-10,Asbestos,ConstructionSupply,9020.26
2023-07-15,Concrete,TimberlandSupply,10139.49
2023-01-02,Concrete,TheHardwareStore,11445.62
2023-04-03,Concrete,TheBuildingBlock,9626.57
2023-04-20,Ceramic,ConstructionSupply,11721.31
2023-05-18,Asbestos,SupplySolutions,9277.38
2023-10-01,Concrete,SupplyCenter,10769.45
2023-01-01,Concrete,TheBuildingBlock,8780.92
2023-11-09,Ceramic,ConstructionSupply,9556.24
2023-01-06,Brick,SupplyCenter,10152.87
2023-10-11,Brick,TheHardwareStore,11445.24
2023-06-11,Ceramic,TimberlandSupply,10175.8
2023-02-10,Concrete,TimberMart,10584.95
2023-05-21,Concrete,SupplyCenter,10889.24
2023-02-19,Ceramic,SupplyCenter,11232.15
2023-04-22,Asbestos,TheBuildingBlock,10443.5
2023-11-12,Ceramic,SupplySolutions,8874.73
2023-11-18,Ceramic,TimberMart,9722.14
2023-04-25,Concrete,SupplyCenter,11262.45
2023-06-08,Concrete,ConstructionSupply,8777.42
2023-06-12,Ceramic,TimberMart,8848.44
2023-03-18,Steel,TheBuildingBlock,9111.71
2023-09-21,Asbestos,TheBuildingBlock,9358.45
2023-03-19,Steel,SupplySolutions,11899.14
2023-07-14,Concrete,ConstructionSupply,8148.74
2023-04-13,Concrete,TimberMart,9090.55
2023-12-03,Concrete,TimberMart,8179.01
2023-11-09,Steel,ConstructionSupply,9085.33
2023-04-12,Steel,TheHardwareStore,8597.95
2023-11-20,Ceramic,TheBuildingBlock,9148.95
2023-04-11,Steel,SupplySolutions,10099.18
2023-01-10,Ceramic,TheBuildingBlock,8408.16
2023-09-21,Ceramic,SupplySolutions,8940.26
2023-05-04,Concrete,TimberlandSupply,11079.47
2023-05-14,Concrete,SupplySolutions,10137.2
2023-12-22,Concrete,ConstructionSupply,9791.89
2023-12-04,Ceramic,SupplySolutions,11718.99
2023-08-07,Brick,TimberlandSupply,11167.47
2023-02-15,Concrete,ConstructionSupply,8003.33
2023-11-19,Asbestos,TheHardwareStore,11946.96
2023-03-25,Ceramic,TheBuildingBlock,10866.77
2023-08-06,Ceramic,TheHardwareStore,9193.71
2023-11-15,Brick,TimberlandSupply,8461.59
2023-03-23,Steel,SupplySolutions,11832.22
2023-08-25,Ceramic,SupplyCenter,11090.02
2023-02-24,Concrete,ConstructionSupply,11656.92
2023-05-21,Brick,SupplyCenter,11166.81
2023-10-25,Ceramic,TimberlandSupply,10910.35
2023-08-20,Asbestos,TimberlandSupply,9082.74
2023-08-21,Ceramic,ConstructionSupply,9328.3
2023-02-12,Brick,ConstructionSupply,10203.56
2023-04-05,Asbestos,TheHardwareStore,11446.85
2023-07-25,Concrete,TimberlandSupply,9241.03
2023-07-12,Steel,SupplyCenter,11212.08
2023-02-18,Steel,SupplyCenter,9335.0
2023-10-25,Brick,ConstructionSupply,9923.1
2023-04-12,Brick,ConstructionSupply,9980.27
2023-09-16,Ceramic,ConstructionSupply,9000.84
2023-10-14,Brick,SupplyCenter,8276.25
2023-12-10,Brick,SupplySolutions,9521.72
2023-08-07,Concrete,ConstructionSupply,10449.24
2023-08-09,Brick,TimberMart,9210.89
2023-06-14,Ceramic,SupplySolutions,11330.89
2023-10-18,Steel,TimberlandSupply,9064.56
2023-04-03,Concrete,TheHardwareStore,9199.85
2023-02-24,Steel,TimberMart,8876.09
2023-04-22,Concrete,SupplySolutions,11780.04
2023-06-22,Brick,SupplyCenter,8783.05
2023-06-10,Asbestos,SupplyCenter,10310.18
2023-04-04,Brick,ConstructionSupply,10467.77
2023-04-19,Ceramic,TimberMart,10570.96
2023-01-14,Steel,SupplySolutions,9305.02
2023-08-02,Concrete,SupplySolutions,10255.6
2023-08-15,Ceramic,TimberMart,8345.42
2023-02-07,Brick,TimberlandSupply,11128.8
2023-04-17,Asbestos,TimberMart,10275.56
2023-04-09,Steel,TheHardwareStore,10992.06
2023-06-24,Concrete,ConstructionSupply,9063.6
2023-11-06,Concrete,SupplySolutions,10259.93
2023-08-14,Ceramic,TimberlandSupply,10581.07
2023-04-06,Steel,SupplyCenter,10364.99
2023-10-03,Ceramic,TimberMart,11388.05
2023-11-14,Asbestos,TheBuildingBlock,10467.4
2023-07-25,Asbestos,TimberMart,8494.87
2023-05-10,Asbestos,TimberMart,11485.61
2023-01-22,Asbestos,SupplyCenter,11047.23
2023-12-20,Steel,TheHardwareStore,10623.92
2023-04-14,Concrete,TheHardwareStore,11168.79
2023-09-14,Ceramic,TheBuildingBlock,11383.59
2023-02-18,Ceramic,ConstructionSupply,9721.48
2023-07-22,Steel,TheHardwareStore,9397.34
2023-10-21,Steel,TimberMart,10623.84
2023-03-14,Brick,TimberlandSupply,11425.96
2023-07-25,Steel,TheBuildingBlock,10817.8
2023-04-19,Steel,TheHardwareStore,8947.85
2023-08-13,Steel,TimberlandSupply,9872.48
2023-04-04,Concrete,TimberMart,10568.89
2023-02-20,Concrete,TheHardwareStore,10897.25
2023-01-04,Brick,TheHardwareStore,11626.5
2023-11-17,Steel,TheBuildingBlock,10520.14
2023-03-19,Ceramic,TheBuildingBlock,11313.61
2023-11-25,Ceramic,TheHardwareStore,9241.06
2023-02-10,Ceramic,TheBuildingBlock,9036.12
2023-02-09,Ceramic,TheHardwareStore,9508.25
2023-12-21,Steel,ConstructionSupply,11325.11
2023-09-05,Ceramic,ConstructionSupply,8126.98
2023-09-10,Asbestos,SupplyCenter,8704.32
2023-01-16,Concrete,TheBuildingBlock,8605.91
2023-07-21,Asbestos,SupplyCenter,9086.23
2023-06-18,Steel,TheBuildingBlock,8684.29
2023-09-09,Asbestos,ConstructionSupply,9458.27
2023-08-12,Brick,TimberMart,9500.14
2023-09-24,Ceramic,SupplyCenter,8060.49
2023-12-14,Ceramic,TheHardwareStore,8942.02
2023-04-17,Brick,TimberMart,10038.48
2023-02-25,Asbestos,TheBuildingBlock,8174.87
2023-09-16,Brick,TimberMart,8768.61
2023-05-17,Concrete,TheBuildingBlock,10533.66
2023-04-18,Asbestos,SupplySolutions,9033.36
2023-04-12,Asbestos,TimberlandSupply,10405.95
2023-03-19,Ceramic,TimberMart,9478.31
2023-12-16,Brick,SupplySolutions,10424.33
2023-12-06,Brick,ConstructionSupply,9875.62
2023-04-01,Concrete,TimberlandSupply,11017.41
2023-12-20,Steel,ConstructionSupply,9683.44
2023-11-21,Concrete,TheBuildingBlock,11733.51
2023-12-09,Asbestos,SupplyCenter,9044.53
2023-03-20,Steel,TheBuildingBlock,9113.99
2023-01-13,Concrete,TheHardwareStore,9451.95
2023-07-23,Brick,ConstructionSupply,8989.96
2023-08-17,Steel,TimberMart,11207.48
2023-09-03,Ceramic,TimberlandSupply,8239.63
2023-08-01,Steel,TheHardwareStore,9798.89
2023-03-01,Concrete,SupplySolutions,9548.78
2023-12-18,Concrete,SupplyCenter,8849.47
2023-07-24,Brick,TimberMart,8733.32
2023-10-02,Brick,TimberlandSupply,9659.05
2023-04-06,Asbestos,TheHardwareStore,9705.03
2023-07-23,Ceramic,ConstructionSupply,10809.34
2023-04-23,Steel,SupplyCenter,11283.12
2023-02-01,Steel,TimberMart,9414.12
2023-09-08,Asbestos,TimberMart,9467.35
2023-07-21,Asbestos,SupplySolutions,11384.33
2023-08-01,Concrete,SupplySolutions,9356.91
2023-01-06,Concrete,ConstructionSupply,11115.97
2023-03-18,Ceramic,TimberlandSupply,9848.44
2023-11-21,Steel,TimberlandSupply,10773.28
2023-04-23,Brick,SupplyCenter,8923.43
2023-01-24,Steel,TimberlandSupply,11056.51
2023-12-15,Ceramic,TheHardwareStore,10365.01
2023-07-20,Steel,SupplyCenter,11627.77
2023-07-11,Ceramic,TheHardwareStore,11086.52
2023-10-05,Concrete,SupplySolutions,9915.38
2023-04-03,Ceramic,SupplyCenter,10375.52
2023-05-17,Concrete,TimberMart,11988.27
2023-02-21,Steel,TimberMart,11538.4
2023-02-20,Steel,TheHardwareStore,11104.07
2023-01-14,Ceramic,TimberlandSupply,8576.51
2023-06-02,Steel,SupplyCenter,10294.27
2023-08-03,Asbestos,TheBuildingBlock,9383.44
2023-11-02,Asbestos,TheHardwareStore,10842.23
2023-01-09,Steel,SupplySolutions,8152.87
2023-11-10,Ceramic,SupplyCenter,8498.3
2023-11-05,Brick,ConstructionSupply,11764.74
2023-04-20,Steel,SupplyCenter,9969.77
2023-08-23,Steel,TimberMart,8224.43
2023-04-08,Ceramic,ConstructionSupply,8117.45
2023-05-06,Asbestos,SupplyCenter,11919.95
2023-04-21,Asbestos,TimberMart,8853.86
2023-05-07,Steel,SupplyCenter,11200.64
2023-06-16,Brick,TheHardwareStore,11819.74
2023-09-16,Brick,SupplyCenter,8826.71
2023-11-18,Steel,TimberlandSupply,8517.53
2023-02-05,Concrete,SupplyCenter,9122.0
2023-09-18,Ceramic,TimberMart,10333.78
2023-06-09,Asbestos,ConstructionSupply,8927.05
2023-12-06,Concrete,TheBuildingBlock,11815.91
2023-03-14,Brick,TimberMart,10668.83
2023-09-15,Concrete,TheBuildingBlock,11206.65
2023-12-12,Ceramic,SupplySolutions,8732.11
2023-12-23,Ceramic,TimberlandSupply,8536.38
2023-04-05,Concrete,TheHardwareStore,11496.38
2023-06-03,Ceramic,TimberMart,9067.92
2023-04-13,Brick,TimberlandSupply,9575.64
2023-10-18,Ceramic,TheBuildingBlock,11040.9
2023-12-08,Ceramic,SupplySolutions,10393.31
2023-03-03,Ceramic,SupplyCenter,8405.57
2023-10-13,Brick,TheBuildingBlock,11244.08
2023-11-16,Asbestos,TimberlandSupply,9175.48
2023-09-15,Asbestos,TheBuildingBlock,11591.49
2023-01-03,Brick,TheHardwareStore,9380.32
2023-02-18,Steel,SupplyCenter,9229.53
2023-05-16,Steel,TimberMart,9746.19
2023-07-04,Brick,ConstructionSupply,9525.69
2023-07-12,Brick,SupplySolutions,9740.71
2023-03-11,Brick,ConstructionSupply,9450.73
2023-07-04,Steel,SupplyCenter,11642.96
2023-07-12,Asbestos,TimberMart,8176.12
2023-03-15,Concrete,TheBuildingBlock,10077.41
2023-04-05,Brick,TheBuildingBlock,10058.16
2023-12-22,Steel,TheHardwareStore,9984.88
2023-12-19,Asbestos,TheBuildingBlock,11592.43
2023-08-06,Asbestos,TheBuildingBlock,10910.95
2023-04-24,Ceramic,TimberlandSupply,10371.79
2023-11-19,Steel,SupplySolutions,9004.16
2023-11-13,Concrete,TimberlandSupply,11928.02
2023-04-23,Brick,TimberlandSupply,8308.11
2023-02-13,Steel,TheHardwareStore,11350.49
2023-08-04,Steel,TimberlandSupply,10741.38
2023-05-21,Steel,TheHardwareStore,8237.88
2023-03-23,Steel,SupplySolutions,10154.11
2023-04-15,Asbestos,TimberlandSupply,8693.02
2023-06-15,Asbestos,TimberlandSupply,9771.5
2023-06-12,Steel,TimberMart,11809.96
2023-06-21,Asbestos,TheBuildingBlock,10178.18
2023-04-14,Concrete,ConstructionSupply,9026.24
2023-04-23,Concrete,TheBuildingBlock,8867.05
2023-05-25,Ceramic,TimberMart,10407.47
2023-01-19,Steel,SupplyCenter,9907.49
2023-07-22,Ceramic,SupplySolutions,9103.8
2023-04-06,Ceramic,TimberMart,8818.17
2023-08-07,Asbestos,SupplySolutions,9736.14
2023-08-20,Steel,TheHardwareStore,11424.17
2023-01-20,Brick,SupplySolutions,10164.44
2023-11-11,Ceramic,ConstructionSupply,9019.24
2023-11-14,Brick,TimberMart,10059.43
2023-06-11,Asbestos,TheBuildingBlock,9748.76
2023-09-16,Brick,TimberlandSupply,11362.94
2023-08-20,Steel,SupplyCenter,8432.18
2023-02-24,Asbestos,ConstructionSupply,10426.75
2023-09-07,Brick,TimberMart,8394.24
2023-04-11,Brick,SupplySolutions,11211.72
2023-05-16,Steel,TimberlandSupply,9566.55
2023-01-03,Brick,SupplySolutions,8183.55
2023-04-18,Asbestos,SupplyCenter,11194.18
2023-11-20,Brick,TheHardwareStore,8789.03
2023-10-11,Brick,TheBuildingBlock,8007.19
2023-02-22,Steel,SupplyCenter,10559.07
2023-04-08,Steel,SupplySolutions,9262.05
2023-06-20,Ceramic,TimberMart,11712.94
2023-10-21,Concrete,TheHardwareStore,11236.96
2023-07-03,Concrete,TimberMart,8712.22
2023-08-16,Ceramic,SupplySolutions,10620.2
2023-02-11,Concrete,TheHardwareStore,11844.98
2023-12-02,Asbestos,TheBuildingBlock,10170.93
