date,material,supplier,cost
2023-08-16,Insulation,BuildCo,9522.03
2023-11-07,Concrete,ConstructionDepot,11796.09
2023-01-14,Insulation,MaterialMasters,9023.57
2023-09-11,Insulation,ConstructionDepot,8530.13
2023-02-21,Wood,LumberYardInc,8693.74
2023-03-19,Glass,TimberlandSupply,9041.51
2023-04-08,Insulation,BuildCo,8107.29
2023-02-04,Plastic,ConstructionDepot,11536.32
2023-12-21,Insulation,BuildCo,9829.7
2023-12-12,Wood,ConstructionDepot,10755.53
2023-12-14,Insulation,TimberMart,11466.46
2023-05-04,Glass,TimberlandSupply,10369.97
2023-09-16,Concrete,TimberlandSupply,8822.27
2023-06-02,Wood,TimberlandSupply,10088.7
2023-07-13,Glass,BuildCo,10687.91
2023-01-06,Insulation,LumberYardInc,8765.85
2023-09-01,Wood,BuildCo,8764.47
2023-10-04,Wood,ConstructionDepot,11554.32
2023-02-18,Wood,TimberlandSupply,9633.78
2023-11-07,Insulation,TimberMart,10975.54
2023-06-09,Insulation,TimberMart,9845.75
2023-06-16,Concrete,LumberYardInc,8529.15
2023-02-03,Wood,ConstructionDepot,10244.67
2023-01-13,Concrete,MaterialMasters,8825.57
2023-10-08,Concrete,TimberMart,9928.99
2023-11-24,Glass,TimberlandSupply,9076.58
2023-10-21,Wood,BuildCo,11606.68
2023-06-14,Insulation,HomeDepotPro,9195.12
2023-07-11,Concrete,BuildCo,8798.03
2023-05-23,Glass,MaterialMasters,11644.25
2023-12-18,Insulation,TimberMart,9099.66
2023-01-21,Wood,MaterialMasters,11527.69
2023-08-05,Concrete,HomeDepotPro,8152.97
2023-01-05,Wood,LumberYardInc,8310.31
2023-03-22,Insulation,MaterialMasters,10882.72
2023-04-10,Concrete,TimberlandSupply,11780.65
2023-06-11,Plastic,HomeDepotPro,11184.43
2023-11-12,Concrete,MaterialMasters,10144.96
2023-03-20,Concrete,ConstructionDepot,10238.13
2023-09-18,Concrete,TimberlandSupply,11293.06
2023-03-22,Insulation,TimberlandSupply,11687.16
2023-03-13,Glass,ConstructionDepot,11021.39
2023-03-11,Plastic,HomeDepotPro,10586.36
2023-03-24,Concrete,LumberYardInc,10403.34
2023-02-06,Concrete,TimberMart,9184.1
2023-12-12,Insulation,TimberlandSupply,11733.98
2023-09-21,Insulation,BuildCo,10890.11
2023-06-19,Wood,TimberMart,10448.38
2023-08-01,Plastic,TimberlandSupply,10790.65
2023-05-25,Insulation,BuildCo,8292.74
2023-11-02,Concrete,HomeDepotPro,9766.65
2023-12-21,Insulation,TimberMart,8810.3
2023-11-11,Plastic,TimberMart,11299.31
2023-12-04,Insulation,TimberlandSupply,9298.58
2023-06-11,Wood,TimberMart,8175.89
2023-05-03,Wood,TimberlandSupply,9478.34
2023-11-21,Glass,TimberlandSupply,9040.87
2023-03-18,Plastic,MaterialMasters,8910.88
2023-05-02,Concrete,ConstructionDepot,9492.25
2023-06-17,Glass,ConstructionDepot,9381.81
2023-03-01,Wood,MaterialMasters,10442.82
2023-07-05,Plastic,TimberMart,9969.23
2023-03-09,Glass,BuildCo,11572.85
2023-03-22,Insulation,TimberlandSupply,11537.51
2023-12-16,Glass,ConstructionDepot,11154.25
