date,material,supplier,cost
2023-07-15,Glass,SupplyCenter,8806.82
2023-09-02,Steel,MaterialSource,9281.94
2023-02-20,Concrete,SupplyCenter,11333.7
2023-04-11,Concrete,SupplyCenter,8885.96
2023-04-18,Steel,TimberlandSupply,8398.03
2023-07-23,Concrete,SupplyCenter,11624.97
2023-11-08,Brick,SupplyCenter,10721.87
2023-01-15,Brick,HomeDepotPro,8602.65
2023-07-07,Concrete,BuildSmart,10959.35
2023-03-16,Brick,HomeDepotPro,9264.83
2023-11-12,Glass,HomeDepotPro,8667.29
2023-06-22,Glass,ConstructionDepot,11807.96
2023-10-19,Steel,HomeDepotPro,9781.29
2023-02-19,Steel,HomeDepotPro,8404.63
2023-11-18,Brick,BuildCo,10341.29
2023-01-18,Gypsum,BuildSmart,8973.34
2023-03-11,Brick,SupplyCenter,9796.7
2023-08-21,Concrete,SupplyCenter,9503.04
2023-02-24,Gypsum,BuildCo,9789.1
2023-01-24,Brick,MaterialSource,8394.78
2023-08-10,Gypsum,SupplyCenter,10908.43
2023-08-17,Brick,ConstructionDepot,11050.73
2023-08-08,Steel,SupplyCenter,11053.47
2023-06-01,Gypsum,TimberlandSupply,8592.77
2023-11-10,Gypsum,ConstructionDepot,8741.1
2023-04-05,Brick,HomeDepotPro,8659.25
2023-03-06,Concrete,BuildCo,9070.32
2023-09-23,Glass,MaterialSource,10426.74
2023-05-18,Concrete,HomeDepotPro,8218.83
2023-07-10,Steel,BuildCo,9138.57
2023-05-13,Concrete,TimberlandSupply,9821.69
2023-08-03,Steel,ConstructionDepot,11309.78
2023-10-21,Brick,SupplyCenter,9830.9
2023-11-12,Brick,TimberlandSupply,8477.18
2023-02-20,Brick,BuildSmart,8748.82
2023-08-22,Gypsum,HomeDepotPro,11533.77
2023-10-12,Glass,ConstructionDepot,10119.42
2023-12-01,Brick,ConstructionDepot,9284.61
2023-02-12,Gypsum,BuildCo,10292.0
2023-10-18,Brick,ConstructionDepot,11153.03
2023-10-24,Glass,BuildCo,8662.06
2023-02-15,Gypsum,BuildSmart,8103.08
2023-02-08,Steel,BuildCo,8519.57
2023-04-22,Steel,TimberlandSupply,11636.31
2023-03-01,Concrete,SupplyCenter,11036.2
2023-03-03,Steel,TimberlandSupply,8649.17
2023-05-08,Gypsum,BuildSmart,8170.12
2023-02-18,Brick,ConstructionDepot,10541.5
2023-05-05,Brick,ConstructionDepot,9837.89
2023-05-11,Concrete,HomeDepotPro,9645.51
2023-05-10,Steel,BuildSmart,11076.75
2023-01-06,Gypsum,BuildSmart,8045.82
2023-06-01,Gypsum,BuildSmart,8887.88
2023-06-02,Glass,TimberlandSupply,11594.32
2023-05-25,Brick,BuildCo,8019.23
2023-11-12,Glass,ConstructionDepot,11689.69
2023-04-23,Glass,HomeDepotPro,10191.01
2023-05-10,Steel,ConstructionDepot,9860.08
2023-06-18,Concrete,MaterialSource,11009.94
2023-12-24,Concrete,TimberlandSupply,8658.57
2023-02-10,Concrete,BuildCo,9630.52
2023-08-01,Glass,SupplyCenter,10230.99
2023-02-13,Concrete,MaterialSource,11651.72
2023-12-16,Glass,BuildSmart,10409.2
2023-09-22,Brick,BuildSmart,11314.21
2023-06-21,Brick,MaterialSource,11500.44
2023-07-20,Gypsum,SupplyCenter,9633.57
2023-01-08,Steel,BuildSmart,9809.51
2023-02-18,Brick,MaterialSource,11429.42
2023-06-08,Brick,ConstructionDepot,11022.02
2023-08-20,Concrete,ConstructionDepot,10969.64
2023-02-08,Gypsum,ConstructionDepot,8595.75
2023-05-18,Gypsum,TimberlandSupply,10514.96
2023-06-15,Brick,TimberlandSupply,11768.82
2023-04-03,Brick,ConstructionDepot,8910.71
2023-09-09,Concrete,TimberlandSupply,9591.87
2023-01-24,Glass,BuildSmart,8026.98
2023-06-09,Brick,ConstructionDepot,11600.09
2023-01-06,Gypsum,BuildSmart,9614.43
2023-09-24,Concrete,TimberlandSupply,8790.13
2023-04-24,Steel,HomeDepotPro,8552.83
2023-04-08,Gypsum,ConstructionDepot,10660.12
2023-12-04,Concrete,BuildSmart,10164.16
2023-06-13,Concrete,TimberlandSupply,11094.47
2023-10-10,Concrete,MaterialSource,10945.28
2023-08-05,Steel,TimberlandSupply,9709.59
2023-10-19,Brick,ConstructionDepot,8749.96
2023-11-10,Brick,MaterialSource,9716.77
2023-09-11,Brick,SupplyCenter,10099.57
2023-10-01,Gypsum,SupplyCenter,10823.17
2023-04-01,Concrete,BuildSmart,11996.83
2023-10-09,Glass,SupplyCenter,11029.39
2023-04-05,Glass,BuildCo,11702.25
2023-03-18,Glass,BuildSmart,10371.47
2023-07-04,Concrete,BuildSmart,11765.72
2023-04-20,Steel,TimberlandSupply,11564.6
2023-10-10,Glass,ConstructionDepot,8011.56
2023-12-10,Steel,TimberlandSupply,8734.3
2023-11-02,Concrete,MaterialSource,9871.81
2023-05-04,Glass,HomeDepotPro,8757.46
2023-02-25,Concrete,BuildSmart,8531.19
2023-10-13,Concrete,BuildSmart,11798.01
2023-02-21,Steel,BuildSmart,11683.23
2023-05-07,Steel,MaterialSource,11964.49
2023-02-18,Steel,SupplyCenter,8616.02
2023-12-24,Brick,BuildCo,10949.21
2023-01-12,Brick,TimberlandSupply,8523.23
2023-02-11,Gypsum,MaterialSource,11000.14
2023-03-13,Glass,MaterialSource,10879.16
2023-11-11,Glass,TimberlandSupply,11951.63
2023-11-01,Brick,HomeDepotPro,8836.28
2023-05-20,Steel,TimberlandSupply,8622.07
2023-03-13,Steel,TimberlandSupply,8463.95
2023-06-15,Glass,SupplyCenter,9457.69
2023-03-10,Concrete,TimberlandSupply,11598.92
2023-09-24,Steel,MaterialSource,11095.22
2023-02-22,Concrete,HomeDepotPro,9553.66
2023-05-21,Brick,ConstructionDepot,10025.24
2023-02-04,Brick,BuildCo,9781.2
2023-01-21,Gypsum,SupplyCenter,8852.93
2023-06-05,Gypsum,ConstructionDepot,8698.61
2023-02-11,Steel,BuildCo,9157.37
2023-02-20,Concrete,SupplyCenter,11898.82
2023-02-03,Concrete,BuildCo,10514.55
2023-06-24,Steel,ConstructionDepot,8140.19
2023-07-23,Steel,BuildSmart,8207.12
2023-10-02,Gypsum,HomeDepotPro,9128.02
2023-06-13,Glass,ConstructionDepot,9521.53
2023-03-11,Glass,SupplyCenter,11375.21
2023-12-09,Steel,SupplyCenter,10450.67
2023-01-02,Brick,SupplyCenter,9807.08
2023-10-15,Glass,SupplyCenter,11380.33
2023-12-02,Brick,MaterialSource,10090.57
2023-11-12,Gypsum,TimberlandSupply,8777.64
2023-02-20,Steel,SupplyCenter,11527.7
2023-08-25,Steel,MaterialSource,11038.13
2023-08-10,Concrete,ConstructionDepot,8927.53
2023-08-19,Steel,ConstructionDepot,9842.87
2023-11-11,Steel,MaterialSource,10581.47
2023-05-20,Steel,SupplyCenter,8704.3
2023-06-06,Steel,SupplyCenter,10656.97
2023-05-04,Gypsum,ConstructionDepot,11422.75
2023-09-21,Brick,BuildCo,10174.45
2023-09-24,Brick,BuildSmart,8111.9
2023-03-03,Brick,BuildCo,8232.32
2023-12-13,Glass,SupplyCenter,10598.0
2023-12-03,Brick,BuildSmart,10011.72
2023-01-17,Gypsum,ConstructionDepot,8297.99
2023-10-11,Brick,BuildCo,9168.78
2023-10-12,Gypsum,HomeDepotPro,10412.73
2023-10-13,Concrete,ConstructionDepot,9806.55
2023-02-15,Brick,TimberlandSupply,11805.38
2023-10-06,Concrete,HomeDepotPro,11393.37
2023-06-18,Gypsum,TimberlandSupply,10072.15
2023-09-08,Concrete,HomeDepotPro,8705.57
2023-03-04,Steel,BuildSmart,11608.96
2023-01-06,Brick,BuildSmart,9652.24
2023-06-24,Brick,BuildCo,9843.66
2023-05-11,Steel,BuildCo,11714.12
2023-04-16,Concrete,TimberlandSupply,9524.59
2023-11-01,Gypsum,ConstructionDepot,10424.53
2023-05-01,Glass,BuildSmart,8360.64
2023-04-15,Concrete,HomeDepotPro,10769.02
2023-12-23,Glass,HomeDepotPro,9388.27
2023-09-12,Steel,TimberlandSupply,11198.23
2023-04-24,Brick,SupplyCenter,8112.36
2023-07-01,Gypsum,ConstructionDepot,8001.33
2023-02-10,Steel,ConstructionDepot,10434.63
2023-08-05,Concrete,BuildSmart,11278.66
2023-08-16,Brick,MaterialSource,10110.39
2023-01-13,Steel,TimberlandSupply,9789.7
2023-11-09,Brick,BuildCo,11250.48
2023-02-18,Steel,BuildSmart,10444.97
2023-05-02,Concrete,SupplyCenter,10713.07
2023-01-10,Brick,ConstructionDepot,11921.02
2023-08-20,Steel,ConstructionDepot,10132.77
2023-06-17,Glass,ConstructionDepot,9734.17
2023-02-14,Steel,HomeDepotPro,11922.22
2023-08-12,Steel,MaterialSource,9475.65
2023-08-20,Concrete,BuildSmart,11440.85
2023-12-24,Glass,TimberlandSupply,11269.5
2023-02-23,Gypsum,ConstructionDepot,11526.25
2023-09-19,Glass,HomeDepotPro,9923.61
2023-01-19,Gypsum,MaterialSource,9115.96
2023-07-04,Brick,BuildSmart,10180.53
2023-06-05,Brick,MaterialSource,8232.73
2023-01-08,Concrete,BuildSmart,10507.36
2023-10-08,Brick,SupplyCenter,10982.61
2023-11-05,Brick,HomeDepotPro,9167.66
2023-12-18,Concrete,BuildCo,9717.93
2023-11-08,Gypsum,MaterialSource,9939.39
2023-07-15,Brick,TimberlandSupply,9092.12
2023-12-11,Brick,TimberlandSupply,8855.53
2023-10-16,Gypsum,MaterialSource,11662.27
2023-09-24,Glass,MaterialSource,10961.7
2023-10-23,Steel,BuildCo,9224.87
2023-02-18,Concrete,SupplyCenter,11427.85
2023-02-04,Glass,ConstructionDepot,9929.99
2023-12-10,Concrete,SupplyCenter,10127.35
2023-05-03,Steel,ConstructionDepot,8698.51
2023-02-08,Concrete,SupplyCenter,8189.67
2023-01-01,Glass,ConstructionDepot,10873.79
2023-07-21,Concrete,BuildSmart,11619.18
2023-10-12,Gypsum,MaterialSource,11296.91
2023-02-05,Glass,HomeDepotPro,9903.4
2023-12-11,Brick,HomeDepotPro,9704.03
2023-02-10,Gypsum,MaterialSource,8290.35
2023-02-12,Brick,TimberlandSupply,11603.95
2023-06-11,Gypsum,ConstructionDepot,8531.62
2023-10-12,Brick,SupplyCenter,8531.5
2023-08-11,Concrete,BuildSmart,8006.76
2023-02-24,Brick,ConstructionDepot,8420.29
2023-01-04,Brick,BuildSmart,8365.64
2023-03-19,Steel,BuildSmart,11491.92
2023-02-07,Concrete,BuildCo,9891.39
