date,material,supplier,cost
2023-12-24,Wood,ConstructionDepot,11922.08
2023-12-12,Plastic,HomeDepotPro,9242.52
2023-01-09,Gypsum,HomeDepotPro,10149.54
2023-03-23,Gypsum,TheHardwareStore,8298.56
2023-05-22,Wood,HomeDepotPro,10247.81
2023-07-20,Plastic,MaterialMasters,10671.37
2023-10-09,Wood,HomeDepotPro,11900.73
2023-04-17,Glass,MaterialMasters,11581.76
2023-01-06,Plastic,MaterialMasters,9559.75
2023-05-21,Concrete,LumberYardInc,8962.88
2023-09-03,Glass,HomeImprovementHQ,8829.86
2023-06-18,Glass,LumberYardInc,8652.37
2023-02-05,Wood,HomeImprovementHQ,10915.22
2023-05-11,Plastic,HomeImprovementHQ,11009.2
2023-09-17,Concrete,ConstructionDepot,8313.79
2023-01-03,Wood,TheHardwareStore,11332.07
2023-03-13,Plastic,LumberYardInc,9520.71
2023-04-04,Wood,ConstructionDepot,11907.42
2023-01-14,Glass,TheHardwareStore,10270.21
2023-11-11,Plastic,MaterialSource,11001.76
2023-01-01,Glass,TheHardwareStore,9885.64
2023-04-20,Wood,LumberYardInc,8257.49
2023-08-07,Wood,HomeDepotPro,11260.65
2023-03-18,Glass,HomeImprovementHQ,11624.24
2023-07-03,Plastic,HomeDepotPro,9400.5
2023-09-22,Glass,HomeImprovementHQ,8317.58
2023-04-09,Glass,HomeImprovementHQ,10191.07
2023-06-02,Gypsum,ConstructionDepot,9758.1
2023-07-19,Concrete,ConstructionDepot,8685.55
2023-07-16,Concrete,TheHardwareStore,11922.02
2023-11-14,Glass,ConstructionDepot,11692.52
2023-03-07,Plastic,HomeDepotPro,10917.89
2023-04-18,Gypsum,HomeImprovementHQ,10346.27
2023-07-14,Wood,HomeImprovementHQ,9363.14
2023-01-24,Plastic,TheHardwareStore,11852.9
2023-05-20,Gypsum,TheHardwareStore,11627.97
2023-12-01,Gypsum,MaterialSource,11338.53
2023-04-12,Plastic,MaterialSource,9114.57
2023-03-18,Concrete,TheHardwareStore,9677.8
2023-06-10,Concrete,MaterialSource,9616.39
2023-08-03,Wood,LumberYardInc,10443.92
2023-05-07,Wood,HomeDepotPro,11286.73
2023-04-23,Glass,MaterialMasters,8014.04
2023-02-24,Glass,HomeDepotPro,10571.14
2023-09-11,Concrete,TheHardwareStore,8902.0
2023-02-14,Concrete,HomeImprovementHQ,8313.96
2023-09-16,Wood,HomeImprovementHQ,10579.52
2023-02-14,Concrete,MaterialMasters,8442.06
2023-09-18,Glass,TheHardwareStore,10027.82
2023-09-11,Gypsum,HomeDepotPro,10790.26
2023-10-18,Plastic,TheHardwareStore,8274.71
2023-10-06,Concrete,LumberYardInc,10961.47
2023-01-09,Glass,LumberYardInc,11429.97
2023-01-20,Gypsum,MaterialSource,8722.91
2023-12-14,Gypsum,MaterialSource,10213.17
2023-06-08,Plastic,MaterialMasters,8193.56
2023-10-01,Gypsum,ConstructionDepot,11339.65
2023-12-11,Gypsum,LumberYardInc,9256.73
2023-09-10,Wood,MaterialSource,8531.77
2023-06-24,Wood,HomeImprovementHQ,11111.07
2023-10-01,Glass,HomeDepotPro,8154.95
2023-04-03,Concrete,HomeImprovementHQ,9010.19
2023-04-19,Glass,TheHardwareStore,9523.75
2023-06-06,Glass,ConstructionDepot,11108.77
2023-02-11,Wood,LumberYardInc,8472.67
2023-09-21,Wood,ConstructionDepot,11256.15
2023-06-19,Gypsum,TheHardwareStore,8903.57
2023-04-03,Plastic,HomeImprovementHQ,9741.16
2023-05-10,Glass,MaterialSource,8434.33
2023-11-02,Glass,MaterialSource,9162.82
2023-12-06,Wood,HomeDepotPro,9424.34
2023-10-07,Concrete,LumberYardInc,9426.04
2023-10-20,Wood,MaterialSource,9620.22
2023-09-10,Glass,HomeImprovementHQ,8488.38
2023-08-16,Wood,MaterialSource,8571.07
2023-11-12,Glass,HomeDepotPro,9002.71
2023-06-04,Concrete,LumberYardInc,9430.73
2023-09-19,Glass,ConstructionDepot,11839.51
2023-12-25,Plastic,TheHardwareStore,8199.72
2023-02-13,Glass,LumberYardInc,8040.03
2023-04-06,Wood,ConstructionDepot,8961.65
2023-06-17,Glass,LumberYardInc,8809.5
2023-07-25,Plastic,HomeImprovementHQ,10936.14
2023-12-12,Glass,HomeDepotPro,9479.52
2023-07-05,Concrete,MaterialSource,11624.51
2023-04-22,Glass,LumberYardInc,9791.64
2023-03-13,Wood,MaterialSource,10738.28
2023-07-02,Concrete,HomeDepotPro,10943.74
2023-01-21,Glass,MaterialMasters,8240.01
2023-01-23,Gypsum,MaterialSource,11316.6
2023-05-24,Glass,LumberYardInc,10467.08
2023-01-10,Glass,TheHardwareStore,11880.74
2023-04-23,Gypsum,HomeImprovementHQ,10103.7
2023-04-08,Glass,MaterialMasters,8616.23
2023-10-25,Gypsum,MaterialSource,10743.66
2023-06-21,Wood,HomeImprovementHQ,11846.42
2023-02-20,Glass,MaterialMasters,8430.1
2023-04-01,Plastic,MaterialMasters,8405.94
2023-01-01,Gypsum,MaterialSource,10166.05
2023-11-07,Glass,HomeDepotPro,11416.31
2023-09-14,Wood,ConstructionDepot,9239.5
2023-01-04,Concrete,LumberYardInc,10771.74
2023-12-15,Glass,MaterialMasters,8330.86
2023-05-08,Gypsum,HomeImprovementHQ,10019.31
2023-02-02,Wood,MaterialSource,10626.93
2023-01-10,Concrete,HomeDepotPro,9735.95
2023-05-22,Wood,MaterialMasters,11401.52
2023-06-14,Concrete,TheHardwareStore,10232.54
2023-01-17,Glass,HomeDepotPro,10919.79
2023-05-09,Wood,ConstructionDepot,9482.68
2023-04-10,Plastic,HomeImprovementHQ,10667.17
2023-04-19,Glass,MaterialSource,11556.33
2023-06-09,Glass,HomeImprovementHQ,9970.4
2023-01-15,Wood,LumberYardInc,8825.57
2023-05-13,Gypsum,HomeImprovementHQ,11190.22
2023-12-19,Wood,LumberYardInc,8225.34
2023-02-11,Glass,HomeImprovementHQ,8654.72
2023-12-17,Concrete,TheHardwareStore,10315.83
2023-11-08,Wood,HomeDepotPro,9386.56
2023-11-04,Wood,MaterialSource,10961.7
2023-11-23,Glass,MaterialSource,8231.56
2023-07-13,Glass,LumberYardInc,9669.76
2023-04-04,Wood,MaterialMasters,8500.88
2023-05-03,Wood,MaterialSource,9990.36
2023-03-23,Gypsum,LumberYardInc,11848.6
2023-10-04,Glass,MaterialMasters,11692.82
2023-02-15,Wood,ConstructionDepot,8358.06
2023-09-05,Glass,TheHardwareStore,11643.7
2023-07-11,Plastic,MaterialSource,9991.12
2023-08-11,Wood,HomeDepotPro,10302.33
2023-09-17,Plastic,LumberYardInc,9520.8
2023-03-22,Wood,MaterialMasters,11245.95
2023-09-14,Wood,ConstructionDepot,11877.32
2023-12-24,Plastic,HomeImprovementHQ,9586.94
2023-04-12,Plastic,MaterialSource,9475.99
2023-07-08,Gypsum,TheHardwareStore,9875.44
2023-05-16,Glass,LumberYardInc,11570.41
2023-04-13,Glass,MaterialMasters,11296.05
2023-04-16,Wood,LumberYardInc,10556.22
2023-08-25,Concrete,ConstructionDepot,9631.33
2023-04-11,Glass,ConstructionDepot,9912.98
2023-09-24,Concrete,TheHardwareStore,8684.31
2023-11-21,Wood,ConstructionDepot,8321.15
2023-02-03,Gypsum,LumberYardInc,10756.98
2023-08-20,Wood,MaterialSource,9467.71
2023-09-13,Gypsum,HomeImprovementHQ,9898.03
2023-09-16,Glass,MaterialSource,10059.65
2023-05-23,Concrete,MaterialSource,10914.19
2023-11-16,Gypsum,MaterialMasters,8983.73
2023-04-24,Glass,MaterialSource,11539.45
2023-02-02,Plastic,ConstructionDepot,11068.88
2023-02-22,Gypsum,TheHardwareStore,8393.86
2023-01-16,Glass,HomeDepotPro,8252.06
2023-09-01,Glass,MaterialSource,11362.25
2023-01-07,Wood,HomeImprovementHQ,9656.57
2023-02-21,Gypsum,ConstructionDepot,8767.83
2023-07-20,Wood,HomeDepotPro,11583.13
2023-09-10,Plastic,ConstructionDepot,11336.81
2023-12-16,Wood,ConstructionDepot,10633.78
2023-12-06,Wood,MaterialMasters,9955.11
2023-04-10,Gypsum,ConstructionDepot,9210.8
2023-01-14,Wood,MaterialSource,8701.37
2023-08-10,Glass,MaterialSource,9014.78
2023-08-16,Concrete,HomeDepotPro,9535.99
2023-10-08,Glass,TheHardwareStore,11567.92
2023-09-13,Concrete,MaterialSource,9234.28
2023-10-23,Glass,TheHardwareStore,10886.99
2023-09-12,Glass,MaterialMasters,8171.11
2023-03-01,Wood,HomeImprovementHQ,10705.07
2023-04-18,Wood,MaterialSource,9653.56
2023-10-19,Wood,TheHardwareStore,9254.13
2023-02-06,Plastic,TheHardwareStore,9508.67
2023-07-12,Plastic,ConstructionDepot,11471.22
2023-10-22,Concrete,MaterialSource,9573.29
2023-01-13,Gypsum,HomeImprovementHQ,11204.97
2023-11-13,Wood,MaterialSource,11237.37
2023-08-13,Gypsum,MaterialMasters,11183.81
2023-02-14,Glass,LumberYardInc,11718.68
2023-08-02,Wood,MaterialMasters,9362.66
2023-08-04,Plastic,ConstructionDepot,11879.95
2023-07-12,Glass,MaterialMasters,11650.33
2023-04-21,Gypsum,HomeImprovementHQ,10652.39
2023-04-13,Plastic,MaterialMasters,11207.25
2023-04-18,Gypsum,MaterialSource,8176.92
2023-03-19,Wood,HomeDepotPro,8420.12
2023-05-22,Wood,HomeImprovementHQ,10481.42
2023-07-07,Gypsum,ConstructionDepot,8413.74
2023-01-05,Gypsum,LumberYardInc,8906.65
2023-02-16,Gypsum,TheHardwareStore,9627.79
2023-06-13,Plastic,MaterialMasters,9631.56
2023-03-21,Gypsum,MaterialSource,8333.71
2023-06-14,Plastic,LumberYardInc,8156.59
2023-08-18,Concrete,ConstructionDepot,8836.48
2023-03-06,Glass,MaterialSource,9318.44
2023-11-18,Concrete,HomeImprovementHQ,9837.64
2023-08-21,Glass,HomeImprovementHQ,8579.26
2023-08-18,Wood,ConstructionDepot,8074.5
2023-07-18,Gypsum,ConstructionDepot,10506.36
2023-05-18,Glass,ConstructionDepot,8681.76
2023-10-02,Glass,HomeImprovementHQ,10809.4
2023-09-03,Wood,HomeDepotPro,10909.47
2023-11-24,Plastic,ConstructionDepot,10743.2
2023-01-16,Gypsum,LumberYardInc,8835.16
2023-05-11,Concrete,MaterialSource,8266.13
2023-09-10,Gypsum,MaterialSource,11788.5
2023-10-23,Wood,HomeDepotPro,10698.16
2023-12-14,Glass,TheHardwareStore,11657.51
2023-04-13,Wood,LumberYardInc,10012.17
2023-11-18,Glass,HomeImprovementHQ,9494.38
2023-06-12,Gypsum,MaterialSource,11857.2
2023-03-24,Wood,ConstructionDepot,8983.88
2023-05-18,Gypsum,MaterialSource,10846.05
2023-05-15,Gypsum,LumberYardInc,11018.24
2023-03-03,Concrete,TheHardwareStore,10197.64
2023-09-11,Gypsum,ConstructionDepot,10946.8
2023-10-22,Wood,HomeImprovementHQ,11656.35
2023-02-17,Wood,HomeImprovementHQ,10301.47
2023-03-20,Concrete,MaterialMasters,9487.38
2023-03-10,Glass,HomeImprovementHQ,8361.37
2023-08-01,Glass,ConstructionDepot,11181.29
2023-04-07,Gypsum,MaterialMasters,8760.16
2023-11-14,Wood,MaterialMasters,11574.1
2023-02-10,Concrete,MaterialSource,11895.18
2023-12-25,Concrete,HomeDepotPro,10797.38
2023-04-04,Concrete,MaterialSource,10258.58
2023-07-17,Wood,HomeDepotPro,9793.28
2023-10-15,Wood,ConstructionDepot,9393.16
2023-10-04,Glass,MaterialMasters,10938.9
2023-02-21,Wood,ConstructionDepot,10543.82
2023-05-11,Glass,HomeImprovementHQ,8600.13
2023-01-08,Glass,MaterialSource,8566.06
2023-05-01,Plastic,MaterialSource,8711.84
2023-10-08,Glass,HomeDepotPro,9664.73
2023-08-12,Glass,MaterialSource,11451.32
2023-04-13,Glass,ConstructionDepot,8618.51
2023-06-24,Gypsum,TheHardwareStore,8020.04
2023-02-06,Concrete,ConstructionDepot,11078.68
2023-02-20,Concrete,HomeDepotPro,8874.03
2023-03-24,Wood,HomeDepotPro,9814.91
2023-12-02,Wood,MaterialSource,10190.23
2023-09-06,Gypsum,TheHardwareStore,11413.3
2023-08-13,Wood,HomeImprovementHQ,8691.54
2023-07-11,Glass,ConstructionDepot,10189.97
2023-10-08,Glass,HomeImprovementHQ,8423.69
2023-03-12,Gypsum,TheHardwareStore,9781.4
2023-04-10,Gypsum,HomeImprovementHQ,8261.97
2023-01-20,Glass,MaterialMasters,10592.6
2023-11-20,Glass,HomeImprovementHQ,9863.58
2023-01-15,Concrete,LumberYardInc,10198.71
2023-09-20,Concrete,LumberYardInc,11550.73
2023-08-19,Glass,ConstructionDepot,11721.43
2023-08-14,Plastic,MaterialSource,9376.98
2023-04-01,Concrete,TheHardwareStore,9853.46
2023-04-18,Gypsum,MaterialMasters,9022.08
2023-12-06,Gypsum,MaterialMasters,8678.44
