date,material,supplier,cost
2023-04-02,Insulation,HomeImprovementHQ,9881.42
2023-10-08,Plastic,HomeImprovementHQ,8502.64
2023-08-12,Wood,SupplyCenter,10556.17
2023-01-13,Plastic,ConstructionDepot,10926.77
2023-04-19,Brick,BuildCo,8633.52
2023-01-12,Wood,SupplyCenter,11775.94
2023-02-20,Brick,ConstructionDepot,9413.7
2023-08-12,Brick,ConstructionDepot,8482.11
2023-06-22,Plastic,ConstructionDepot,10283.58
2023-04-14,Wood,LumberYardInc,9672.47
2023-08-22,Wood,TimberMart,8349.84
2023-04-08,Plastic,LumberYardInc,10413.01
2023-01-24,Plastic,TimberMart,11084.28
2023-04-17,Wood,SupplyCenter,8318.39
2023-10-07,Insulation,ConstructionDepot,10436.55
2023-03-21,Wood,ConstructionDepot,9614.35
2023-08-07,Wood,LumberYardInc,11624.08
2023-01-04,Brick,TimberMart,9964.8
2023-06-24,Wood,HomeImprovementHQ,11369.06
2023-02-16,Insulation,MaterialSource,8493.39
2023-08-16,Plastic,LumberYardInc,9367.71
2023-10-23,Wood,HomeImprovementHQ,11056.46
2023-01-21,Brick,TimberMart,8771.3
2023-03-16,Gypsum,LumberYardInc,9303.8
2023-08-17,Brick,LumberYardInc,10669.31
2023-08-03,Wood,LumberYardInc,9213.99
2023-01-23,Plastic,MaterialSource,8831.77
2023-08-14,Brick,ConstructionDepot,9112.27
2023-12-01,Gypsum,TimberMart,10313.02
2023-08-12,Brick,HomeImprovementHQ,11472.66
2023-01-25,Insulation,ConstructionDepot,10225.03
2023-05-18,Plastic,TimberMart,8553.98
2023-06-16,Brick,LumberYardInc,11372.44
2023-08-24,Brick,HomeImprovementHQ,11132.21
2023-12-21,Insulation,TimberMart,11895.99
2023-08-10,Gypsum,MaterialSource,10812.12
2023-08-23,Gypsum,BuildCo,10324.11
2023-06-13,Brick,ConstructionDepot,10084.47
2023-12-15,Brick,TimberMart,9245.83
2023-04-16,Plastic,BuildCo,8580.66
2023-02-11,Plastic,SupplyCenter,8638.44
2023-10-13,Wood,SupplyCenter,9081.6
2023-04-08,Plastic,TimberMart,9216.54
2023-02-09,Plastic,ConstructionDepot,10342.0
2023-04-22,Insulation,LumberYardInc,8644.08
2023-08-04,Gypsum,SupplyCenter,11039.82
2023-08-10,Gypsum,HomeImprovementHQ,8039.81
2023-09-05,Insulation,TimberMart,10695.8
2023-08-14,Brick,ConstructionDepot,9650.72
2023-07-13,Plastic,SupplyCenter,10190.88
2023-02-11,Brick,MaterialSource,8615.81
2023-10-06,Plastic,BuildCo,11282.21
2023-12-14,Plastic,ConstructionDepot,8775.5
2023-09-09,Gypsum,HomeImprovementHQ,9614.56
2023-02-16,Plastic,ConstructionDepot,8214.72
2023-08-22,Plastic,HomeImprovementHQ,9213.65
2023-10-24,Wood,LumberYardInc,8179.96
2023-04-24,Plastic,TimberMart,9152.88
2023-10-21,Insulation,ConstructionDepot,9487.19
2023-04-05,Brick,LumberYardInc,11149.25
2023-04-06,Wood,BuildCo,10551.51
2023-08-09,Insulation,ConstructionDepot,9857.89
2023-06-13,Insulation,MaterialSource,10314.86
2023-08-17,Plastic,ConstructionDepot,8164.54
2023-02-15,Gypsum,ConstructionDepot,11339.7
2023-02-03,Brick,ConstructionDepot,10879.35
2023-08-14,Brick,ConstructionDepot,10522.13
2023-05-12,Insulation,TimberMart,9921.89
2023-10-09,Gypsum,HomeImprovementHQ,8448.7
2023-04-07,Wood,BuildCo,8334.85
2023-08-19,Plastic,ConstructionDepot,9931.45
2023-04-06,Plastic,LumberYardInc,8888.36
2023-11-24,Brick,LumberYardInc,8215.41
2023-03-14,Plastic,SupplyCenter,11887.79
2023-04-19,Wood,MaterialSource,8028.88
2023-06-05,Insulation,SupplyCenter,10190.06
2023-07-25,Insulation,TimberMart,9726.28
2023-09-04,Gypsum,HomeImprovementHQ,11134.96
2023-11-12,Gypsum,HomeImprovementHQ,9509.95
2023-02-21,Gypsum,SupplyCenter,10276.94
2023-05-01,Plastic,ConstructionDepot,10056.36
2023-12-04,Brick,SupplyCenter,10302.72
2023-09-19,Gypsum,BuildCo,8290.6
2023-09-21,Wood,ConstructionDepot,8225.93
2023-05-21,Gypsum,SupplyCenter,8513.13
2023-07-21,Plastic,ConstructionDepot,8893.64
2023-11-21,Plastic,LumberYardInc,10983.57
2023-08-08,Insulation,MaterialSource,9808.51
2023-10-24,Gypsum,LumberYardInc,10298.72
2023-09-22,Plastic,ConstructionDepot,8863.07
2023-07-19,Gypsum,MaterialSource,8454.5
2023-02-05,Brick,SupplyCenter,9561.19
2023-08-19,Gypsum,MaterialSource,9123.14
2023-04-06,Plastic,TimberMart,10259.98
2023-04-25,Gypsum,ConstructionDepot,9703.56
2023-02-06,Wood,BuildCo,11809.28
2023-06-11,Insulation,TimberMart,9416.53
2023-08-16,Wood,TimberMart,9898.91
2023-09-24,Wood,LumberYardInc,11914.98
2023-02-15,Gypsum,MaterialSource,11718.18
2023-06-21,Wood,MaterialSource,11864.55
2023-04-17,Brick,SupplyCenter,11896.82
2023-08-19,Gypsum,HomeImprovementHQ,9393.14
2023-05-02,Brick,HomeImprovementHQ,11152.53
2023-09-22,Brick,LumberYardInc,8292.06
2023-01-09,Brick,ConstructionDepot,11261.89
2023-04-17,Plastic,ConstructionDepot,10980.11
2023-03-25,Brick,HomeImprovementHQ,11315.64
2023-09-06,Gypsum,ConstructionDepot,8071.39
2023-08-18,Brick,SupplyCenter,9746.47
2023-02-09,Insulation,MaterialSource,10430.27
2023-06-10,Insulation,LumberYardInc,10729.75
2023-05-02,Insulation,HomeImprovementHQ,8402.84
2023-09-04,Plastic,ConstructionDepot,11019.98
2023-11-06,Gypsum,ConstructionDepot,8729.96
2023-04-16,Gypsum,BuildCo,9092.33
2023-08-01,Wood,BuildCo,9293.33
2023-11-21,Wood,TimberMart,10262.44
2023-07-05,Insulation,LumberYardInc,8104.6
2023-06-03,Gypsum,TimberMart,10074.92
2023-10-09,Wood,ConstructionDepot,10275.42
2023-01-19,Wood,ConstructionDepot,10173.16
2023-12-04,Gypsum,TimberMart,8548.09
2023-08-02,Wood,ConstructionDepot,10180.87
