date,material,supplier,cost
2023-05-03,Ceramic,ConstructionSupply,11182.06
2023-01-09,Ceramic,LumberYardInc,11606.48
2023-10-07,Plastic,BuildSmart,9425.68
2023-08-20,Plastic,TimberMart,9660.1
2023-12-20,Steel,LumberYardInc,11086.68
2023-02-17,Steel,SupplySolutions,8146.52
2023-08-15,Ceramic,ConstructionSupply,8572.0
2023-06-06,Steel,LumberYardInc,10041.38
2023-09-06,Ceramic,ConstructionDepot,8021.5
2023-06-20,Ceramic,BuildSmart,8094.26
2023-01-08,Steel,BuildSmart,9318.13
2023-05-24,Plastic,ConstructionDepot,9310.15
2023-07-23,Glass,BuildCo,11921.96
2023-04-25,Brick,BuildCo,11015.37
2023-07-14,Brick,BuildSmart,8503.0
2023-02-19,Brick,ConstructionDepot,8511.76
2023-08-18,Glass,ConstructionDepot,10798.75
2023-04-06,Glass,SupplySolutions,10800.31
2023-08-08,Steel,ConstructionDepot,9472.37
2023-01-25,Steel,ConstructionDepot,9857.19
2023-12-08,Steel,ConstructionDepot,11885.28
2023-04-14,Brick,LumberYardInc,10138.92
2023-02-15,Ceramic,ConstructionSupply,11895.85
2023-06-08,Steel,SupplySolutions,8927.23
2023-06-15,Steel,ConstructionSupply,8535.39
2023-06-12,Steel,ConstructionSupply,8502.26
2023-02-03,Steel,ConstructionDepot,11329.99
2023-05-22,Glass,BuildCo,8366.04
2023-04-17,Glass,TimberMart,10221.34
2023-08-22,Ceramic,ConstructionSupply,9732.23
2023-08-12,Glass,ConstructionSupply,11362.04
2023-01-16,Glass,ConstructionDepot,10748.63
2023-08-08,Plastic,ConstructionSupply,8338.55
2023-03-13,Ceramic,TimberMart,10655.74
2023-05-07,Glass,ConstructionDepot,8096.01
2023-11-17,Brick,ConstructionDepot,10398.06
2023-05-11,Ceramic,LumberYardInc,9733.87
2023-07-23,Brick,TimberMart,9875.71
2023-10-12,Glass,BuildCo,11876.11
2023-10-16,Ceramic,LumberYardInc,8328.6
2023-08-08,Glass,SupplySolutions,11355.35
2023-08-22,Plastic,TimberMart,10331.19
2023-03-01,Plastic,SupplySolutions,9327.05
2023-05-16,Steel,BuildCo,10172.99
2023-08-18,Steel,ConstructionDepot,11676.51
2023-04-17,Brick,BuildCo,9468.88
2023-08-04,Glass,ConstructionSupply,10661.84
2023-03-13,Ceramic,BuildCo,8754.08
2023-10-01,Plastic,BuildCo,8394.6
2023-09-17,Brick,BuildCo,10670.19
2023-08-13,Brick,ConstructionSupply,10079.45
2023-06-08,Steel,BuildCo,11217.58
2023-02-16,Glass,LumberYardInc,10294.77
2023-01-01,Steel,ConstructionDepot,11740.39
2023-03-16,Plastic,LumberYardInc,8765.58
2023-02-06,Steel,BuildCo,9926.64
2023-05-15,Plastic,ConstructionDepot,9688.7
2023-10-04,Steel,ConstructionDepot,8866.5
2023-07-16,Ceramic,ConstructionSupply,9627.51
2023-04-03,Glass,BuildSmart,8831.59
2023-04-18,Steel,LumberYardInc,8143.19
2023-07-23,Glass,LumberYardInc,8213.26
2023-11-05,Steel,ConstructionDepot,10461.65
2023-08-04,Ceramic,SupplySolutions,9015.8
2023-08-07,Glass,LumberYardInc,9517.71
2023-02-08,Brick,LumberYardInc,11328.95
2023-09-02,Plastic,BuildCo,8427.06
2023-08-16,Plastic,SupplySolutions,8712.05
2023-04-16,Brick,SupplySolutions,8590.7
2023-09-01,Brick,SupplySolutions,10974.32
2023-11-01,Glass,ConstructionDepot,10840.83
2023-06-18,Brick,TimberMart,11841.33
2023-05-16,Plastic,BuildSmart,8240.25
2023-08-16,Ceramic,SupplySolutions,8655.34
2023-03-02,Steel,ConstructionDepot,10316.21
2023-07-20,Plastic,ConstructionSupply,10408.38
2023-08-07,Brick,LumberYardInc,8401.16
2023-04-06,Ceramic,BuildCo,9885.0
2023-08-08,Plastic,BuildCo,9293.72
2023-10-17,Plastic,BuildSmart,8203.42
2023-09-15,Glass,TimberMart,8107.36
2023-07-25,Brick,TimberMart,11592.46
2023-10-12,Brick,LumberYardInc,11547.1
2023-06-16,Steel,SupplySolutions,10713.75
2023-04-10,Brick,SupplySolutions,9007.35
2023-08-25,Steel,TimberMart,11062.91
2023-08-07,Plastic,ConstructionSupply,9656.82
2023-07-15,Steel,LumberYardInc,9412.83
2023-08-10,Steel,ConstructionSupply,8382.24
2023-08-09,Plastic,BuildCo,8878.21
2023-03-10,Steel,BuildSmart,8782.84
2023-06-19,Ceramic,ConstructionDepot,10052.73
2023-05-16,Brick,ConstructionSupply,8879.69
2023-04-01,Steel,TimberMart,8476.25
2023-03-03,Steel,BuildCo,8074.22
2023-08-20,Steel,BuildCo,11817.95
2023-09-22,Ceramic,BuildCo,10493.56
2023-09-14,Steel,BuildSmart,11268.08
2023-08-05,Brick,ConstructionDepot,8436.74
2023-08-14,Glass,ConstructionDepot,9373.72
2023-03-08,Glass,SupplySolutions,11416.51
2023-12-07,Steel,TimberMart,10235.7
2023-03-23,Ceramic,BuildSmart,11593.05
2023-10-24,Steel,TimberMart,8067.88
2023-05-16,Plastic,ConstructionSupply,8976.31
2023-08-14,Steel,BuildSmart,11102.67
2023-10-08,Glass,SupplySolutions,10265.08
2023-02-10,Brick,TimberMart,10514.41
2023-03-05,Glass,TimberMart,8446.46
2023-08-12,Glass,BuildCo,9483.81
2023-08-08,Brick,BuildSmart,9954.68
2023-11-19,Glass,SupplySolutions,8482.05
2023-06-20,Plastic,LumberYardInc,10728.37
2023-03-13,Glass,LumberYardInc,8542.31
2023-05-20,Brick,SupplySolutions,11281.61
2023-06-20,Glass,SupplySolutions,10705.47
2023-10-20,Steel,ConstructionSupply,11747.51
2023-04-21,Ceramic,TimberMart,8511.2
2023-06-17,Plastic,TimberMart,8900.29
2023-10-08,Steel,LumberYardInc,9666.68
2023-05-10,Plastic,BuildSmart,10114.48
2023-07-10,Plastic,BuildCo,10558.81
2023-04-22,Plastic,LumberYardInc,8267.57
2023-10-12,Glass,TimberMart,11654.39
2023-11-03,Glass,TimberMart,10996.49
2023-09-22,Steel,BuildSmart,8504.23
2023-04-13,Plastic,BuildCo,10079.44
2023-06-04,Ceramic,LumberYardInc,9097.81
2023-05-17,Glass,BuildCo,8894.38
2023-04-08,Steel,ConstructionDepot,11539.41
2023-01-25,Plastic,TimberMart,8723.86
2023-03-09,Plastic,LumberYardInc,11203.26
2023-10-17,Steel,BuildCo,8799.82
2023-02-09,Steel,BuildCo,8614.96
2023-09-17,Plastic,ConstructionDepot,10473.68
2023-08-10,Ceramic,SupplySolutions,10075.78
2023-06-20,Plastic,SupplySolutions,8409.97
2023-02-05,Brick,BuildCo,10675.37
