date,material,supplier,cost
2023-07-08,Asbestos,MaterialMasters,11471.49
2023-06-21,Asbestos,ConstructionSupply,9384.93
2023-12-14,Ceramic,HomeImprovementHQ,11175.15
2023-05-06,Ceramic,TimberlandSupply,9070.62
2023-08-03,Asbestos,TimberlandSupply,8538.17
2023-10-03,Insulation,SupplySolutions,11517.25
2023-02-21,Ceramic,MaterialMasters,10167.33
2023-01-08,Insulation,MaterialMasters,11124.63
2023-04-03,Concrete,HomeImprovementHQ,11342.5
2023-10-21,Wood,ConstructionSupply,9510.07
2023-07-14,Insulation,TimberlandSupply,9888.31
2023-06-01,Asbestos,SupplySolutions,11509.02
2023-03-05,Ceramic,BuildSmart,8989.19
2023-01-08,Ceramic,HomeImprovementHQ,8328.45
2023-09-07,Insulation,MaterialMasters,9499.25
2023-07-08,Insulation,HomeImprovementHQ,11652.75
2023-09-17,Asbestos,TimberMart,9731.53
2023-11-17,Wood,BuildSmart,9057.02
2023-10-11,Ceramic,SupplySolutions,10830.82
2023-06-12,Ceramic,TimberMart,10799.19
2023-03-08,Asbestos,SupplySolutions,9682.71
2023-01-08,Concrete,ConstructionSupply,11825.92
2023-05-08,Asbestos,BuildSmart,8991.28
2023-02-11,Insulation,HomeImprovementHQ,9765.88
2023-08-18,Concrete,TimberlandSupply,8540.68
2023-10-18,Concrete,ConstructionSupply,8705.21
2023-08-21,Asbestos,HomeImprovementHQ,9626.39
2023-05-17,Asbestos,ConstructionSupply,8116.68
2023-11-15,Concrete,MaterialMasters,10338.58
2023-02-01,Insulation,SupplySolutions,9202.34
2023-02-09,Asbestos,ConstructionSupply,10164.08
2023-07-01,Ceramic,TimberMart,9804.1
2023-07-11,Insulation,SupplySolutions,9184.64
2023-09-14,Ceramic,MaterialMasters,11756.31
2023-06-22,Ceramic,BuildSmart,8440.54
2023-09-08,Insulation,TimberlandSupply,8135.77
2023-12-01,Wood,TimberMart,8930.46
2023-05-24,Asbestos,TimberMart,10245.31
2023-05-12,Insulation,BuildSmart,9273.66
2023-08-15,Ceramic,SupplySolutions,10741.62
2023-01-21,Ceramic,HomeImprovementHQ,11715.12
2023-11-23,Ceramic,TimberMart,8583.27
2023-03-06,Concrete,SupplySolutions,8923.08
2023-01-01,Ceramic,ConstructionSupply,8770.93
2023-01-12,Asbestos,BuildSmart,8052.68
2023-09-17,Concrete,SupplySolutions,8796.31
2023-05-17,Insulation,MaterialMasters,8412.43
2023-06-07,Ceramic,SupplySolutions,11031.89
2023-01-23,Ceramic,MaterialMasters,10191.47
2023-07-07,Asbestos,TimberlandSupply,10384.57
2023-01-03,Ceramic,SupplySolutions,10611.65
2023-11-13,Insulation,TimberlandSupply,9603.08
2023-07-11,Concrete,SupplySolutions,11713.82
2023-08-17,Ceramic,BuildSmart,8750.08
2023-09-11,Ceramic,MaterialMasters,11299.09
2023-05-22,Insulation,TimberMart,11139.55
2023-04-14,Ceramic,SupplySolutions,11967.62
2023-05-02,Ceramic,ConstructionSupply,9993.91
2023-05-02,Wood,TimberMart,8358.83
2023-04-25,Asbestos,BuildSmart,11271.11
2023-06-12,Ceramic,TimberMart,10933.43
2023-07-13,Asbestos,TimberMart,10095.58
2023-07-06,Concrete,TimberMart,11739.14
2023-01-20,Asbestos,ConstructionSupply,10306.44
2023-12-19,Wood,HomeImprovementHQ,8412.72
2023-12-05,Insulation,HomeImprovementHQ,9335.89
2023-03-23,Asbestos,BuildSmart,9859.4
2023-11-02,Concrete,TimberMart,11774.89
2023-11-20,Ceramic,ConstructionSupply,10234.48
2023-04-06,Ceramic,ConstructionSupply,10324.72
2023-09-22,Asbestos,BuildSmart,9686.38
2023-05-11,Wood,BuildSmart,10804.45
2023-01-24,Asbestos,TimberMart,10484.31
2023-07-08,Concrete,ConstructionSupply,10017.98
2023-07-19,Asbestos,TimberMart,8105.0
2023-10-05,Concrete,ConstructionSupply,9186.26
