date,material,supplier,cost
2023-04-20,Asbestos,SupplyCenter,10443.0
2023-10-20,Steel,TimberlandSupply,8180.85
2023-04-18,Concrete,LumberYardInc,9231.29
2023-08-09,Asbestos,HomeImprovementHQ,10983.49
2023-01-15,Wood,LumberYardInc,10775.16
2023-10-07,Asbestos,LumberYardInc,11197.55
2023-10-22,Asbestos,LumberYardInc,8407.92
2023-08-21,Ceramic,HomeImprovementHQ,11374.38
2023-05-07,Concrete,TimberMart,9911.25
2023-09-20,Ceramic,TimberMart,9774.96
2023-05-04,Wood,HomeImprovementHQ,8192.99
2023-01-05,Concrete,SupplyCenter,9031.02
2023-04-15,Wood,LumberYardInc,9873.9
2023-08-22,Concrete,HomeImprovementHQ,8602.71
2023-03-13,Wood,SupplyCenter,9113.41
2023-05-21,Ceramic,TimberlandSupply,11727.51
2023-05-11,Concrete,HomeImprovementHQ,11913.88
2023-11-10,Steel,TimberlandSupply,9391.81
2023-01-04,Concrete,SupplyCenter,8957.39
2023-03-03,Concrete,TimberlandSupply,11748.1
2023-11-13,Asbestos,LumberYardInc,9446.52
2023-04-04,Ceramic,HomeImprovementHQ,9735.45
2023-01-23,Ceramic,HomeImprovementHQ,9338.29
2023-07-09,Concrete,MaterialMasters,11100.28
2023-09-16,Steel,SupplyCenter,10775.24
2023-02-03,Asbestos,TimberlandSupply,10493.44
2023-01-18,Concrete,BuildCo,10270.59
2023-08-13,Concrete,SupplyCenter,9510.97
2023-03-11,Concrete,MaterialMasters,11600.59
2023-10-22,Steel,TimberlandSupply,10694.34
2023-03-16,Asbestos,BuildCo,9258.69
2023-08-18,Concrete,MaterialMasters,9972.08
2023-12-18,Ceramic,SupplyCenter,11753.58
2023-02-14,Concrete,TimberlandSupply,9447.2
2023-11-16,Ceramic,SupplyCenter,10415.52
2023-01-25,Concrete,MaterialMasters,11497.12
2023-09-19,Ceramic,SupplyCenter,11356.85
2023-07-07,Ceramic,TimberlandSupply,10326.43
2023-12-03,Steel,TimberlandSupply,11236.13
2023-03-20,Wood,SupplyCenter,11818.77
2023-07-25,Steel,BuildCo,9056.81
2023-11-09,Ceramic,TimberMart,10902.7
2023-10-07,Wood,TimberlandSupply,9190.81
2023-04-20,Wood,BuildCo,9429.73
2023-09-05,Concrete,HomeImprovementHQ,8483.5
2023-03-19,Ceramic,SupplyCenter,9220.58
2023-08-11,Concrete,TimberlandSupply,8082.09
2023-03-06,Concrete,MaterialMasters,9394.0
2023-06-12,Wood,SupplyCenter,8741.86
2023-03-10,Wood,SupplyCenter,11614.69
2023-04-18,Wood,LumberYardInc,8522.93
2023-10-16,Ceramic,SupplyCenter,9824.56
2023-07-06,Steel,TimberlandSupply,11391.81
2023-10-08,Ceramic,MaterialMasters,10508.47
2023-08-11,Concrete,LumberYardInc,11245.47
2023-03-04,Concrete,SupplyCenter,11125.43
2023-01-16,Asbestos,MaterialMasters,9541.1
2023-03-20,Concrete,MaterialMasters,10698.37
2023-03-23,Steel,BuildCo,8714.12
2023-06-10,Wood,TimberlandSupply,11138.82
2023-09-09,Asbestos,HomeImprovementHQ,8353.32
2023-06-13,Wood,MaterialMasters,11054.13
2023-10-03,Concrete,SupplyCenter,8240.56
2023-05-08,Steel,LumberYardInc,10971.22
2023-10-22,Asbestos,SupplyCenter,9385.12
2023-05-18,Wood,BuildCo,9137.55
2023-08-03,Ceramic,TimberlandSupply,10088.64
2023-07-18,Concrete,TimberlandSupply,9479.48
2023-02-23,Concrete,TimberlandSupply,8863.05
2023-02-23,Steel,TimberMart,8163.08
2023-09-05,Concrete,SupplyCenter,8085.06
2023-10-07,Ceramic,LumberYardInc,8174.77
2023-08-10,Ceramic,TimberlandSupply,11888.41
2023-10-12,Asbestos,MaterialMasters,9441.76
2023-12-01,Steel,TimberlandSupply,11022.63
2023-08-23,Wood,LumberYardInc,8632.28
2023-06-23,Wood,TimberlandSupply,9419.84
2023-12-05,Concrete,LumberYardInc,8715.52
2023-01-04,Concrete,TimberMart,8847.64
2023-02-10,Concrete,SupplyCenter,10544.37
2023-09-07,Wood,MaterialMasters,10990.25
2023-03-23,Steel,SupplyCenter,11390.11
2023-05-19,Asbestos,SupplyCenter,11193.99
2023-04-17,Ceramic,TimberlandSupply,8538.66
2023-11-12,Steel,MaterialMasters,10760.5
2023-10-03,Concrete,HomeImprovementHQ,9169.29
2023-05-09,Wood,TimberlandSupply,8104.6
2023-04-08,Wood,MaterialMasters,11122.55
2023-07-07,Concrete,TimberlandSupply,11908.89
2023-07-02,Ceramic,MaterialMasters,8624.56
2023-12-12,Concrete,HomeImprovementHQ,8547.83
2023-08-06,Concrete,TimberMart,8465.23
2023-07-24,Wood,TimberlandSupply,11540.78
2023-08-23,Asbestos,HomeImprovementHQ,10881.84
2023-07-04,Wood,MaterialMasters,9951.77
2023-06-06,Concrete,LumberYardInc,11705.3
2023-01-07,Concrete,MaterialMasters,9891.45
2023-02-01,Steel,BuildCo,9937.08
2023-04-09,Steel,TimberMart,8492.61
2023-06-09,Steel,TimberlandSupply,8859.24
2023-03-21,Steel,HomeImprovementHQ,8413.36
2023-03-06,Asbestos,SupplyCenter,10654.74
2023-10-09,Ceramic,MaterialMasters,8450.22
2023-12-14,Asbestos,LumberYardInc,10841.96
2023-11-06,Wood,BuildCo,10173.84
2023-10-19,Asbestos,HomeImprovementHQ,11040.41
2023-12-11,Concrete,MaterialMasters,9890.31
2023-03-04,Wood,TimberlandSupply,8523.68
2023-11-03,Concrete,TimberMart,8675.07
2023-08-13,Asbestos,SupplyCenter,9262.99
2023-12-16,Concrete,SupplyCenter,9200.92
2023-04-09,Steel,BuildCo,11260.5
2023-03-25,Wood,LumberYardInc,10905.02
2023-03-06,Ceramic,SupplyCenter,11833.76
2023-03-07,Ceramic,TimberlandSupply,8370.85
2023-05-03,Ceramic,MaterialMasters,10494.07
2023-02-08,Wood,MaterialMasters,9869.41
2023-03-01,Steel,LumberYardInc,9853.42
2023-06-24,Asbestos,TimberlandSupply,10090.35
2023-02-18,Ceramic,MaterialMasters,9003.49
2023-06-02,Concrete,HomeImprovementHQ,8832.09
2023-01-09,Concrete,SupplyCenter,10267.87
2023-05-08,Concrete,TimberlandSupply,8758.62
2023-08-15,Steel,LumberYardInc,8086.3
2023-01-18,Concrete,MaterialMasters,11775.29
2023-02-09,Concrete,MaterialMasters,10392.98
2023-08-08,Concrete,SupplyCenter,8587.22
2023-12-22,Wood,BuildCo,11634.6
2023-02-07,Concrete,BuildCo,9949.06
2023-03-14,Asbestos,LumberYardInc,10896.27
2023-05-17,Wood,LumberYardInc,11923.03
2023-02-03,Steel,HomeImprovementHQ,11712.81
2023-01-11,Wood,LumberYardInc,10755.43
2023-08-20,Ceramic,BuildCo,10033.65
2023-03-19,Concrete,MaterialMasters,9613.02
2023-07-01,Steel,TimberMart,10327.24
2023-10-13,Asbestos,TimberlandSupply,10461.9
2023-07-15,Ceramic,TimberlandSupply,10179.98
2023-03-24,Asbestos,MaterialMasters,11179.21
2023-10-25,Wood,SupplyCenter,11798.4
2023-03-07,Wood,BuildCo,9884.06
2023-02-04,Concrete,TimberMart,10958.74
2023-05-15,Wood,HomeImprovementHQ,11448.72
2023-08-08,Concrete,TimberMart,11040.37
2023-01-05,Concrete,SupplyCenter,8839.3
2023-08-25,Ceramic,MaterialMasters,9538.87
2023-12-24,Wood,SupplyCenter,10635.86
2023-04-07,Concrete,MaterialMasters,8874.5
