date,material,supplier,cost
2023-08-20,Glass,MaterialSource,9599.19
2023-10-10,Gypsum,TimberMart,9357.62
2023-09-20,Plastic,TimberMart,11542.38
2023-04-07,Glass,TimberMart,11201.78
2023-06-13,Insulation,HomeImprovementHQ,11151.74
2023-07-23,Glass,SupplyCenter,10679.35
2023-04-02,Glass,HomeImprovementHQ,9466.01
2023-09-10,Glass,MaterialSource,9911.22
2023-04-22,Gypsum,SupplyCenter,11831.19
2023-02-16,Gypsum,MaterialSource,11523.61
2023-04-11,Plastic,TimberMart,9911.34
2023-04-16,Insulation,MaterialSource,9917.87
2023-06-09,Steel,TimberMart,10341.84
2023-05-04,Gypsum,SupplyCenter,11723.04
2023-07-05,Glass,MaterialSource,11857.81
2023-05-23,Steel,SupplyCenter,8018.22
2023-01-12,Steel,SupplyCenter,8343.43
2023-11-05,Insulation,MaterialSource,8462.43
2023-04-01,Steel,TimberlandSupply,8149.45
2023-06-23,Gypsum,SupplyCenter,11921.45
2023-04-08,Glass,ConstructionDepot,8196.75
2023-12-09,Glass,LumberYardInc,8221.89
2023-03-16,Insulation,ConstructionDepot,11408.27
2023-04-10,Glass,SupplyCenter,8642.2
2023-09-08,Insulation,ConstructionDepot,9462.15
2023-04-24,Insulation,TimberlandSupply,10792.19
2023-03-02,Plastic,TimberlandSupply,8310.7
2023-12-10,Gypsum,SupplyCenter,10724.39
2023-01-19,Glass,HomeImprovementHQ,10691.17
2023-12-01,Plastic,HomeImprovementHQ,8872.66
2023-05-09,Steel,TimberMart,11654.07
2023-11-10,Plastic,MaterialSource,9303.01
2023-02-20,Gypsum,TimberMart,10897.77
2023-03-20,Glass,ConstructionDepot,8704.64
2023-03-23,Glass,HomeImprovementHQ,10056.33
2023-03-17,Gypsum,LumberYardInc,11391.61
2023-08-19,Plastic,HomeImprovementHQ,9583.64
2023-02-04,Gypsum,SupplyCenter,11713.87
2023-07-24,Plastic,HomeImprovementHQ,10635.91
2023-09-08,Gypsum,SupplyCenter,8683.01
2023-01-07,Glass,TimberlandSupply,10425.26
2023-06-23,Gypsum,LumberYardInc,11379.44
