date,material,supplier,cost
2023-02-11,Gypsum,SupplySolutions,11460.59
2023-03-08,Plastic,TheBuildingBlock,9794.38
2023-09-20,Steel,BuildCo,8297.05
2023-03-15,Brick,LumberYardInc,8669.4
2023-01-15,Gypsum,BuildCo,10146.4
2023-01-05,Asbestos,MaterialMasters,11226.5
2023-10-04,Gypsum,LumberYardInc,11299.95
2023-10-10,Brick,LumberYardInc,11687.62
2023-06-06,Brick,MaterialMasters,11407.84
2023-05-20,Asbestos,TheBuildingBlock,8056.86
2023-07-21,Gypsum,ConstructionDepot,10416.91
2023-03-17,Steel,ConstructionDepot,9271.55
2023-07-12,Brick,BuildCo,10049.99
2023-01-08,Plastic,LumberYardInc,11867.95
2023-02-19,Plastic,MaterialMasters,9591.71
2023-10-15,Plastic,TheBuildingBlock,8064.12
2023-05-13,Brick,BuildCo,8727.36
2023-05-12,Gypsum,LumberYardInc,8518.34
2023-12-07,Asbestos,TheBuildingBlock,10981.93
2023-09-10,Asbestos,MaterialMasters,9291.61
2023-12-03,Gypsum,TheBuildingBlock,10457.26
2023-05-02,Brick,MaterialMasters,10983.89
2023-01-08,Steel,SupplySolutions,10319.35
2023-07-22,Steel,SupplySolutions,10304.77
2023-02-17,Gypsum,MaterialSource,8746.9
2023-04-21,Steel,BuildCo,9374.99
2023-04-03,Plastic,LumberYardInc,11237.04
2023-09-04,Gypsum,SupplySolutions,8165.49
2023-04-04,Asbestos,MaterialSource,10017.56
2023-06-15,Gypsum,LumberYardInc,8116.89
2023-04-13,Asbestos,TheBuildingBlock,10053.93
2023-07-21,Asbestos,SupplySolutions,11828.27
2023-07-22,Steel,LumberYardInc,11518.38
2023-04-13,Plastic,BuildCo,11237.25
2023-11-08,Asbestos,ConstructionDepot,9521.23
2023-01-24,Steel,ConstructionDepot,9867.93
2023-07-21,Gypsum,ConstructionDepot,9288.3
2023-01-20,Gypsum,ConstructionDepot,9185.46
2023-02-20,Asbestos,TheBuildingBlock,9158.38
2023-04-12,Steel,BuildCo,8820.55
2023-07-13,Brick,BuildCo,11894.59
2023-01-15,Plastic,BuildCo,11376.35
2023-06-17,Asbestos,TheBuildingBlock,8910.37
2023-02-04,Gypsum,ConstructionDepot,9168.58
2023-09-20,Plastic,SupplySolutions,11934.31
2023-01-10,Gypsum,SupplySolutions,9516.88
2023-12-14,Gypsum,TheBuildingBlock,8605.67
2023-01-02,Asbestos,BuildCo,10090.17
