date,material,supplier,cost
2023-06-02,Glass,TimberlandSupply,9744.16
2023-05-19,Plastic,TimberMart,10538.5
2023-02-25,Asbestos,TimberMart,11344.96
2023-04-22,Wood,SupplyCenter,11606.62
2023-10-01,Asbestos,TimberlandSupply,8177.46
2023-07-10,Wood,TimberlandSupply,8911.99
2023-04-11,Wood,BuildCo,10165.12
2023-04-06,Asbestos,ConstructionDepot,8528.21
2023-05-25,Asbestos,TheHardwareStore,8749.51
2023-10-19,Glass,TheHardwareStore,10540.07
2023-09-09,Plastic,TimberMart,8538.88
2023-09-22,Wood,BuildCo,10955.01
2023-12-12,Concrete,SupplyCenter,8986.91
2023-05-21,Wood,SupplyCenter,10752.15
2023-07-01,Glass,ConstructionDepot,11075.95
2023-11-22,Plastic,ConstructionDepot,9854.32
2023-07-07,Plastic,ConstructionDepot,11846.79
2023-07-07,Asbestos,ConstructionDepot,8085.95
2023-11-05,Plastic,TheHardwareStore,11257.17
2023-11-15,Glass,LumberYardInc,8038.39
2023-06-24,Plastic,TimberMart,9736.43
2023-09-20,Plastic,BuildCo,8839.3
2023-12-05,Wood,TimberlandSupply,9257.89
2023-07-19,Wood,LumberYardInc,10264.47
2023-07-02,Concrete,TimberMart,9677.15
2023-12-13,Plastic,TheHardwareStore,9779.09
2023-07-08,Glass,TheHardwareStore,11387.76
2023-05-20,Plastic,ConstructionDepot,10501.83
2023-12-03,Wood,TimberMart,10177.97
2023-10-02,Glass,TimberMart,8672.0
2023-12-25,Plastic,TimberMart,11346.3
2023-01-25,Glass,BuildCo,9024.06
2023-08-10,Asbestos,TimberlandSupply,10806.32
2023-04-18,Wood,TimberMart,10956.25
2023-03-18,Asbestos,SupplyCenter,8358.67
2023-06-20,Plastic,LumberYardInc,10574.11
2023-05-01,Plastic,BuildCo,9466.14
2023-07-08,Glass,ConstructionDepot,9213.58
2023-08-16,Plastic,TimberlandSupply,11614.66
2023-03-10,Wood,LumberYardInc,8729.17
2023-05-15,Plastic,SupplyCenter,10427.92
2023-12-10,Glass,ConstructionDepot,11011.71
2023-06-18,Plastic,SupplyCenter,11704.97
2023-09-05,Glass,TheHardwareStore,11168.77
2023-11-12,Plastic,LumberYardInc,10637.91
2023-05-03,Wood,BuildCo,10500.6
2023-04-09,Plastic,BuildCo,10774.14
2023-09-02,Plastic,TimberMart,8055.02
2023-10-18,Wood,TimberlandSupply,10570.68
2023-07-03,Wood,SupplyCenter,11414.21
2023-11-01,Concrete,LumberYardInc,11556.18
2023-07-01,Concrete,SupplyCenter,8370.07
2023-07-17,Glass,ConstructionDepot,11611.21
2023-01-22,Glass,BuildCo,8518.28
2023-04-18,Plastic,TimberMart,10356.33
2023-09-21,Concrete,LumberYardInc,8088.32
2023-02-10,Concrete,TimberMart,10639.56
2023-10-08,Plastic,TheHardwareStore,8585.2
2023-06-23,Concrete,LumberYardInc,11716.07
2023-03-09,Plastic,ConstructionDepot,11317.06
2023-10-18,Asbestos,TheHardwareStore,11726.92
2023-02-02,Glass,TimberMart,11250.76
2023-01-01,Plastic,TimberMart,9590.04
2023-01-05,Glass,TimberlandSupply,10138.99
2023-12-14,Glass,TimberMart,11194.51
2023-08-15,Wood,TheHardwareStore,8511.08
2023-09-25,Concrete,LumberYardInc,9818.98
2023-08-21,Plastic,TimberMart,11084.86
2023-01-14,Glass,LumberYardInc,8483.23
2023-11-14,Asbestos,ConstructionDepot,10852.06
2023-05-06,Glass,ConstructionDepot,11719.15
2023-07-06,Asbestos,BuildCo,11044.64
2023-12-04,Concrete,ConstructionDepot,8372.83
2023-07-12,Wood,TimberlandSupply,10476.81
2023-03-08,Glass,BuildCo,11379.92
2023-03-09,Asbestos,TheHardwareStore,8995.87
2023-04-06,Glass,SupplyCenter,8561.9
2023-04-02,Wood,BuildCo,10765.1
2023-11-10,Wood,TheHardwareStore,10446.23
2023-04-14,Concrete,TimberMart,8149.53
2023-01-23,Glass,ConstructionDepot,8825.8
2023-08-22,Concrete,ConstructionDepot,9435.5
2023-06-08,Wood,TimberlandSupply,11378.95
2023-08-05,Plastic,TheHardwareStore,8442.11
2023-01-15,Concrete,TheHardwareStore,10606.55
2023-11-11,Glass,LumberYardInc,11573.96
2023-07-13,Wood,ConstructionDepot,8746.33
2023-06-03,Asbestos,TheHardwareStore,8488.42
2023-11-25,Wood,ConstructionDepot,9138.51
2023-11-12,Wood,TheHardwareStore,10472.19
2023-11-10,Plastic,TimberlandSupply,8207.88
2023-02-23,Plastic,LumberYardInc,11651.34
2023-11-02,Concrete,SupplyCenter,10051.37
2023-06-16,Asbestos,ConstructionDepot,8765.59
2023-10-07,Plastic,ConstructionDepot,10822.14
2023-10-15,Asbestos,BuildCo,10277.94
2023-08-06,Plastic,BuildCo,8724.66
2023-05-12,Plastic,TimberMart,9518.62
2023-08-20,Plastic,BuildCo,11534.78
2023-06-10,Glass,TheHardwareStore,11550.68
2023-07-10,Glass,TimberlandSupply,9864.77
2023-12-05,Plastic,BuildCo,11116.43
2023-03-18,Concrete,TimberlandSupply,8254.23
2023-09-18,Glass,BuildCo,9962.81
2023-02-07,Wood,TimberMart,9813.4
2023-09-17,Concrete,TheHardwareStore,11102.57
2023-02-05,Concrete,TimberlandSupply,8168.1
2023-09-05,Glass,TimberlandSupply,9859.94
2023-10-02,Glass,LumberYardInc,11283.02
2023-07-09,Asbestos,SupplyCenter,10462.92
2023-02-04,Glass,SupplyCenter,8891.2
2023-03-19,Plastic,TimberMart,8574.61
2023-08-15,Plastic,SupplyCenter,8009.91
2023-02-24,Concrete,TimberMart,10147.64
2023-10-11,Concrete,LumberYardInc,8193.23
2023-02-24,Concrete,TimberMart,10743.65
2023-01-15,Concrete,TimberlandSupply,8665.31
2023-07-18,Asbestos,BuildCo,10603.17
2023-09-19,Wood,TheHardwareStore,9960.49
2023-04-08,Asbestos,TimberMart,9403.29
2023-07-22,Glass,TimberlandSupply,11522.29
2023-01-17,Glass,TimberMart,10056.54
2023-07-12,Wood,TimberMart,11231.11
2023-08-22,Plastic,SupplyCenter,10073.51
2023-02-22,Plastic,TimberMart,11864.99
2023-07-16,Plastic,BuildCo,8108.19
2023-11-09,Plastic,TimberlandSupply,8419.78
2023-03-05,Plastic,TheHardwareStore,11947.89
2023-03-17,Glass,TheHardwareStore,11621.68
2023-05-20,Asbestos,TimberlandSupply,10317.03
2023-08-23,Plastic,SupplyCenter,10392.01
2023-12-21,Concrete,TimberMart,10275.77
2023-03-20,Concrete,BuildCo,9657.0
2023-11-07,Plastic,ConstructionDepot,10166.3
2023-05-14,Concrete,SupplyCenter,9064.75
2023-07-08,Asbestos,SupplyCenter,11904.21
2023-06-25,Concrete,ConstructionDepot,8277.24
2023-02-04,Glass,LumberYardInc,11745.21
2023-10-04,Wood,TimberMart,8622.18
2023-08-04,Plastic,LumberYardInc,9443.62
2023-09-05,Plastic,LumberYardInc,11465.19
2023-08-18,Glass,ConstructionDepot,8837.37
2023-07-01,Asbestos,SupplyCenter,8816.03
2023-04-21,Concrete,TimberlandSupply,10604.64
2023-05-16,Glass,ConstructionDepot,9571.16
2023-05-19,Wood,TheHardwareStore,9715.02
2023-10-04,Concrete,BuildCo,8022.3
2023-07-10,Plastic,ConstructionDepot,10277.91
2023-05-04,Glass,LumberYardInc,10066.53
2023-06-03,Wood,TheHardwareStore,8204.66
2023-05-11,Asbestos,ConstructionDepot,8406.24
2023-02-11,Glass,TimberMart,8298.22
2023-08-07,Wood,TheHardwareStore,11664.04
2023-09-11,Plastic,SupplyCenter,10964.77
2023-04-19,Concrete,SupplyCenter,9907.0
2023-07-04,Concrete,TimberlandSupply,8196.88
2023-01-11,Wood,TimberlandSupply,9515.47
2023-07-20,Asbestos,SupplyCenter,11516.54
2023-03-04,Concrete,LumberYardInc,9190.11
2023-02-20,Asbestos,TimberMart,10241.64
2023-08-10,Concrete,TimberlandSupply,8644.12
2023-07-16,Glass,TimberlandSupply,11267.23
2023-06-03,Glass,LumberYardInc,10705.82
2023-04-04,Glass,BuildCo,11837.98
2023-07-11,Asbestos,TimberMart,8330.93
2023-05-22,Plastic,TheHardwareStore,8147.9
2023-09-21,Asbestos,TimberlandSupply,8934.78
2023-10-23,Glass,ConstructionDepot,8211.26
2023-01-21,Plastic,TimberlandSupply,8193.85
2023-04-02,Wood,TimberMart,10087.08
2023-02-23,Glass,SupplyCenter,10085.52
2023-10-09,Asbestos,LumberYardInc,10353.21
2023-06-13,Concrete,TimberMart,9713.83
