date,material,supplier,cost
2023-11-24,Plastic,TimberlandSupply,9835.25
2023-07-19,Brick,SupplyCenter,11969.57
2023-07-09,Plastic,HomeImprovementHQ,11834.61
2023-09-02,Steel,HomeDepotPro,10919.21
2023-11-09,Brick,HomeImprovementHQ,9625.33
2023-09-10,Ceramic,TimberlandSupply,11148.8
2023-11-02,Steel,HomeDepotPro,11136.21
2023-05-23,Steel,HomeDepotPro,10814.02
2023-03-09,Steel,HomeDepotPro,9388.38
2023-06-05,Ceramic,TimberlandSupply,8819.07
2023-11-24,Glass,HomeImprovementHQ,9430.53
2023-11-08,Ceramic,TimberlandSupply,9888.72
2023-08-11,Brick,HomeImprovementHQ,11006.98
2023-12-22,Brick,HomeDepotPro,11371.49
2023-11-09,Ceramic,TheBuildingBlock,9122.51
2023-06-06,Glass,TheHardwareStore,11714.91
2023-07-14,Ceramic,TimberlandSupply,11464.31
2023-09-17,Ceramic,ConstructionDepot,10108.11
2023-03-04,Brick,HomeDepotPro,10157.83
2023-12-10,Steel,HomeImprovementHQ,9777.93
2023-07-12,Plastic,TimberlandSupply,9305.63
2023-03-07,Plastic,ConstructionDepot,9824.14
2023-06-10,Ceramic,TheHardwareStore,9487.55
2023-11-07,Steel,HomeImprovementHQ,11936.03
2023-05-01,Ceramic,TheHardwareStore,11468.24
2023-11-09,Ceramic,SupplyCenter,10142.18
2023-11-15,Glass,TheHardwareStore,10137.32
2023-01-06,Glass,TheHardwareStore,8860.15
2023-08-25,Steel,TimberlandSupply,10810.46
2023-11-05,Steel,HomeImprovementHQ,11941.15
2023-08-14,Plastic,HomeImprovementHQ,10785.97
2023-01-16,Plastic,TimberlandSupply,10586.59
2023-04-20,Plastic,TimberlandSupply,10273.6
2023-03-13,Ceramic,HomeDepotPro,11767.57
2023-06-11,Plastic,SupplyCenter,11963.85
2023-03-04,Steel,SupplyCenter,9170.08
2023-06-07,Plastic,ConstructionDepot,10068.12
2023-11-24,Ceramic,TheHardwareStore,10644.49
2023-01-19,Steel,TheHardwareStore,10240.2
2023-08-14,Steel,HomeImprovementHQ,11540.57
2023-11-17,Ceramic,HomeImprovementHQ,10461.79
2023-12-21,Steel,TimberlandSupply,8960.13
2023-08-05,Glass,HomeImprovementHQ,8971.9
2023-12-20,Plastic,TheBuildingBlock,10349.04
2023-05-05,Plastic,TimberlandSupply,9889.32
2023-01-18,Ceramic,TimberlandSupply,8160.93
2023-10-18,Glass,HomeImprovementHQ,8597.19
2023-10-22,Plastic,TimberlandSupply,10933.66
2023-04-06,Plastic,TimberlandSupply,10016.04
2023-04-09,Steel,TheBuildingBlock,10602.59
2023-07-01,Plastic,HomeDepotPro,10661.72
2023-11-13,Plastic,HomeDepotPro,11486.64
2023-04-22,Glass,TimberlandSupply,9191.08
2023-11-05,Ceramic,TheBuildingBlock,9439.97
2023-06-14,Steel,TimberlandSupply,11813.19
2023-01-10,Plastic,TheBuildingBlock,8080.26
2023-06-07,Glass,HomeDepotPro,10055.58
2023-11-07,Brick,TheHardwareStore,9493.0
2023-10-03,Brick,ConstructionDepot,9062.26
2023-09-20,Steel,TheHardwareStore,11383.47
2023-11-22,Glass,TimberlandSupply,8883.43
2023-03-09,Brick,HomeDepotPro,9678.0
2023-04-23,Plastic,HomeImprovementHQ,11478.74
2023-10-02,Steel,TimberlandSupply,10737.16
2023-01-08,Ceramic,HomeDepotPro,11501.84
