date,material,supplier,cost
2023-08-01,Gypsum,MaterialMasters,11083.42
2023-07-21,Gypsum,SupplyCenter,8213.81
2023-10-05,Steel,SupplyCenter,11137.43
2023-09-09,Ceramic,BuildCo,8231.78
2023-12-02,Ceramic,ConstructionDepot,8503.89
2023-07-06,Steel,ConstructionDepot,8065.74
2023-06-05,Ceramic,BuildCo,9101.88
2023-12-06,Gypsum,BuildCo,11088.91
2023-12-11,Ceramic,TheHardwareStore,11992.37
2023-12-13,Wood,SupplySolutions,10932.07
2023-08-02,Insulation,BuildCo,8363.81
2023-06-16,Insulation,MaterialMasters,11787.91
2023-04-11,Gypsum,ConstructionDepot,11713.27
2023-02-11,Insulation,TheHardwareStore,10301.96
2023-07-03,Ceramic,SupplySolutions,8539.5
2023-01-02,Ceramic,SupplySolutions,8518.01
2023-08-09,Wood,ConstructionDepot,11124.96
2023-09-06,Wood,MaterialMasters,10065.31
2023-08-09,Ceramic,TheBuildingBlock,8559.07
2023-09-14,Insulation,SupplySolutions,10347.22
2023-08-16,Ceramic,TheHardwareStore,8577.86
2023-09-08,Ceramic,SupplySolutions,11317.47
2023-01-09,Wood,SupplyCenter,9343.91
2023-08-21,Wood,TheBuildingBlock,8552.66
2023-12-12,Insulation,SupplySolutions,10581.11
2023-06-04,Insulation,SupplySolutions,10984.47
2023-02-11,Steel,ConstructionDepot,11621.15
2023-03-13,Ceramic,ConstructionDepot,11327.34
2023-05-19,Ceramic,TheHardwareStore,8464.7
2023-09-17,Ceramic,TheBuildingBlock,9970.16
2023-09-15,Steel,MaterialMasters,11521.26
2023-06-08,Insulation,MaterialMasters,10410.67
2023-08-14,Insulation,MaterialMasters,10189.48
2023-03-05,Insulation,MaterialMasters,11448.86
2023-05-17,Steel,MaterialMasters,11819.42
2023-07-24,Steel,MaterialMasters,10796.26
2023-06-04,Ceramic,MaterialMasters,8596.88
2023-12-11,Steel,TheHardwareStore,11770.05
2023-01-14,Steel,SupplySolutions,11804.61
2023-09-19,Ceramic,ConstructionDepot,8643.43
2023-06-13,Steel,SupplySolutions,10722.98
2023-11-02,Insulation,TheBuildingBlock,9859.04
2023-10-16,Wood,TheHardwareStore,8387.68
2023-06-11,Gypsum,SupplySolutions,9630.68
2023-01-12,Insulation,ConstructionDepot,11228.83
2023-01-12,Insulation,SupplyCenter,8132.19
2023-02-10,Steel,ConstructionDepot,9662.05
2023-01-23,Gypsum,SupplySolutions,8073.36
2023-08-15,Wood,TheBuildingBlock,10988.78
2023-01-22,Wood,TheBuildingBlock,11766.48
2023-10-24,Insulation,MaterialMasters,10982.41
2023-08-02,Ceramic,TheBuildingBlock,10891.95
2023-08-06,Insulation,SupplySolutions,9679.65
2023-04-21,Ceramic,SupplySolutions,8830.12
2023-07-21,Gypsum,MaterialMasters,11695.87
2023-10-01,Insulation,SupplySolutions,8372.58
2023-06-15,Insulation,SupplySolutions,8236.67
2023-05-04,Wood,TheBuildingBlock,8854.42
2023-09-15,Steel,TheBuildingBlock,8162.18
2023-03-15,Gypsum,ConstructionDepot,9656.59
2023-01-19,Steel,SupplySolutions,9364.55
2023-05-14,Gypsum,TheHardwareStore,11263.1
2023-09-01,Ceramic,TheBuildingBlock,11765.77
2023-06-11,Ceramic,ConstructionDepot,11050.37
2023-10-03,Wood,ConstructionDepot,10401.98
2023-09-19,Insulation,ConstructionDepot,8182.18
2023-12-21,Gypsum,BuildCo,8826.86
2023-03-15,Insulation,TheBuildingBlock,10367.41
2023-08-12,Wood,TheHardwareStore,11609.14
2023-04-11,Ceramic,ConstructionDepot,9768.09
2023-06-01,Gypsum,SupplySolutions,8700.47
2023-11-18,Insulation,BuildCo,9387.29
2023-03-06,Insulation,MaterialMasters,8042.86
2023-03-24,Insulation,MaterialMasters,8479.21
2023-03-08,Gypsum,MaterialMasters,9589.1
2023-08-16,Ceramic,SupplySolutions,8773.43
2023-08-22,Steel,SupplySolutions,11029.14
2023-04-06,Ceramic,SupplySolutions,9345.61
2023-03-02,Insulation,TheBuildingBlock,9488.96
2023-02-05,Wood,BuildCo,9141.72
2023-07-02,Ceramic,ConstructionDepot,8600.3
2023-08-06,Wood,SupplySolutions,10657.32
2023-10-22,Gypsum,BuildCo,9022.69
2023-06-20,Wood,SupplyCenter,11691.34
2023-09-20,Insulation,SupplySolutions,10550.15
2023-01-14,Steel,MaterialMasters,10867.26
2023-08-15,Insulation,ConstructionDepot,11269.53
2023-08-18,Insulation,TheHardwareStore,10087.14
2023-08-15,Gypsum,MaterialMasters,10529.29
2023-04-19,Gypsum,TheHardwareStore,9384.58
2023-08-03,Ceramic,TheHardwareStore,9326.22
2023-09-19,Wood,TheHardwareStore,10374.35
2023-01-14,Steel,ConstructionDepot,10168.17
2023-08-07,Insulation,SupplySolutions,11043.93
2023-05-21,Wood,TheHardwareStore,9553.35
2023-07-21,Ceramic,ConstructionDepot,8052.94
2023-06-24,Steel,BuildCo,8726.76
2023-06-06,Wood,TheBuildingBlock,9879.21
2023-09-03,Ceramic,SupplyCenter,10559.4
2023-05-13,Ceramic,SupplySolutions,10002.77
2023-02-04,Wood,TheBuildingBlock,8424.99
2023-07-15,Gypsum,TheHardwareStore,8385.06
2023-05-20,Wood,TheHardwareStore,10040.31
2023-02-24,Ceramic,MaterialMasters,11870.13
2023-06-09,Steel,SupplyCenter,10509.35
2023-01-02,Insulation,TheBuildingBlock,9109.3
2023-01-18,Insulation,BuildCo,8434.12
2023-12-19,Insulation,TheBuildingBlock,8737.71
2023-07-21,Wood,SupplySolutions,11327.04
2023-06-21,Insulation,TheBuildingBlock,9609.6
2023-08-24,Gypsum,SupplySolutions,11760.66
2023-01-23,Steel,SupplyCenter,11979.28
2023-01-20,Ceramic,MaterialMasters,8791.69
2023-10-08,Insulation,TheHardwareStore,8744.92
2023-02-10,Gypsum,ConstructionDepot,10366.42
2023-10-21,Gypsum,TheHardwareStore,9508.32
2023-01-13,Steel,TheHardwareStore,8555.51
2023-05-23,Insulation,ConstructionDepot,11901.21
2023-05-09,Gypsum,SupplySolutions,10211.78
2023-06-01,Gypsum,SupplyCenter,9441.02
2023-11-23,Insulation,SupplyCenter,9036.38
2023-03-19,Gypsum,MaterialMasters,8303.33
2023-08-15,Gypsum,BuildCo,8111.42
2023-08-06,Ceramic,ConstructionDepot,11187.85
2023-02-15,Steel,SupplyCenter,11345.03
2023-09-09,Ceramic,ConstructionDepot,8934.06
2023-02-19,Wood,SupplySolutions,10748.2
2023-04-24,Wood,ConstructionDepot,8631.03
2023-12-10,Steel,ConstructionDepot,9892.91
2023-04-21,Insulation,TheHardwareStore,10399.64
2023-05-21,Insulation,SupplyCenter,8125.33
2023-11-21,Ceramic,SupplySolutions,9327.86
2023-04-08,Gypsum,TheHardwareStore,11625.17
2023-11-21,Gypsum,MaterialMasters,8663.7
2023-08-18,Insulation,MaterialMasters,9850.89
2023-06-16,Wood,TheBuildingBlock,10167.54
2023-12-17,Wood,SupplyCenter,9347.23
2023-04-14,Steel,ConstructionDepot,10721.49
2023-01-13,Wood,SupplyCenter,10889.24
