date,material,supplier,cost
2023-05-08,Insulation,SupplyCenter,10909.62
2023-09-23,Steel,TimberMart,10596.13
2023-05-09,Glass,TheHardwareStore,11628.43
2023-07-04,Insulation,ConstructionSupply,11263.93
2023-04-19,Concrete,SupplySolutions,10473.31
2023-11-03,Brick,SupplySolutions,8901.84
2023-06-10,Insulation,HomeDepotPro,11680.21
2023-06-01,Brick,SupplySolutions,8215.28
2023-04-21,Brick,ConstructionSupply,8897.91
2023-07-25,Concrete,ConstructionSupply,9429.25
2023-07-04,Brick,ConstructionSupply,9420.54
2023-08-25,Glass,ConstructionSupply,8740.84
2023-03-21,Brick,TheHardwareStore,11132.91
2023-03-22,Steel,HomeDepotPro,9386.41
2023-07-03,Glass,SupplyCenter,11092.7
2023-09-25,Concrete,TheHardwareStore,11308.1
2023-02-18,Steel,ConstructionSupply,10628.81
2023-10-16,Steel,TimberMart,11270.36
2023-05-01,Insulation,ConstructionSupply,10300.8
2023-05-13,Steel,TheHardwareStore,9082.71
2023-12-04,Brick,TheHardwareStore,10092.4
2023-11-22,Glass,TheHardwareStore,9069.21
2023-07-13,Steel,ConstructionSupply,8404.21
2023-11-19,Insulation,SupplySolutions,9190.84
2023-11-11,Glass,SupplyCenter,8768.38
2023-06-20,Insulation,HomeDepotPro,11086.16
2023-09-02,Insulation,TheBuildingBlock,11604.6
2023-03-13,Glass,HomeDepotPro,9675.73
2023-05-10,Concrete,HomeDepotPro,11625.54
2023-08-11,Steel,TheBuildingBlock,10551.67
2023-06-20,Steel,TheHardwareStore,9417.32
2023-09-22,Steel,ConstructionSupply,10278.65
2023-12-18,Concrete,TheHardwareStore,8170.73
2023-05-09,Brick,HomeDepotPro,11540.1
2023-07-18,Concrete,ConstructionSupply,11217.5
2023-06-24,Brick,HomeDepotPro,11106.21
2023-12-07,Brick,SupplyCenter,9384.01
2023-04-02,Insulation,SupplySolutions,9832.61
2023-05-02,Insulation,SupplySolutions,9339.18
2023-04-17,Glass,TheBuildingBlock,9296.39
2023-01-18,Brick,SupplySolutions,9817.99
2023-07-15,Brick,SupplyCenter,11890.14
2023-06-14,Brick,TheHardwareStore,10381.88
2023-06-06,Steel,ConstructionSupply,8546.21
2023-06-10,Concrete,TheHardwareStore,10993.92
2023-04-21,Brick,SupplySolutions,8475.14
2023-11-23,Steel,TimberMart,10152.85
2023-05-11,Concrete,TheBuildingBlock,10462.87
2023-02-04,Concrete,SupplySolutions,9307.12
2023-04-24,Brick,HomeDepotPro,9702.84
2023-12-11,Glass,SupplyCenter,8584.68
2023-02-10,Glass,ConstructionSupply,10603.13
2023-04-01,Steel,TheBuildingBlock,11069.48
2023-08-11,Insulation,SupplySolutions,8209.13
2023-03-03,Insulation,SupplySolutions,11618.44
2023-05-13,Insulation,SupplySolutions,9583.99
2023-12-20,Brick,TheHardwareStore,8660.12
2023-06-22,Concrete,ConstructionSupply,9766.16
2023-10-08,Steel,SupplyCenter,10393.67
2023-07-06,Concrete,SupplySolutions,9393.79
2023-09-02,Brick,ConstructionSupply,8387.08
2023-01-25,Steel,SupplySolutions,9157.62
2023-10-21,Steel,ConstructionSupply,10969.43
2023-05-19,Glass,TheBuildingBlock,10456.62
2023-01-19,Steel,TheHardwareStore,11852.2
2023-04-01,Brick,SupplySolutions,11017.0
2023-08-19,Brick,TheHardwareStore,9851.13
2023-04-03,Insulation,SupplySolutions,10068.59
2023-05-20,Concrete,TheHardwareStore,8465.74
2023-02-07,Brick,ConstructionSupply,11897.04
