date,material,supplier,cost
2023-10-21,Gypsum,ConstructionDepot,11718.85
2023-02-20,Wood,MaterialSource,8809.8
2023-02-13,Brick,TimberlandSupply,9735.44
2023-08-11,Ceramic,TheBuildingBlock,8300.87
2023-02-22,Brick,ConstructionDepot,10455.44
2023-10-14,Wood,TimberMart,8196.5
2023-11-09,Wood,TimberlandSupply,11840.44
2023-11-16,Brick,TheBuildingBlock,10539.09
2023-11-13,Ceramic,TheBuildingBlock,9410.27
2023-11-17,Brick,TimberlandSupply,10619.39
2023-03-16,Brick,MaterialSource,10292.66
2023-07-09,Gypsum,MaterialSource,9994.36
2023-03-11,Brick,ConstructionDepot,10756.68
2023-08-22,Concrete,TimberlandSupply,10532.85
2023-12-13,Wood,MaterialSource,9721.73
2023-02-21,Brick,TimberlandSupply,8173.27
2023-04-12,Brick,TimberlandSupply,9204.11
2023-03-10,Wood,TimberMart,9225.37
2023-01-03,Concrete,MaterialSource,8594.5
2023-04-12,Gypsum,MaterialSource,10478.02
2023-06-04,Brick,MaterialMasters,10282.56
2023-01-07,Gypsum,TimberlandSupply,8526.21
2023-01-09,Ceramic,TimberlandSupply,9948.63
2023-05-15,Concrete,TimberMart,10612.16
2023-09-04,Brick,TheBuildingBlock,9604.47
2023-02-02,Gypsum,MaterialMasters,10752.07
2023-06-14,Brick,TimberMart,8709.55
2023-07-12,Gypsum,ConstructionDepot,9222.92
2023-10-24,Ceramic,TimberlandSupply,8322.34
2023-01-06,Brick,TheBuildingBlock,9180.48
2023-06-21,Concrete,TimberlandSupply,8847.73
2023-01-24,Concrete,ConstructionDepot,11397.93
2023-02-23,Concrete,TheBuildingBlock,8330.38
2023-04-12,Wood,ConstructionDepot,9634.23
2023-02-01,Gypsum,MaterialMasters,9077.2
2023-04-14,Brick,TimberMart,8312.49
2023-07-21,Ceramic,MaterialSource,9849.41
2023-05-03,Concrete,MaterialMasters,11766.95
2023-06-13,Brick,TheBuildingBlock,9931.37
2023-05-13,Concrete,MaterialSource,10372.08
2023-05-23,Wood,MaterialSource,10716.06
2023-06-05,Concrete,BuildSmart,8509.13
2023-09-01,Concrete,MaterialMasters,11545.78
2023-03-13,Brick,TheBuildingBlock,8165.9
2023-01-21,Gypsum,TheBuildingBlock,11650.84
2023-04-12,Gypsum,TimberMart,11455.83
2023-12-03,Gypsum,TimberlandSupply,10700.71
2023-09-06,Ceramic,TimberMart,9318.65
2023-06-25,Wood,ConstructionDepot,10676.39
2023-11-08,Gypsum,MaterialMasters,9938.58
2023-12-20,Concrete,MaterialMasters,10671.87
2023-10-05,Brick,MaterialMasters,10564.05
2023-07-16,Brick,TimberMart,8567.19
2023-01-22,Wood,MaterialSource,8570.72
2023-04-23,Ceramic,ConstructionDepot,9345.42
2023-06-09,Wood,TimberMart,10878.2
2023-04-06,Concrete,BuildSmart,8211.28
2023-06-09,Ceramic,ConstructionDepot,10366.98
2023-06-14,Ceramic,TimberMart,8025.14
2023-11-03,Brick,MaterialSource,10295.63
2023-06-01,Concrete,TimberMart,8240.6
2023-11-04,Gypsum,TheBuildingBlock,8220.22
2023-01-03,Wood,MaterialSource,11884.39
2023-12-12,Gypsum,TheBuildingBlock,8707.43
2023-06-22,Ceramic,ConstructionDepot,11812.74
2023-11-05,Concrete,ConstructionDepot,8076.6
2023-11-06,Ceramic,BuildSmart,8367.63
2023-07-22,Ceramic,ConstructionDepot,10730.71
2023-03-14,Brick,BuildSmart,10463.87
2023-09-21,Ceramic,TimberMart,11367.73
2023-08-01,Brick,TimberlandSupply,9430.37
2023-08-15,Wood,BuildSmart,8525.89
2023-08-14,Gypsum,MaterialSource,11709.33
2023-06-10,Wood,TimberlandSupply,11179.71
2023-10-24,Wood,TimberlandSupply,11101.21
2023-03-25,Ceramic,TimberlandSupply,9406.86
2023-04-13,Wood,MaterialSource,11987.17
2023-11-13,Gypsum,MaterialMasters,10660.5
2023-06-24,Concrete,MaterialMasters,9111.61
2023-12-18,Concrete,BuildSmart,8648.42
2023-01-23,Gypsum,ConstructionDepot,10535.99
2023-06-07,Brick,ConstructionDepot,9512.24
2023-01-22,Brick,TheBuildingBlock,10828.78
2023-12-21,Wood,MaterialSource,10860.39
2023-12-13,Wood,TimberlandSupply,11942.97
2023-11-15,Brick,MaterialSource,10632.16
2023-09-11,Wood,MaterialSource,11830.02
2023-05-03,Concrete,BuildSmart,10670.13
2023-04-10,Brick,TimberlandSupply,8594.71
2023-10-18,Brick,TimberMart,8041.35
2023-01-19,Brick,TimberMart,8896.14
2023-08-09,Wood,TimberMart,9366.74
2023-12-07,Concrete,BuildSmart,11463.01
2023-06-15,Brick,TimberlandSupply,8812.5
2023-01-17,Wood,MaterialMasters,9556.69
2023-11-14,Concrete,TheBuildingBlock,11978.39
2023-02-05,Brick,MaterialSource,11306.24
2023-04-17,Wood,BuildSmart,10827.3
2023-07-12,Gypsum,ConstructionDepot,9678.43
2023-06-04,Concrete,ConstructionDepot,11682.83
2023-08-24,Concrete,ConstructionDepot,11691.7
2023-02-14,Brick,MaterialSource,10606.89
2023-03-17,Concrete,MaterialSource,10957.48
2023-06-04,Wood,MaterialSource,10923.28
2023-11-22,Gypsum,TheBuildingBlock,9595.13
2023-07-16,Concrete,TimberlandSupply,10367.5
2023-06-24,Brick,TimberMart,10588.82
2023-04-18,Gypsum,TimberlandSupply,10473.8
2023-04-03,Wood,MaterialSource,10056.17
2023-05-24,Ceramic,ConstructionDepot,11326.52
2023-02-25,Wood,MaterialSource,9938.91
2023-08-03,Concrete,TheBuildingBlock,11160.74
2023-05-14,Brick,TimberMart,9115.63
2023-04-10,Concrete,MaterialMasters,8135.75
2023-10-21,Gypsum,MaterialSource,8348.85
2023-06-03,Brick,ConstructionDepot,9811.63
2023-02-03,Ceramic,ConstructionDepot,11795.4
2023-06-12,Wood,MaterialSource,9345.72
2023-01-05,Gypsum,TheBuildingBlock,10048.83
2023-06-22,Gypsum,TheBuildingBlock,10694.33
2023-03-14,Brick,TimberlandSupply,10838.05
2023-10-16,Brick,MaterialSource,8158.11
2023-02-08,Concrete,MaterialSource,9261.02
2023-04-15,Wood,TimberlandSupply,11821.85
2023-05-06,Ceramic,MaterialMasters,11845.22
2023-07-13,Gypsum,TheBuildingBlock,11286.45
2023-03-23,Gypsum,MaterialMasters,10735.99
2023-04-18,Brick,TheBuildingBlock,9236.78
2023-04-22,Concrete,TimberlandSupply,10252.6
2023-03-16,Wood,TimberlandSupply,10423.52
2023-09-10,Ceramic,MaterialMasters,9421.16
2023-06-04,Wood,TimberMart,8716.49
2023-08-05,Concrete,TimberlandSupply,9659.17
2023-06-12,Wood,MaterialMasters,11407.27
2023-05-08,Brick,TheBuildingBlock,11555.62
2023-08-18,Brick,MaterialMasters,11149.31
2023-03-23,Gypsum,ConstructionDepot,10822.11
2023-08-09,Gypsum,MaterialMasters,10227.9
2023-05-13,Ceramic,MaterialMasters,9151.38
2023-11-24,Concrete,MaterialMasters,9463.6
2023-01-12,Ceramic,TimberlandSupply,8822.65
2023-04-03,Brick,MaterialMasters,9993.7
2023-11-24,Gypsum,TimberMart,10273.26
2023-01-21,Brick,TimberMart,10667.27
2023-10-05,Gypsum,ConstructionDepot,8075.42
2023-08-19,Ceramic,ConstructionDepot,9975.99
2023-03-17,Concrete,TheBuildingBlock,11156.01
2023-01-21,Concrete,MaterialSource,10331.87
2023-02-02,Gypsum,TimberMart,9689.57
2023-04-22,Gypsum,TimberlandSupply,11551.0
2023-06-06,Brick,TheBuildingBlock,10014.45
2023-02-18,Ceramic,MaterialSource,10977.14
2023-03-13,Ceramic,ConstructionDepot,11778.58
2023-10-19,Wood,MaterialSource,8586.57
2023-11-25,Concrete,ConstructionDepot,11210.15
2023-08-04,Ceramic,MaterialSource,11041.5
2023-02-12,Brick,ConstructionDepot,8765.74
2023-03-12,Concrete,MaterialSource,9475.53
2023-02-20,Brick,MaterialMasters,9318.49
2023-11-14,Gypsum,TimberMart,10524.1
2023-06-12,Wood,ConstructionDepot,10797.52
2023-08-05,Ceramic,ConstructionDepot,10564.39
2023-04-20,Ceramic,ConstructionDepot,9893.86
2023-03-10,Ceramic,TimberlandSupply,9750.19
2023-09-12,Ceramic,ConstructionDepot,9689.51
2023-06-10,Wood,TimberMart,10244.38
2023-06-14,Brick,BuildSmart,9163.87
2023-12-03,Gypsum,MaterialSource,9908.27
2023-06-09,Brick,TimberlandSupply,11007.84
2023-05-23,Concrete,ConstructionDepot,8811.38
2023-06-03,Gypsum,ConstructionDepot,10901.91
2023-05-04,Brick,TimberMart,10946.51
2023-10-01,Brick,MaterialMasters,9390.83
2023-06-24,Gypsum,MaterialSource,8500.15
2023-03-25,Gypsum,MaterialSource,10007.9
2023-06-24,Concrete,BuildSmart,8219.53
2023-02-24,Brick,TheBuildingBlock,8379.58
2023-10-08,Gypsum,TimberlandSupply,10557.04
2023-05-20,Ceramic,BuildSmart,11483.51
2023-12-08,Wood,TheBuildingBlock,10188.75
2023-04-12,Brick,TimberMart,11250.96
2023-12-22,Brick,TimberlandSupply,9155.91
2023-04-08,Brick,MaterialMasters,11228.69
2023-05-20,Brick,MaterialSource,9008.12
2023-11-13,Concrete,MaterialSource,10568.99
2023-06-03,Concrete,BuildSmart,8443.8
2023-01-11,Concrete,BuildSmart,11371.06
2023-02-12,Gypsum,MaterialSource,9432.88
2023-11-24,Brick,TheBuildingBlock,9403.62
2023-02-23,Gypsum,TimberMart,8211.83
2023-09-10,Gypsum,BuildSmart,9204.18
2023-06-24,Wood,TimberlandSupply,8945.43
2023-02-13,Brick,BuildSmart,9891.22
2023-04-24,Gypsum,ConstructionDepot,9450.61
2023-04-05,Concrete,MaterialSource,9828.53
