date,material,supplier,cost
2023-11-17,Concrete,HomeDepotPro,10004.3
2023-04-24,Concrete,HomeDepotPro,8367.04
2023-04-12,Insulation,HomeImprovementHQ,8998.81
2023-09-03,Concrete,ConstructionDepot,8520.78
2023-10-25,Insulation,HomeDepotPro,11197.37
2023-11-16,Steel,BuildCo,9374.37
2023-04-15,Plastic,HomeImprovementHQ,11432.38
2023-04-21,Concrete,ConstructionSupply,10116.23
2023-06-11,Plastic,HomeDepotPro,11298.16
2023-02-03,Insulation,SupplySolutions,8366.29
2023-04-18,Steel,ConstructionDepot,8417.36
2023-01-01,Steel,BuildSmart,11184.25
2023-12-16,Plastic,HomeDepotPro,8843.73
2023-07-18,Insulation,BuildCo,10298.57
2023-11-18,Insulation,ConstructionSupply,9520.82
2023-04-12,Steel,BuildSmart,8552.06
2023-01-10,Steel,SupplySolutions,10405.1
2023-08-01,Plastic,HomeDepotPro,11605.02
2023-06-04,Asbestos,BuildCo,11497.44
2023-08-19,Insulation,BuildCo,9660.36
2023-06-21,Insulation,BuildCo,11875.28
2023-07-23,Plastic,ConstructionSupply,9564.72
2023-11-24,Plastic,BuildSmart,10158.3
2023-10-12,Asbestos,HomeImprovementHQ,11220.73
2023-04-14,Asbestos,BuildSmart,10007.17
2023-02-03,Steel,SupplySolutions,9310.4
2023-01-25,Insulation,SupplySolutions,9312.34
2023-09-19,Steel,ConstructionSupply,11301.66
2023-07-16,Steel,SupplySolutions,11465.38
2023-12-02,Asbestos,HomeDepotPro,8338.62
2023-04-13,Plastic,BuildCo,10528.27
2023-01-21,Insulation,BuildCo,9557.49
2023-01-05,Concrete,BuildSmart,9074.33
2023-02-13,Insulation,HomeDepotPro,11625.95
2023-05-15,Plastic,BuildSmart,9892.32
2023-01-17,Steel,BuildCo,11352.55
2023-03-17,Plastic,ConstructionSupply,8042.32
2023-05-13,Plastic,BuildSmart,11665.89
2023-09-14,Concrete,ConstructionDepot,11455.31
2023-06-25,Steel,SupplySolutions,9357.71
2023-02-03,Plastic,HomeDepotPro,10856.82
2023-01-12,Asbestos,ConstructionDepot,10956.95
2023-08-05,Concrete,ConstructionSupply,10010.28
2023-02-20,Plastic,ConstructionSupply,11377.9
2023-05-18,Insulation,BuildCo,10841.17
2023-08-20,Plastic,HomeDepotPro,11952.9
2023-08-01,Insulation,SupplySolutions,11159.44
2023-04-04,Asbestos,HomeDepotPro,9263.63
2023-09-11,Plastic,ConstructionDepot,8115.12
