date,material,supplier,cost
2023-05-24,Steel,TimberMart,9768.2
2023-10-09,Concrete,TimberMart,9274.26
2023-05-04,Ceramic,HomeImprovementHQ,10037.29
2023-04-21,Ceramic,TimberMart,11439.75
2023-01-22,Concrete,SupplyCenter,11841.1
2023-06-07,Ceramic,TimberMart,9908.51
2023-03-05,Brick,HomeDepotPro,11839.14
2023-01-17,Steel,TheHardwareStore,10846.98
2023-11-08,Asbestos,MaterialMasters,9369.24
2023-05-06,Brick,TimberMart,8689.93
2023-03-14,Steel,TheHardwareStore,10927.66
2023-09-04,Asbestos,HomeDepotPro,9320.46
2023-11-17,Brick,TimberMart,11203.79
2023-09-23,Ceramic,TimberMart,11787.37
2023-03-01,Ceramic,TheHardwareStore,10020.16
2023-03-21,Steel,HomeImprovementHQ,8312.47
2023-11-21,Steel,SupplyCenter,9887.23
2023-01-02,Concrete,TheHardwareStore,8660.38
2023-12-01,Ceramic,TimberMart,10574.53
2023-06-04,Brick,HomeDepotPro,11646.22
2023-11-17,Steel,TimberMart,11081.48
2023-02-17,Concrete,SupplyCenter,10768.86
2023-09-24,Concrete,SupplyCenter,8695.07
2023-10-05,Steel,HomeDepotPro,10307.49
2023-06-12,Brick,SupplyCenter,9837.61
2023-06-15,Brick,MaterialMasters,9303.77
2023-10-18,Steel,HomeDepotPro,10165.39
2023-10-10,Concrete,TimberMart,11453.26
2023-02-25,Ceramic,TimberMart,11688.97
2023-03-15,Asbestos,HomeImprovementHQ,11165.1
2023-11-24,Asbestos,HomeDepotPro,8498.29
2023-01-23,Asbestos,TheHardwareStore,10355.38
2023-06-04,Brick,TheHardwareStore,11709.56
2023-04-17,Ceramic,HomeImprovementHQ,11955.68
2023-10-06,Brick,HomeDepotPro,9409.11
2023-02-09,Ceramic,HomeDepotPro,11012.45
2023-06-14,Asbestos,TimberMart,10201.47
2023-12-19,Concrete,HomeImprovementHQ,9746.41
2023-11-21,Brick,MaterialMasters,10359.69
2023-09-10,Ceramic,HomeImprovementHQ,9349.29
2023-01-17,Asbestos,MaterialMasters,11783.67
2023-03-22,Ceramic,HomeDepotPro,9530.03
2023-08-25,Concrete,HomeImprovementHQ,10329.25
2023-01-04,Asbestos,TimberMart,11931.42
2023-02-07,Steel,HomeImprovementHQ,10822.27
2023-07-24,Concrete,TimberMart,9285.35
2023-12-06,Steel,SupplyCenter,8867.45
2023-07-19,Ceramic,TheHardwareStore,9992.23
2023-05-11,Asbestos,HomeDepotPro,8060.13
2023-10-24,Ceramic,TheHardwareStore,11137.69
2023-08-03,Steel,HomeImprovementHQ,11090.57
2023-09-24,Steel,HomeImprovementHQ,8070.26
2023-04-02,Brick,MaterialMasters,11997.69
2023-04-21,Brick,ConstructionDepot,8334.52
2023-05-23,Asbestos,HomeImprovementHQ,10336.71
2023-10-03,Brick,TimberMart,11308.37
2023-07-21,Brick,HomeImprovementHQ,10908.3
2023-01-19,Ceramic,HomeDepotPro,8400.96
2023-06-24,Asbestos,SupplyCenter,8416.47
2023-12-22,Concrete,TimberMart,10781.22
2023-01-21,Concrete,TheHardwareStore,10005.91
2023-10-02,Ceramic,MaterialMasters,8983.01
2023-08-06,Brick,SupplyCenter,10319.52
2023-08-23,Steel,TheHardwareStore,11437.43
2023-12-04,Asbestos,SupplyCenter,10252.78
2023-07-04,Asbestos,TimberMart,11561.62
2023-07-13,Ceramic,HomeImprovementHQ,8839.16
2023-06-23,Steel,TimberMart,11349.15
2023-04-13,Brick,MaterialMasters,11509.84
2023-10-23,Ceramic,MaterialMasters,9533.94
2023-06-02,Concrete,SupplyCenter,8007.58
2023-08-19,Brick,MaterialMasters,10366.38
2023-09-20,Concrete,HomeImprovementHQ,8634.95
2023-10-02,Ceramic,HomeImprovementHQ,11993.84
2023-01-11,Asbestos,TheHardwareStore,11425.7
2023-10-12,Concrete,TheHardwareStore,10362.35
2023-10-02,Steel,MaterialMasters,9744.0
2023-08-16,Concrete,TimberMart,9718.59
2023-06-22,Asbestos,TheHardwareStore,8075.3
2023-10-25,Brick,TimberMart,10170.95
2023-08-13,Brick,SupplyCenter,10971.37
2023-03-16,Ceramic,TimberMart,9582.78
2023-01-01,Steel,ConstructionDepot,9682.81
2023-10-12,Asbestos,TheHardwareStore,10491.0
2023-07-03,Ceramic,HomeImprovementHQ,9179.14
2023-03-04,Steel,MaterialMasters,11393.92
2023-11-07,Concrete,TheHardwareStore,8202.06
2023-11-22,Concrete,HomeImprovementHQ,8302.03
2023-03-12,Asbestos,HomeImprovementHQ,8977.2
2023-02-03,Ceramic,HomeImprovementHQ,8673.63
2023-10-18,Asbestos,TheHardwareStore,8046.86
2023-08-24,Concrete,TheHardwareStore,11338.4
2023-10-16,Asbestos,HomeImprovementHQ,10728.81
2023-12-20,Brick,HomeDepotPro,9325.72
2023-01-13,Steel,MaterialMasters,11374.92
2023-03-22,Asbestos,TheHardwareStore,8918.39
2023-10-23,Asbestos,SupplyCenter,11811.84
2023-04-02,Steel,ConstructionDepot,10755.64
2023-11-04,Asbestos,ConstructionDepot,11388.23
2023-11-21,Brick,HomeImprovementHQ,11595.47
2023-01-12,Steel,MaterialMasters,11169.68
2023-08-06,Concrete,HomeDepotPro,11789.72
2023-05-19,Brick,HomeImprovementHQ,9198.48
2023-10-18,Brick,TimberMart,8825.05
2023-10-08,Brick,SupplyCenter,10879.71
2023-01-25,Concrete,MaterialMasters,8781.3
2023-07-11,Concrete,ConstructionDepot,8108.03
2023-01-12,Steel,MaterialMasters,11139.75
2023-07-07,Ceramic,HomeImprovementHQ,10099.94
2023-04-13,Concrete,ConstructionDepot,11742.72
2023-06-19,Asbestos,SupplyCenter,10172.9
2023-10-11,Ceramic,MaterialMasters,11747.02
2023-04-13,Concrete,HomeImprovementHQ,8092.43
2023-01-05,Steel,HomeImprovementHQ,11676.13
2023-12-01,Ceramic,SupplyCenter,8804.08
2023-01-15,Brick,SupplyCenter,9089.63
2023-11-04,Asbestos,SupplyCenter,8205.39
2023-12-25,Asbestos,ConstructionDepot,8148.24
2023-04-18,Concrete,TimberMart,11078.21
2023-04-24,Ceramic,TheHardwareStore,10863.28
2023-05-10,Concrete,MaterialMasters,11115.93
2023-09-01,Brick,TimberMart,10633.02
2023-02-25,Ceramic,SupplyCenter,10523.97
2023-05-12,Asbestos,HomeImprovementHQ,10824.63
2023-11-16,Brick,MaterialMasters,9216.06
2023-07-14,Asbestos,TimberMart,11174.83
2023-02-18,Brick,TimberMart,8140.77
2023-05-05,Brick,HomeDepotPro,11103.76
2023-01-24,Asbestos,ConstructionDepot,11992.85
2023-03-16,Concrete,HomeImprovementHQ,8710.79
2023-03-22,Brick,HomeDepotPro,11874.1
2023-06-09,Concrete,TimberMart,8631.68
2023-07-13,Ceramic,HomeImprovementHQ,11758.63
2023-10-06,Ceramic,TimberMart,8045.48
2023-04-01,Ceramic,HomeImprovementHQ,9936.39
2023-08-25,Ceramic,HomeImprovementHQ,11404.98
2023-02-17,Ceramic,ConstructionDepot,10566.57
2023-10-16,Brick,HomeImprovementHQ,9035.07
2023-10-12,Steel,ConstructionDepot,11491.95
2023-04-19,Steel,TheHardwareStore,10259.75
2023-08-02,Ceramic,SupplyCenter,9258.43
2023-06-12,Asbestos,SupplyCenter,10782.63
2023-06-24,Concrete,HomeDepotPro,8876.08
2023-04-05,Asbestos,HomeImprovementHQ,10127.19
2023-08-17,Asbestos,TimberMart,11396.77
2023-04-04,Concrete,ConstructionDepot,10053.77
2023-08-25,Brick,TheHardwareStore,9633.86
2023-04-17,Ceramic,TimberMart,8092.68
2023-09-25,Asbestos,TimberMart,9899.79
2023-10-08,Concrete,HomeImprovementHQ,11681.25
2023-05-11,Asbestos,TimberMart,8374.82
2023-10-10,Asbestos,ConstructionDepot,9667.92
2023-01-01,Ceramic,TheHardwareStore,10988.32
2023-01-25,Ceramic,HomeDepotPro,8514.86
2023-02-12,Ceramic,HomeDepotPro,11009.8
2023-04-06,Brick,TheHardwareStore,10447.57
2023-10-02,Ceramic,TheHardwareStore,10357.8
2023-01-23,Asbestos,TheHardwareStore,11438.28
2023-06-22,Asbestos,HomeImprovementHQ,11161.82
2023-10-02,Asbestos,ConstructionDepot,10716.95
2023-11-08,Brick,HomeImprovementHQ,9799.2
2023-04-01,Brick,ConstructionDepot,9372.67
2023-06-06,Asbestos,SupplyCenter,9663.65
2023-06-03,Asbestos,HomeDepotPro,10184.09
2023-11-09,Concrete,ConstructionDepot,10080.23
2023-10-21,Concrete,HomeDepotPro,11849.87
2023-05-07,Steel,HomeImprovementHQ,10259.77
2023-10-01,Concrete,TimberMart,9284.23
2023-09-23,Concrete,HomeImprovementHQ,8429.13
2023-02-24,Ceramic,TheHardwareStore,9952.46
2023-08-10,Steel,HomeImprovementHQ,8705.71
2023-04-13,Steel,TheHardwareStore,9303.09
2023-11-22,Concrete,HomeImprovementHQ,9954.05
2023-06-14,Asbestos,TimberMart,11619.89
2023-10-16,Ceramic,HomeImprovementHQ,9673.99
2023-01-18,Steel,TheHardwareStore,8063.45
2023-10-21,Concrete,TimberMart,11586.0
2023-12-08,Steel,MaterialMasters,11983.84
2023-11-09,Asbestos,TimberMart,8422.35
2023-12-18,Ceramic,TheHardwareStore,9274.77
2023-07-10,Brick,ConstructionDepot,11581.24
2023-11-03,Brick,MaterialMasters,11524.7
2023-01-21,Brick,HomeImprovementHQ,10773.62
2023-06-04,Ceramic,TimberMart,11568.66
2023-07-03,Asbestos,HomeDepotPro,8678.47
2023-01-03,Ceramic,TimberMart,11633.66
2023-05-09,Steel,TheHardwareStore,11670.86
2023-03-01,Ceramic,SupplyCenter,9871.52
2023-04-05,Steel,HomeDepotPro,8482.27
2023-06-03,Steel,TimberMart,8866.63
2023-08-21,Asbestos,SupplyCenter,10617.3
2023-12-21,Ceramic,ConstructionDepot,9438.52
2023-10-16,Asbestos,MaterialMasters,10235.65
2023-10-13,Brick,TheHardwareStore,11487.72
2023-09-04,Steel,HomeDepotPro,10656.42
2023-10-12,Ceramic,ConstructionDepot,9589.25
2023-09-18,Steel,HomeImprovementHQ,8629.4
2023-08-10,Concrete,HomeDepotPro,8877.79
2023-04-04,Brick,TimberMart,11033.22
2023-06-18,Concrete,ConstructionDepot,10599.21
2023-12-02,Brick,TheHardwareStore,11411.1
2023-10-16,Concrete,HomeImprovementHQ,9247.63
2023-01-20,Brick,TimberMart,9560.3
2023-03-22,Asbestos,TimberMart,11995.92
2023-06-07,Ceramic,HomeDepotPro,9221.78
2023-10-24,Concrete,TimberMart,11727.44
2023-03-23,Ceramic,MaterialMasters,10202.2
2023-09-20,Concrete,TheHardwareStore,9044.73
2023-10-19,Steel,MaterialMasters,10013.41
2023-03-21,Brick,HomeDepotPro,8081.49
2023-10-02,Ceramic,HomeImprovementHQ,10681.07
2023-05-20,Steel,TheHardwareStore,10765.45
2023-06-19,Concrete,MaterialMasters,11729.62
2023-03-24,Asbestos,TimberMart,10412.39
2023-04-19,Steel,HomeImprovementHQ,11924.59
2023-07-04,Concrete,TimberMart,9734.77
2023-10-10,Brick,TheHardwareStore,8357.34
2023-07-23,Brick,HomeImprovementHQ,9297.89
2023-10-09,Asbestos,TimberMart,10728.95
2023-12-18,Concrete,TheHardwareStore,9989.35
2023-02-09,Asbestos,TheHardwareStore,10732.61
2023-06-13,Asbestos,SupplyCenter,11221.5
2023-05-17,Brick,HomeImprovementHQ,9802.07
2023-08-23,Steel,HomeImprovementHQ,11487.39
2023-11-20,Asbestos,HomeImprovementHQ,9491.32
2023-05-24,Steel,TimberMart,8604.98
