date,material,supplier,cost
2023-01-19,Gypsum,HomeDepotPro,9520.56
2023-04-05,Asbestos,ConstructionDepot,10104.1
2023-08-15,Gypsum,TheHardwareStore,10459.51
2023-12-10,Asbestos,TimberlandSupply,11944.72
2023-08-08,Insulation,SupplySolutions,8369.33
2023-12-21,Asbestos,HomeImprovementHQ,8919.87
2023-10-15,Asbestos,HomeDepotPro,8286.2
2023-10-05,Asbestos,SupplySolutions,9208.37
2023-11-19,Brick,SupplySolutions,10175.83
2023-06-25,Gypsum,HomeImprovementHQ,9400.94
2023-03-03,Brick,MaterialMasters,8844.39
2023-09-11,Insulation,MaterialMasters,10393.07
2023-04-15,Insulation,SupplySolutions,11522.31
2023-08-24,Brick,TheHardwareStore,11200.54
2023-01-15,Insulation,TheHardwareStore,10072.97
2023-04-05,Gypsum,HomeImprovementHQ,8836.38
2023-01-05,Gypsum,MaterialMasters,10121.81
2023-02-19,Concrete,SupplySolutions,11932.11
2023-03-21,Insulation,TheHardwareStore,10570.23
2023-05-04,Brick,TheHardwareStore,10236.83
2023-08-03,Brick,ConstructionDepot,10594.88
2023-02-17,Concrete,MaterialMasters,11237.93
2023-06-12,Gypsum,HomeDepotPro,11273.26
2023-05-25,Brick,HomeImprovementHQ,8980.99
2023-11-15,Brick,SupplySolutions,8133.51
2023-02-07,Asbestos,HomeDepotPro,10085.65
2023-02-25,Brick,HomeImprovementHQ,10840.03
2023-01-12,Asbestos,TimberlandSupply,9046.78
2023-09-20,Brick,MaterialMasters,8921.01
2023-02-14,Asbestos,ConstructionDepot,11789.64
2023-11-14,Asbestos,TheHardwareStore,11553.97
2023-01-14,Insulation,HomeImprovementHQ,10425.56
2023-12-04,Insulation,HomeImprovementHQ,8479.71
2023-08-22,Asbestos,TimberlandSupply,9291.89
2023-03-02,Asbestos,HomeDepotPro,11266.29
2023-12-05,Concrete,SupplySolutions,9195.19
2023-12-03,Concrete,TimberlandSupply,10627.78
2023-03-14,Asbestos,HomeImprovementHQ,10199.22
2023-08-20,Brick,ConstructionDepot,10343.96
2023-02-13,Gypsum,HomeImprovementHQ,10477.17
2023-11-25,Gypsum,ConstructionDepot,9889.48
2023-12-05,Gypsum,SupplySolutions,9083.22
2023-05-12,Insulation,HomeImprovementHQ,10794.22
2023-06-08,Gypsum,TimberlandSupply,8744.03
2023-08-16,Brick,SupplySolutions,10518.08
2023-04-02,Brick,ConstructionDepot,10015.36
2023-03-18,Asbestos,HomeDepotPro,10460.43
2023-05-25,Concrete,TheHardwareStore,11848.08
2023-11-18,Brick,ConstructionDepot,11868.06
2023-12-17,Insulation,TimberlandSupply,8884.41
2023-04-23,Gypsum,TheHardwareStore,8549.7
2023-08-11,Concrete,TheHardwareStore,11251.65
2023-01-23,Asbestos,ConstructionDepot,8607.81
2023-04-23,Gypsum,TheHardwareStore,10884.01
2023-03-22,Asbestos,HomeDepotPro,8638.16
2023-05-14,Asbestos,HomeImprovementHQ,8249.94
2023-06-10,Brick,TheHardwareStore,8464.68
2023-06-25,Concrete,ConstructionDepot,10756.67
2023-02-02,Brick,ConstructionDepot,10817.58
2023-11-06,Asbestos,HomeDepotPro,11168.55
2023-12-10,Asbestos,HomeImprovementHQ,10312.31
2023-09-15,Asbestos,TheHardwareStore,10451.45
2023-10-08,Concrete,TheHardwareStore,10289.25
2023-03-07,Insulation,ConstructionDepot,11525.48
2023-11-12,Insulation,MaterialMasters,8155.44
2023-12-09,Brick,TimberlandSupply,11560.43
2023-05-03,Insulation,ConstructionDepot,9436.88
2023-10-11,Brick,TimberlandSupply,10590.08
2023-09-23,Insulation,TheHardwareStore,10540.38
2023-02-09,Asbestos,ConstructionDepot,8802.79
2023-08-01,Concrete,SupplySolutions,8122.64
2023-12-01,Asbestos,SupplySolutions,11251.2
2023-07-06,Asbestos,HomeDepotPro,8911.53
2023-05-04,Brick,HomeImprovementHQ,10733.89
2023-02-18,Brick,MaterialMasters,9555.96
2023-02-24,Insulation,HomeImprovementHQ,10987.86
2023-03-12,Concrete,SupplySolutions,10371.4
2023-09-21,Asbestos,SupplySolutions,8285.33
2023-07-06,Insulation,SupplySolutions,11104.87
2023-04-12,Brick,HomeDepotPro,11034.38
2023-08-09,Asbestos,MaterialMasters,9720.22
2023-02-12,Gypsum,HomeDepotPro,9051.98
2023-07-11,Insulation,HomeImprovementHQ,11069.75
2023-06-21,Insulation,MaterialMasters,9448.91
2023-07-18,Insulation,HomeImprovementHQ,10264.12
2023-07-05,Concrete,MaterialMasters,11664.87
2023-05-20,Concrete,TimberlandSupply,9066.59
2023-08-08,Concrete,HomeDepotPro,11335.55
2023-07-12,Insulation,SupplySolutions,9320.39
2023-04-19,Asbestos,TheHardwareStore,11153.39
2023-12-17,Brick,HomeImprovementHQ,10273.74
2023-08-18,Gypsum,SupplySolutions,8796.03
2023-12-10,Asbestos,MaterialMasters,11366.86
2023-11-19,Asbestos,TheHardwareStore,11184.06
2023-10-24,Asbestos,HomeImprovementHQ,11733.41
2023-04-18,Brick,HomeImprovementHQ,8292.54
2023-07-06,Brick,TimberlandSupply,9197.68
2023-04-13,Gypsum,SupplySolutions,8223.13
2023-12-18,Insulation,ConstructionDepot,11698.3
2023-08-12,Asbestos,TimberlandSupply,9450.28
2023-04-22,Gypsum,HomeImprovementHQ,9401.95
2023-07-03,Brick,MaterialMasters,8133.15
2023-06-07,Insulation,TimberlandSupply,9705.98
2023-06-06,Insulation,ConstructionDepot,11408.94
