date,material,supplier,cost
2023-07-18,Brick,TimberMart,10491.73
2023-06-08,Asbestos,ConstructionSupply,10185.94
2023-04-04,Concrete,TheHardwareStore,10263.81
2023-06-21,Glass,BuildCo,10201.67
2023-07-13,Wood,TheHardwareStore,8137.49
2023-02-02,Brick,TimberMart,10481.53
2023-03-20,Wood,BuildCo,11654.63
2023-06-05,Wood,TheHardwareStore,11290.7
2023-04-24,Brick,ConstructionSupply,9935.71
2023-10-10,Brick,ConstructionDepot,9168.31
2023-05-08,Asbestos,TimberMart,9089.92
2023-05-02,Asbestos,BuildCo,8577.71
2023-05-06,Brick,ConstructionDepot,10580.07
2023-12-01,Wood,TimberMart,10651.15
2023-07-20,Concrete,ConstructionSupply,10603.57
2023-07-14,Wood,TimberMart,9120.45
2023-08-08,Glass,HomeImprovementHQ,11814.58
2023-10-01,Wood,TheHardwareStore,8117.23
2023-07-07,Brick,BuildCo,11126.78
2023-09-18,Glass,TimberMart,10238.12
2023-12-25,Glass,ConstructionDepot,8323.07
2023-06-04,Concrete,TheHardwareStore,11521.35
2023-09-12,Wood,HomeImprovementHQ,9608.37
2023-06-01,Wood,TheHardwareStore,10582.99
2023-09-05,Brick,ConstructionSupply,8667.47
2023-07-03,Concrete,HomeImprovementHQ,11073.7
2023-10-02,Wood,TimberMart,10998.71
2023-06-02,Brick,ConstructionSupply,10192.15
2023-09-24,Glass,TheHardwareStore,11414.29
2023-09-20,Concrete,BuildCo,9647.48
2023-07-11,Brick,ConstructionSupply,11166.01
2023-07-15,Glass,ConstructionDepot,10699.7
2023-10-18,Glass,HomeDepotPro,10087.11
2023-11-03,Asbestos,HomeImprovementHQ,11755.21
2023-11-25,Concrete,TimberMart,10379.9
2023-01-22,Glass,HomeDepotPro,8769.47
2023-07-05,Wood,TheHardwareStore,9629.66
2023-06-09,Glass,HomeDepotPro,8072.27
2023-08-24,Wood,ConstructionDepot,10283.46
2023-07-12,Brick,HomeImprovementHQ,11586.08
2023-06-25,Wood,TimberMart,10968.77
2023-08-08,Glass,ConstructionDepot,9831.07
2023-06-05,Glass,HomeImprovementHQ,9185.05
2023-05-12,Wood,TimberMart,10662.96
2023-10-19,Brick,BuildCo,9954.56
2023-11-20,Asbestos,ConstructionDepot,10700.67
2023-11-15,Concrete,BuildCo,8647.08
2023-12-22,Concrete,BuildCo,9314.44
2023-10-05,Concrete,TheHardwareStore,9093.89
2023-11-23,Concrete,ConstructionDepot,10830.64
2023-12-15,Concrete,TheHardwareStore,11209.09
2023-07-15,Asbestos,BuildCo,8898.27
2023-07-25,Wood,TimberMart,10648.48
2023-02-20,Concrete,HomeDepotPro,9563.56
2023-04-16,Brick,TheHardwareStore,11199.56
2023-08-13,Asbestos,HomeImprovementHQ,8369.3
2023-06-11,Concrete,HomeImprovementHQ,10017.65
2023-10-07,Glass,ConstructionSupply,8443.0
2023-07-17,Wood,BuildCo,10948.98
2023-12-06,Asbestos,HomeDepotPro,8373.28
2023-03-16,Glass,HomeImprovementHQ,9411.2
2023-12-13,Wood,TheHardwareStore,10081.6
