date,material,supplier,cost
2023-04-25,Asbestos,HomeDepotPro,9366.45
2023-12-25,Insulation,LumberYardInc,8057.59
2023-02-21,Insulation,LumberYardInc,10634.9
2023-05-10,Gypsum,HomeDepotPro,8221.46
2023-10-21,Asbestos,LumberYardInc,11098.39
2023-10-18,Gypsum,LumberYardInc,10058.67
2023-12-20,Glass,TheBuildingBlock,11175.1
2023-08-06,Gypsum,LumberYardInc,9371.08
2023-12-11,Asbestos,HomeDepotPro,11597.96
2023-03-24,Glass,BuildSmart,8339.25
2023-08-05,Glass,SupplySolutions,9702.86
2023-03-17,Plastic,BuildSmart,8000.53
2023-04-03,Asbestos,MaterialSource,10142.46
2023-01-20,Plastic,LumberYardInc,9636.38
2023-05-20,Gypsum,LumberYardInc,10047.02
2023-11-12,Asbestos,MaterialSource,11776.59
2023-09-08,Glass,MaterialSource,10323.12
2023-08-12,Asbestos,BuildSmart,8872.65
2023-06-24,Insulation,TimberMart,10876.78
2023-07-17,Glass,MaterialSource,8313.49
2023-11-01,Plastic,BuildSmart,10903.86
2023-01-16,Insulation,SupplySolutions,9756.91
2023-03-22,Gypsum,BuildSmart,11667.55
2023-07-01,Glass,TheBuildingBlock,9785.08
2023-03-16,Insulation,SupplySolutions,8179.19
2023-05-03,Plastic,MaterialSource,10000.07
2023-10-19,Insulation,TimberMart,9002.03
2023-09-17,Glass,MaterialSource,11662.28
2023-09-02,Plastic,LumberYardInc,11897.86
2023-06-14,Glass,LumberYardInc,9460.83
2023-09-20,Asbestos,TimberMart,8192.96
2023-03-19,Plastic,MaterialSource,10302.4
2023-07-05,Glass,BuildSmart,8728.25
2023-07-25,Insulation,BuildSmart,8646.36
2023-09-14,Glass,BuildSmart,11240.09
2023-09-01,Plastic,BuildSmart,11243.27
2023-02-16,Insulation,TimberMart,10613.58
2023-10-18,Gypsum,LumberYardInc,8077.24
2023-05-15,Insulation,TheBuildingBlock,9037.79
2023-10-04,Asbestos,SupplySolutions,9403.1
2023-07-23,Glass,TimberMart,9242.14
2023-12-07,Glass,HomeDepotPro,8707.67
2023-09-11,Plastic,BuildSmart,8225.13
2023-06-23,Glass,SupplySolutions,8132.1
2023-03-11,Plastic,TimberMart,8310.45
2023-12-16,Gypsum,TimberMart,10962.42
2023-09-13,Asbestos,TheBuildingBlock,10010.3
2023-09-17,Plastic,TimberMart,9278.17
2023-01-03,Insulation,TimberMart,10001.71
2023-09-19,Insulation,MaterialSource,9887.09
2023-08-21,Insulation,MaterialSource,10402.47
2023-03-06,Plastic,SupplySolutions,8501.27
2023-11-17,Glass,MaterialSource,9079.46
2023-05-13,Glass,TheBuildingBlock,9184.28
2023-05-02,Plastic,BuildSmart,8940.96
2023-05-21,Insulation,TimberMart,11966.5
2023-03-03,Asbestos,TheBuildingBlock,11089.01
2023-05-11,Plastic,LumberYardInc,10147.21
2023-08-16,Gypsum,BuildSmart,11321.72
2023-10-17,Insulation,SupplySolutions,8033.35
2023-11-15,Gypsum,TimberMart,10916.67
2023-04-11,Asbestos,HomeDepotPro,9766.44
2023-05-19,Plastic,TheBuildingBlock,11545.71
2023-12-12,Insulation,MaterialSource,9510.83
2023-09-03,Glass,LumberYardInc,8514.98
2023-11-23,Gypsum,SupplySolutions,11475.23
2023-08-07,Gypsum,BuildSmart,8157.11
2023-10-22,Insulation,MaterialSource,9637.08
2023-01-18,Insulation,MaterialSource,9658.72
2023-02-10,Insulation,BuildSmart,11495.44
2023-11-01,Asbestos,MaterialSource,9522.88
2023-07-20,Plastic,LumberYardInc,11267.48
2023-03-02,Asbestos,MaterialSource,11300.61
2023-12-05,Asbestos,LumberYardInc,11502.03
2023-09-01,Insulation,LumberYardInc,8592.75
2023-09-03,Gypsum,MaterialSource,9386.45
2023-02-04,Gypsum,TheBuildingBlock,9970.12
2023-01-24,Glass,BuildSmart,10399.94
2023-09-04,Insulation,MaterialSource,10850.38
2023-09-19,Gypsum,HomeDepotPro,9855.05
2023-01-21,Asbestos,LumberYardInc,10904.93
2023-05-08,Gypsum,TimberMart,11202.43
2023-12-11,Plastic,MaterialSource,8196.83
2023-06-04,Gypsum,BuildSmart,9122.45
2023-11-21,Gypsum,SupplySolutions,10335.76
2023-10-14,Plastic,TimberMart,8708.79
2023-03-17,Glass,BuildSmart,11733.78
2023-09-15,Gypsum,HomeDepotPro,8351.67
2023-05-04,Insulation,LumberYardInc,10428.35
2023-07-02,Asbestos,MaterialSource,10514.88
2023-07-17,Glass,SupplySolutions,9564.7
2023-09-01,Asbestos,BuildSmart,9784.47
2023-11-13,Insulation,TheBuildingBlock,8293.43
2023-02-10,Gypsum,LumberYardInc,11010.3
2023-09-23,Insulation,MaterialSource,9683.42
2023-06-21,Gypsum,TimberMart,8532.08
2023-02-15,Glass,BuildSmart,10741.1
2023-01-12,Gypsum,TheBuildingBlock,9700.96
2023-01-09,Glass,SupplySolutions,9069.8
2023-10-19,Gypsum,TimberMart,8198.12
2023-12-22,Plastic,BuildSmart,9992.94
2023-01-10,Asbestos,LumberYardInc,9875.17
2023-05-09,Glass,SupplySolutions,8621.1
2023-04-10,Insulation,MaterialSource,11846.77
2023-05-06,Plastic,LumberYardInc,11576.43
2023-04-08,Plastic,MaterialSource,11406.42
2023-06-24,Glass,LumberYardInc,8529.39
2023-06-20,Glass,LumberYardInc,9798.09
2023-09-19,Asbestos,SupplySolutions,8087.81
2023-04-05,Gypsum,SupplySolutions,9924.42
2023-10-10,Insulation,SupplySolutions,8378.1
2023-11-13,Asbestos,LumberYardInc,9179.03
2023-10-13,Gypsum,BuildSmart,11410.52
2023-04-17,Gypsum,LumberYardInc,11299.84
2023-10-13,Asbestos,SupplySolutions,9787.37
2023-12-24,Gypsum,TheBuildingBlock,8122.21
2023-09-16,Asbestos,MaterialSource,10894.54
2023-03-05,Insulation,HomeDepotPro,10911.29
2023-09-08,Gypsum,TheBuildingBlock,8977.31
2023-08-22,Asbestos,BuildSmart,10523.37
2023-12-18,Insulation,SupplySolutions,9884.68
2023-10-08,Gypsum,TimberMart,10840.42
2023-02-07,Asbestos,HomeDepotPro,11004.84
2023-04-11,Asbestos,MaterialSource,8924.82
2023-09-16,Glass,BuildSmart,11453.53
2023-05-15,Insulation,MaterialSource,10555.26
2023-05-14,Insulation,TimberMart,9268.93
2023-04-21,Gypsum,TimberMart,11557.49
2023-02-01,Gypsum,SupplySolutions,9997.16
2023-07-12,Asbestos,TheBuildingBlock,8825.03
2023-02-10,Asbestos,BuildSmart,11978.42
2023-03-19,Insulation,SupplySolutions,11037.62
2023-10-13,Glass,BuildSmart,10810.81
2023-02-09,Glass,SupplySolutions,9920.97
2023-04-14,Insulation,HomeDepotPro,11469.7
2023-01-24,Gypsum,LumberYardInc,8568.31
2023-02-03,Plastic,HomeDepotPro,11492.39
2023-12-10,Glass,TimberMart,9780.62
2023-05-23,Gypsum,TheBuildingBlock,11488.02
2023-05-21,Glass,HomeDepotPro,8841.29
2023-04-16,Gypsum,MaterialSource,8704.25
2023-06-17,Insulation,BuildSmart,11656.39
2023-11-11,Asbestos,BuildSmart,11329.43
2023-06-05,Gypsum,SupplySolutions,9754.02
2023-02-20,Plastic,BuildSmart,11256.34
2023-04-24,Plastic,MaterialSource,9185.87
2023-10-10,Asbestos,BuildSmart,8469.39
2023-05-04,Glass,TheBuildingBlock,9017.27
2023-03-11,Insulation,HomeDepotPro,8244.01
2023-08-25,Asbestos,TimberMart,8339.21
2023-09-02,Plastic,LumberYardInc,8497.16
2023-12-14,Insulation,LumberYardInc,9464.59
2023-12-09,Glass,LumberYardInc,11979.76
2023-10-20,Plastic,SupplySolutions,9168.64
2023-09-18,Insulation,LumberYardInc,9274.57
2023-01-06,Glass,MaterialSource,11979.97
2023-04-03,Glass,SupplySolutions,11016.76
2023-10-02,Glass,MaterialSource,10391.55
2023-02-11,Gypsum,TimberMart,10162.01
2023-03-08,Plastic,LumberYardInc,10916.95
2023-03-15,Plastic,MaterialSource,8748.13
2023-04-18,Gypsum,BuildSmart,11509.14
2023-02-24,Asbestos,LumberYardInc,8991.79
2023-04-24,Asbestos,LumberYardInc,11836.88
2023-11-01,Glass,HomeDepotPro,8849.16
2023-09-08,Plastic,TheBuildingBlock,10585.29
2023-09-21,Glass,BuildSmart,11112.12
2023-01-15,Insulation,LumberYardInc,10652.01
2023-09-15,Insulation,HomeDepotPro,11966.49
2023-11-22,Plastic,SupplySolutions,8188.39
2023-12-07,Gypsum,SupplySolutions,11076.77
2023-03-22,Asbestos,BuildSmart,9283.08
2023-04-10,Glass,TimberMart,11586.6
2023-09-17,Insulation,TimberMart,8061.86
2023-09-17,Plastic,LumberYardInc,11365.87
2023-04-25,Asbestos,LumberYardInc,11517.83
2023-07-06,Glass,SupplySolutions,11951.02
2023-09-13,Gypsum,TimberMart,11584.55
2023-07-15,Glass,TheBuildingBlock,11451.4
2023-10-15,Glass,LumberYardInc,8508.05
2023-06-12,Gypsum,TheBuildingBlock,11039.56
2023-05-05,Glass,BuildSmart,8652.0
2023-03-15,Gypsum,MaterialSource,8498.52
2023-02-15,Plastic,MaterialSource,9217.37
2023-01-06,Asbestos,MaterialSource,11261.35
2023-06-13,Insulation,LumberYardInc,9608.95
2023-11-19,Plastic,BuildSmart,11741.4
2023-06-05,Insulation,TimberMart,9757.01
2023-03-02,Plastic,SupplySolutions,10139.7
2023-05-03,Insulation,MaterialSource,8401.59
2023-06-22,Glass,MaterialSource,10580.41
2023-04-18,Gypsum,MaterialSource,9557.69
2023-02-05,Plastic,SupplySolutions,9650.87
2023-08-02,Glass,SupplySolutions,10678.22
2023-12-18,Asbestos,SupplySolutions,10619.07
2023-09-17,Plastic,BuildSmart,9222.99
2023-04-18,Glass,LumberYardInc,8793.52
2023-11-11,Gypsum,TheBuildingBlock,10756.05
2023-01-06,Plastic,TheBuildingBlock,11889.33
2023-11-25,Plastic,BuildSmart,8245.24
2023-03-12,Gypsum,SupplySolutions,9642.91
2023-03-21,Glass,TheBuildingBlock,10185.31
2023-01-25,Gypsum,SupplySolutions,8459.92
2023-02-06,Glass,LumberYardInc,11441.91
2023-10-18,Gypsum,BuildSmart,8778.94
2023-09-13,Asbestos,SupplySolutions,8383.81
2023-02-21,Insulation,TheBuildingBlock,11954.11
2023-02-05,Plastic,SupplySolutions,8698.07
2023-07-15,Glass,SupplySolutions,11461.1
2023-11-25,Plastic,SupplySolutions,11212.84
2023-09-11,Glass,LumberYardInc,10201.45
2023-07-16,Glass,SupplySolutions,9734.04
2023-03-13,Asbestos,BuildSmart,11789.27
2023-07-20,Glass,MaterialSource,10510.67
2023-11-09,Plastic,SupplySolutions,9930.12
2023-04-17,Gypsum,SupplySolutions,8386.07
2023-12-19,Plastic,MaterialSource,11071.47
2023-09-10,Plastic,BuildSmart,9349.73
2023-06-03,Gypsum,BuildSmart,10450.85
2023-12-14,Glass,LumberYardInc,8122.81
2023-12-13,Gypsum,LumberYardInc,8512.04
2023-09-07,Plastic,TimberMart,8833.15
2023-09-22,Insulation,SupplySolutions,8542.81
2023-08-03,Gypsum,SupplySolutions,9401.91
2023-09-14,Plastic,TheBuildingBlock,11174.05
2023-09-16,Glass,SupplySolutions,8125.32
2023-08-23,Asbestos,LumberYardInc,10565.11
2023-11-23,Glass,HomeDepotPro,9228.59
2023-09-07,Gypsum,TheBuildingBlock,11860.83
2023-09-17,Asbestos,TheBuildingBlock,11536.92
2023-06-08,Gypsum,HomeDepotPro,10829.86
2023-01-08,Glass,LumberYardInc,8342.95
2023-10-20,Gypsum,TimberMart,10672.62
2023-05-17,Glass,HomeDepotPro,9854.26
2023-08-25,Gypsum,SupplySolutions,11033.31
2023-04-22,Plastic,TimberMart,11917.06
2023-06-05,Plastic,BuildSmart,10960.92
2023-09-22,Insulation,SupplySolutions,8507.41
2023-05-19,Glass,LumberYardInc,8952.07
2023-06-05,Gypsum,LumberYardInc,10862.8
2023-02-12,Asbestos,BuildSmart,10838.98
2023-06-02,Glass,TheBuildingBlock,9850.71
2023-01-04,Insulation,SupplySolutions,9802.8
2023-03-10,Plastic,SupplySolutions,11281.18
2023-08-22,Insulation,MaterialSource,10960.2
2023-07-04,Insulation,SupplySolutions,9989.78
2023-11-12,Glass,LumberYardInc,11264.08
2023-11-06,Asbestos,MaterialSource,10724.07
2023-09-13,Glass,LumberYardInc,9596.19
2023-04-20,Gypsum,BuildSmart,8127.71
2023-03-22,Asbestos,MaterialSource,9000.42
2023-05-07,Gypsum,TimberMart,10559.8
2023-06-03,Glass,SupplySolutions,10841.62
2023-09-13,Insulation,TimberMart,11975.75
2023-10-10,Plastic,MaterialSource,10843.99
2023-08-15,Asbestos,TheBuildingBlock,8711.91
2023-11-20,Plastic,LumberYardInc,10766.83
2023-09-25,Gypsum,SupplySolutions,11909.84
2023-07-13,Asbestos,BuildSmart,8522.69
2023-07-15,Insulation,LumberYardInc,9617.09
2023-08-02,Insulation,BuildSmart,11292.05
2023-11-22,Gypsum,LumberYardInc,9135.43
2023-01-02,Insulation,MaterialSource,9624.21
2023-11-20,Glass,SupplySolutions,10354.93
2023-05-12,Plastic,TimberMart,8003.98
2023-06-19,Asbestos,SupplySolutions,9850.49
2023-06-13,Plastic,SupplySolutions,10293.81
2023-05-20,Gypsum,HomeDepotPro,10265.55
2023-04-15,Plastic,TimberMart,9010.78
2023-01-25,Insulation,LumberYardInc,11816.52
2023-05-01,Insulation,SupplySolutions,8223.3
2023-08-15,Asbestos,TimberMart,8594.79
2023-09-12,Glass,HomeDepotPro,8011.78
2023-06-15,Plastic,SupplySolutions,11702.47
2023-06-21,Asbestos,LumberYardInc,9536.92
2023-08-07,Plastic,TimberMart,10355.51
2023-10-23,Gypsum,SupplySolutions,8264.56
2023-04-14,Glass,HomeDepotPro,8049.15
2023-05-23,Glass,SupplySolutions,10626.25
2023-06-11,Insulation,BuildSmart,10731.92
2023-03-02,Gypsum,LumberYardInc,9916.41
2023-09-02,Insulation,HomeDepotPro,9122.58
2023-04-13,Asbestos,MaterialSource,8374.3
2023-09-16,Insulation,SupplySolutions,11578.5
2023-12-06,Gypsum,SupplySolutions,8715.34
2023-11-16,Gypsum,LumberYardInc,8714.53
2023-05-22,Glass,BuildSmart,8540.07
2023-04-07,Gypsum,LumberYardInc,11510.63
2023-08-25,Asbestos,MaterialSource,10475.27
2023-07-11,Glass,LumberYardInc,9650.53
2023-07-19,Asbestos,LumberYardInc,8972.41
2023-01-03,Insulation,LumberYardInc,8943.18
2023-12-20,Gypsum,BuildSmart,9044.84
2023-09-04,Gypsum,LumberYardInc,10598.89
2023-03-22,Insulation,HomeDepotPro,10007.4
2023-02-07,Gypsum,SupplySolutions,8380.51
2023-04-15,Asbestos,HomeDepotPro,11640.94
2023-09-19,Glass,SupplySolutions,11634.22
2023-02-04,Gypsum,BuildSmart,9900.29
2023-04-11,Gypsum,MaterialSource,9926.53
