date,material,supplier,cost
2023-02-13,Wood,SupplyCenter,8769.56
2023-09-18,Steel,MaterialMasters,11975.54
2023-06-18,Wood,ConstructionSupply,10996.72
2023-06-10,Plastic,ConstructionSupply,9501.09
2023-07-19,Steel,TheBuildingBlock,8556.74
2023-03-18,Wood,ConstructionSupply,8055.04
2023-08-18,Plastic,MaterialMasters,9842.82
2023-07-04,Wood,ConstructionSupply,11255.83
2023-05-06,Steel,TimberlandSupply,10867.91
2023-05-02,Plastic,TheHardwareStore,8273.49
2023-11-04,Steel,MaterialMasters,11934.31
2023-08-12,Asbestos,SupplySolutions,10962.93
2023-09-12,Asbestos,SupplySolutions,10357.79
2023-12-12,Asbestos,MaterialMasters,8035.25
2023-07-13,Plastic,ConstructionSupply,10575.37
2023-05-15,Plastic,MaterialMasters,8657.4
2023-12-01,Plastic,MaterialMasters,8499.34
2023-06-01,Plastic,ConstructionSupply,9203.51
2023-10-06,Asbestos,TheBuildingBlock,11077.74
2023-01-06,Asbestos,TheBuildingBlock,8339.4
2023-08-19,Asbestos,TimberlandSupply,9683.74
2023-04-06,Steel,TheHardwareStore,11433.26
2023-03-03,Asbestos,TheBuildingBlock,11972.88
2023-09-07,Asbestos,TheHardwareStore,10136.6
2023-06-04,Plastic,ConstructionSupply,9398.46
2023-05-20,Asbestos,ConstructionSupply,8849.61
2023-10-13,Concrete,SupplyCenter,11993.47
2023-10-21,Steel,ConstructionSupply,9293.79
2023-07-07,Wood,TheHardwareStore,10193.23
2023-12-04,Concrete,ConstructionSupply,10251.46
2023-06-06,Wood,TimberlandSupply,10127.69
2023-08-20,Asbestos,TimberlandSupply,8729.26
2023-12-04,Asbestos,MaterialMasters,9465.27
2023-10-19,Wood,TimberlandSupply,11618.8
2023-08-05,Concrete,MaterialMasters,8938.24
2023-02-18,Steel,ConstructionSupply,10138.2
2023-08-19,Plastic,SupplySolutions,8651.47
2023-04-15,Wood,MaterialMasters,8400.44
2023-08-15,Concrete,TheBuildingBlock,8667.11
2023-07-14,Plastic,MaterialMasters,8480.6
2023-08-03,Asbestos,TimberlandSupply,10473.01
2023-04-09,Plastic,TheBuildingBlock,11201.29
2023-03-03,Plastic,TheHardwareStore,10654.16
2023-11-20,Plastic,TimberlandSupply,9983.87
2023-06-03,Wood,TheBuildingBlock,11183.84
2023-04-20,Steel,TimberlandSupply,8691.1
2023-06-24,Concrete,MaterialMasters,10043.72
2023-03-07,Asbestos,MaterialMasters,9292.85
2023-08-24,Plastic,TheHardwareStore,9533.93
2023-10-25,Concrete,TimberlandSupply,9934.36
2023-11-15,Plastic,MaterialMasters,9368.07
2023-02-20,Asbestos,TheHardwareStore,11860.13
2023-10-20,Steel,TimberlandSupply,11295.05
2023-07-12,Asbestos,TimberlandSupply,11569.09
2023-05-24,Steel,TimberlandSupply,9729.75
2023-08-23,Plastic,SupplyCenter,10067.24
2023-10-02,Plastic,TheHardwareStore,10965.98
2023-04-15,Wood,SupplySolutions,8288.34
2023-05-07,Concrete,SupplySolutions,11498.6
2023-08-23,Asbestos,TheBuildingBlock,9705.24
2023-08-01,Steel,TheHardwareStore,9899.14
2023-06-21,Concrete,SupplySolutions,10429.8
2023-08-08,Asbestos,MaterialMasters,10972.97
2023-03-06,Plastic,ConstructionSupply,9737.17
2023-08-23,Plastic,MaterialMasters,10210.35
2023-05-25,Plastic,MaterialMasters,9497.76
2023-02-06,Wood,ConstructionSupply,10267.97
2023-08-11,Wood,SupplyCenter,10966.34
2023-04-07,Concrete,MaterialMasters,8961.08
2023-09-16,Concrete,ConstructionSupply,8043.32
2023-10-14,Asbestos,ConstructionSupply,8537.37
2023-03-05,Asbestos,TheHardwareStore,9659.04
2023-05-16,Concrete,ConstructionSupply,9686.57
2023-12-21,Asbestos,SupplyCenter,10750.86
2023-05-02,Steel,ConstructionSupply,9315.23
2023-01-02,Wood,TheHardwareStore,9822.43
2023-10-20,Concrete,SupplyCenter,8209.02
2023-06-24,Asbestos,MaterialMasters,8242.63
2023-10-17,Asbestos,ConstructionSupply,9799.84
2023-12-08,Asbestos,MaterialMasters,10800.66
2023-01-24,Wood,SupplyCenter,10567.57
2023-01-22,Steel,MaterialMasters,8254.9
2023-09-10,Concrete,TheBuildingBlock,8422.63
2023-01-22,Concrete,TheHardwareStore,8487.83
2023-08-10,Asbestos,SupplySolutions,8362.81
2023-06-14,Asbestos,ConstructionSupply,11251.27
2023-10-18,Concrete,SupplyCenter,9910.33
2023-05-25,Plastic,MaterialMasters,10836.22
2023-08-18,Asbestos,TheHardwareStore,8731.71
2023-02-09,Concrete,MaterialMasters,8544.47
2023-05-14,Plastic,SupplyCenter,10374.35
2023-07-05,Plastic,TheHardwareStore,11771.39
2023-04-04,Plastic,ConstructionSupply,11192.62
2023-12-10,Wood,TheHardwareStore,10388.49
2023-08-02,Concrete,ConstructionSupply,11071.89
2023-03-15,Concrete,SupplySolutions,8580.93
2023-09-06,Concrete,TheBuildingBlock,11118.08
2023-02-07,Wood,TheHardwareStore,10926.05
2023-01-03,Plastic,TheHardwareStore,8916.7
2023-09-25,Concrete,TimberlandSupply,8385.51
2023-07-22,Concrete,TheHardwareStore,11682.19
2023-06-03,Concrete,TheBuildingBlock,9207.81
2023-10-14,Plastic,TheBuildingBlock,11866.54
2023-03-02,Wood,SupplySolutions,9581.88
2023-04-05,Steel,SupplyCenter,8830.64
2023-05-08,Asbestos,SupplyCenter,11306.84
2023-10-13,Wood,SupplySolutions,8030.83
2023-04-05,Wood,MaterialMasters,10491.88
2023-09-16,Plastic,TimberlandSupply,9276.09
2023-11-17,Plastic,TimberlandSupply,10367.06
2023-08-24,Plastic,SupplyCenter,9640.87
2023-06-03,Steel,SupplyCenter,11587.93
2023-03-08,Asbestos,SupplyCenter,8246.97
2023-08-05,Plastic,ConstructionSupply,10318.03
2023-09-02,Plastic,TheBuildingBlock,10826.38
2023-02-07,Concrete,TimberlandSupply,9381.27
2023-03-15,Wood,TimberlandSupply,11787.85
2023-11-09,Asbestos,ConstructionSupply,10151.7
2023-10-04,Plastic,SupplySolutions,10526.2
2023-03-22,Wood,MaterialMasters,9551.49
2023-11-12,Steel,SupplySolutions,9412.3
2023-05-14,Wood,SupplyCenter,8231.57
2023-08-25,Wood,MaterialMasters,8041.33
2023-03-18,Asbestos,ConstructionSupply,9983.84
2023-10-16,Concrete,TimberlandSupply,8353.19
2023-05-16,Concrete,SupplySolutions,10980.35
2023-02-10,Wood,TheBuildingBlock,10597.76
2023-08-24,Plastic,ConstructionSupply,10965.93
2023-06-16,Concrete,MaterialMasters,10238.92
2023-03-21,Asbestos,SupplySolutions,8440.09
2023-09-03,Wood,SupplyCenter,9279.5
2023-08-11,Concrete,TheHardwareStore,8684.76
2023-10-06,Plastic,MaterialMasters,8733.35
2023-01-07,Plastic,MaterialMasters,9230.2
2023-09-14,Asbestos,TheBuildingBlock,10956.61
2023-01-23,Concrete,MaterialMasters,9652.94
2023-11-07,Asbestos,TheHardwareStore,8008.33
2023-08-05,Plastic,TimberlandSupply,11289.64
2023-02-05,Plastic,MaterialMasters,10447.88
2023-09-14,Wood,SupplySolutions,8361.99
2023-02-07,Asbestos,SupplySolutions,8482.26
2023-03-25,Concrete,MaterialMasters,11339.09
2023-01-19,Steel,MaterialMasters,11830.59
2023-03-09,Concrete,MaterialMasters,10969.4
2023-08-24,Concrete,TimberlandSupply,10997.03
2023-09-20,Wood,MaterialMasters,9473.44
2023-03-12,Wood,ConstructionSupply,8623.4
2023-07-07,Concrete,MaterialMasters,10207.59
2023-12-11,Asbestos,TheHardwareStore,11709.76
2023-11-01,Wood,SupplySolutions,11267.87
2023-10-23,Asbestos,MaterialMasters,8195.87
2023-02-08,Wood,TimberlandSupply,10530.64
2023-01-09,Asbestos,TheHardwareStore,11642.86
2023-01-21,Wood,TimberlandSupply,11963.34
2023-05-21,Plastic,TimberlandSupply,11134.15
2023-10-20,Asbestos,ConstructionSupply,8423.82
2023-07-01,Plastic,TheHardwareStore,11830.41
2023-12-18,Steel,SupplyCenter,11225.21
2023-07-22,Asbestos,MaterialMasters,11517.62
2023-03-22,Plastic,TheHardwareStore,8763.25
2023-10-25,Wood,SupplySolutions,8993.48
2023-07-11,Concrete,MaterialMasters,11701.03
2023-12-07,Wood,TimberlandSupply,9486.21
2023-05-22,Concrete,TheHardwareStore,9977.45
2023-12-06,Concrete,SupplyCenter,10787.44
2023-08-06,Concrete,TimberlandSupply,9621.2
2023-05-08,Wood,SupplySolutions,10804.31
2023-06-08,Steel,SupplyCenter,11385.44
2023-07-04,Plastic,TheHardwareStore,11222.5
2023-10-07,Steel,TheHardwareStore,9412.16
2023-06-23,Wood,TimberlandSupply,8130.4
2023-01-03,Plastic,TheBuildingBlock,9264.87
2023-08-18,Asbestos,ConstructionSupply,10742.53
2023-06-24,Steel,TheBuildingBlock,9289.29
