date,material,supplier,cost
2023-06-17,Concrete,MaterialSource,9618.88
2023-11-25,Concrete,ConstructionDepot,10623.0
2023-05-22,Wood,TheHardwareStore,9430.46
2023-01-03,Glass,LumberYardInc,11634.2
2023-12-20,Brick,ConstructionDepot,9986.17
2023-05-09,Wood,LumberYardInc,9507.2
2023-08-21,Steel,MaterialSource,10635.29
2023-07-17,Concrete,SupplySolutions,9028.4
2023-01-11,Steel,MaterialSource,8336.67
2023-08-24,Wood,MaterialSource,8813.91
2023-09-14,Concrete,MaterialMasters,11260.59
2023-06-08,Brick,SupplySolutions,8677.89
2023-02-22,Steel,LumberYardInc,9557.71
2023-01-15,Concrete,MaterialMasters,10572.13
2023-11-10,Wood,LumberYardInc,9490.52
2023-03-20,Wood,ConstructionDepot,11551.26
2023-07-21,Glass,ConstructionDepot,11736.6
2023-12-05,Glass,LumberYardInc,10600.19
2023-12-15,Wood,ConstructionDepot,11035.93
2023-02-23,Brick,MaterialMasters,9003.55
2023-03-12,Steel,SupplySolutions,11008.05
2023-04-25,Brick,MaterialSource,8272.58
2023-04-23,Concrete,SupplySolutions,9147.29
2023-09-15,Wood,TheHardwareStore,9190.03
2023-09-09,Steel,ConstructionDepot,11042.44
2023-11-03,Steel,LumberYardInc,8600.31
2023-12-20,Concrete,ConstructionDepot,10598.74
2023-12-15,Steel,HomeImprovementHQ,10004.82
2023-08-02,Wood,MaterialSource,10257.79
2023-05-06,Brick,MaterialSource,8156.99
2023-08-07,Steel,SupplySolutions,11897.79
2023-12-11,Concrete,SupplySolutions,10740.41
2023-07-20,Steel,SupplySolutions,11484.35
2023-05-21,Concrete,MaterialMasters,10383.2
2023-06-02,Wood,ConstructionDepot,10729.71
2023-03-14,Concrete,HomeImprovementHQ,9705.91
2023-08-17,Glass,SupplySolutions,11972.68
2023-11-13,Brick,TheHardwareStore,8884.34
2023-04-01,Concrete,HomeImprovementHQ,9009.39
2023-03-19,Concrete,SupplySolutions,10645.5
2023-01-24,Concrete,TheHardwareStore,10799.46
2023-12-04,Concrete,LumberYardInc,10678.84
2023-10-21,Glass,MaterialMasters,11232.89
2023-04-20,Steel,LumberYardInc,11468.84
2023-08-12,Brick,TheHardwareStore,8823.96
2023-09-24,Glass,LumberYardInc,9484.79
2023-02-20,Concrete,SupplySolutions,8099.34
2023-06-16,Steel,TheHardwareStore,10130.95
2023-04-18,Steel,ConstructionDepot,9768.03
2023-10-19,Wood,MaterialSource,8043.81
2023-04-02,Brick,SupplySolutions,10654.22
2023-12-07,Concrete,ConstructionDepot,9814.49
2023-03-07,Brick,LumberYardInc,10539.14
2023-06-12,Steel,SupplySolutions,9153.77
2023-12-24,Wood,HomeImprovementHQ,10695.0
2023-12-13,Brick,MaterialMasters,11733.86
2023-10-15,Brick,HomeImprovementHQ,10470.53
2023-09-24,Wood,TheHardwareStore,10015.98
2023-10-04,Wood,LumberYardInc,11344.0
2023-09-20,Brick,LumberYardInc,9453.47
2023-02-04,Glass,LumberYardInc,10558.8
2023-08-14,Brick,ConstructionDepot,9573.99
2023-05-22,Concrete,ConstructionDepot,11064.96
2023-06-16,Brick,SupplySolutions,9294.04
2023-12-23,Glass,TheHardwareStore,8624.9
2023-01-25,Brick,TheHardwareStore,9536.13
2023-11-12,Glass,SupplySolutions,8450.28
2023-12-09,Concrete,MaterialSource,11295.84
2023-05-15,Glass,TheHardwareStore,8854.95
2023-11-01,Brick,TheHardwareStore,8242.98
2023-09-14,Wood,SupplySolutions,9757.41
2023-09-17,Concrete,LumberYardInc,11155.52
2023-03-17,Wood,LumberYardInc,8792.06
2023-11-17,Brick,LumberYardInc,9672.6
2023-11-03,Concrete,LumberYardInc,9418.79
2023-07-12,Concrete,ConstructionDepot,11751.99
2023-11-17,Brick,SupplySolutions,9456.78
2023-11-21,Steel,HomeImprovementHQ,8334.18
2023-06-21,Wood,LumberYardInc,8265.46
2023-11-14,Brick,TheHardwareStore,9991.96
2023-07-06,Glass,HomeImprovementHQ,10826.72
2023-11-21,Glass,SupplySolutions,8300.81
2023-11-18,Concrete,MaterialMasters,9240.12
2023-08-19,Brick,HomeImprovementHQ,10505.96
2023-07-18,Concrete,HomeImprovementHQ,9986.31
2023-03-22,Concrete,LumberYardInc,8120.22
2023-11-10,Concrete,SupplySolutions,11144.92
2023-07-11,Wood,MaterialSource,8951.36
2023-02-02,Brick,HomeImprovementHQ,11702.2
2023-03-08,Steel,LumberYardInc,10087.57
2023-03-11,Concrete,ConstructionDepot,10449.82
2023-01-14,Brick,ConstructionDepot,10671.54
2023-09-09,Wood,SupplySolutions,11313.67
2023-03-02,Concrete,ConstructionDepot,11254.29
2023-05-17,Steel,MaterialMasters,9262.49
2023-11-10,Wood,MaterialSource,11360.18
2023-04-06,Steel,SupplySolutions,9490.42
2023-03-12,Glass,ConstructionDepot,10706.68
2023-09-14,Glass,LumberYardInc,9228.01
2023-06-07,Wood,MaterialMasters,10903.0
2023-01-17,Concrete,TheHardwareStore,10808.24
2023-07-08,Steel,MaterialMasters,8873.41
2023-01-15,Wood,ConstructionDepot,8723.04
2023-10-19,Steel,HomeImprovementHQ,11767.41
2023-09-17,Steel,HomeImprovementHQ,10453.29
2023-01-03,Steel,MaterialSource,10304.05
2023-12-09,Glass,HomeImprovementHQ,10730.24
2023-07-08,Steel,ConstructionDepot,8078.44
2023-02-07,Concrete,MaterialMasters,11014.25
2023-07-10,Glass,SupplySolutions,9577.96
2023-03-04,Glass,TheHardwareStore,11003.16
2023-12-24,Concrete,MaterialMasters,8904.44
2023-11-03,Concrete,LumberYardInc,11772.52
2023-01-02,Wood,TheHardwareStore,11583.09
2023-03-07,Concrete,TheHardwareStore,10770.05
2023-08-03,Concrete,MaterialSource,8034.28
2023-08-05,Brick,HomeImprovementHQ,11724.98
2023-01-25,Steel,MaterialMasters,9329.29
2023-04-25,Brick,MaterialSource,11304.14
2023-06-14,Brick,MaterialSource,11643.2
2023-11-06,Wood,ConstructionDepot,11154.89
2023-11-07,Concrete,ConstructionDepot,11145.82
2023-01-16,Brick,HomeImprovementHQ,10842.97
2023-11-13,Brick,TheHardwareStore,11365.73
2023-12-08,Brick,TheHardwareStore,10358.22
2023-05-11,Steel,SupplySolutions,9897.45
2023-07-20,Steel,LumberYardInc,11376.7
2023-05-01,Concrete,HomeImprovementHQ,11018.71
2023-04-07,Steel,MaterialMasters,11583.47
2023-05-01,Steel,LumberYardInc,8713.45
2023-07-16,Wood,HomeImprovementHQ,9723.31
2023-06-24,Wood,ConstructionDepot,9155.61
2023-11-23,Concrete,HomeImprovementHQ,8065.5
2023-10-09,Concrete,ConstructionDepot,10668.76
2023-09-10,Wood,TheHardwareStore,9933.71
2023-07-11,Concrete,MaterialMasters,9778.1
2023-10-17,Concrete,TheHardwareStore,8677.33
2023-09-04,Glass,ConstructionDepot,9432.17
2023-05-09,Wood,MaterialMasters,11210.32
2023-10-05,Wood,HomeImprovementHQ,10899.06
2023-02-09,Concrete,TheHardwareStore,9792.75
2023-08-12,Wood,HomeImprovementHQ,8366.65
2023-11-06,Steel,ConstructionDepot,8709.56
2023-04-17,Brick,LumberYardInc,8588.77
