date,material,supplier,cost
2023-01-24,Insulation,HomeDepotPro,11590.52
2023-03-08,Asbestos,SupplyCenter,10308.69
2023-06-20,Steel,MaterialSource,11120.29
2023-02-11,Plastic,SupplySolutions,11770.46
2023-07-15,Steel,TheHardwareStore,11627.76
2023-03-10,Plastic,SupplySolutions,10636.58
2023-03-02,Ceramic,TheBuildingBlock,10744.73
2023-01-09,Ceramic,MaterialSource,11213.76
2023-07-16,Plastic,TheBuildingBlock,9120.53
2023-08-24,Insulation,SupplyCenter,10650.76
2023-05-11,Ceramic,MaterialSource,10715.39
2023-03-01,Insulation,TheHardwareStore,9669.01
2023-02-20,Asbestos,MaterialSource,9329.72
2023-03-08,Ceramic,SupplySolutions,8307.17
2023-09-10,Plastic,SupplyCenter,11353.94
2023-01-01,Asbestos,LumberYardInc,9533.75
2023-11-20,Steel,SupplyCenter,10068.55
2023-01-22,Ceramic,TheHardwareStore,9387.71
2023-01-15,Asbestos,MaterialSource,9199.11
2023-02-02,Asbestos,MaterialSource,11224.36
2023-04-24,Steel,SupplyCenter,8823.59
2023-11-03,Plastic,TheBuildingBlock,9367.55
2023-06-07,Insulation,TheBuildingBlock,9560.06
2023-01-16,Ceramic,HomeDepotPro,8524.62
2023-07-16,Steel,TheHardwareStore,8459.5
2023-10-16,Plastic,HomeDepotPro,9162.21
2023-03-23,Asbestos,LumberYardInc,9330.44
2023-03-16,Plastic,MaterialSource,8901.3
2023-07-18,Insulation,TheHardwareStore,9019.87
2023-01-13,Ceramic,TheBuildingBlock,11680.61
2023-01-02,Ceramic,MaterialSource,9852.02
2023-12-14,Insulation,TheHardwareStore,9971.63
2023-06-20,Asbestos,SupplyCenter,8279.17
2023-09-18,Insulation,SupplyCenter,8274.68
2023-01-18,Asbestos,SupplySolutions,11085.33
2023-08-10,Plastic,LumberYardInc,8350.11
2023-07-08,Asbestos,LumberYardInc,10532.54
2023-03-23,Asbestos,TheBuildingBlock,10639.21
2023-03-04,Asbestos,SupplyCenter,11003.85
2023-02-17,Plastic,LumberYardInc,9179.73
2023-02-12,Insulation,TheBuildingBlock,9876.18
2023-06-11,Steel,TheHardwareStore,10604.32
2023-04-19,Steel,TheHardwareStore,9106.77
2023-04-11,Ceramic,SupplyCenter,8029.91
2023-07-24,Insulation,SupplySolutions,8490.22
2023-01-24,Steel,TheBuildingBlock,10765.48
2023-01-02,Ceramic,MaterialSource,10179.24
2023-01-18,Ceramic,TheHardwareStore,10772.82
2023-04-02,Asbestos,MaterialSource,10965.18
2023-07-15,Insulation,TheBuildingBlock,10644.05
2023-03-10,Ceramic,MaterialSource,10198.09
2023-05-15,Steel,SupplyCenter,11682.22
2023-01-06,Ceramic,SupplyCenter,9869.46
2023-12-15,Steel,TheBuildingBlock,8316.24
2023-07-08,Insulation,TheHardwareStore,11202.83
2023-09-12,Steel,MaterialSource,11137.62
2023-01-03,Ceramic,TheHardwareStore,8938.81
2023-08-22,Asbestos,MaterialSource,10351.74
2023-07-05,Asbestos,SupplySolutions,10777.24
2023-06-03,Insulation,SupplyCenter,11499.95
2023-07-13,Asbestos,MaterialSource,9683.33
2023-04-23,Asbestos,TheHardwareStore,8908.19
2023-03-06,Steel,TheBuildingBlock,8288.0
2023-09-06,Ceramic,SupplyCenter,9547.79
2023-04-09,Asbestos,SupplySolutions,8635.39
2023-05-21,Plastic,SupplyCenter,8059.26
2023-06-09,Steel,SupplyCenter,10240.32
2023-05-16,Steel,SupplySolutions,11494.94
2023-09-14,Asbestos,TheBuildingBlock,10312.81
