date,material,supplier,cost
2023-02-08,Brick,TheBuildingBlock,10251.79
2023-09-18,Steel,TheHardwareStore,8230.94
2023-03-20,Insulation,TheBuildingBlock,10564.25
2023-11-18,Gypsum,SupplyCenter,9616.94
2023-01-17,Plastic,TheBuildingBlock,10899.06
2023-06-09,Plastic,TheHardwareStore,11523.77
2023-10-22,Plastic,BuildSmart,11654.42
2023-11-04,Gypsum,TheBuildingBlock,9512.33
2023-06-22,Insulation,SupplySolutions,8861.79
2023-07-24,Plastic,SupplySolutions,10782.67
2023-10-13,Steel,SupplySolutions,10085.89
2023-09-09,Steel,TheHardwareStore,8567.61
2023-06-16,Gypsum,ConstructionSupply,10464.37
2023-09-23,Plastic,TheBuildingBlock,11030.2
2023-06-16,Brick,TheHardwareStore,9513.78
2023-01-08,Insulation,TimberMart,8810.95
2023-06-13,Gypsum,ConstructionSupply,11146.4
2023-05-20,Insulation,SupplyCenter,10675.19
2023-03-18,Steel,BuildSmart,8553.97
2023-08-22,Brick,SupplyCenter,10042.11
2023-06-11,Insulation,BuildSmart,9250.82
2023-09-08,Gypsum,SupplyCenter,11559.26
2023-10-25,Gypsum,SupplyCenter,9869.33
2023-08-04,Gypsum,SupplyCenter,11636.73
2023-06-10,Insulation,TheBuildingBlock,10461.92
2023-09-19,Brick,SupplyCenter,10516.24
2023-04-17,Plastic,BuildSmart,9973.26
2023-06-04,Steel,TimberMart,8094.72
2023-12-04,Brick,TheHardwareStore,8708.31
2023-06-08,Steel,TheHardwareStore,11099.27
2023-05-14,Gypsum,SupplySolutions,11469.35
2023-05-19,Insulation,TheHardwareStore,10238.76
2023-02-21,Plastic,SupplySolutions,10860.0
2023-02-12,Insulation,SupplySolutions,11292.88
2023-01-07,Gypsum,TimberMart,11658.56
2023-09-07,Steel,ConstructionSupply,11342.25
2023-10-17,Brick,ConstructionSupply,10604.37
2023-06-04,Steel,SupplySolutions,11311.88
2023-10-21,Gypsum,TheBuildingBlock,11713.93
2023-12-06,Steel,SupplyCenter,11008.91
2023-06-20,Plastic,SupplySolutions,10750.92
2023-06-04,Brick,BuildSmart,10311.28
2023-11-16,Gypsum,SupplySolutions,9141.9
2023-07-13,Gypsum,SupplyCenter,9496.74
2023-11-10,Insulation,TheHardwareStore,10314.51
2023-02-03,Plastic,ConstructionSupply,10801.69
2023-06-18,Gypsum,SupplySolutions,9917.64
2023-04-06,Brick,TheHardwareStore,8764.74
2023-11-07,Insulation,SupplyCenter,11256.33
2023-10-21,Steel,SupplyCenter,8045.63
2023-08-03,Plastic,TimberMart,8224.18
2023-02-03,Gypsum,TheHardwareStore,8338.83
2023-06-24,Gypsum,TheBuildingBlock,8398.84
2023-10-01,Insulation,BuildSmart,11269.42
2023-04-13,Plastic,TheBuildingBlock,11937.17
2023-09-20,Gypsum,SupplySolutions,8724.95
2023-06-11,Gypsum,TheHardwareStore,11725.48
2023-10-12,Insulation,TheBuildingBlock,11136.97
2023-11-03,Insulation,TimberMart,10633.64
2023-04-22,Brick,TheBuildingBlock,11808.47
2023-04-16,Insulation,BuildSmart,10294.3
2023-03-03,Brick,SupplyCenter,11897.02
2023-05-10,Brick,TheHardwareStore,10051.3
2023-03-18,Insulation,SupplyCenter,9906.4
2023-07-16,Insulation,SupplyCenter,9743.99
2023-12-14,Gypsum,SupplyCenter,11551.82
2023-09-22,Gypsum,TheBuildingBlock,10249.37
2023-08-15,Steel,TheHardwareStore,11507.17
2023-09-02,Insulation,SupplyCenter,11712.57
2023-10-12,Plastic,BuildSmart,10934.65
2023-09-15,Plastic,TheBuildingBlock,10315.32
2023-07-17,Steel,TheBuildingBlock,10849.08
2023-05-03,Gypsum,SupplyCenter,10751.19
2023-01-11,Insulation,TheBuildingBlock,9078.96
2023-07-11,Insulation,TheBuildingBlock,10253.66
2023-02-04,Steel,TheHardwareStore,11499.44
2023-06-08,Insulation,BuildSmart,10201.25
2023-07-13,Gypsum,TimberMart,8440.28
2023-06-13,Steel,SupplyCenter,8698.83
2023-12-07,Insulation,TheBuildingBlock,10658.68
2023-01-17,Steel,ConstructionSupply,11122.77
2023-05-13,Gypsum,ConstructionSupply,10623.45
2023-05-03,Insulation,TheHardwareStore,10102.51
2023-05-20,Gypsum,SupplySolutions,11881.63
2023-01-01,Gypsum,TheHardwareStore,10303.24
2023-09-16,Plastic,TheHardwareStore,11994.58
2023-01-01,Steel,TimberMart,10605.0
2023-03-11,Brick,TimberMart,11929.22
2023-06-18,Brick,TimberMart,8962.53
2023-02-07,Brick,BuildSmart,10693.61
2023-07-16,Brick,SupplyCenter,8938.42
2023-10-09,Gypsum,TimberMart,9483.32
2023-02-19,Gypsum,TheBuildingBlock,8219.1
2023-02-22,Gypsum,SupplySolutions,8886.83
2023-08-11,Gypsum,ConstructionSupply,8857.21
2023-11-04,Insulation,SupplySolutions,11008.52
2023-03-05,Insulation,TheHardwareStore,8718.08
2023-06-12,Insulation,ConstructionSupply,8752.14
2023-06-25,Gypsum,TheBuildingBlock,10186.55
2023-02-18,Insulation,BuildSmart,10200.44
2023-01-04,Gypsum,SupplyCenter,8918.41
2023-12-14,Steel,TimberMart,8872.73
2023-06-19,Steel,BuildSmart,11611.26
2023-12-14,Steel,TheHardwareStore,9492.91
2023-10-13,Plastic,SupplyCenter,8284.81
2023-09-02,Gypsum,SupplyCenter,11486.87
2023-12-23,Insulation,SupplyCenter,9515.55
2023-08-10,Gypsum,ConstructionSupply,8031.98
2023-08-20,Insulation,TimberMart,10394.31
2023-09-02,Brick,SupplyCenter,11418.81
2023-01-08,Gypsum,TheBuildingBlock,11934.65
2023-12-21,Gypsum,SupplyCenter,8728.88
2023-01-24,Brick,BuildSmart,8681.39
2023-12-22,Gypsum,TheBuildingBlock,11563.29
2023-05-12,Plastic,ConstructionSupply,10738.13
2023-01-22,Brick,TheHardwareStore,11823.58
2023-10-22,Insulation,BuildSmart,11397.12
2023-07-16,Brick,SupplyCenter,10151.6
2023-06-09,Brick,SupplyCenter,9977.68
2023-06-13,Steel,ConstructionSupply,9648.22
2023-06-22,Gypsum,BuildSmart,8403.19
2023-12-20,Gypsum,SupplySolutions,9769.79
2023-06-23,Brick,TheBuildingBlock,10943.25
2023-05-20,Plastic,ConstructionSupply,9145.89
2023-07-20,Brick,TheBuildingBlock,9985.82
2023-06-14,Insulation,TheHardwareStore,9728.72
2023-05-13,Plastic,ConstructionSupply,9000.73
2023-11-22,Insulation,BuildSmart,11566.95
2023-04-12,Plastic,SupplySolutions,9889.7
2023-10-16,Brick,TheHardwareStore,10561.1
2023-02-11,Plastic,SupplyCenter,11924.44
2023-11-09,Plastic,SupplySolutions,8794.12
2023-06-20,Gypsum,TheBuildingBlock,9982.67
2023-09-23,Brick,ConstructionSupply,11393.26
2023-01-08,Steel,TheBuildingBlock,8420.1
2023-11-23,Steel,TheBuildingBlock,9287.51
2023-01-21,Brick,TimberMart,11357.84
2023-11-20,Plastic,TheHardwareStore,10884.26
2023-03-07,Gypsum,TimberMart,8161.9
2023-03-14,Steel,BuildSmart,8579.68
2023-03-16,Insulation,BuildSmart,9559.14
2023-06-20,Gypsum,TheBuildingBlock,8548.26
2023-08-05,Brick,TheBuildingBlock,9643.49
2023-02-09,Steel,SupplySolutions,10227.34
2023-06-14,Steel,SupplySolutions,9049.49
2023-04-12,Plastic,ConstructionSupply,9236.64
2023-10-01,Gypsum,TheBuildingBlock,11263.97
2023-02-08,Gypsum,TimberMart,10204.12
2023-12-16,Brick,SupplyCenter,8373.4
2023-09-02,Brick,SupplyCenter,9212.06
2023-06-02,Gypsum,ConstructionSupply,10955.65
2023-08-08,Gypsum,SupplySolutions,9879.47
2023-06-10,Gypsum,TimberMart,10961.4
2023-06-13,Steel,SupplyCenter,10313.96
2023-03-17,Gypsum,ConstructionSupply,10204.09
2023-07-02,Gypsum,TheBuildingBlock,9301.95
2023-06-04,Insulation,BuildSmart,8308.8
2023-02-09,Gypsum,BuildSmart,10993.94
2023-05-22,Steel,BuildSmart,9813.07
2023-08-08,Plastic,TimberMart,11477.2
2023-07-10,Gypsum,BuildSmart,11421.04
2023-12-01,Brick,SupplyCenter,10057.24
2023-05-23,Brick,SupplyCenter,11114.59
2023-08-04,Gypsum,SupplyCenter,10639.48
2023-07-22,Gypsum,TheBuildingBlock,11428.66
2023-05-08,Gypsum,BuildSmart,8489.36
2023-08-12,Steel,SupplyCenter,9662.1
2023-02-04,Insulation,SupplyCenter,9942.36
2023-06-02,Insulation,TheBuildingBlock,9343.79
2023-11-03,Gypsum,TimberMart,9384.75
2023-10-22,Brick,TheBuildingBlock,10336.11
2023-07-09,Steel,TheHardwareStore,10633.01
2023-06-04,Brick,TheHardwareStore,11144.74
2023-09-17,Plastic,SupplySolutions,8395.79
2023-05-08,Gypsum,SupplySolutions,10429.15
2023-08-04,Plastic,SupplyCenter,9940.42
2023-06-07,Plastic,TimberMart,11885.16
2023-07-22,Steel,TimberMart,11972.39
2023-05-21,Steel,ConstructionSupply,9891.3
2023-05-19,Steel,TimberMart,8154.83
2023-02-03,Steel,SupplySolutions,11102.17
2023-07-20,Plastic,SupplyCenter,11120.29
2023-06-19,Insulation,TheBuildingBlock,8406.48
2023-11-12,Brick,TheHardwareStore,10236.62
2023-03-03,Steel,SupplyCenter,10558.5
2023-10-24,Plastic,TheHardwareStore,8513.21
2023-06-20,Steel,SupplySolutions,9996.78
2023-01-07,Steel,TheHardwareStore,8882.68
2023-03-07,Plastic,ConstructionSupply,11953.39
2023-06-07,Brick,SupplySolutions,9926.45
2023-11-16,Insulation,TimberMart,9358.25
2023-11-02,Insulation,ConstructionSupply,11248.71
2023-08-20,Gypsum,SupplySolutions,10075.4
2023-01-24,Gypsum,BuildSmart,10191.04
2023-11-17,Plastic,BuildSmart,9583.2
2023-09-07,Steel,ConstructionSupply,9918.33
2023-01-15,Plastic,TheHardwareStore,9212.14
2023-06-10,Steel,TimberMart,9224.71
2023-07-10,Plastic,TheBuildingBlock,10620.45
2023-11-21,Brick,SupplyCenter,10578.1
2023-06-25,Gypsum,SupplyCenter,11324.45
2023-12-25,Gypsum,BuildSmart,9728.2
2023-05-17,Brick,SupplyCenter,10889.27
2023-06-03,Insulation,SupplyCenter,10574.84
2023-07-02,Gypsum,ConstructionSupply,9810.4
2023-06-05,Steel,TheHardwareStore,9303.72
2023-02-06,Plastic,BuildSmart,10542.76
2023-01-07,Insulation,TheBuildingBlock,11338.24
2023-11-20,Insulation,SupplyCenter,8853.91
2023-04-08,Plastic,TimberMart,8630.6
2023-11-12,Insulation,ConstructionSupply,10281.61
2023-02-13,Plastic,SupplySolutions,10177.52
2023-09-19,Plastic,TheBuildingBlock,10613.87
2023-10-25,Brick,SupplySolutions,11518.94
2023-04-21,Brick,TheHardwareStore,11247.28
2023-06-02,Brick,BuildSmart,9324.58
2023-11-09,Plastic,SupplySolutions,9087.45
2023-06-06,Steel,ConstructionSupply,9969.99
2023-01-02,Insulation,ConstructionSupply,8301.9
2023-03-05,Insulation,ConstructionSupply,8175.17
2023-06-16,Plastic,ConstructionSupply,9052.11
2023-02-08,Gypsum,BuildSmart,10734.7
2023-06-24,Gypsum,SupplySolutions,11964.8
2023-05-24,Steel,BuildSmart,10091.6
2023-11-24,Insulation,SupplyCenter,11977.68
2023-02-15,Plastic,ConstructionSupply,9498.33
2023-02-16,Brick,TheHardwareStore,10346.43
2023-01-08,Brick,BuildSmart,11020.51
2023-02-22,Insulation,ConstructionSupply,10848.24
2023-12-23,Steel,SupplySolutions,8296.79
2023-05-04,Steel,SupplyCenter,8714.05
2023-11-01,Plastic,TheHardwareStore,8953.19
2023-05-07,Gypsum,TheHardwareStore,8972.06
2023-08-03,Plastic,BuildSmart,10076.86
2023-05-17,Steel,BuildSmart,10293.48
2023-01-21,Brick,BuildSmart,11670.3
2023-06-01,Plastic,ConstructionSupply,10139.81
2023-01-07,Brick,TheHardwareStore,8220.94
2023-03-14,Insulation,ConstructionSupply,8852.21
2023-11-18,Gypsum,SupplySolutions,9102.19
2023-02-13,Insulation,TheHardwareStore,11829.03
2023-03-11,Plastic,ConstructionSupply,10266.77
2023-05-13,Plastic,TheHardwareStore,11923.0
2023-03-16,Gypsum,TheHardwareStore,10800.11
2023-03-11,Insulation,TheBuildingBlock,8631.6
2023-07-12,Gypsum,ConstructionSupply,8573.58
2023-07-19,Gypsum,BuildSmart,11579.22
2023-06-05,Steel,ConstructionSupply,10726.44
2023-06-14,Gypsum,TheBuildingBlock,10065.92
2023-06-08,Insulation,SupplySolutions,9176.22
2023-09-25,Brick,ConstructionSupply,10734.72
2023-03-19,Gypsum,TimberMart,11806.2
2023-06-03,Steel,TheHardwareStore,9104.44
2023-01-01,Steel,TimberMart,10502.41
2023-11-11,Gypsum,BuildSmart,10984.67
2023-10-01,Gypsum,SupplySolutions,8034.96
2023-06-04,Plastic,SupplyCenter,9583.1
2023-07-14,Steel,SupplyCenter,10775.63
2023-10-21,Steel,SupplyCenter,11066.23
2023-06-13,Gypsum,ConstructionSupply,9090.34
2023-05-01,Steel,TheHardwareStore,11362.72
2023-11-05,Insulation,SupplySolutions,10871.24
2023-03-12,Insulation,TheHardwareStore,10011.76
2023-12-09,Steel,BuildSmart,11082.13
2023-12-05,Steel,TheHardwareStore,10018.43
2023-06-03,Steel,ConstructionSupply,9208.5
2023-01-11,Insulation,BuildSmart,11474.78
2023-12-09,Brick,TheBuildingBlock,10467.69
2023-11-08,Plastic,TimberMart,11984.62
2023-03-24,Plastic,TheBuildingBlock,9720.34
2023-08-05,Insulation,ConstructionSupply,10550.57
2023-06-04,Insulation,SupplySolutions,8799.74
2023-08-15,Brick,TimberMart,9817.98
2023-06-04,Insulation,SupplySolutions,9396.07
2023-09-13,Brick,SupplyCenter,10806.91
2023-04-24,Gypsum,BuildSmart,8187.63
2023-02-23,Brick,TheHardwareStore,10124.29
2023-09-18,Gypsum,TheBuildingBlock,8906.64
2023-03-25,Gypsum,ConstructionSupply,11480.53
2023-03-01,Brick,BuildSmart,8583.17
2023-02-11,Gypsum,TheHardwareStore,9020.28
2023-03-02,Brick,SupplyCenter,10386.07
2023-02-17,Plastic,ConstructionSupply,10906.27
2023-10-04,Plastic,BuildSmart,9187.73
2023-01-06,Steel,BuildSmart,9218.6
2023-08-01,Plastic,ConstructionSupply,10501.53
2023-09-15,Insulation,ConstructionSupply,9891.08
2023-05-20,Brick,ConstructionSupply,10936.53
2023-07-10,Gypsum,BuildSmart,8590.71
2023-06-03,Steel,SupplyCenter,11336.14
2023-09-11,Brick,TheBuildingBlock,8917.25
2023-12-19,Brick,BuildSmart,10800.1
2023-08-15,Insulation,TimberMart,9857.9
2023-01-01,Gypsum,TheHardwareStore,11476.34
2023-11-06,Plastic,BuildSmart,9147.82
2023-04-04,Gypsum,BuildSmart,8641.4
2023-11-14,Plastic,ConstructionSupply,11548.18
2023-06-14,Steel,TimberMart,9207.19
2023-12-03,Insulation,BuildSmart,8675.26
2023-01-22,Gypsum,SupplyCenter,10230.43
