date,material,supplier,cost
2023-09-12,Concrete,HomeImprovementHQ,8860.49
2023-09-11,Steel,MaterialMasters,8071.67
2023-03-01,Concrete,HomeImprovementHQ,11271.22
2023-07-18,Ceramic,TimberlandSupply,9405.16
2023-11-05,Insulation,TheHardwareStore,9256.91
2023-07-19,Insulation,HomeImprovementHQ,8152.12
2023-05-24,Concrete,TimberlandSupply,11550.22
2023-04-18,Insulation,TimberlandSupply,10673.88
2023-05-04,Concrete,BuildSmart,11027.53
2023-09-03,Insulation,ConstructionSupply,10333.02
2023-11-03,Glass,HomeDepotPro,11147.45
2023-01-19,Concrete,BuildSmart,11032.72
2023-05-21,Steel,TimberlandSupply,9848.56
2023-04-05,Concrete,HomeImprovementHQ,8915.33
2023-11-20,Glass,TheHardwareStore,11319.0
2023-04-13,Ceramic,MaterialMasters,10207.53
2023-08-03,Concrete,HomeDepotPro,9111.7
2023-02-04,Insulation,HomeDepotPro,8281.58
2023-04-12,Glass,ConstructionSupply,11182.12
2023-03-07,Ceramic,ConstructionSupply,8058.53
2023-06-21,Glass,ConstructionSupply,9624.02
2023-05-24,Ceramic,TimberlandSupply,8132.5
2023-10-19,Steel,TimberlandSupply,8243.22
2023-12-14,Glass,ConstructionSupply,8728.68
2023-06-20,Insulation,MaterialMasters,10178.14
2023-11-16,Steel,TimberlandSupply,9310.35
2023-12-02,Glass,TheHardwareStore,11849.35
2023-12-03,Concrete,TimberlandSupply,11392.62
2023-09-14,Ceramic,HomeDepotPro,11470.57
2023-11-21,Concrete,BuildSmart,8168.24
2023-12-18,Insulation,HomeImprovementHQ,10370.2
2023-01-25,Insulation,ConstructionSupply,8122.39
2023-04-08,Insulation,ConstructionSupply,8861.33
2023-09-06,Insulation,TheHardwareStore,8729.13
2023-02-12,Glass,TimberlandSupply,9144.5
2023-07-24,Glass,HomeDepotPro,8575.03
2023-03-05,Glass,HomeImprovementHQ,10754.28
2023-02-21,Insulation,ConstructionSupply,10039.0
2023-09-19,Insulation,ConstructionSupply,9897.68
2023-06-12,Glass,HomeDepotPro,11393.54
2023-04-20,Steel,ConstructionSupply,10720.06
2023-03-24,Concrete,ConstructionSupply,8889.95
2023-07-21,Glass,HomeDepotPro,11570.0
2023-05-17,Steel,HomeImprovementHQ,10025.6
