date,material,supplier,cost
2023-05-19,Plastic,TheHardwareStore,9343.89
2023-05-20,Insulation,BuildCo,9628.93
2023-11-07,Insulation,TheHardwareStore,11074.16
2023-08-08,Ceramic,SupplyCenter,11297.7
2023-11-21,Steel,SupplyCenter,9382.6
2023-07-04,Wood,MaterialSource,8844.15
2023-10-04,Steel,MaterialSource,9619.96
2023-08-21,Wood,SupplyCenter,10324.19
2023-12-12,Steel,ConstructionSupply,10142.51
2023-05-22,Wood,MaterialMasters,9552.08
2023-01-01,Ceramic,SupplyCenter,11195.68
2023-07-22,Ceramic,TheHardwareStore,9076.7
2023-09-14,Wood,LumberYardInc,8275.8
2023-11-07,Ceramic,BuildCo,9922.23
2023-05-21,Ceramic,TheHardwareStore,9613.49
2023-02-20,Ceramic,MaterialSource,10047.0
2023-07-16,Steel,MaterialMasters,8555.92
2023-11-10,Steel,BuildCo,8827.03
2023-05-22,Steel,BuildCo,8717.3
2023-03-21,Wood,LumberYardInc,9396.22
2023-07-01,Plastic,MaterialMasters,8886.0
2023-01-10,Insulation,MaterialSource,8121.14
2023-08-15,Steel,MaterialSource,11519.96
2023-04-24,Plastic,ConstructionSupply,8239.28
2023-04-05,Wood,LumberYardInc,9228.45
2023-05-21,Steel,ConstructionSupply,10009.0
2023-03-18,Steel,ConstructionSupply,11556.15
2023-07-22,Ceramic,TheHardwareStore,8437.82
2023-07-18,Ceramic,SupplyCenter,11340.22
2023-05-20,Insulation,LumberYardInc,9631.18
2023-04-13,Ceramic,SupplyCenter,8991.38
2023-06-01,Plastic,TheHardwareStore,11358.25
2023-09-04,Ceramic,SupplyCenter,11529.52
2023-07-06,Plastic,ConstructionSupply,10602.66
2023-11-14,Wood,MaterialMasters,11091.27
2023-12-08,Plastic,TheHardwareStore,8419.37
2023-07-15,Ceramic,SupplyCenter,10539.56
2023-03-12,Wood,TheHardwareStore,11496.21
2023-10-05,Wood,BuildCo,9661.64
2023-08-25,Ceramic,LumberYardInc,10723.0
2023-11-23,Steel,BuildCo,10084.81
2023-10-19,Ceramic,BuildCo,9729.13
2023-07-25,Ceramic,BuildCo,9039.05
2023-11-09,Wood,LumberYardInc,11169.82
2023-10-11,Wood,MaterialSource,11904.42
2023-04-13,Steel,SupplyCenter,11419.67
2023-05-18,Steel,LumberYardInc,11222.52
2023-01-10,Plastic,MaterialSource,10795.84
2023-12-21,Wood,LumberYardInc,9820.87
2023-03-08,Ceramic,SupplyCenter,10905.65
2023-02-22,Ceramic,TheHardwareStore,10786.8
2023-06-05,Plastic,MaterialSource,10009.95
2023-07-05,Plastic,SupplyCenter,9384.88
2023-05-09,Insulation,MaterialSource,8460.26
