date,material,supplier,cost
2023-05-08,Insulation,ConstructionSupply,8476.8
2023-04-02,Brick,MaterialMasters,8155.72
2023-09-12,Brick,ConstructionDepot,8192.46
2023-12-23,Concrete,SupplySolutions,8395.97
2023-09-11,Wood,SupplySolutions,11870.93
2023-01-05,Insulation,SupplySolutions,9044.56
2023-07-13,Wood,MaterialMasters,11353.74
2023-05-21,Ceramic,SupplySolutions,9098.01
2023-02-06,Concrete,TheBuildingBlock,8674.71
2023-01-22,Insulation,ConstructionDepot,11633.5
2023-06-06,Brick,ConstructionDepot,10911.65
2023-11-16,Ceramic,ConstructionSupply,9237.75
2023-12-22,Concrete,TimberlandSupply,10484.03
2023-12-17,Ceramic,TimberlandSupply,8795.12
2023-12-08,Wood,TheBuildingBlock,10215.89
2023-12-24,Wood,TimberMart,10989.71
2023-05-16,Wood,MaterialMasters,11512.36
2023-12-01,Ceramic,TheBuildingBlock,8643.25
2023-09-14,Ceramic,ConstructionDepot,9132.22
2023-01-02,Concrete,SupplySolutions,9594.74
2023-06-18,Brick,SupplySolutions,11220.61
2023-07-12,Ceramic,TheBuildingBlock,11445.11
2023-01-07,Insulation,ConstructionSupply,10508.48
2023-08-13,Wood,TimberMart,11596.05
2023-03-12,Concrete,SupplySolutions,10897.42
2023-07-24,Ceramic,ConstructionSupply,10049.76
2023-01-25,Concrete,TheBuildingBlock,9134.72
2023-05-12,Concrete,TimberMart,11682.08
2023-06-15,Insulation,TheBuildingBlock,10514.13
2023-02-18,Insulation,TheBuildingBlock,10233.67
2023-04-21,Insulation,TheBuildingBlock,10141.41
2023-04-21,Concrete,TimberMart,11864.15
2023-12-22,Ceramic,ConstructionSupply,11690.35
2023-12-09,Ceramic,ConstructionDepot,11648.36
2023-08-24,Wood,TheBuildingBlock,10641.63
2023-03-03,Wood,MaterialMasters,11247.69
2023-09-20,Ceramic,MaterialMasters,10235.36
2023-02-20,Wood,TimberlandSupply,10757.02
2023-08-05,Ceramic,ConstructionSupply,9935.84
2023-05-09,Insulation,TheBuildingBlock,10321.56
2023-12-10,Concrete,TheBuildingBlock,11673.66
2023-06-10,Insulation,TheBuildingBlock,9226.84
2023-06-20,Brick,SupplySolutions,10630.03
2023-08-25,Concrete,MaterialMasters,10996.66
2023-05-16,Concrete,SupplySolutions,9519.16
2023-10-15,Concrete,SupplySolutions,8285.19
2023-04-13,Concrete,ConstructionSupply,10872.85
2023-10-17,Concrete,ConstructionDepot,11665.14
2023-03-23,Ceramic,SupplySolutions,9962.65
2023-09-04,Wood,ConstructionSupply,10569.84
2023-10-23,Ceramic,TimberMart,9106.63
2023-05-11,Ceramic,MaterialMasters,8729.54
2023-07-01,Brick,MaterialMasters,11493.72
2023-02-25,Wood,TheBuildingBlock,10682.69
2023-05-11,Insulation,TheBuildingBlock,8364.94
2023-12-14,Brick,ConstructionSupply,11141.4
2023-05-25,Brick,TimberlandSupply,8126.99
2023-12-18,Wood,ConstructionSupply,11047.43
2023-05-14,Brick,MaterialMasters,11768.16
2023-08-09,Insulation,TheBuildingBlock,11542.57
2023-10-10,Brick,SupplySolutions,10697.95
2023-02-18,Concrete,TimberlandSupply,9352.63
