date,material,supplier,cost
2023-09-08,Brick,MaterialSource,8128.96
2023-01-05,Brick,ConstructionSupply,11471.57
2023-03-18,Wood,BuildCo,8360.87
2023-08-13,Wood,BuildSmart,9341.98
2023-06-24,Ceramic,TheHardwareStore,8638.95
2023-10-21,Brick,ConstructionSupply,11197.7
2023-10-07,Wood,TheHardwareStore,11340.94
2023-07-21,Ceramic,MaterialSource,8922.34
2023-04-08,Wood,LumberYardInc,8262.8
2023-12-12,Concrete,LumberYardInc,8465.41
2023-10-21,Steel,MaterialSource,11180.26
2023-06-04,Steel,ConstructionSupply,8329.08
2023-03-10,Ceramic,LumberYardInc,9909.93
2023-08-01,Ceramic,LumberYardInc,11075.93
2023-09-23,Ceramic,TimberMart,9246.94
2023-07-25,Concrete,MaterialSource,8848.16
2023-02-08,Brick,TimberMart,10916.99
2023-05-23,Steel,TheHardwareStore,11740.74
2023-02-12,Ceramic,BuildSmart,9133.18
2023-12-17,Wood,TimberMart,10311.69
2023-12-08,Concrete,TheHardwareStore,9441.49
2023-12-02,Wood,LumberYardInc,8284.01
2023-05-25,Ceramic,LumberYardInc,10944.64
2023-02-10,Concrete,TimberMart,8463.35
2023-10-21,Brick,LumberYardInc,8869.2
2023-05-19,Brick,BuildCo,8828.74
2023-03-07,Ceramic,LumberYardInc,9272.46
2023-06-01,Wood,TimberMart,9500.48
2023-07-10,Brick,ConstructionSupply,8036.23
2023-09-18,Steel,TimberMart,10386.06
2023-07-16,Steel,ConstructionSupply,9138.94
2023-01-05,Ceramic,BuildSmart,9530.94
2023-09-03,Ceramic,BuildSmart,9415.87
2023-09-19,Brick,LumberYardInc,10035.77
2023-09-09,Steel,TimberMart,10941.48
2023-09-22,Concrete,BuildCo,9994.15
2023-09-20,Brick,MaterialSource,11176.78
2023-03-15,Wood,ConstructionSupply,9512.78
2023-06-14,Concrete,LumberYardInc,8153.71
2023-11-09,Wood,BuildSmart,11033.99
2023-09-08,Wood,TheHardwareStore,11117.34
2023-07-10,Ceramic,LumberYardInc,10818.58
2023-02-09,Steel,LumberYardInc,10299.93
2023-02-23,Steel,MaterialSource,8728.72
2023-03-24,Ceramic,MaterialSource,11492.57
2023-02-16,Steel,TimberMart,9955.64
2023-12-10,Ceramic,LumberYardInc,11060.86
2023-02-11,Concrete,LumberYardInc,11453.47
2023-06-21,Concrete,MaterialSource,9196.44
2023-11-20,Steel,LumberYardInc,8691.02
2023-06-16,Steel,BuildSmart,10530.43
2023-05-14,Ceramic,LumberYardInc,8668.46
2023-05-06,Ceramic,BuildSmart,11157.94
2023-07-01,Wood,ConstructionSupply,10772.05
2023-04-21,Steel,TheHardwareStore,10144.72
2023-08-05,Brick,TimberMart,10475.09
2023-08-10,Ceramic,BuildCo,8528.47
2023-01-17,Steel,MaterialSource,8436.58
2023-11-05,Concrete,ConstructionSupply,8093.04
2023-03-07,Steel,TimberMart,9732.0
2023-09-04,Ceramic,LumberYardInc,11851.02
2023-09-04,Ceramic,LumberYardInc,10141.15
2023-07-10,Ceramic,MaterialSource,11314.08
2023-11-19,Ceramic,MaterialSource,11258.82
2023-10-18,Brick,BuildCo,8953.25
2023-02-25,Ceramic,LumberYardInc,9998.44
2023-02-20,Ceramic,TimberMart,10152.68
2023-06-21,Wood,BuildSmart,11340.38
2023-03-11,Steel,ConstructionSupply,10439.44
2023-11-23,Brick,BuildSmart,8517.5
2023-08-04,Brick,ConstructionSupply,9164.71
2023-06-22,Concrete,BuildCo,11936.62
2023-03-19,Ceramic,MaterialSource,9592.16
2023-11-23,Steel,TimberMart,8034.13
2023-09-11,Steel,LumberYardInc,10682.79
2023-02-11,Steel,MaterialSource,9169.31
2023-06-14,Wood,MaterialSource,10669.57
2023-10-01,Wood,MaterialSource,10966.7
2023-02-10,Concrete,LumberYardInc,10446.82
2023-07-20,Ceramic,TheHardwareStore,10432.5
2023-01-05,Concrete,TimberMart,9066.37
2023-06-17,Ceramic,LumberYardInc,8225.07
2023-07-10,Brick,BuildSmart,8375.96
2023-01-21,Brick,ConstructionSupply,10827.55
2023-01-20,Ceramic,MaterialSource,8556.36
2023-05-04,Concrete,BuildSmart,9511.06
2023-11-24,Steel,MaterialSource,8320.54
2023-01-03,Steel,BuildCo,11421.63
2023-01-15,Steel,LumberYardInc,11736.77
2023-10-13,Brick,MaterialSource,11205.07
2023-02-04,Steel,TimberMart,10319.95
2023-03-04,Steel,LumberYardInc,10593.02
2023-04-24,Wood,BuildSmart,10708.3
2023-12-02,Wood,LumberYardInc,10207.52
2023-09-01,Ceramic,LumberYardInc,11884.51
2023-11-16,Ceramic,ConstructionSupply,8187.92
2023-03-17,Concrete,TheHardwareStore,8639.95
2023-06-09,Steel,BuildCo,9935.91
2023-02-20,Wood,BuildSmart,11002.28
2023-02-25,Brick,MaterialSource,10066.82
2023-12-16,Steel,MaterialSource,10618.06
2023-12-05,Brick,TheHardwareStore,11909.62
2023-08-06,Steel,TimberMart,11617.28
2023-11-18,Concrete,MaterialSource,10877.08
2023-02-02,Brick,MaterialSource,10262.32
2023-03-09,Wood,TheHardwareStore,10506.17
2023-01-15,Ceramic,MaterialSource,10692.74
2023-05-03,Brick,TheHardwareStore,8003.27
2023-09-10,Wood,MaterialSource,8403.16
2023-07-18,Concrete,MaterialSource,8604.68
2023-10-08,Ceramic,ConstructionSupply,11411.11
2023-03-16,Ceramic,BuildSmart,9622.86
2023-04-23,Brick,LumberYardInc,10252.52
2023-02-17,Ceramic,MaterialSource,10893.3
2023-04-01,Concrete,TimberMart,10711.64
2023-03-25,Brick,BuildSmart,11661.72
2023-08-13,Ceramic,TheHardwareStore,8586.06
2023-02-01,Wood,MaterialSource,10470.19
2023-08-25,Brick,TheHardwareStore,9327.64
2023-01-14,Brick,TheHardwareStore,10943.88
2023-06-16,Brick,MaterialSource,8942.04
2023-06-24,Ceramic,ConstructionSupply,10995.06
2023-07-10,Ceramic,ConstructionSupply,11275.64
2023-12-22,Steel,LumberYardInc,9542.6
2023-11-10,Brick,BuildCo,9897.36
2023-04-20,Steel,TheHardwareStore,11935.32
2023-06-10,Wood,BuildCo,9989.53
2023-02-03,Ceramic,TimberMart,10635.16
2023-05-20,Steel,TimberMart,8068.93
2023-01-10,Steel,TheHardwareStore,10467.87
2023-04-06,Concrete,TheHardwareStore,10974.05
2023-01-02,Concrete,TheHardwareStore,10320.8
2023-12-10,Steel,TimberMart,10567.17
2023-01-02,Steel,ConstructionSupply,11017.15
2023-01-10,Ceramic,TheHardwareStore,11138.06
2023-01-10,Wood,ConstructionSupply,11891.58
2023-11-06,Steel,LumberYardInc,10825.75
2023-03-18,Ceramic,BuildSmart,8174.95
2023-06-07,Ceramic,MaterialSource,11701.79
2023-05-11,Brick,MaterialSource,11731.04
2023-01-08,Steel,LumberYardInc,8566.79
2023-03-06,Steel,MaterialSource,9278.37
2023-10-23,Concrete,BuildCo,8294.96
2023-09-22,Concrete,TheHardwareStore,10974.88
2023-04-16,Steel,TheHardwareStore,10279.81
2023-07-19,Brick,LumberYardInc,9651.62
2023-04-08,Ceramic,MaterialSource,10660.44
2023-02-17,Brick,TimberMart,9250.89
2023-06-09,Wood,BuildCo,11975.41
2023-02-11,Ceramic,ConstructionSupply,11436.78
2023-06-04,Wood,BuildSmart,11672.4
2023-10-18,Concrete,LumberYardInc,11960.51
2023-09-25,Wood,LumberYardInc,8185.54
2023-02-07,Steel,MaterialSource,11993.2
2023-07-07,Ceramic,ConstructionSupply,10529.39
2023-02-17,Concrete,TheHardwareStore,11021.18
2023-04-20,Ceramic,ConstructionSupply,11057.41
2023-03-22,Steel,BuildSmart,8065.06
2023-07-25,Steel,LumberYardInc,9091.04
2023-02-24,Brick,MaterialSource,9903.77
2023-03-17,Brick,TimberMart,10911.48
2023-02-08,Concrete,ConstructionSupply,8252.63
2023-08-25,Concrete,ConstructionSupply,9040.84
