date,material,supplier,cost
2023-10-17,Plastic,TheBuildingBlock,9125.32
2023-10-20,Plastic,ConstructionSupply,9194.97
2023-02-01,Glass,LumberYardInc,9812.96
2023-10-20,Concrete,HomeDepotPro,10852.37
2023-03-18,Plastic,ConstructionDepot,9464.91
2023-10-19,Asbestos,MaterialMasters,9485.89
2023-10-11,Plastic,SupplyCenter,11444.78
2023-01-03,Plastic,ConstructionSupply,11611.86
2023-10-18,Plastic,ConstructionSupply,8555.6
2023-05-13,Steel,LumberYardInc,11684.92
2023-12-18,Plastic,MaterialMasters,9347.24
2023-05-24,Asbestos,ConstructionSupply,11786.93
2023-03-22,Asbestos,MaterialMasters,10131.57
2023-01-01,Glass,MaterialMasters,8394.77
2023-02-10,Asbestos,ConstructionSupply,10568.96
2023-11-11,Plastic,HomeDepotPro,10618.49
2023-03-05,Glass,MaterialMasters,9484.31
2023-10-11,Glass,ConstructionDepot,9863.14
2023-02-14,Concrete,LumberYardInc,11485.94
2023-03-01,Plastic,TheBuildingBlock,8254.12
2023-12-12,Concrete,TheBuildingBlock,11704.75
2023-02-09,Steel,MaterialMasters,9682.65
2023-12-08,Steel,TheBuildingBlock,9410.18
2023-10-22,Asbestos,LumberYardInc,8632.16
2023-10-19,Glass,MaterialMasters,11421.08
2023-07-13,Glass,TheBuildingBlock,11262.62
2023-10-08,Steel,HomeDepotPro,10566.55
2023-07-17,Plastic,LumberYardInc,10812.77
2023-10-16,Steel,ConstructionDepot,10687.54
2023-07-05,Plastic,HomeDepotPro,9062.11
2023-02-17,Concrete,ConstructionDepot,10999.77
2023-02-01,Asbestos,LumberYardInc,10394.39
2023-05-07,Concrete,ConstructionSupply,8275.01
2023-10-11,Glass,TheBuildingBlock,11825.46
2023-11-01,Glass,MaterialMasters,8647.09
2023-10-05,Steel,HomeDepotPro,9019.03
2023-03-13,Concrete,ConstructionDepot,9461.68
2023-09-25,Plastic,HomeDepotPro,11903.68
2023-04-11,Plastic,LumberYardInc,11610.47
2023-08-07,Plastic,SupplyCenter,10552.2
2023-04-04,Plastic,SupplyCenter,10510.48
2023-10-08,Glass,HomeDepotPro,8721.77
2023-03-03,Plastic,MaterialMasters,9825.6
2023-10-13,Asbestos,SupplyCenter,8246.33
2023-10-04,Steel,LumberYardInc,11431.66
2023-03-08,Steel,ConstructionSupply,11385.36
2023-10-07,Steel,ConstructionDepot,11570.4
2023-10-20,Steel,LumberYardInc,10028.86
2023-11-14,Steel,ConstructionDepot,9551.57
2023-07-04,Plastic,ConstructionDepot,8294.39
2023-01-08,Plastic,ConstructionSupply,8561.51
2023-12-20,Asbestos,HomeDepotPro,11945.98
2023-08-14,Glass,TheBuildingBlock,9148.81
2023-06-01,Asbestos,MaterialMasters,11191.35
2023-10-06,Asbestos,ConstructionSupply,10459.25
2023-10-02,Plastic,SupplyCenter,9557.4
2023-05-16,Steel,MaterialMasters,11300.49
2023-10-15,Steel,HomeDepotPro,11165.1
2023-03-19,Steel,TheBuildingBlock,8734.34
2023-10-20,Steel,SupplyCenter,10061.82
2023-12-19,Steel,ConstructionSupply,8183.71
2023-10-17,Plastic,LumberYardInc,9434.3
2023-07-04,Plastic,HomeDepotPro,11315.24
2023-10-07,Steel,ConstructionSupply,11563.9
2023-07-15,Asbestos,TheBuildingBlock,8701.29
2023-04-25,Steel,TheBuildingBlock,9702.94
2023-01-10,Plastic,MaterialMasters,11415.17
2023-10-03,Asbestos,ConstructionSupply,10919.81
2023-09-24,Steel,ConstructionDepot,8635.39
2023-03-16,Plastic,ConstructionDepot,11036.86
2023-11-11,Plastic,LumberYardInc,9627.05
2023-07-10,Concrete,LumberYardInc,9895.94
2023-03-23,Asbestos,SupplyCenter,8771.06
2023-03-10,Glass,ConstructionDepot,8580.46
2023-10-02,Steel,TheBuildingBlock,11353.7
2023-08-24,Concrete,HomeDepotPro,8278.8
2023-03-20,Plastic,LumberYardInc,10064.66
2023-02-10,Plastic,ConstructionSupply,9295.55
2023-03-14,Plastic,MaterialMasters,9963.55
2023-10-17,Plastic,MaterialMasters,10725.87
2023-01-09,Steel,ConstructionSupply,10342.85
2023-07-24,Plastic,TheBuildingBlock,8228.78
2023-04-19,Concrete,SupplyCenter,8390.85
2023-12-04,Steel,TheBuildingBlock,9980.68
2023-12-16,Asbestos,ConstructionDepot,10315.13
2023-01-05,Plastic,MaterialMasters,10107.24
2023-12-14,Asbestos,ConstructionDepot,10063.87
2023-10-17,Glass,TheBuildingBlock,9571.84
2023-03-05,Concrete,SupplyCenter,11233.73
2023-04-05,Glass,SupplyCenter,9036.03
2023-07-20,Concrete,TheBuildingBlock,10351.96
2023-08-25,Steel,TheBuildingBlock,10961.35
2023-09-09,Steel,LumberYardInc,8966.19
2023-08-20,Steel,LumberYardInc,10899.51
2023-10-11,Plastic,HomeDepotPro,10186.09
2023-07-03,Glass,HomeDepotPro,10740.06
2023-06-17,Plastic,ConstructionDepot,9966.04
2023-06-11,Glass,MaterialMasters,11254.68
2023-07-16,Steel,ConstructionSupply,10464.27
2023-10-06,Plastic,MaterialMasters,10625.38
2023-05-17,Concrete,ConstructionDepot,10737.26
2023-01-11,Plastic,TheBuildingBlock,8534.91
2023-05-09,Steel,MaterialMasters,8727.23
2023-01-18,Asbestos,MaterialMasters,9320.91
2023-10-15,Concrete,ConstructionSupply,9584.46
2023-06-05,Concrete,ConstructionDepot,11978.78
2023-02-12,Plastic,ConstructionDepot,8225.48
2023-02-13,Glass,ConstructionSupply,9559.31
2023-05-17,Asbestos,ConstructionDepot,10744.59
2023-12-10,Concrete,SupplyCenter,10148.24
2023-10-23,Plastic,MaterialMasters,9398.66
2023-02-11,Plastic,LumberYardInc,11168.33
2023-11-07,Concrete,LumberYardInc,11891.79
2023-11-04,Plastic,MaterialMasters,10291.06
2023-05-02,Glass,ConstructionDepot,10380.5
2023-08-07,Asbestos,TheBuildingBlock,8943.68
2023-02-23,Concrete,ConstructionDepot,8283.73
2023-11-15,Plastic,LumberYardInc,10160.03
2023-08-05,Glass,SupplyCenter,10214.41
2023-10-03,Plastic,HomeDepotPro,10753.82
2023-08-19,Plastic,ConstructionDepot,9872.42
2023-01-12,Plastic,MaterialMasters,8381.9
2023-06-16,Concrete,LumberYardInc,9759.83
2023-09-19,Asbestos,LumberYardInc,9487.91
2023-04-23,Steel,MaterialMasters,10734.31
2023-12-22,Asbestos,LumberYardInc,9770.51
2023-09-17,Glass,MaterialMasters,10767.99
2023-08-13,Plastic,LumberYardInc,9454.29
2023-01-17,Plastic,SupplyCenter,10887.71
2023-10-17,Glass,LumberYardInc,10086.16
2023-10-10,Concrete,TheBuildingBlock,10384.67
2023-03-09,Asbestos,ConstructionDepot,11568.96
2023-10-09,Glass,HomeDepotPro,10556.65
2023-11-16,Glass,SupplyCenter,11796.87
2023-06-10,Plastic,LumberYardInc,10405.81
2023-05-25,Steel,ConstructionDepot,8277.96
2023-01-14,Plastic,TheBuildingBlock,8933.74
2023-06-17,Concrete,ConstructionDepot,9997.05
2023-12-18,Concrete,TheBuildingBlock,10611.39
2023-08-16,Steel,HomeDepotPro,9797.51
2023-08-09,Concrete,ConstructionDepot,10272.47
2023-09-15,Plastic,ConstructionDepot,8222.07
2023-05-03,Plastic,LumberYardInc,11384.23
2023-01-22,Steel,SupplyCenter,11949.76
2023-01-08,Plastic,LumberYardInc,10021.73
2023-11-01,Asbestos,SupplyCenter,9354.06
2023-10-19,Glass,SupplyCenter,9223.13
2023-11-12,Concrete,SupplyCenter,9854.53
2023-11-13,Asbestos,HomeDepotPro,11161.67
2023-07-05,Steel,ConstructionDepot,11731.13
2023-02-02,Steel,TheBuildingBlock,10636.57
2023-02-20,Steel,ConstructionDepot,8099.02
2023-08-11,Plastic,HomeDepotPro,10602.34
2023-06-11,Steel,HomeDepotPro,10847.45
2023-03-05,Plastic,LumberYardInc,11790.29
2023-01-19,Steel,ConstructionDepot,11025.3
2023-08-08,Concrete,ConstructionSupply,9500.88
2023-06-11,Plastic,HomeDepotPro,11921.38
2023-09-05,Plastic,HomeDepotPro,10407.57
2023-07-12,Asbestos,ConstructionSupply,8970.09
2023-05-23,Plastic,MaterialMasters,11829.75
2023-10-16,Plastic,MaterialMasters,8063.09
2023-10-24,Plastic,HomeDepotPro,11221.89
2023-06-16,Steel,SupplyCenter,9417.15
2023-10-08,Steel,SupplyCenter,10450.25
2023-04-02,Plastic,MaterialMasters,9244.81
2023-11-07,Plastic,ConstructionDepot,10627.89
2023-06-18,Plastic,HomeDepotPro,8957.02
2023-10-25,Concrete,ConstructionSupply,8305.0
2023-04-24,Concrete,ConstructionDepot,10370.21
2023-12-19,Glass,ConstructionSupply,8117.33
2023-04-03,Glass,ConstructionDepot,11466.66
2023-10-01,Plastic,HomeDepotPro,9401.03
2023-02-12,Asbestos,SupplyCenter,10984.11
2023-10-15,Plastic,ConstructionDepot,11243.1
2023-10-13,Steel,HomeDepotPro,8766.69
2023-09-23,Steel,LumberYardInc,8527.7
2023-01-13,Plastic,TheBuildingBlock,11684.08
2023-10-08,Steel,MaterialMasters,8646.82
2023-07-19,Plastic,SupplyCenter,10288.48
2023-10-15,Steel,LumberYardInc,8852.67
2023-11-14,Concrete,ConstructionDepot,11481.79
2023-10-10,Plastic,MaterialMasters,11147.26
2023-01-03,Plastic,ConstructionDepot,10603.85
2023-12-16,Asbestos,ConstructionDepot,11146.4
2023-07-13,Plastic,MaterialMasters,9488.96
2023-07-02,Steel,HomeDepotPro,11520.11
2023-06-12,Plastic,ConstructionSupply,11863.5
2023-10-17,Asbestos,ConstructionDepot,10756.57
2023-01-11,Plastic,ConstructionSupply,10569.43
2023-09-03,Glass,SupplyCenter,8701.68
