date,material,supplier,cost
2023-10-03,Brick,TimberMart,8962.86
2023-11-10,Brick,HomeImprovementHQ,8511.76
2023-01-02,Brick,TheHardwareStore,9639.63
2023-10-12,Plastic,TimberlandSupply,11296.33
2023-01-16,Glass,TimberlandSupply,11105.06
2023-06-06,Plastic,HomeImprovementHQ,11159.92
2023-01-14,Plastic,TimberMart,8523.68
2023-06-07,Brick,ConstructionDepot,11083.37
2023-10-09,Concrete,HomeImprovementHQ,11354.18
2023-04-22,Brick,TimberMart,11487.07
2023-04-01,Concrete,TimberMart,11695.41
2023-04-03,Glass,HomeImprovementHQ,11291.55
2023-12-05,Glass,HomeDepotPro,8834.64
2023-01-14,Plastic,HomeImprovementHQ,10017.89
2023-10-11,Concrete,HomeImprovementHQ,10769.21
2023-01-13,Plastic,TheHardwareStore,8646.6
2023-10-01,Brick,HomeDepotPro,8360.44
2023-04-18,Glass,ConstructionDepot,10194.01
2023-07-01,Glass,TimberlandSupply,8809.38
2023-05-10,Concrete,HomeImprovementHQ,8624.73
2023-12-10,Brick,TimberMart,11931.53
2023-04-20,Plastic,HomeDepotPro,11373.59
2023-03-21,Concrete,HomeDepotPro,10155.71
2023-06-19,Glass,TimberlandSupply,10608.53
2023-10-23,Plastic,ConstructionSupply,11578.48
2023-08-06,Concrete,ConstructionDepot,9272.66
2023-01-17,Plastic,HomeImprovementHQ,9240.77
2023-09-22,Plastic,TimberMart,9568.93
2023-02-06,Glass,HomeImprovementHQ,11118.88
2023-07-20,Insulation,TimberlandSupply,8505.3
2023-02-17,Brick,HomeImprovementHQ,11352.97
2023-01-09,Glass,TheHardwareStore,11062.09
2023-06-18,Concrete,HomeDepotPro,8835.82
2023-05-25,Brick,ConstructionDepot,8210.36
2023-02-23,Insulation,TheHardwareStore,11354.05
2023-08-23,Brick,ConstructionSupply,8081.59
2023-03-21,Glass,TimberlandSupply,11829.67
2023-04-15,Plastic,ConstructionDepot,9150.8
2023-12-02,Concrete,ConstructionDepot,8196.06
2023-02-06,Plastic,ConstructionDepot,9761.92
2023-06-10,Glass,ConstructionSupply,11711.48
2023-07-04,Concrete,TimberlandSupply,8868.34
2023-11-08,Concrete,HomeDepotPro,8570.24
2023-12-11,Plastic,TimberMart,8703.22
2023-09-06,Plastic,HomeDepotPro,11244.45
2023-02-18,Brick,TheHardwareStore,10403.81
2023-07-08,Insulation,HomeDepotPro,8175.74
2023-01-09,Concrete,TimberMart,10205.48
2023-09-16,Insulation,ConstructionDepot,9008.01
2023-09-19,Concrete,ConstructionDepot,11798.89
2023-01-04,Concrete,TimberlandSupply,9932.29
2023-09-04,Concrete,ConstructionSupply,9708.11
2023-06-05,Insulation,HomeImprovementHQ,8718.36
2023-01-08,Concrete,HomeDepotPro,10801.13
2023-11-10,Glass,TimberMart,10422.74
2023-07-03,Concrete,HomeImprovementHQ,10199.0
2023-07-14,Concrete,TheHardwareStore,10783.49
2023-05-24,Concrete,HomeImprovementHQ,10373.05
2023-09-05,Brick,HomeImprovementHQ,9787.29
2023-03-12,Plastic,TheHardwareStore,8335.6
2023-07-16,Insulation,TimberMart,11846.27
2023-02-08,Brick,HomeDepotPro,8937.38
