date,material,supplier,cost
2023-02-13,Gypsum,TheHardwareStore,8250.98
2023-04-05,Gypsum,MaterialSource,11657.82
2023-02-19,Gypsum,HomeImprovementHQ,9963.93
2023-02-25,Asbestos,BuildSmart,11172.9
2023-08-25,Asbestos,MaterialSource,8105.69
2023-08-06,Gypsum,SupplyCenter,8537.92
2023-02-24,Asbestos,ConstructionDepot,10833.18
2023-01-03,Gypsum,TheHardwareStore,11256.74
2023-11-11,Gypsum,SupplyCenter,11087.93
2023-03-14,Asbestos,MaterialSource,11455.34
2023-12-07,Steel,SupplyCenter,9007.97
2023-08-14,Brick,SupplyCenter,8785.21
2023-03-10,Steel,TheBuildingBlock,8841.43
2023-12-23,Ceramic,SupplyCenter,10873.64
2023-03-05,Brick,HomeImprovementHQ,10765.96
2023-05-08,Brick,TheHardwareStore,10102.41
2023-01-09,Brick,TheBuildingBlock,11586.82
2023-03-06,Brick,TheBuildingBlock,9789.42
2023-07-19,Steel,HomeImprovementHQ,11091.13
2023-01-09,Ceramic,SupplyCenter,9027.14
2023-11-03,Ceramic,SupplyCenter,11631.5
2023-07-07,Gypsum,HomeImprovementHQ,10065.84
2023-12-03,Asbestos,SupplyCenter,9437.38
2023-12-15,Asbestos,MaterialSource,9302.14
2023-06-07,Gypsum,MaterialSource,9959.73
2023-03-20,Brick,SupplyCenter,9456.54
2023-03-24,Ceramic,TheBuildingBlock,10317.7
2023-12-08,Ceramic,MaterialSource,11233.38
2023-02-24,Steel,TheHardwareStore,11448.11
2023-10-02,Steel,BuildSmart,9084.64
2023-11-19,Asbestos,MaterialSource,10749.28
2023-06-10,Gypsum,TheHardwareStore,8107.48
2023-08-10,Steel,MaterialSource,10902.51
2023-10-25,Ceramic,ConstructionDepot,10108.04
2023-04-14,Steel,TheBuildingBlock,10030.69
2023-11-17,Ceramic,ConstructionDepot,8266.23
2023-10-07,Steel,ConstructionDepot,8742.85
2023-12-02,Gypsum,HomeImprovementHQ,8108.56
2023-06-04,Brick,BuildSmart,8091.56
2023-12-16,Ceramic,TheBuildingBlock,11689.03
2023-02-11,Gypsum,TheBuildingBlock,10371.97
2023-03-16,Brick,SupplyCenter,11767.0
2023-11-11,Brick,SupplyCenter,10263.02
2023-11-06,Ceramic,TheHardwareStore,11995.55
2023-07-17,Steel,ConstructionDepot,9195.51
2023-09-18,Ceramic,TheBuildingBlock,11374.93
2023-10-13,Gypsum,SupplyCenter,11999.83
2023-12-05,Asbestos,SupplyCenter,9451.34
2023-12-01,Ceramic,HomeImprovementHQ,9081.54
2023-12-02,Gypsum,MaterialSource,9377.33
2023-12-10,Gypsum,HomeImprovementHQ,10541.11
2023-04-02,Ceramic,SupplyCenter,9428.08
2023-12-19,Ceramic,TheHardwareStore,10429.92
2023-04-05,Gypsum,BuildSmart,8722.5
2023-06-05,Ceramic,ConstructionDepot,9096.74
2023-01-20,Ceramic,SupplyCenter,8194.07
2023-02-02,Steel,HomeImprovementHQ,10677.16
2023-06-06,Ceramic,ConstructionDepot,11865.81
2023-08-24,Steel,MaterialSource,10127.89
2023-07-12,Brick,MaterialSource,10138.16
2023-06-20,Gypsum,SupplyCenter,10453.24
2023-03-14,Brick,SupplyCenter,11708.94
2023-05-21,Ceramic,MaterialSource,8673.87
2023-03-05,Steel,HomeImprovementHQ,11455.75
2023-06-17,Gypsum,TheBuildingBlock,8556.62
2023-03-15,Asbestos,BuildSmart,10489.5
2023-12-11,Gypsum,MaterialSource,9932.3
2023-09-03,Brick,MaterialSource,10548.27
2023-12-07,Gypsum,SupplyCenter,9405.61
2023-07-22,Gypsum,TheHardwareStore,10044.44
2023-04-12,Asbestos,TheHardwareStore,9260.01
2023-09-22,Ceramic,TheBuildingBlock,11222.81
2023-08-24,Steel,TheHardwareStore,10006.96
2023-10-18,Brick,TheBuildingBlock,11114.2
2023-08-23,Brick,MaterialSource,10068.19
2023-11-04,Steel,MaterialSource,8762.8
2023-02-11,Gypsum,SupplyCenter,9875.99
