date,material,supplier,cost
2023-12-21,Glass,ConstructionSupply,9093.35
2023-07-23,Glass,HomeImprovementHQ,9965.15
2023-05-10,Concrete,MaterialMasters,10766.7
2023-11-05,Ceramic,HomeDepotPro,8094.85
2023-12-20,Steel,BuildSmart,11100.08
2023-12-25,Ceramic,BuildSmart,8297.56
2023-04-16,Ceramic,HomeDepotPro,11017.36
2023-11-04,Glass,HomeImprovementHQ,10219.65
2023-07-25,Concrete,HomeDepotPro,9513.51
2023-11-08,Concrete,HomeDepotPro,8953.12
2023-01-14,Concrete,HomeImprovementHQ,11119.92
2023-05-24,Ceramic,SupplyCenter,9374.11
2023-06-15,Ceramic,HomeDepotPro,10954.72
2023-05-12,Steel,BuildCo,10683.05
2023-08-19,Ceramic,MaterialMasters,8758.54
2023-07-11,Plastic,ConstructionSupply,9928.73
2023-06-15,Plastic,SupplyCenter,10391.42
2023-09-16,Glass,MaterialMasters,11331.56
2023-08-01,Concrete,MaterialMasters,8287.58
2023-04-06,Glass,HomeDepotPro,11986.28
2023-05-02,Glass,HomeDepotPro,10839.7
2023-01-24,Ceramic,ConstructionSupply,8408.9
2023-05-13,Glass,HomeDepotPro,10791.44
2023-12-17,Glass,HomeImprovementHQ,11786.75
2023-05-07,Plastic,BuildCo,10189.49
2023-10-08,Steel,MaterialMasters,9539.52
2023-12-19,Steel,SupplyCenter,11112.32
2023-03-10,Steel,BuildCo,11574.19
2023-05-14,Concrete,MaterialMasters,9828.25
2023-01-19,Steel,HomeDepotPro,10856.8
2023-09-19,Ceramic,HomeImprovementHQ,9985.15
2023-12-06,Steel,ConstructionSupply,8394.65
2023-03-17,Steel,SupplyCenter,8616.21
2023-05-06,Plastic,SupplyCenter,8758.21
2023-05-02,Ceramic,BuildSmart,8674.03
2023-09-03,Concrete,SupplyCenter,9747.18
2023-05-18,Steel,HomeDepotPro,11856.14
2023-03-17,Ceramic,BuildSmart,9663.06
2023-05-19,Steel,ConstructionSupply,11507.46
2023-03-25,Ceramic,BuildCo,9349.59
2023-08-25,Plastic,BuildSmart,11125.4
2023-09-19,Concrete,HomeImprovementHQ,11411.1
2023-10-18,Ceramic,ConstructionSupply,9916.15
2023-05-10,Steel,ConstructionSupply,11837.01
2023-02-24,Ceramic,ConstructionSupply,11396.73
2023-10-20,Steel,MaterialMasters,11818.44
2023-10-09,Plastic,HomeImprovementHQ,11107.64
2023-07-23,Concrete,HomeImprovementHQ,8395.16
2023-03-22,Glass,SupplyCenter,11274.48
2023-06-10,Glass,HomeDepotPro,8704.2
2023-10-08,Steel,HomeImprovementHQ,9060.24
2023-09-13,Steel,ConstructionSupply,10463.72
2023-05-18,Glass,BuildSmart,9135.52
2023-02-12,Ceramic,HomeDepotPro,11548.14
2023-05-16,Steel,BuildCo,9826.46
2023-05-06,Plastic,MaterialMasters,11771.5
2023-05-25,Concrete,SupplyCenter,11779.38
2023-05-24,Ceramic,BuildCo,11683.71
2023-06-11,Ceramic,ConstructionSupply,11397.31
2023-03-05,Concrete,BuildSmart,9276.53
2023-01-11,Ceramic,MaterialMasters,9935.07
2023-08-04,Plastic,BuildCo,9557.15
2023-11-06,Plastic,BuildCo,10455.05
2023-05-10,Glass,MaterialMasters,10539.39
2023-10-24,Glass,ConstructionSupply,11901.21
2023-01-14,Plastic,BuildSmart,11216.02
2023-07-02,Plastic,SupplyCenter,8288.16
2023-12-09,Ceramic,ConstructionSupply,11106.04
2023-11-23,Ceramic,ConstructionSupply,10474.87
2023-10-24,Plastic,HomeImprovementHQ,10169.98
2023-08-16,Ceramic,BuildSmart,11000.1
2023-01-06,Plastic,HomeDepotPro,9854.81
2023-08-25,Ceramic,ConstructionSupply,10963.02
2023-11-13,Glass,HomeImprovementHQ,9882.48
2023-12-14,Plastic,SupplyCenter,10868.52
2023-03-20,Ceramic,MaterialMasters,10033.24
2023-10-10,Ceramic,SupplyCenter,10329.95
2023-10-21,Plastic,SupplyCenter,11035.38
2023-05-20,Concrete,BuildCo,8403.09
2023-05-19,Glass,MaterialMasters,9912.81
2023-01-07,Plastic,ConstructionSupply,10129.04
2023-03-07,Ceramic,BuildSmart,8214.47
2023-12-23,Glass,HomeDepotPro,9429.46
2023-05-24,Plastic,HomeImprovementHQ,9947.53
2023-06-24,Concrete,BuildSmart,10456.61
2023-09-19,Ceramic,BuildSmart,8539.28
2023-01-08,Plastic,BuildSmart,8001.26
2023-10-21,Concrete,BuildSmart,8856.88
2023-02-03,Concrete,BuildSmart,10584.75
