date,material,supplier,cost
2023-06-05,Ceramic,TimberMart,9153.49
2023-07-03,Ceramic,HomeImprovementHQ,9996.68
2023-08-17,Plastic,TimberMart,10767.11
2023-12-21,Wood,BuildCo,9580.87
2023-02-21,Glass,ConstructionDepot,9865.3
2023-03-15,Ceramic,SupplySolutions,10363.43
2023-11-19,Ceramic,SupplySolutions,8628.11
2023-09-02,Glass,SupplySolutions,10660.04
2023-08-19,Brick,BuildCo,9912.83
2023-02-10,Glass,ConstructionDepot,9194.04
2023-01-03,Wood,ConstructionDepot,10654.84
2023-12-25,Glass,HomeDepotPro,10970.84
2023-06-15,Wood,HomeImprovementHQ,9649.89
2023-07-01,Ceramic,HomeDepotPro,10297.81
2023-11-04,Glass,TimberlandSupply,11308.68
2023-11-12,Glass,TimberMart,11543.42
2023-06-18,Wood,HomeDepotPro,8670.9
2023-08-24,Ceramic,TimberMart,10781.96
2023-02-25,Plastic,TimberMart,10416.27
2023-07-09,Wood,SupplySolutions,11091.1
2023-05-20,Wood,ConstructionDepot,10238.2
2023-05-24,Ceramic,TimberMart,11528.01
2023-01-02,Glass,HomeDepotPro,11741.35
2023-12-16,Ceramic,TimberMart,9491.07
2023-02-04,Glass,BuildCo,9813.07
2023-06-02,Ceramic,BuildCo,10111.24
2023-12-25,Wood,BuildCo,10525.79
2023-10-13,Plastic,SupplySolutions,10511.86
2023-05-08,Glass,BuildCo,9226.24
2023-10-22,Ceramic,BuildCo,9192.61
2023-09-08,Plastic,ConstructionDepot,8505.95
2023-10-14,Plastic,SupplySolutions,10734.61
2023-05-02,Wood,HomeImprovementHQ,9261.86
2023-04-22,Ceramic,TimberMart,11728.0
2023-04-08,Ceramic,SupplySolutions,11265.66
2023-10-06,Brick,ConstructionDepot,10713.48
2023-02-12,Ceramic,TimberMart,11076.46
2023-04-10,Wood,BuildCo,10326.64
2023-06-10,Ceramic,TimberlandSupply,10641.09
2023-08-12,Ceramic,TimberMart,9228.32
2023-05-11,Wood,ConstructionDepot,8601.77
2023-01-03,Plastic,TimberlandSupply,11138.32
2023-12-04,Glass,TimberMart,9439.53
2023-05-10,Ceramic,BuildCo,9134.21
2023-12-21,Glass,SupplySolutions,11003.72
2023-04-04,Glass,TimberlandSupply,10821.28
2023-03-11,Glass,ConstructionDepot,10132.62
2023-05-03,Ceramic,BuildCo,8124.98
2023-08-21,Brick,HomeDepotPro,9980.86
2023-08-05,Wood,SupplySolutions,9770.87
2023-12-11,Wood,TimberMart,11194.48
2023-05-03,Glass,HomeImprovementHQ,8683.05
2023-08-04,Plastic,TimberMart,10220.52
2023-05-20,Ceramic,TimberlandSupply,9679.72
2023-04-01,Brick,HomeDepotPro,8481.59
2023-11-24,Ceramic,HomeDepotPro,9022.12
2023-07-19,Glass,ConstructionDepot,11684.42
2023-11-06,Wood,HomeDepotPro,9575.82
2023-03-25,Wood,TimberMart,8284.51
2023-02-19,Plastic,TimberlandSupply,9901.54
2023-08-02,Ceramic,HomeImprovementHQ,10075.87
2023-04-14,Glass,SupplySolutions,8476.95
2023-05-24,Brick,HomeImprovementHQ,11519.84
2023-08-25,Brick,ConstructionDepot,8771.54
2023-02-19,Wood,HomeImprovementHQ,9606.91
2023-05-19,Brick,TimberMart,10136.48
2023-07-07,Ceramic,HomeDepotPro,11296.7
2023-08-10,Glass,TimberlandSupply,9069.4
2023-08-17,Wood,ConstructionDepot,8058.76
2023-07-24,Plastic,ConstructionDepot,8192.75
2023-01-15,Brick,TimberlandSupply,8455.9
2023-08-04,Plastic,ConstructionDepot,8199.31
2023-09-21,Plastic,TimberMart,8308.21
2023-04-01,Plastic,BuildCo,9761.2
2023-11-17,Wood,TimberlandSupply,8858.31
2023-08-12,Brick,TimberlandSupply,8310.04
2023-06-08,Glass,SupplySolutions,9175.31
2023-08-10,Ceramic,TimberlandSupply,9417.68
2023-12-04,Ceramic,TimberMart,9047.99
2023-02-10,Wood,TimberlandSupply,11415.04
2023-05-06,Glass,ConstructionDepot,11899.04
2023-09-24,Wood,TimberlandSupply,10086.13
2023-03-22,Brick,TimberMart,10014.01
2023-09-12,Brick,ConstructionDepot,11291.92
2023-12-03,Wood,TimberMart,10092.77
2023-06-03,Wood,HomeDepotPro,10808.02
2023-06-24,Ceramic,HomeImprovementHQ,9615.19
2023-12-11,Plastic,TimberMart,8854.75
2023-08-20,Ceramic,TimberlandSupply,8844.37
2023-03-04,Ceramic,TimberlandSupply,11086.94
2023-05-24,Ceramic,HomeImprovementHQ,10509.46
2023-11-14,Wood,SupplySolutions,11075.71
2023-03-12,Brick,SupplySolutions,11678.27
2023-02-10,Brick,HomeDepotPro,11167.44
2023-07-23,Ceramic,SupplySolutions,11924.77
2023-12-19,Brick,ConstructionDepot,10130.35
2023-06-15,Brick,BuildCo,11616.7
2023-07-25,Plastic,SupplySolutions,9512.22
2023-11-15,Ceramic,HomeDepotPro,10392.71
2023-08-12,Glass,TimberMart,10770.04
2023-06-11,Plastic,TimberMart,10105.95
2023-05-23,Plastic,SupplySolutions,8353.76
2023-12-15,Brick,SupplySolutions,11947.45
2023-08-13,Wood,ConstructionDepot,11284.94
2023-07-03,Ceramic,BuildCo,8285.37
2023-02-10,Plastic,ConstructionDepot,11699.53
2023-09-07,Plastic,TimberlandSupply,9781.57
2023-05-17,Brick,TimberlandSupply,8864.4
2023-08-04,Brick,HomeImprovementHQ,8857.86
2023-01-23,Brick,HomeDepotPro,9395.15
2023-08-15,Ceramic,HomeDepotPro,10838.22
2023-09-17,Glass,TimberlandSupply,10344.68
2023-04-16,Ceramic,TimberlandSupply,8707.18
2023-03-15,Ceramic,ConstructionDepot,11401.56
2023-03-03,Ceramic,ConstructionDepot,11629.62
2023-04-10,Ceramic,SupplySolutions,11961.46
2023-01-19,Ceramic,ConstructionDepot,11362.9
2023-01-11,Ceramic,BuildCo,10578.72
2023-08-02,Glass,HomeDepotPro,8257.63
2023-02-18,Brick,SupplySolutions,11337.34
