date,material,supplier,cost
2023-04-24,Brick,SupplyCenter,9944.67
2023-05-02,Glass,SupplySolutions,11364.67
2023-03-13,Plastic,SupplyCenter,8911.92
2023-07-20,Brick,MaterialMasters,8234.01
2023-11-18,Brick,SupplySolutions,10600.61
2023-05-09,Brick,SupplyCenter,9909.61
2023-08-06,Gypsum,MaterialSource,9547.64
2023-08-25,Plastic,TimberlandSupply,8044.39
2023-12-15,Glass,MaterialMasters,11670.53
2023-10-08,Brick,SupplySolutions,9181.29
2023-05-23,Plastic,MaterialMasters,8718.61
2023-06-14,Plastic,SupplySolutions,9376.12
2023-01-17,Plastic,SupplyCenter,9675.87
2023-08-04,Plastic,MaterialMasters,10461.25
2023-08-07,Ceramic,TheHardwareStore,10155.18
2023-09-12,Plastic,SupplySolutions,11368.61
2023-04-18,Brick,SupplyCenter,9804.77
2023-08-04,Ceramic,TimberlandSupply,10049.92
2023-03-13,Brick,TheHardwareStore,9294.16
2023-04-10,Gypsum,SupplyCenter,8988.9
2023-04-13,Gypsum,SupplyCenter,10238.69
2023-11-04,Plastic,SupplySolutions,10996.56
2023-01-22,Gypsum,SupplyCenter,9090.43
2023-04-24,Plastic,SupplySolutions,9338.4
2023-08-08,Gypsum,MaterialSource,10986.12
2023-04-16,Glass,LumberYardInc,9593.51
2023-11-01,Glass,TimberlandSupply,9771.96
2023-10-07,Glass,SupplySolutions,11353.76
2023-04-02,Glass,TimberlandSupply,11955.8
2023-06-07,Brick,TheHardwareStore,11528.88
2023-03-05,Gypsum,MaterialSource,10309.8
2023-04-01,Brick,MaterialSource,9073.29
2023-05-19,Glass,TimberlandSupply,10996.8
2023-11-05,Glass,SupplyCenter,11300.71
2023-10-11,Gypsum,TheHardwareStore,11715.1
2023-08-23,Brick,TimberlandSupply,9798.92
2023-12-01,Glass,SupplySolutions,10352.15
2023-08-01,Glass,LumberYardInc,9450.89
2023-04-17,Brick,MaterialMasters,8090.69
2023-11-21,Brick,TimberlandSupply,10593.42
2023-06-14,Plastic,TheHardwareStore,10352.31
2023-08-08,Glass,MaterialSource,9117.95
2023-11-17,Plastic,SupplySolutions,11920.66
2023-11-07,Brick,SupplySolutions,11901.48
2023-07-02,Gypsum,SupplyCenter,11614.95
2023-07-01,Plastic,MaterialMasters,9102.49
2023-10-19,Gypsum,TimberlandSupply,9293.66
2023-09-05,Plastic,TimberlandSupply,9868.74
2023-07-16,Gypsum,MaterialMasters,11002.23
2023-09-09,Plastic,MaterialSource,11103.88
2023-02-12,Brick,MaterialSource,11422.27
2023-05-04,Glass,SupplySolutions,11385.64
2023-06-17,Gypsum,SupplyCenter,9547.12
2023-04-09,Glass,SupplySolutions,10143.6
2023-12-25,Ceramic,TheHardwareStore,11225.78
2023-12-02,Brick,SupplyCenter,11112.16
2023-02-25,Brick,LumberYardInc,9032.18
2023-06-15,Gypsum,MaterialSource,10506.71
2023-11-03,Plastic,SupplySolutions,8080.67
2023-06-21,Glass,MaterialMasters,10079.81
2023-10-07,Ceramic,MaterialMasters,9599.11
2023-08-02,Plastic,LumberYardInc,10025.54
2023-08-06,Plastic,SupplySolutions,9773.9
2023-08-15,Brick,TimberlandSupply,8599.96
2023-02-17,Glass,MaterialMasters,9770.12
2023-08-13,Plastic,TheHardwareStore,10165.28
2023-10-08,Ceramic,SupplyCenter,11609.35
2023-08-16,Plastic,MaterialMasters,8363.35
2023-02-14,Brick,SupplyCenter,9894.78
2023-08-04,Plastic,MaterialSource,10455.47
2023-07-23,Glass,MaterialMasters,10913.26
2023-10-18,Glass,LumberYardInc,9258.04
2023-09-11,Brick,MaterialMasters,10972.37
2023-08-17,Gypsum,TimberlandSupply,11658.62
2023-05-10,Brick,SupplyCenter,10960.39
2023-04-12,Gypsum,SupplyCenter,9126.84
2023-04-02,Gypsum,TimberlandSupply,11532.85
2023-12-10,Plastic,MaterialSource,8383.09
2023-10-13,Plastic,MaterialMasters,10234.57
2023-04-13,Gypsum,TimberlandSupply,8543.6
2023-04-20,Glass,TheHardwareStore,9889.29
