date,material,supplier,cost
2023-06-12,Concrete,SupplyCenter,9350.98
2023-12-08,Brick,MaterialSource,10903.92
2023-01-10,Plastic,LumberYardInc,11304.33
2023-03-16,Concrete,MaterialSource,8067.29
2023-01-21,Wood,SupplyCenter,10755.61
2023-10-18,Wood,HomeDepotPro,8864.21
2023-08-08,Concrete,MaterialSource,10139.12
2023-08-24,Insulation,MaterialMasters,10709.34
2023-01-01,Brick,TimberlandSupply,8455.39
2023-08-16,Wood,ConstructionSupply,10779.63
2023-05-21,Concrete,ConstructionSupply,9063.84
2023-07-23,Insulation,SupplyCenter,11159.34
2023-02-18,Insulation,TimberlandSupply,9624.81
2023-09-10,Insulation,ConstructionSupply,11940.77
2023-08-02,Insulation,LumberYardInc,11977.13
2023-01-12,Insulation,SupplyCenter,11967.7
2023-09-02,Wood,MaterialMasters,11470.64
2023-12-17,Plastic,ConstructionSupply,9859.82
2023-11-25,Brick,MaterialMasters,11788.85
2023-12-02,Wood,MaterialMasters,10606.18
2023-12-16,Concrete,MaterialSource,10102.16
2023-11-04,Concrete,LumberYardInc,8903.04
2023-04-08,Insulation,TimberlandSupply,10322.06
2023-09-19,Wood,LumberYardInc,10133.83
2023-07-09,Insulation,MaterialMasters,10471.35
2023-03-16,Plastic,LumberYardInc,9592.68
2023-06-16,Plastic,MaterialMasters,8255.22
2023-01-04,Insulation,SupplyCenter,10631.93
2023-07-19,Insulation,MaterialSource,9002.15
2023-12-13,Brick,SupplyCenter,8179.63
2023-02-19,Wood,MaterialMasters,8918.85
2023-02-20,Concrete,HomeDepotPro,8191.98
2023-10-21,Brick,SupplyCenter,10100.84
2023-08-18,Concrete,MaterialMasters,8587.52
2023-07-07,Plastic,SupplyCenter,11313.81
2023-02-14,Concrete,ConstructionSupply,8158.06
2023-04-12,Brick,ConstructionSupply,11092.31
2023-12-04,Insulation,MaterialMasters,10324.0
2023-06-16,Plastic,LumberYardInc,9270.81
2023-08-11,Insulation,MaterialSource,10916.49
2023-01-06,Concrete,ConstructionSupply,10594.52
2023-05-03,Brick,ConstructionSupply,11111.59
2023-06-13,Plastic,MaterialMasters,8259.21
2023-09-21,Plastic,MaterialMasters,9739.09
2023-12-19,Insulation,TimberlandSupply,10001.89
2023-09-02,Plastic,LumberYardInc,11726.4
2023-10-20,Concrete,SupplyCenter,8773.19
2023-02-08,Wood,SupplyCenter,10262.13
2023-10-24,Wood,HomeDepotPro,10226.8
2023-12-19,Plastic,ConstructionSupply,10800.18
2023-09-06,Insulation,HomeDepotPro,11034.31
2023-06-24,Wood,LumberYardInc,10947.88
2023-03-14,Plastic,HomeDepotPro,10463.03
2023-08-15,Brick,LumberYardInc,10543.45
2023-07-22,Insulation,ConstructionSupply,10489.77
2023-12-09,Wood,ConstructionSupply,11635.84
2023-07-06,Brick,ConstructionSupply,9394.33
2023-07-17,Plastic,TimberlandSupply,9571.91
2023-08-21,Wood,HomeDepotPro,10883.42
2023-11-17,Brick,MaterialSource,11590.35
2023-01-04,Wood,LumberYardInc,11013.66
2023-09-02,Concrete,ConstructionSupply,10335.45
2023-11-17,Plastic,LumberYardInc,9305.33
2023-10-17,Plastic,ConstructionSupply,10641.59
2023-11-15,Brick,SupplyCenter,8640.38
2023-08-23,Concrete,HomeDepotPro,9421.43
2023-12-14,Concrete,MaterialMasters,11496.55
2023-02-05,Insulation,LumberYardInc,10251.32
2023-01-20,Concrete,TimberlandSupply,10767.8
2023-08-21,Brick,ConstructionSupply,9302.71
2023-02-16,Wood,MaterialSource,8876.55
2023-12-12,Plastic,SupplyCenter,10446.2
2023-05-02,Brick,MaterialSource,9987.39
2023-03-25,Insulation,LumberYardInc,9235.08
2023-07-23,Wood,MaterialSource,9767.31
2023-12-16,Insulation,MaterialSource,10683.93
2023-12-09,Brick,SupplyCenter,10494.56
2023-04-08,Brick,ConstructionSupply,10281.92
2023-05-18,Insulation,HomeDepotPro,9978.42
2023-03-16,Concrete,LumberYardInc,10706.92
2023-12-22,Brick,SupplyCenter,8999.16
2023-10-12,Brick,MaterialSource,9487.5
2023-10-14,Brick,ConstructionSupply,10932.9
2023-12-14,Concrete,ConstructionSupply,9956.34
2023-11-08,Brick,TimberlandSupply,9042.0
2023-09-14,Concrete,MaterialSource,9532.77
2023-04-02,Insulation,TimberlandSupply,10216.87
2023-03-16,Concrete,LumberYardInc,8808.79
2023-05-13,Brick,ConstructionSupply,9812.18
2023-09-22,Plastic,HomeDepotPro,11822.18
2023-02-07,Insulation,LumberYardInc,10894.26
2023-01-22,Insulation,SupplyCenter,8356.99
2023-05-18,Concrete,LumberYardInc,11477.2
2023-08-07,Brick,MaterialSource,10350.04
2023-12-01,Plastic,SupplyCenter,11408.13
2023-04-19,Insulation,LumberYardInc,8007.11
2023-03-03,Plastic,TimberlandSupply,8503.34
2023-02-13,Insulation,MaterialSource,11672.14
2023-12-18,Concrete,LumberYardInc,11730.84
2023-03-05,Brick,LumberYardInc,11086.04
2023-05-15,Brick,MaterialMasters,8687.13
2023-08-23,Brick,LumberYardInc,8146.75
2023-01-23,Brick,LumberYardInc,9115.61
2023-12-03,Concrete,MaterialSource,9041.91
2023-12-05,Insulation,MaterialSource,11648.78
2023-08-18,Plastic,MaterialSource,8351.15
2023-02-15,Insulation,ConstructionSupply,11838.27
2023-05-06,Brick,ConstructionSupply,10933.61
2023-10-13,Brick,ConstructionSupply,11598.23
2023-02-22,Plastic,SupplyCenter,8721.27
2023-08-06,Insulation,SupplyCenter,10050.3
2023-04-22,Insulation,LumberYardInc,8886.74
2023-12-09,Brick,LumberYardInc,8953.92
2023-09-23,Plastic,LumberYardInc,8271.34
2023-04-24,Wood,MaterialSource,11609.28
2023-02-19,Plastic,ConstructionSupply,11490.77
2023-11-04,Brick,MaterialMasters,8436.79
2023-11-10,Plastic,SupplyCenter,10682.83
2023-11-24,Plastic,HomeDepotPro,8639.88
2023-12-19,Plastic,LumberYardInc,8999.65
2023-09-18,Insulation,LumberYardInc,8941.07
2023-08-18,Brick,HomeDepotPro,10645.71
2023-03-23,Brick,MaterialSource,10987.31
2023-10-06,Insulation,MaterialSource,11525.61
2023-12-12,Concrete,MaterialMasters,11890.61
2023-12-12,Concrete,MaterialSource,11246.28
2023-12-03,Concrete,SupplyCenter,10237.18
2023-11-02,Wood,LumberYardInc,8560.47
2023-08-20,Concrete,MaterialMasters,9028.8
2023-07-16,Insulation,MaterialSource,9559.53
2023-12-09,Brick,MaterialMasters,9611.19
2023-12-20,Plastic,SupplyCenter,10461.72
2023-08-09,Brick,LumberYardInc,9196.73
2023-05-24,Insulation,SupplyCenter,10284.12
2023-05-20,Concrete,LumberYardInc,8537.61
2023-12-09,Plastic,SupplyCenter,9948.09
2023-03-17,Concrete,HomeDepotPro,8473.05
2023-10-11,Concrete,ConstructionSupply,10626.78
2023-05-22,Insulation,ConstructionSupply,8034.54
2023-11-17,Insulation,TimberlandSupply,10644.64
2023-11-14,Wood,LumberYardInc,10366.65
2023-10-10,Wood,LumberYardInc,11662.8
2023-09-10,Concrete,SupplyCenter,10541.54
2023-07-08,Brick,LumberYardInc,10251.29
2023-12-11,Insulation,TimberlandSupply,8745.56
2023-10-21,Brick,SupplyCenter,10643.76
2023-06-14,Insulation,LumberYardInc,9231.95
2023-01-06,Brick,TimberlandSupply,8741.03
2023-05-23,Insulation,LumberYardInc,9989.66
2023-10-14,Plastic,HomeDepotPro,10019.96
2023-07-15,Insulation,MaterialSource,9615.22
2023-05-20,Wood,MaterialSource,10193.24
2023-09-25,Brick,SupplyCenter,8686.68
