date,material,supplier,cost
2023-06-11,Concrete,TimberMart,9901.72
2023-08-12,Glass,TheHardwareStore,11680.39
2023-11-19,Wood,TimberMart,9755.36
2023-11-21,Glass,ConstructionDepot,9286.75
2023-03-06,Wood,TimberMart,8517.16
2023-08-07,Concrete,ConstructionSupply,8521.24
2023-02-18,Wood,ConstructionDepot,9181.16
2023-09-24,Glass,TimberMart,11986.73
2023-10-15,Glass,MaterialMasters,9323.97
2023-02-01,Glass,ConstructionDepot,8244.0
2023-08-17,Concrete,MaterialMasters,10799.73
2023-02-23,Glass,MaterialSource,11759.83
2023-02-14,Asbestos,MaterialSource,9440.09
2023-02-13,Wood,MaterialMasters,8381.81
2023-04-03,Asbestos,ConstructionDepot,8491.02
2023-02-24,Brick,ConstructionDepot,11078.35
2023-02-23,Glass,BuildCo,10158.35
2023-02-18,Wood,MaterialMasters,10725.64
2023-04-15,Brick,ConstructionDepot,10074.54
2023-02-18,Concrete,ConstructionDepot,9505.87
2023-11-20,Asbestos,BuildCo,10227.25
2023-12-18,Wood,MaterialMasters,11224.53
2023-04-22,Asbestos,MaterialSource,9897.95
2023-10-16,Wood,BuildCo,11397.02
2023-06-03,Glass,MaterialSource,10387.17
2023-07-20,Brick,ConstructionSupply,8250.62
2023-10-07,Brick,ConstructionSupply,9745.92
2023-08-17,Brick,ConstructionSupply,8948.75
2023-06-22,Brick,BuildCo,10280.65
2023-05-08,Wood,MaterialMasters,11774.42
2023-10-25,Glass,ConstructionDepot,10241.25
2023-12-04,Concrete,BuildCo,10701.23
2023-05-25,Brick,BuildCo,8793.89
2023-08-10,Wood,MaterialMasters,8506.19
2023-04-11,Brick,MaterialSource,10400.38
2023-06-01,Wood,BuildCo,10203.02
2023-01-21,Wood,ConstructionDepot,10485.07
2023-09-17,Glass,MaterialSource,10083.89
2023-02-05,Wood,ConstructionDepot,10723.69
2023-05-19,Glass,TimberMart,9711.03
2023-01-25,Concrete,MaterialMasters,11532.67
2023-12-17,Glass,ConstructionSupply,10332.79
2023-02-01,Brick,ConstructionDepot,11877.3
2023-12-19,Wood,BuildCo,11769.71
2023-04-08,Brick,MaterialSource,8185.7
2023-11-20,Concrete,ConstructionDepot,11151.28
2023-04-18,Wood,ConstructionDepot,9402.24
2023-04-12,Glass,BuildCo,9737.34
2023-01-04,Wood,MaterialMasters,8404.5
2023-10-14,Wood,MaterialMasters,8464.77
2023-10-10,Brick,MaterialMasters,11146.13
2023-11-08,Concrete,TheHardwareStore,9680.89
2023-03-04,Brick,TimberMart,11319.84
2023-01-15,Wood,BuildCo,11082.78
2023-05-16,Brick,MaterialMasters,9264.78
2023-11-08,Brick,MaterialSource,9704.21
2023-05-02,Concrete,MaterialMasters,10569.82
2023-10-21,Brick,ConstructionDepot,8903.72
2023-07-19,Asbestos,ConstructionDepot,8681.14
2023-09-21,Brick,TheHardwareStore,9499.04
2023-12-07,Wood,TimberMart,11241.95
2023-12-04,Brick,MaterialSource,8776.39
2023-12-13,Wood,ConstructionSupply,11714.69
2023-09-25,Asbestos,TheHardwareStore,8727.48
2023-10-25,Brick,TimberMart,11392.4
2023-03-13,Wood,MaterialSource,10215.3
2023-04-09,Wood,MaterialSource,10721.81
2023-04-25,Concrete,BuildCo,8386.11
2023-11-11,Brick,ConstructionSupply,9086.32
2023-09-13,Brick,TheHardwareStore,11473.22
2023-06-23,Brick,MaterialMasters,8246.52
2023-02-21,Glass,MaterialSource,9805.26
2023-10-07,Asbestos,TheHardwareStore,10550.99
2023-03-16,Wood,ConstructionDepot,8638.42
2023-04-14,Concrete,ConstructionSupply,9803.91
2023-04-17,Brick,MaterialMasters,10601.23
2023-10-19,Concrete,MaterialSource,10565.11
2023-09-15,Wood,MaterialMasters,9924.84
2023-01-07,Brick,TheHardwareStore,11063.45
2023-04-23,Brick,ConstructionDepot,11341.0
