date,material,supplier,cost
2023-08-20,Plastic,ConstructionSupply,11025.31
2023-02-24,Wood,BuildSmart,8169.57
2023-08-03,Asbestos,TimberMart,11092.75
2023-03-20,Insulation,MaterialMasters,10872.34
2023-08-02,Wood,TimberMart,11448.43
2023-05-21,Plastic,MaterialSource,10273.16
2023-02-05,Insulation,ConstructionSupply,8314.51
2023-10-24,Insulation,MaterialSource,11577.25
2023-02-22,Wood,TimberMart,10994.32
2023-02-21,Wood,MaterialMasters,10576.04
2023-12-03,Wood,TheHardwareStore,8357.98
2023-04-11,Asbestos,TimberMart,10707.21
2023-07-09,Gypsum,ConstructionSupply,9340.85
2023-05-08,Insulation,BuildSmart,10223.44
2023-08-18,Insulation,BuildSmart,9692.89
2023-06-04,Asbestos,ConstructionSupply,8304.29
2023-10-08,Wood,BuildSmart,9194.73
2023-11-03,Insulation,MaterialMasters,10778.16
2023-01-07,Asbestos,TimberMart,11682.69
2023-03-18,Wood,TheBuildingBlock,9391.91
2023-07-18,Insulation,TimberMart,9595.77
2023-01-17,Gypsum,TheHardwareStore,8943.56
2023-03-07,Plastic,TheHardwareStore,11820.83
2023-04-17,Plastic,TheHardwareStore,9560.01
2023-07-11,Wood,TheBuildingBlock,11768.02
2023-04-05,Wood,MaterialSource,10705.39
2023-07-09,Wood,BuildSmart,8149.13
2023-12-16,Wood,TimberMart,8927.42
2023-12-10,Wood,ConstructionSupply,10761.23
2023-01-09,Gypsum,TimberMart,8970.11
2023-04-02,Insulation,TheBuildingBlock,11802.26
2023-06-06,Asbestos,TheBuildingBlock,9325.74
2023-12-25,Wood,TheBuildingBlock,9150.61
2023-11-23,Gypsum,ConstructionSupply,11436.92
2023-03-25,Gypsum,BuildSmart,9541.92
2023-11-09,Insulation,TheBuildingBlock,8125.0
2023-05-23,Plastic,MaterialMasters,10283.45
2023-04-16,Gypsum,ConstructionSupply,11555.72
2023-08-01,Asbestos,TheHardwareStore,11196.78
2023-05-05,Insulation,BuildSmart,10619.01
2023-12-01,Plastic,TimberMart,8800.21
2023-05-13,Gypsum,MaterialMasters,10152.51
2023-05-05,Asbestos,TimberMart,9378.91
2023-11-12,Plastic,ConstructionSupply,10498.09
2023-11-17,Insulation,ConstructionSupply,8714.66
2023-01-25,Plastic,MaterialMasters,11338.06
2023-12-01,Insulation,TheBuildingBlock,11554.04
2023-05-21,Plastic,MaterialSource,11542.14
2023-03-22,Asbestos,MaterialSource,11642.74
2023-03-09,Insulation,TimberMart,10653.03
2023-04-12,Wood,BuildSmart,11794.87
2023-12-07,Gypsum,TheHardwareStore,8932.05
2023-03-24,Plastic,BuildSmart,11557.93
2023-06-05,Wood,TheBuildingBlock,9120.93
2023-03-06,Wood,TheBuildingBlock,10813.72
2023-10-21,Plastic,MaterialSource,8087.67
2023-08-04,Asbestos,TheHardwareStore,8799.71
2023-03-25,Gypsum,TheHardwareStore,10687.93
2023-04-07,Wood,TheBuildingBlock,9128.24
2023-10-22,Insulation,TheHardwareStore,8440.27
2023-12-15,Plastic,MaterialSource,8234.1
2023-02-11,Wood,TimberMart,10700.07
2023-01-22,Wood,ConstructionSupply,11850.01
2023-01-09,Asbestos,TimberMart,9121.55
2023-08-11,Insulation,TheHardwareStore,9688.22
2023-09-08,Wood,ConstructionSupply,9768.29
2023-01-02,Asbestos,TheBuildingBlock,10391.24
2023-05-20,Insulation,MaterialSource,11925.08
2023-03-08,Plastic,ConstructionSupply,9774.19
2023-03-25,Gypsum,BuildSmart,11028.41
2023-04-01,Asbestos,MaterialMasters,11818.8
2023-05-21,Plastic,ConstructionSupply,8546.0
2023-03-08,Insulation,MaterialMasters,10631.21
2023-08-17,Insulation,TimberMart,11808.93
2023-10-11,Wood,TheHardwareStore,11666.11
2023-04-02,Gypsum,MaterialMasters,9343.68
2023-12-09,Asbestos,TheHardwareStore,9140.29
2023-12-18,Asbestos,MaterialSource,10694.45
2023-01-19,Plastic,BuildSmart,9645.4
2023-01-14,Insulation,TimberMart,8660.74
2023-05-15,Insulation,ConstructionSupply,9798.51
2023-03-06,Gypsum,MaterialMasters,9889.25
2023-05-06,Asbestos,TimberMart,9882.17
2023-07-23,Gypsum,BuildSmart,9013.96
2023-05-16,Gypsum,ConstructionSupply,11428.29
2023-06-07,Gypsum,ConstructionSupply,10885.23
2023-07-24,Wood,ConstructionSupply,11103.9
2023-03-15,Insulation,BuildSmart,11888.82
2023-03-13,Plastic,TheHardwareStore,10571.11
2023-11-23,Gypsum,TimberMart,9970.42
2023-03-07,Wood,TimberMart,8196.12
2023-02-25,Wood,MaterialSource,9863.82
2023-09-04,Asbestos,BuildSmart,8454.07
2023-03-25,Insulation,TheBuildingBlock,9310.44
2023-03-01,Asbestos,TimberMart,8687.21
2023-08-07,Wood,MaterialSource,9086.86
2023-05-05,Asbestos,MaterialMasters,11082.38
2023-03-20,Insulation,TheBuildingBlock,10121.07
2023-01-01,Asbestos,TheHardwareStore,10212.23
2023-06-23,Insulation,TimberMart,9233.02
2023-06-13,Wood,TimberMart,9715.19
2023-05-21,Insulation,BuildSmart,10870.45
2023-06-05,Wood,TheBuildingBlock,9499.45
2023-03-10,Wood,BuildSmart,8217.32
2023-03-07,Gypsum,BuildSmart,10803.7
2023-01-16,Insulation,BuildSmart,9591.28
2023-12-06,Plastic,ConstructionSupply,10545.87
2023-10-20,Wood,TheHardwareStore,8075.0
2023-10-25,Gypsum,MaterialMasters,8322.49
2023-04-07,Plastic,TheBuildingBlock,10022.93
2023-05-15,Insulation,ConstructionSupply,8585.56
2023-03-20,Wood,MaterialMasters,8783.82
2023-05-03,Gypsum,MaterialSource,8136.26
2023-03-01,Insulation,TheHardwareStore,8871.99
2023-11-21,Gypsum,MaterialSource,8741.46
2023-04-02,Insulation,TimberMart,8618.07
2023-12-16,Gypsum,TheHardwareStore,9371.45
2023-05-21,Wood,TimberMart,10831.81
