date,material,supplier,cost
2023-12-20,Glass,TimberMart,11260.56
2023-01-06,Insulation,BuildCo,9712.01
2023-10-11,Concrete,BuildCo,11611.27
2023-01-04,Gypsum,LumberYardInc,11978.37
2023-10-04,Plastic,TimberMart,10625.24
2023-07-19,Glass,LumberYardInc,8528.64
2023-10-09,Insulation,HomeImprovementHQ,9529.85
2023-01-01,Glass,SupplySolutions,8816.6
2023-06-20,Gypsum,TimberMart,9242.28
2023-02-02,Insulation,HomeImprovementHQ,11021.58
2023-06-23,Concrete,SupplyCenter,9063.74
2023-03-06,Glass,SupplyCenter,9817.88
2023-12-12,Plastic,BuildCo,9521.83
2023-11-14,Concrete,TheBuildingBlock,10246.58
2023-12-12,Plastic,SupplySolutions,11127.97
2023-01-23,Insulation,TimberMart,10296.71
2023-01-24,Glass,TimberMart,8948.35
2023-10-22,Plastic,TimberMart,9271.97
2023-06-20,Glass,TimberMart,11072.1
2023-06-20,Glass,SupplySolutions,9749.86
2023-04-17,Concrete,TheBuildingBlock,10192.29
2023-09-04,Plastic,BuildCo,10717.51
2023-12-25,Plastic,TheBuildingBlock,9990.33
2023-07-13,Insulation,LumberYardInc,11024.08
2023-07-20,Plastic,SupplyCenter,8951.56
2023-12-14,Gypsum,TheBuildingBlock,9150.5
2023-11-02,Glass,TimberMart,11157.0
2023-09-08,Plastic,TimberMart,8307.1
2023-10-10,Gypsum,TimberMart,8346.02
2023-03-05,Glass,TheBuildingBlock,10683.01
2023-10-01,Plastic,SupplySolutions,10079.52
2023-05-13,Insulation,TheBuildingBlock,8403.5
2023-06-04,Gypsum,LumberYardInc,10432.22
2023-03-04,Concrete,TimberMart,9884.07
2023-06-11,Plastic,TimberMart,10071.5
2023-06-13,Concrete,SupplySolutions,9507.91
2023-06-02,Glass,SupplyCenter,11877.26
2023-06-09,Gypsum,TimberMart,10822.47
2023-04-08,Gypsum,SupplyCenter,9650.8
2023-07-05,Plastic,BuildCo,9709.39
2023-06-21,Plastic,LumberYardInc,11820.83
2023-06-17,Glass,LumberYardInc,9240.45
2023-06-03,Glass,TheBuildingBlock,9034.59
2023-06-07,Concrete,TheBuildingBlock,11375.04
2023-10-09,Insulation,SupplySolutions,10320.48
2023-12-06,Concrete,LumberYardInc,10024.85
2023-09-10,Plastic,LumberYardInc,8577.88
2023-07-08,Concrete,SupplySolutions,9459.79
2023-08-25,Plastic,BuildCo,8836.59
2023-01-20,Gypsum,TheBuildingBlock,11690.44
2023-06-03,Glass,HomeImprovementHQ,8313.76
2023-09-04,Insulation,BuildCo,10274.29
2023-07-15,Plastic,BuildCo,9841.22
2023-02-13,Glass,BuildCo,10066.1
2023-06-18,Glass,BuildCo,8345.59
2023-04-03,Glass,TimberMart,10705.3
2023-08-21,Gypsum,TimberMart,9486.43
2023-06-20,Insulation,SupplyCenter,10989.83
2023-11-09,Gypsum,HomeImprovementHQ,11434.8
2023-11-18,Plastic,LumberYardInc,8817.71
2023-06-10,Insulation,LumberYardInc,9177.38
2023-08-08,Gypsum,TimberMart,8529.08
2023-08-12,Plastic,BuildCo,8284.46
2023-01-12,Glass,SupplyCenter,10868.3
2023-02-09,Glass,SupplyCenter,8850.84
