date,material,supplier,cost
2023-08-15,Concrete,TimberMart,10259.79
2023-04-25,Wood,MaterialMasters,11243.24
2023-06-16,Ceramic,ConstructionSupply,8985.15
2023-02-05,Ceramic,BuildSmart,10562.73
2023-08-09,Concrete,TheHardwareStore,10454.21
2023-01-14,Ceramic,ConstructionSupply,9637.96
2023-06-01,Asbestos,HomeDepotPro,9278.19
2023-01-21,Ceramic,ConstructionSupply,10751.79
2023-05-15,Concrete,TimberMart,8042.58
2023-02-04,Asbestos,ConstructionSupply,10391.27
2023-01-06,Asbestos,ConstructionSupply,10555.2
2023-04-21,Steel,HomeDepotPro,11734.89
2023-05-06,Asbestos,MaterialMasters,11959.04
2023-08-04,Asbestos,BuildSmart,8207.38
2023-04-21,Ceramic,ConstructionSupply,11618.86
2023-02-12,Ceramic,TimberMart,9801.65
2023-07-21,Asbestos,TheHardwareStore,9596.81
2023-02-13,Concrete,MaterialSource,8327.08
2023-01-11,Concrete,TheHardwareStore,8162.84
2023-04-22,Ceramic,MaterialMasters,10545.69
2023-09-20,Asbestos,MaterialSource,11022.37
2023-11-23,Concrete,MaterialMasters,9330.36
2023-06-01,Ceramic,HomeDepotPro,10960.72
2023-02-05,Ceramic,MaterialMasters,9440.12
2023-06-13,Wood,BuildSmart,11065.18
2023-04-06,Concrete,MaterialSource,8987.33
2023-09-10,Steel,TheHardwareStore,10771.38
2023-07-21,Ceramic,BuildSmart,10897.1
2023-07-19,Steel,BuildSmart,10185.45
2023-05-21,Asbestos,MaterialMasters,8630.31
2023-07-09,Concrete,HomeDepotPro,11500.26
2023-07-12,Concrete,MaterialMasters,9296.18
2023-08-05,Concrete,BuildSmart,8267.3
2023-09-15,Steel,TimberMart,10828.26
2023-10-03,Steel,ConstructionSupply,10073.6
2023-07-17,Asbestos,MaterialSource,8133.4
2023-10-15,Asbestos,MaterialMasters,8890.01
2023-01-14,Steel,BuildSmart,11938.59
2023-10-09,Concrete,MaterialMasters,10997.97
2023-06-02,Steel,TimberMart,10134.69
2023-09-13,Asbestos,MaterialMasters,10310.13
2023-11-16,Ceramic,TimberMart,10942.58
2023-07-25,Asbestos,TimberMart,9979.7
2023-02-07,Asbestos,BuildSmart,10411.75
2023-03-07,Asbestos,TimberMart,10591.99
2023-08-07,Asbestos,HomeDepotPro,8251.1
2023-05-19,Concrete,MaterialMasters,8148.59
2023-04-15,Asbestos,BuildSmart,9329.99
2023-08-06,Ceramic,BuildSmart,11204.26
2023-09-08,Ceramic,MaterialSource,10083.64
2023-05-01,Ceramic,HomeDepotPro,9340.67
2023-03-09,Concrete,MaterialMasters,10503.47
2023-02-13,Steel,MaterialSource,10097.17
2023-05-15,Concrete,MaterialSource,10888.14
2023-08-15,Concrete,HomeDepotPro,8577.48
2023-10-25,Wood,MaterialMasters,8446.08
2023-02-22,Asbestos,MaterialSource,9762.84
2023-06-21,Steel,BuildSmart,8833.7
2023-09-11,Ceramic,TheHardwareStore,8139.96
2023-04-21,Asbestos,TheHardwareStore,8954.25
2023-02-03,Ceramic,BuildSmart,8139.66
2023-02-22,Steel,MaterialSource,11092.73
2023-07-07,Wood,ConstructionSupply,8279.61
2023-03-04,Steel,ConstructionSupply,9664.93
2023-01-15,Ceramic,BuildSmart,8026.51
2023-02-11,Concrete,MaterialSource,8389.65
2023-05-21,Steel,ConstructionSupply,9158.99
2023-02-06,Concrete,MaterialMasters,11280.21
2023-08-05,Concrete,MaterialSource,10151.31
2023-07-06,Concrete,TheHardwareStore,10432.24
2023-09-16,Ceramic,TimberMart,8567.51
2023-04-15,Wood,ConstructionSupply,9421.37
2023-07-20,Steel,BuildSmart,9210.62
2023-05-14,Steel,BuildSmart,10907.86
2023-12-20,Ceramic,TimberMart,8845.08
2023-07-19,Asbestos,ConstructionSupply,9794.18
2023-05-03,Ceramic,MaterialMasters,10701.49
2023-12-07,Asbestos,BuildSmart,10309.25
2023-10-19,Ceramic,MaterialMasters,11690.01
2023-10-24,Concrete,ConstructionSupply,10378.37
2023-10-03,Ceramic,HomeDepotPro,10120.94
2023-02-21,Concrete,ConstructionSupply,11419.26
2023-05-14,Steel,MaterialMasters,10309.43
2023-04-13,Steel,MaterialMasters,9529.55
2023-04-05,Ceramic,HomeDepotPro,10854.24
2023-11-07,Wood,ConstructionSupply,11107.4
2023-06-21,Asbestos,HomeDepotPro,9277.72
2023-08-09,Concrete,MaterialSource,10643.29
2023-07-02,Ceramic,ConstructionSupply,8479.72
2023-01-18,Concrete,TheHardwareStore,11699.11
2023-02-24,Asbestos,BuildSmart,8059.75
2023-07-10,Asbestos,HomeDepotPro,9441.24
2023-09-17,Steel,BuildSmart,10921.13
2023-01-11,Concrete,MaterialSource,10620.24
2023-07-11,Asbestos,MaterialMasters,8364.3
2023-11-06,Concrete,BuildSmart,10340.51
2023-11-07,Wood,TimberMart,10078.7
2023-06-01,Concrete,MaterialMasters,8978.21
2023-11-21,Steel,HomeDepotPro,11866.7
2023-09-18,Concrete,MaterialMasters,8316.22
2023-03-17,Asbestos,MaterialSource,11549.73
2023-05-04,Ceramic,ConstructionSupply,9969.26
2023-07-06,Ceramic,TheHardwareStore,10759.4
2023-07-16,Asbestos,TimberMart,8484.42
2023-07-17,Asbestos,TimberMart,10011.83
2023-11-06,Wood,TheHardwareStore,9480.21
2023-06-03,Steel,HomeDepotPro,10818.05
2023-04-22,Asbestos,TheHardwareStore,11408.52
2023-01-06,Concrete,BuildSmart,8398.85
2023-07-08,Ceramic,MaterialMasters,8730.51
2023-02-03,Ceramic,TimberMart,8503.18
2023-01-19,Steel,ConstructionSupply,11164.74
2023-06-01,Steel,TimberMart,10945.78
2023-07-15,Asbestos,TimberMart,11165.73
2023-02-05,Concrete,ConstructionSupply,11312.53
2023-07-11,Steel,HomeDepotPro,9875.28
2023-08-18,Wood,ConstructionSupply,8077.09
2023-08-22,Wood,HomeDepotPro,9299.05
2023-07-13,Asbestos,TheHardwareStore,11405.99
2023-04-10,Concrete,ConstructionSupply,9350.01
2023-10-07,Ceramic,ConstructionSupply,9633.47
2023-12-14,Wood,BuildSmart,9626.56
2023-03-22,Asbestos,ConstructionSupply,8119.04
2023-03-11,Concrete,BuildSmart,8561.19
2023-02-04,Asbestos,BuildSmart,9273.47
2023-08-22,Asbestos,BuildSmart,10409.61
2023-07-16,Concrete,ConstructionSupply,11818.76
2023-05-05,Asbestos,TheHardwareStore,11920.36
2023-05-12,Wood,TheHardwareStore,9361.79
2023-10-22,Ceramic,BuildSmart,8222.94
2023-01-23,Asbestos,MaterialSource,11662.46
2023-09-09,Asbestos,BuildSmart,11350.21
2023-07-02,Asbestos,TimberMart,11032.36
2023-03-11,Asbestos,TimberMart,11333.39
2023-07-18,Ceramic,MaterialSource,9338.21
2023-09-20,Steel,MaterialMasters,9481.6
2023-05-14,Steel,TheHardwareStore,9221.02
2023-04-22,Wood,TheHardwareStore,11484.47
2023-11-19,Concrete,TheHardwareStore,11978.71
2023-03-20,Ceramic,HomeDepotPro,8917.59
2023-11-15,Steel,ConstructionSupply,9334.33
2023-11-17,Ceramic,ConstructionSupply,11486.05
2023-03-16,Asbestos,HomeDepotPro,11264.72
2023-07-18,Concrete,MaterialSource,11100.04
2023-03-15,Concrete,BuildSmart,9506.54
2023-03-15,Concrete,ConstructionSupply,10019.37
2023-07-04,Ceramic,ConstructionSupply,9135.89
2023-10-23,Asbestos,MaterialSource,8035.03
2023-11-20,Asbestos,MaterialSource,11041.78
