date,material,supplier,cost
2023-12-11,Concrete,MaterialSource,11716.13
2023-02-19,Concrete,TimberlandSupply,8626.88
2023-05-09,Concrete,TimberlandSupply,10127.97
2023-09-13,Insulation,SupplySolutions,8539.1
2023-04-19,Wood,BuildCo,11270.39
2023-01-08,Brick,HomeImprovementHQ,11992.06
2023-07-25,Insulation,BuildCo,8269.99
2023-11-08,Wood,HomeImprovementHQ,8635.97
2023-12-01,Wood,HomeImprovementHQ,8927.51
2023-07-09,Brick,HomeImprovementHQ,11480.8
2023-01-20,Concrete,MaterialSource,9940.23
2023-01-21,Insulation,SupplySolutions,9379.37
2023-10-05,Ceramic,SupplyCenter,10659.6
2023-06-07,Insulation,TimberlandSupply,10522.41
2023-04-07,Concrete,HomeImprovementHQ,11202.9
2023-07-11,Insulation,SupplyCenter,8485.36
2023-04-02,Brick,HomeImprovementHQ,9427.75
2023-05-15,Brick,SupplySolutions,8296.43
2023-07-16,Insulation,SupplyCenter,8002.67
2023-06-06,Insulation,TimberMart,8304.32
2023-05-25,Ceramic,MaterialSource,10812.8
2023-01-15,Brick,TimberMart,9652.73
2023-04-14,Brick,HomeImprovementHQ,10827.54
2023-08-22,Insulation,TimberMart,11335.39
2023-12-01,Insulation,HomeImprovementHQ,9433.9
2023-07-03,Wood,BuildCo,8771.18
2023-04-02,Ceramic,HomeImprovementHQ,9826.57
2023-03-07,Concrete,TimberlandSupply,10565.24
2023-09-11,Insulation,SupplySolutions,9048.09
2023-03-06,Ceramic,SupplySolutions,11940.68
2023-01-07,Insulation,MaterialSource,8026.81
2023-10-21,Insulation,HomeImprovementHQ,9218.77
2023-07-10,Insulation,HomeImprovementHQ,11974.93
2023-11-10,Concrete,HomeImprovementHQ,10734.47
2023-12-12,Concrete,SupplySolutions,8925.88
2023-06-12,Insulation,SupplySolutions,8686.31
2023-07-09,Wood,MaterialSource,10403.92
2023-01-04,Concrete,MaterialSource,9359.62
2023-05-15,Insulation,TimberMart,10709.34
2023-05-15,Ceramic,SupplyCenter,8780.32
2023-03-08,Insulation,HomeImprovementHQ,9103.41
2023-06-18,Brick,MaterialSource,8760.61
2023-08-17,Insulation,HomeImprovementHQ,8609.96
2023-01-08,Wood,MaterialSource,8604.61
2023-09-19,Brick,SupplyCenter,11063.8
2023-08-01,Ceramic,TimberMart,10407.22
2023-07-07,Wood,MaterialSource,11121.28
2023-12-07,Concrete,MaterialSource,11717.83
2023-09-01,Wood,TimberMart,11478.71
2023-07-01,Brick,BuildCo,9792.09
2023-07-19,Insulation,BuildCo,10133.59
2023-09-02,Concrete,SupplyCenter,10625.07
2023-12-14,Concrete,HomeImprovementHQ,9957.16
2023-02-19,Brick,TimberMart,11417.56
2023-04-09,Brick,HomeImprovementHQ,11071.42
2023-11-24,Brick,HomeImprovementHQ,8765.95
2023-07-05,Brick,SupplyCenter,8136.61
2023-09-14,Wood,HomeImprovementHQ,8769.69
2023-09-02,Concrete,HomeImprovementHQ,8855.82
2023-07-05,Brick,HomeImprovementHQ,9681.73
2023-08-12,Ceramic,HomeImprovementHQ,10942.8
2023-11-07,Insulation,TimberMart,11052.23
2023-07-22,Ceramic,TimberMart,10181.65
2023-09-23,Concrete,HomeImprovementHQ,10944.65
2023-07-11,Concrete,SupplyCenter,8653.97
2023-11-11,Insulation,SupplyCenter,9082.97
2023-07-18,Brick,SupplySolutions,8746.05
2023-03-02,Wood,MaterialSource,8722.72
2023-04-01,Insulation,HomeImprovementHQ,11630.75
2023-08-08,Brick,HomeImprovementHQ,8825.93
2023-10-07,Brick,HomeImprovementHQ,8652.38
