date,material,supplier,cost
2023-06-25,Plastic,BuildCo,11403.18
2023-05-03,Brick,TheBuildingBlock,10480.69
2023-10-19,Brick,LumberYardInc,10474.36
2023-10-03,Ceramic,TheBuildingBlock,11728.5
2023-05-17,Brick,BuildCo,8482.44
2023-10-08,Ceramic,LumberYardInc,8605.34
2023-10-20,Plastic,MaterialSource,11656.97
2023-11-15,Brick,LumberYardInc,9656.54
2023-05-04,Brick,BuildCo,11099.35
2023-05-12,Brick,MaterialSource,8479.51
2023-04-17,Plastic,ConstructionSupply,11796.56
2023-03-23,Brick,BuildCo,9531.23
2023-03-14,Brick,BuildCo,9030.27
2023-03-04,Ceramic,TheBuildingBlock,10674.63
2023-05-13,Wood,BuildCo,8512.58
2023-02-13,Gypsum,HomeDepotPro,11106.26
2023-10-12,Gypsum,BuildCo,11306.08
2023-03-01,Plastic,MaterialSource,8281.58
2023-10-24,Ceramic,MaterialSource,9148.44
2023-10-09,Gypsum,LumberYardInc,8961.74
2023-01-21,Ceramic,BuildCo,9376.23
2023-11-08,Plastic,MaterialSource,11711.92
2023-04-07,Brick,MaterialSource,11957.18
2023-12-01,Brick,TheBuildingBlock,8459.46
2023-05-25,Ceramic,HomeDepotPro,9471.12
2023-10-15,Brick,BuildCo,11252.31
2023-02-12,Gypsum,BuildCo,8368.71
2023-04-18,Brick,BuildCo,10729.98
2023-11-03,Brick,HomeDepotPro,10851.18
2023-10-11,Wood,ConstructionDepot,8404.67
2023-02-17,Gypsum,ConstructionSupply,10145.14
2023-09-25,Brick,ConstructionDepot,9017.07
2023-05-06,Plastic,LumberYardInc,8323.65
2023-10-05,Gypsum,MaterialSource,10914.84
2023-01-21,Ceramic,ConstructionSupply,10487.66
2023-08-04,Gypsum,TheBuildingBlock,9785.19
2023-10-14,Ceramic,TheBuildingBlock,9001.96
2023-05-07,Brick,BuildCo,9071.13
2023-06-19,Ceramic,TheBuildingBlock,10312.63
2023-09-10,Ceramic,ConstructionDepot,10059.48
2023-02-22,Gypsum,BuildCo,11756.13
2023-05-23,Plastic,ConstructionDepot,11885.01
2023-02-02,Brick,ConstructionSupply,11671.06
2023-10-14,Brick,MaterialSource,10262.16
2023-10-01,Gypsum,MaterialSource,10923.84
2023-12-01,Brick,LumberYardInc,9636.68
2023-01-03,Brick,MaterialSource,10931.44
2023-06-09,Brick,HomeDepotPro,9908.49
2023-12-06,Plastic,TheBuildingBlock,8393.14
2023-10-17,Wood,BuildCo,10677.72
2023-06-10,Brick,HomeDepotPro,11618.45
2023-08-16,Plastic,TheBuildingBlock,10708.23
2023-04-07,Ceramic,MaterialSource,9316.98
2023-06-09,Brick,MaterialSource,8902.27
2023-04-18,Wood,HomeDepotPro,8838.66
2023-10-14,Plastic,HomeDepotPro,10546.72
2023-01-19,Wood,TheBuildingBlock,10078.92
2023-06-22,Ceramic,TheBuildingBlock,11058.68
2023-07-19,Wood,LumberYardInc,11677.47
2023-04-14,Brick,BuildCo,8195.19
2023-10-03,Wood,ConstructionSupply,8994.84
2023-04-07,Ceramic,TheBuildingBlock,11927.64
2023-09-01,Ceramic,MaterialSource,10584.79
2023-07-15,Brick,LumberYardInc,8519.19
2023-04-13,Gypsum,ConstructionSupply,10390.05
2023-04-02,Ceramic,BuildCo,10008.1
2023-07-16,Brick,BuildCo,9458.28
2023-07-05,Gypsum,TheBuildingBlock,8743.4
2023-10-15,Wood,LumberYardInc,11321.19
2023-12-22,Plastic,MaterialSource,9628.3
2023-11-17,Plastic,MaterialSource,10039.13
2023-08-25,Brick,MaterialSource,11277.45
2023-08-07,Brick,MaterialSource,8206.37
2023-10-18,Brick,LumberYardInc,11180.94
2023-10-04,Plastic,BuildCo,9278.45
2023-10-22,Gypsum,MaterialSource,10209.8
2023-03-12,Gypsum,TheBuildingBlock,11767.82
2023-02-11,Ceramic,ConstructionDepot,8922.61
2023-10-20,Gypsum,HomeDepotPro,9464.55
2023-12-10,Ceramic,BuildCo,9419.7
2023-10-09,Gypsum,ConstructionSupply,10315.51
2023-02-14,Ceramic,TheBuildingBlock,8613.23
2023-01-03,Gypsum,LumberYardInc,8046.37
2023-10-10,Plastic,MaterialSource,8185.29
2023-10-05,Plastic,TheBuildingBlock,11404.14
2023-10-08,Brick,HomeDepotPro,11606.83
2023-03-12,Brick,LumberYardInc,11106.13
2023-01-22,Gypsum,ConstructionDepot,8245.61
2023-01-21,Ceramic,MaterialSource,9484.93
2023-04-04,Wood,ConstructionSupply,8018.59
2023-07-22,Plastic,ConstructionDepot,9004.59
2023-10-09,Ceramic,LumberYardInc,10228.39
2023-01-23,Brick,BuildCo,9593.95
2023-11-10,Ceramic,HomeDepotPro,9091.0
2023-09-24,Gypsum,MaterialSource,10207.81
2023-02-06,Plastic,BuildCo,11752.09
2023-02-17,Brick,BuildCo,11554.98
2023-10-01,Ceramic,BuildCo,9569.37
2023-07-09,Brick,BuildCo,10195.88
2023-07-15,Ceramic,MaterialSource,10632.25
2023-11-13,Wood,ConstructionSupply,10345.06
2023-10-15,Brick,HomeDepotPro,11369.47
2023-02-11,Ceramic,LumberYardInc,11597.44
2023-08-08,Gypsum,BuildCo,11899.97
2023-01-06,Gypsum,HomeDepotPro,10271.26
2023-08-24,Brick,BuildCo,10238.27
2023-04-08,Wood,ConstructionDepot,11147.64
2023-11-18,Plastic,MaterialSource,9325.04
2023-12-06,Ceramic,HomeDepotPro,8247.21
2023-01-15,Brick,ConstructionSupply,8593.17
2023-11-07,Wood,ConstructionSupply,8004.02
