date,material,supplier,cost
2023-11-23,Steel,MaterialMasters,11581.32
2023-06-12,Asbestos,MaterialMasters,11925.78
2023-12-10,Steel,MaterialMasters,10766.72
2023-03-08,Asbestos,SupplyCenter,8565.83
2023-04-08,Gypsum,MaterialMasters,9312.58
2023-02-22,Asbestos,TimberMart,11189.22
2023-12-17,Gypsum,ConstructionDepot,8563.74
2023-11-09,Glass,ConstructionDepot,10874.31
2023-03-05,Asbestos,TheHardwareStore,10107.88
2023-11-02,Gypsum,HomeDepotPro,10798.89
2023-12-10,Gypsum,ConstructionDepot,10446.65
2023-03-10,Glass,MaterialMasters,10565.65
2023-08-08,Glass,TheHardwareStore,9991.68
2023-07-01,Glass,TimberMart,10977.4
2023-05-08,Gypsum,SupplyCenter,11629.54
2023-09-25,Asbestos,TheHardwareStore,10401.12
2023-07-01,Ceramic,MaterialMasters,11886.57
2023-10-23,Glass,SupplyCenter,9562.44
2023-03-18,Glass,TheHardwareStore,11719.94
2023-04-23,Steel,TimberMart,11545.02
2023-05-24,Asbestos,TheHardwareStore,9951.85
2023-11-22,Asbestos,TheHardwareStore,9992.2
2023-11-15,Steel,ConstructionDepot,9689.38
2023-03-18,Gypsum,SupplyCenter,8997.35
2023-08-19,Gypsum,TimberMart,10613.74
2023-04-04,Asbestos,HomeDepotPro,8818.18
2023-10-24,Gypsum,ConstructionDepot,10042.36
2023-08-24,Ceramic,ConstructionDepot,9890.43
2023-06-03,Glass,BuildSmart,8781.63
2023-04-15,Gypsum,TimberMart,8425.44
2023-11-20,Asbestos,TimberMart,8893.14
2023-12-07,Glass,TheHardwareStore,8560.07
2023-07-02,Ceramic,HomeDepotPro,10674.61
2023-12-21,Ceramic,BuildSmart,9832.74
2023-05-17,Asbestos,MaterialMasters,10978.8
2023-05-19,Glass,HomeDepotPro,9496.78
2023-04-22,Gypsum,HomeDepotPro,9246.26
2023-07-14,Glass,TheHardwareStore,9688.58
2023-10-21,Asbestos,SupplyCenter,8281.16
2023-09-14,Steel,TheHardwareStore,9867.69
2023-04-15,Glass,TheHardwareStore,11732.17
2023-11-23,Glass,SupplyCenter,10805.38
2023-11-12,Ceramic,MaterialMasters,10231.63
2023-08-10,Ceramic,MaterialMasters,11542.27
2023-05-06,Glass,HomeDepotPro,9486.03
2023-05-09,Glass,MaterialMasters,10086.74
2023-07-03,Steel,TheHardwareStore,8795.19
2023-10-01,Gypsum,SupplyCenter,9194.28
2023-11-24,Asbestos,MaterialMasters,10504.63
2023-08-17,Asbestos,ConstructionDepot,11692.69
2023-07-11,Steel,MaterialMasters,9128.93
2023-06-05,Steel,BuildSmart,11843.76
2023-07-12,Ceramic,MaterialMasters,10452.96
2023-06-15,Gypsum,TimberMart,9443.22
2023-05-12,Asbestos,MaterialMasters,8525.61
2023-12-20,Glass,SupplyCenter,11110.86
2023-09-15,Gypsum,HomeDepotPro,11842.62
2023-09-05,Steel,TimberMart,11608.6
2023-08-24,Asbestos,MaterialMasters,10205.43
2023-09-21,Gypsum,BuildSmart,11148.44
2023-11-23,Steel,MaterialMasters,11451.04
2023-10-02,Gypsum,TheHardwareStore,9765.84
2023-09-09,Asbestos,ConstructionDepot,11896.86
2023-11-17,Asbestos,MaterialMasters,9669.3
2023-01-02,Asbestos,ConstructionDepot,10584.94
2023-09-15,Steel,ConstructionDepot,9610.56
2023-10-23,Glass,TheHardwareStore,8818.88
2023-04-06,Steel,TimberMart,9810.26
2023-03-12,Gypsum,SupplyCenter,8737.99
2023-07-04,Gypsum,HomeDepotPro,10548.63
2023-05-08,Glass,TimberMart,9074.09
2023-04-18,Asbestos,HomeDepotPro,11065.09
2023-04-15,Gypsum,ConstructionDepot,8124.17
2023-06-08,Gypsum,HomeDepotPro,10734.17
2023-05-04,Steel,MaterialMasters,11105.53
2023-09-24,Ceramic,HomeDepotPro,8862.65
2023-01-09,Glass,TimberMart,9923.01
2023-02-19,Steel,TheHardwareStore,10604.56
2023-02-22,Steel,HomeDepotPro,9820.86
2023-09-18,Glass,MaterialMasters,8327.12
2023-09-22,Asbestos,MaterialMasters,10531.43
2023-06-25,Asbestos,TimberMart,8031.55
2023-05-17,Gypsum,TheHardwareStore,9764.35
2023-06-17,Asbestos,ConstructionDepot,11843.15
2023-09-09,Glass,SupplyCenter,11924.75
2023-02-05,Steel,MaterialMasters,8987.13
2023-11-04,Gypsum,SupplyCenter,9563.89
2023-06-07,Gypsum,TimberMart,10748.6
2023-12-16,Glass,ConstructionDepot,11916.71
2023-06-08,Gypsum,TheHardwareStore,11602.89
2023-05-14,Asbestos,TheHardwareStore,8840.35
2023-12-22,Asbestos,TimberMart,8113.66
2023-10-09,Asbestos,MaterialMasters,11476.43
2023-08-25,Asbestos,TheHardwareStore,9957.32
2023-07-16,Asbestos,TimberMart,10616.65
2023-10-13,Ceramic,SupplyCenter,9951.14
2023-05-22,Steel,HomeDepotPro,8590.3
2023-11-13,Ceramic,MaterialMasters,10143.36
2023-08-08,Gypsum,MaterialMasters,11730.35
2023-02-07,Ceramic,HomeDepotPro,9325.89
2023-08-13,Steel,TimberMart,10949.66
2023-10-02,Glass,SupplyCenter,8650.17
2023-01-25,Gypsum,TimberMart,11443.97
2023-03-13,Glass,MaterialMasters,8844.86
2023-05-10,Gypsum,HomeDepotPro,10673.38
2023-11-16,Glass,SupplyCenter,9944.1
2023-02-03,Gypsum,TimberMart,9712.31
2023-04-25,Glass,MaterialMasters,11515.34
2023-12-12,Steel,TheHardwareStore,9146.94
2023-10-05,Ceramic,TimberMart,11884.11
2023-12-09,Glass,TheHardwareStore,10273.16
2023-11-06,Asbestos,TimberMart,8704.32
2023-02-18,Glass,BuildSmart,9547.84
2023-11-08,Ceramic,TimberMart,10005.68
2023-04-15,Ceramic,SupplyCenter,9542.63
2023-08-17,Glass,MaterialMasters,8873.85
2023-05-02,Gypsum,ConstructionDepot,8575.57
2023-07-18,Glass,MaterialMasters,11826.24
2023-09-13,Steel,BuildSmart,8560.2
2023-08-04,Gypsum,MaterialMasters,8638.28
2023-02-10,Ceramic,ConstructionDepot,11259.76
2023-09-18,Glass,HomeDepotPro,9948.82
2023-07-13,Ceramic,BuildSmart,10573.43
2023-05-09,Glass,BuildSmart,9623.0
2023-01-04,Glass,MaterialMasters,8952.63
2023-08-24,Glass,TimberMart,11046.67
2023-03-08,Asbestos,ConstructionDepot,9914.53
