date,material,supplier,cost
2023-08-09,Asbestos,TimberlandSupply,8206.07
2023-02-15,Ceramic,LumberYardInc,10956.33
2023-07-21,Wood,TimberlandSupply,10456.12
2023-08-11,Insulation,LumberYardInc,8334.57
2023-07-04,Wood,LumberYardInc,10730.37
2023-03-03,Ceramic,HomeDepotPro,10308.33
2023-12-20,Insulation,LumberYardInc,10022.91
2023-10-02,Insulation,LumberYardInc,9320.77
2023-08-24,Asbestos,MaterialSource,8503.57
2023-10-22,Ceramic,TheHardwareStore,8720.65
2023-08-09,Ceramic,TimberlandSupply,9494.0
2023-04-10,Asbestos,MaterialSource,8088.2
2023-06-04,Wood,ConstructionSupply,11712.6
2023-08-07,Ceramic,TheHardwareStore,8605.37
2023-02-25,Asbestos,MaterialSource,11496.72
2023-12-11,Steel,LumberYardInc,11816.8
2023-11-15,Asbestos,HomeDepotPro,11077.02
2023-07-06,Insulation,LumberYardInc,9990.89
2023-10-20,Wood,TimberlandSupply,8505.28
2023-03-14,Ceramic,TimberlandSupply,10183.85
2023-05-11,Wood,HomeDepotPro,10873.1
2023-09-04,Steel,HomeDepotPro,11522.3
2023-07-23,Insulation,TheHardwareStore,11823.86
2023-08-14,Asbestos,HomeDepotPro,11098.04
2023-08-19,Asbestos,TimberlandSupply,9242.43
2023-02-23,Wood,TimberMart,9451.76
2023-02-08,Insulation,LumberYardInc,9149.24
2023-02-24,Wood,LumberYardInc,10935.45
2023-05-23,Ceramic,TimberMart,11313.97
2023-02-10,Ceramic,TheHardwareStore,10722.24
2023-07-17,Wood,LumberYardInc,10610.16
2023-09-01,Wood,MaterialSource,10330.93
2023-07-05,Ceramic,TimberlandSupply,8715.49
2023-03-17,Wood,TimberlandSupply,10235.47
2023-02-04,Ceramic,MaterialSource,8928.73
2023-10-12,Ceramic,HomeDepotPro,10648.17
2023-09-06,Ceramic,MaterialSource,8650.64
2023-03-05,Ceramic,ConstructionSupply,11585.89
2023-12-04,Wood,HomeDepotPro,10475.0
2023-02-07,Wood,LumberYardInc,10359.62
2023-11-10,Asbestos,ConstructionSupply,10122.98
2023-10-24,Asbestos,TimberlandSupply,10583.02
2023-02-06,Wood,HomeDepotPro,9228.36
2023-01-05,Wood,TimberlandSupply,11063.16
2023-06-20,Insulation,TheHardwareStore,10941.93
2023-02-16,Ceramic,HomeDepotPro,11542.84
2023-04-11,Wood,ConstructionSupply,11245.9
2023-05-06,Steel,TimberlandSupply,11215.57
2023-02-05,Insulation,HomeDepotPro,11479.11
