date,material,supplier,cost
2023-11-24,Ceramic,MaterialMasters,9872.16
2023-11-01,Glass,HomeImprovementHQ,8771.12
2023-02-20,Ceramic,MaterialSource,10187.8
2023-09-07,Steel,SupplyCenter,11685.05
2023-06-07,Insulation,TimberlandSupply,11739.65
2023-07-11,Ceramic,MaterialMasters,8243.38
2023-07-11,Insulation,SupplyCenter,9928.33
2023-07-07,Ceramic,SupplyCenter,11691.36
2023-03-05,Ceramic,TimberMart,9745.0
2023-02-05,Steel,LumberYardInc,8080.0
2023-09-01,Steel,SupplyCenter,11574.12
2023-02-22,Insulation,SupplyCenter,9987.17
2023-11-15,Ceramic,MaterialSource,11339.02
2023-07-15,Steel,HomeImprovementHQ,9560.28
2023-07-06,Insulation,MaterialMasters,9570.09
2023-02-11,Steel,SupplyCenter,11917.45
2023-01-14,Glass,SupplyCenter,8894.69
2023-04-04,Glass,TimberlandSupply,8634.18
2023-04-17,Glass,MaterialMasters,9674.85
2023-03-15,Gypsum,MaterialSource,8016.25
2023-02-20,Insulation,MaterialSource,8911.9
2023-12-24,Gypsum,TimberMart,11317.72
2023-06-19,Glass,MaterialSource,9015.49
2023-04-08,Insulation,LumberYardInc,8243.09
2023-10-18,Steel,TimberlandSupply,8784.09
2023-02-14,Glass,MaterialMasters,9087.65
2023-08-13,Steel,SupplyCenter,11934.99
2023-10-02,Steel,HomeImprovementHQ,11519.32
2023-07-21,Ceramic,SupplyCenter,11374.62
2023-07-08,Glass,MaterialSource,9607.07
2023-12-18,Steel,TimberlandSupply,11336.3
2023-06-06,Glass,TimberlandSupply,11991.3
2023-12-06,Glass,HomeImprovementHQ,8983.82
2023-08-08,Glass,HomeImprovementHQ,9074.09
2023-07-02,Insulation,TimberMart,9165.52
2023-12-09,Ceramic,TimberlandSupply,8690.05
2023-12-12,Glass,MaterialMasters,10421.3
2023-02-19,Glass,MaterialMasters,10440.04
2023-06-24,Steel,SupplyCenter,8455.66
2023-03-09,Steel,TimberMart,10543.17
2023-04-12,Steel,MaterialMasters,11851.98
2023-10-14,Steel,LumberYardInc,8285.62
2023-09-06,Glass,TimberlandSupply,8069.67
2023-12-04,Gypsum,HomeImprovementHQ,9731.77
2023-07-07,Steel,LumberYardInc,9926.64
2023-11-14,Insulation,TimberlandSupply,9648.9
2023-11-18,Glass,MaterialSource,10578.03
2023-07-17,Glass,HomeImprovementHQ,10271.78
2023-09-09,Steel,LumberYardInc,8660.4
2023-11-13,Glass,TimberMart,9458.67
2023-11-22,Insulation,LumberYardInc,10002.37
2023-02-02,Ceramic,LumberYardInc,9532.4
2023-07-21,Steel,TimberMart,10240.88
2023-11-25,Insulation,LumberYardInc,8111.26
2023-12-22,Steel,LumberYardInc,8105.61
2023-09-20,Insulation,LumberYardInc,10274.5
2023-01-05,Glass,MaterialSource,9195.78
2023-08-10,Insulation,LumberYardInc,10406.08
2023-11-14,Ceramic,MaterialSource,10137.28
2023-05-23,Insulation,SupplyCenter,11135.88
2023-03-11,Ceramic,LumberYardInc,11320.26
2023-07-22,Insulation,HomeImprovementHQ,11638.92
2023-02-20,Glass,MaterialSource,9083.25
2023-05-15,Glass,TimberlandSupply,9279.93
2023-12-15,Ceramic,SupplyCenter,10331.16
2023-04-25,Glass,MaterialMasters,9434.09
2023-09-14,Steel,HomeImprovementHQ,11994.71
2023-12-22,Ceramic,MaterialSource,10489.32
2023-01-08,Insulation,MaterialSource,8942.79
2023-08-04,Ceramic,SupplyCenter,8909.87
2023-10-16,Steel,TimberMart,11208.65
2023-02-23,Insulation,HomeImprovementHQ,8513.87
2023-12-15,Steel,LumberYardInc,9575.52
2023-03-18,Gypsum,LumberYardInc,11300.37
2023-04-01,Gypsum,SupplyCenter,9521.11
2023-06-09,Steel,SupplyCenter,9033.92
2023-11-04,Steel,LumberYardInc,10418.28
2023-06-14,Insulation,MaterialMasters,10699.91
2023-04-06,Gypsum,TimberlandSupply,8392.44
2023-03-15,Glass,TimberMart,9114.96
2023-02-17,Insulation,HomeImprovementHQ,9101.0
2023-10-25,Glass,LumberYardInc,8725.97
2023-12-10,Glass,SupplyCenter,11762.4
2023-12-11,Steel,HomeImprovementHQ,8922.2
2023-08-11,Insulation,LumberYardInc,8810.82
2023-10-04,Ceramic,HomeImprovementHQ,11150.88
2023-04-22,Glass,LumberYardInc,9168.77
2023-10-09,Gypsum,MaterialMasters,9838.97
2023-01-20,Gypsum,MaterialSource,9099.09
2023-04-14,Glass,SupplyCenter,8981.25
2023-09-24,Gypsum,MaterialMasters,11401.51
2023-04-06,Glass,HomeImprovementHQ,10446.76
2023-03-06,Steel,TimberMart,10002.34
2023-12-12,Insulation,MaterialSource,8438.22
2023-08-24,Ceramic,TimberlandSupply,10206.97
2023-12-18,Steel,LumberYardInc,8273.83
2023-11-19,Steel,MaterialMasters,11528.1
2023-02-19,Steel,SupplyCenter,10008.67
2023-12-10,Steel,TimberMart,11223.65
2023-12-20,Glass,MaterialMasters,10972.65
2023-05-22,Steel,MaterialMasters,9660.01
2023-11-12,Glass,TimberlandSupply,10231.07
2023-02-06,Glass,MaterialMasters,11880.74
2023-12-19,Glass,LumberYardInc,9553.51
2023-02-09,Ceramic,LumberYardInc,8467.13
2023-03-06,Steel,MaterialSource,11338.38
2023-04-15,Ceramic,TimberMart,8994.23
2023-03-12,Steel,TimberMart,10233.67
2023-10-15,Ceramic,SupplyCenter,11816.12
2023-08-10,Ceramic,TimberlandSupply,8816.53
2023-08-18,Glass,SupplyCenter,11574.46
2023-07-18,Insulation,TimberMart,9139.98
2023-06-04,Ceramic,MaterialMasters,8023.24
2023-06-22,Insulation,LumberYardInc,11635.76
2023-10-12,Glass,LumberYardInc,10885.27
2023-05-22,Ceramic,HomeImprovementHQ,10256.9
2023-12-21,Insulation,TimberMart,9852.58
2023-09-12,Steel,LumberYardInc,11317.78
2023-04-15,Ceramic,MaterialSource,11053.81
2023-10-04,Insulation,MaterialMasters,9099.92
2023-05-03,Ceramic,TimberMart,8467.13
2023-09-21,Gypsum,TimberlandSupply,9369.61
2023-06-25,Steel,MaterialMasters,11185.96
2023-03-14,Insulation,HomeImprovementHQ,9984.66
2023-01-21,Glass,MaterialSource,9291.26
