date,material,supplier,cost
2023-01-14,Glass,BuildSmart,8331.68
2023-12-07,Glass,TheHardwareStore,9593.56
2023-02-06,Gypsum,BuildCo,9527.65
2023-01-23,Glass,TheHardwareStore,11886.85
2023-10-01,Glass,MaterialMasters,9310.04
2023-06-24,Plastic,BuildSmart,11244.58
2023-01-01,Plastic,ConstructionSupply,9021.61
2023-02-14,Asbestos,ConstructionSupply,9599.56
2023-04-06,Asbestos,TheHardwareStore,10878.12
2023-03-15,Glass,TheHardwareStore,11714.81
2023-12-23,Plastic,BuildCo,8294.93
2023-06-24,Asbestos,ConstructionSupply,10755.59
2023-06-18,Insulation,MaterialMasters,9608.4
2023-04-15,Asbestos,TimberlandSupply,11778.17
2023-12-03,Gypsum,ConstructionDepot,10458.27
2023-10-13,Glass,MaterialMasters,8710.9
2023-03-09,Gypsum,ConstructionSupply,9654.3
2023-10-21,Asbestos,TheHardwareStore,8413.87
2023-06-16,Insulation,TheHardwareStore,11298.04
2023-08-01,Insulation,BuildSmart,9612.7
2023-01-12,Plastic,BuildSmart,9290.19
2023-02-12,Insulation,BuildCo,8901.82
2023-04-15,Glass,ConstructionDepot,8617.8
2023-10-23,Asbestos,ConstructionDepot,11070.73
2023-12-23,Gypsum,BuildSmart,10485.57
2023-12-16,Gypsum,TheHardwareStore,10274.56
2023-12-01,Asbestos,TheHardwareStore,11280.64
2023-01-22,Asbestos,ConstructionDepot,9844.0
2023-12-10,Insulation,BuildCo,9513.3
2023-03-10,Plastic,MaterialMasters,10410.88
2023-09-18,Asbestos,BuildCo,10059.32
2023-09-23,Asbestos,MaterialMasters,10937.11
2023-06-21,Glass,MaterialMasters,8237.06
2023-12-25,Gypsum,MaterialMasters,9352.67
2023-10-02,Plastic,BuildSmart,10152.15
2023-09-13,Insulation,MaterialMasters,8219.8
2023-08-02,Glass,ConstructionDepot,8153.21
2023-11-12,Plastic,MaterialMasters,10902.34
2023-04-20,Glass,BuildSmart,11091.99
2023-01-22,Asbestos,TimberlandSupply,10487.08
2023-01-15,Glass,BuildSmart,9961.22
2023-11-08,Asbestos,TheHardwareStore,8953.9
2023-03-06,Plastic,MaterialMasters,10055.5
2023-09-08,Gypsum,ConstructionSupply,11172.39
2023-08-07,Insulation,ConstructionDepot,11942.91
2023-05-07,Plastic,ConstructionSupply,11877.8
2023-04-13,Insulation,BuildCo,11400.06
2023-11-07,Insulation,ConstructionDepot,10290.53
2023-06-13,Insulation,TimberlandSupply,11908.66
2023-06-16,Asbestos,ConstructionDepot,10429.05
2023-05-11,Asbestos,BuildSmart,9784.24
2023-05-18,Asbestos,BuildSmart,11653.41
2023-05-17,Plastic,BuildSmart,8046.47
2023-12-08,Glass,BuildCo,11758.84
2023-11-17,Insulation,MaterialMasters,9695.49
2023-12-02,Insulation,TimberlandSupply,11782.14
2023-12-16,Plastic,TimberlandSupply,8141.35
2023-06-18,Asbestos,TimberlandSupply,9595.52
2023-07-15,Plastic,ConstructionSupply,9695.94
2023-03-20,Glass,ConstructionDepot,8369.08
2023-05-01,Gypsum,BuildSmart,8223.99
2023-08-03,Insulation,BuildCo,8010.97
2023-05-14,Asbestos,ConstructionDepot,9111.31
2023-11-08,Insulation,TheHardwareStore,8711.65
2023-12-02,Insulation,TheHardwareStore,11384.55
2023-12-16,Insulation,ConstructionSupply,10681.31
2023-08-22,Plastic,MaterialMasters,9149.03
2023-11-01,Insulation,ConstructionSupply,10281.73
2023-12-21,Gypsum,BuildSmart,10340.06
2023-07-22,Glass,BuildCo,8473.15
2023-04-17,Asbestos,BuildCo,9876.15
2023-10-18,Plastic,MaterialMasters,9945.24
2023-03-25,Asbestos,MaterialMasters,11263.19
2023-10-20,Gypsum,BuildSmart,8999.41
2023-02-23,Glass,TheHardwareStore,11113.01
2023-11-18,Insulation,ConstructionDepot,11861.81
2023-04-04,Asbestos,ConstructionDepot,11030.27
2023-03-25,Glass,TimberlandSupply,8211.35
2023-03-20,Plastic,MaterialMasters,10174.75
2023-01-23,Gypsum,TheHardwareStore,8656.71
2023-05-03,Glass,ConstructionSupply,11721.51
2023-12-24,Asbestos,TimberlandSupply,9308.49
2023-05-25,Asbestos,BuildSmart,11845.88
2023-08-05,Glass,BuildSmart,8066.11
2023-12-15,Asbestos,TheHardwareStore,11482.85
2023-09-25,Glass,TheHardwareStore,10307.94
2023-07-15,Asbestos,TimberlandSupply,10380.41
2023-01-15,Glass,BuildCo,9817.11
2023-07-05,Gypsum,TimberlandSupply,11776.27
2023-09-03,Gypsum,ConstructionDepot,11437.47
2023-10-09,Plastic,TheHardwareStore,9412.29
2023-11-15,Gypsum,TheHardwareStore,10402.97
2023-09-04,Plastic,TheHardwareStore,10720.95
2023-12-11,Gypsum,TheHardwareStore,9283.51
2023-03-08,Asbestos,BuildSmart,11679.06
2023-03-21,Glass,BuildSmart,8962.02
2023-12-24,Gypsum,BuildCo,9860.74
2023-06-18,Asbestos,ConstructionDepot,11356.73
2023-01-09,Glass,TheHardwareStore,11946.4
2023-03-15,Glass,TimberlandSupply,10510.8
2023-12-19,Plastic,MaterialMasters,10077.1
2023-12-08,Insulation,BuildCo,10959.63
2023-06-13,Insulation,ConstructionDepot,9827.42
2023-12-04,Glass,ConstructionSupply,8074.69
2023-11-08,Glass,TimberlandSupply,8232.49
2023-12-18,Plastic,TimberlandSupply,9897.43
2023-01-07,Glass,BuildCo,11200.59
2023-12-16,Asbestos,BuildCo,8474.26
2023-03-14,Glass,TimberlandSupply,11032.61
2023-07-19,Insulation,BuildCo,9482.69
2023-02-02,Asbestos,ConstructionSupply,9086.7
2023-09-15,Asbestos,TheHardwareStore,11493.46
2023-05-11,Glass,MaterialMasters,11743.3
2023-05-21,Plastic,BuildSmart,11882.16
2023-02-25,Insulation,ConstructionDepot,10355.0
2023-07-24,Insulation,TheHardwareStore,10653.38
2023-12-23,Glass,MaterialMasters,8409.43
2023-12-24,Plastic,MaterialMasters,10957.75
2023-05-01,Insulation,BuildCo,8524.79
2023-12-19,Asbestos,ConstructionDepot,11739.09
2023-12-11,Asbestos,ConstructionDepot,8304.82
2023-11-14,Glass,BuildSmart,9485.45
2023-12-01,Asbestos,TheHardwareStore,10829.89
2023-04-11,Asbestos,ConstructionSupply,11573.31
2023-03-07,Asbestos,ConstructionDepot,9476.97
2023-01-21,Gypsum,TheHardwareStore,11467.41
2023-09-24,Glass,BuildSmart,11883.13
2023-03-09,Insulation,ConstructionDepot,8117.56
2023-12-12,Gypsum,TimberlandSupply,8447.66
2023-11-05,Plastic,BuildCo,9454.04
2023-01-21,Gypsum,MaterialMasters,11307.75
2023-08-12,Asbestos,TimberlandSupply,8643.9
2023-05-01,Asbestos,ConstructionDepot,10826.61
2023-11-19,Asbestos,MaterialMasters,11710.44
2023-01-07,Glass,TheHardwareStore,8318.55
2023-08-01,Asbestos,MaterialMasters,10230.79
2023-09-11,Asbestos,BuildCo,10381.93
2023-02-12,Asbestos,BuildSmart,8644.83
2023-04-06,Plastic,TheHardwareStore,10388.41
2023-12-03,Plastic,TimberlandSupply,8480.7
2023-11-22,Glass,TheHardwareStore,8859.71
2023-03-22,Plastic,TheHardwareStore,8289.5
2023-10-02,Gypsum,TimberlandSupply,9388.15
2023-06-03,Insulation,TimberlandSupply,11230.45
2023-09-04,Plastic,TimberlandSupply,10670.8
2023-02-19,Gypsum,MaterialMasters,8656.41
2023-10-22,Asbestos,ConstructionSupply,11487.43
2023-12-04,Asbestos,BuildSmart,9139.19
2023-03-11,Gypsum,ConstructionSupply,10572.74
2023-11-21,Asbestos,TimberlandSupply,10123.14
2023-12-25,Plastic,ConstructionSupply,10293.87
2023-10-05,Plastic,TimberlandSupply,9072.07
2023-10-08,Plastic,TimberlandSupply,9580.81
2023-12-19,Glass,TheHardwareStore,10801.01
2023-11-02,Insulation,MaterialMasters,11254.76
2023-01-02,Plastic,ConstructionSupply,8498.82
2023-12-05,Asbestos,TheHardwareStore,9288.85
2023-11-14,Glass,BuildSmart,9272.58
2023-11-20,Plastic,BuildSmart,10994.05
2023-07-01,Asbestos,TimberlandSupply,9888.65
2023-08-07,Plastic,ConstructionSupply,8680.94
2023-06-21,Glass,ConstructionDepot,11734.58
2023-02-01,Gypsum,BuildCo,11496.26
2023-03-04,Glass,BuildSmart,9563.38
2023-10-20,Glass,ConstructionSupply,10859.21
2023-06-15,Plastic,MaterialMasters,11027.39
2023-09-24,Glass,BuildSmart,10297.44
2023-07-09,Plastic,TheHardwareStore,8222.47
2023-07-06,Plastic,ConstructionDepot,11402.33
2023-06-20,Insulation,BuildSmart,8387.93
2023-07-16,Plastic,BuildCo,9550.13
2023-08-17,Asbestos,BuildCo,11743.78
2023-04-22,Asbestos,TheHardwareStore,10537.4
2023-06-03,Asbestos,BuildCo,8987.41
2023-09-19,Gypsum,ConstructionDepot,8010.44
2023-08-17,Glass,TheHardwareStore,9966.23
2023-10-11,Glass,BuildCo,11202.64
2023-02-07,Plastic,BuildSmart,11822.12
2023-10-14,Gypsum,ConstructionDepot,11693.96
2023-06-04,Gypsum,MaterialMasters,9504.39
2023-12-20,Insulation,TimberlandSupply,10984.91
2023-02-23,Asbestos,BuildCo,11813.94
2023-06-23,Asbestos,ConstructionDepot,10607.21
2023-09-18,Insulation,TheHardwareStore,11704.45
2023-02-22,Asbestos,ConstructionSupply,11965.42
2023-12-09,Asbestos,BuildSmart,8330.06
2023-04-14,Plastic,TimberlandSupply,10957.34
2023-11-18,Gypsum,TimberlandSupply,11203.73
2023-10-01,Insulation,ConstructionDepot,10017.4
2023-12-17,Insulation,MaterialMasters,11706.11
2023-12-04,Plastic,ConstructionDepot,8966.32
2023-06-14,Gypsum,TimberlandSupply,8168.38
2023-12-25,Asbestos,TimberlandSupply,9959.97
2023-10-18,Gypsum,TimberlandSupply,11296.29
2023-09-06,Plastic,MaterialMasters,8662.79
2023-12-15,Plastic,BuildCo,11800.96
2023-06-02,Asbestos,TheHardwareStore,9744.12
2023-01-12,Plastic,BuildCo,10807.13
2023-10-03,Plastic,ConstructionSupply,9950.86
2023-10-19,Plastic,ConstructionSupply,8599.98
2023-04-13,Gypsum,BuildCo,9371.55
2023-03-15,Gypsum,MaterialMasters,9190.18
2023-01-13,Gypsum,BuildCo,9500.75
2023-10-15,Plastic,TheHardwareStore,11923.71
2023-01-24,Insulation,BuildCo,11080.63
2023-04-18,Gypsum,BuildSmart,10792.34
2023-04-20,Insulation,BuildCo,11845.94
2023-05-18,Plastic,ConstructionDepot,11737.54
2023-03-22,Glass,BuildCo,8525.12
2023-01-08,Gypsum,TimberlandSupply,11854.84
2023-02-20,Gypsum,MaterialMasters,10736.6
2023-11-03,Gypsum,MaterialMasters,9434.65
2023-04-07,Glass,MaterialMasters,8196.71
2023-05-14,Insulation,ConstructionDepot,9953.56
2023-10-25,Plastic,BuildCo,10202.34
2023-12-15,Glass,MaterialMasters,9945.87
2023-05-15,Plastic,MaterialMasters,9654.79
2023-12-20,Plastic,ConstructionDepot,9325.13
2023-04-05,Insulation,TimberlandSupply,9745.09
2023-10-20,Asbestos,TimberlandSupply,9954.52
2023-06-06,Glass,TimberlandSupply,10078.08
2023-04-11,Plastic,BuildSmart,11322.67
2023-01-17,Glass,ConstructionSupply,9351.78
2023-01-21,Glass,TheHardwareStore,10562.16
2023-09-09,Plastic,TimberlandSupply,9489.08
2023-12-04,Gypsum,BuildSmart,8265.68
2023-01-18,Asbestos,ConstructionDepot,11003.5
2023-04-13,Plastic,BuildSmart,9490.15
2023-02-19,Glass,TheHardwareStore,10988.57
2023-04-09,Asbestos,BuildSmart,9585.35
2023-12-25,Glass,BuildCo,10686.87
2023-01-08,Gypsum,ConstructionSupply,11730.41
2023-03-03,Asbestos,BuildCo,10577.4
2023-03-03,Asbestos,TheHardwareStore,9386.22
2023-12-11,Gypsum,MaterialMasters,11227.18
2023-04-22,Plastic,ConstructionDepot,9018.23
2023-07-20,Plastic,ConstructionDepot,8707.37
2023-09-08,Asbestos,BuildCo,9578.61
2023-02-15,Gypsum,TimberlandSupply,9377.5
2023-12-11,Glass,BuildSmart,10444.75
2023-06-22,Glass,TimberlandSupply,10049.82
2023-01-14,Gypsum,ConstructionSupply,8842.21
2023-12-16,Asbestos,TimberlandSupply,9480.66
2023-05-14,Gypsum,TheHardwareStore,11240.61
2023-10-17,Asbestos,BuildSmart,9297.85
2023-03-04,Gypsum,ConstructionDepot,11321.08
2023-10-19,Plastic,TimberlandSupply,9180.39
2023-12-14,Glass,TheHardwareStore,10154.33
2023-03-10,Insulation,ConstructionSupply,11939.43
2023-02-07,Asbestos,TheHardwareStore,9635.5
2023-07-15,Plastic,MaterialMasters,10507.24
2023-06-14,Gypsum,BuildSmart,8509.11
2023-03-11,Insulation,TheHardwareStore,10535.66
2023-04-15,Gypsum,BuildCo,10513.07
2023-03-11,Plastic,BuildCo,8611.66
2023-12-01,Insulation,BuildCo,11089.39
2023-03-20,Gypsum,TimberlandSupply,10358.15
2023-12-14,Plastic,BuildCo,10398.35
2023-05-11,Gypsum,TimberlandSupply,10674.5
2023-12-04,Gypsum,MaterialMasters,8621.93
2023-12-03,Gypsum,MaterialMasters,11261.2
2023-03-04,Plastic,BuildSmart,8225.63
2023-08-15,Plastic,ConstructionDepot,10240.67
2023-06-21,Insulation,MaterialMasters,10622.56
2023-01-03,Gypsum,TimberlandSupply,11249.98
2023-01-01,Plastic,BuildSmart,10201.34
2023-01-23,Glass,BuildCo,8174.15
2023-07-20,Gypsum,TheHardwareStore,8030.56
2023-02-25,Plastic,TimberlandSupply,10918.06
2023-01-13,Insulation,ConstructionSupply,8564.02
2023-06-07,Insulation,MaterialMasters,11848.88
2023-09-06,Gypsum,BuildCo,9897.25
2023-05-12,Insulation,BuildCo,9210.24
2023-03-07,Insulation,BuildCo,10052.66
2023-09-06,Asbestos,BuildCo,10480.96
2023-06-05,Plastic,ConstructionDepot,8942.13
2023-06-06,Plastic,BuildCo,9065.32
2023-06-21,Plastic,BuildSmart,8737.27
2023-08-25,Asbestos,BuildCo,9510.97
2023-08-04,Plastic,TimberlandSupply,10772.48
2023-05-25,Gypsum,TimberlandSupply,8602.05
2023-03-02,Asbestos,ConstructionSupply,8274.44
2023-11-17,Glass,BuildCo,9444.35
2023-03-17,Glass,BuildSmart,9829.85
2023-12-03,Asbestos,TheHardwareStore,10876.6
2023-10-10,Gypsum,TheHardwareStore,10064.36
2023-05-21,Asbestos,MaterialMasters,10185.01
2023-11-03,Gypsum,MaterialMasters,9163.88
2023-01-16,Plastic,BuildCo,10025.57
2023-09-12,Gypsum,TheHardwareStore,11545.88
2023-12-18,Asbestos,MaterialMasters,8188.46
2023-02-21,Glass,BuildCo,10085.97
2023-05-06,Gypsum,TheHardwareStore,10572.15
2023-03-02,Plastic,ConstructionDepot,9788.04
2023-05-15,Plastic,TimberlandSupply,10810.65
2023-12-25,Plastic,TimberlandSupply,10826.78
2023-05-10,Asbestos,ConstructionSupply,8848.36
2023-04-13,Insulation,ConstructionDepot,11773.84
2023-01-04,Insulation,BuildSmart,11839.58
2023-10-04,Gypsum,TheHardwareStore,9616.02
